,ZSCAN18,ZNF625,BHLHE41,NDN,CCND2,DACH1,PDE10A,HS3ST3A1,ZNF502,LY75,SNHG18,RP11-366M4.11,TSPYL5,HOXA11,LPHN2,RPL39P6,ALDH2,RP11-408B11.2,TFEB,GREM1,TESK2,XAF1,ZNF334,RTF1,ST6GALNAC5,ZNF462,CCDC8,SFMBT2,PTMAP3,ZNF763
10,0.0,2.0,1.0,48.0,5.0,3.0,15.0,23.0,6.0,53.0,19.0,40.0,184.0,200.0,7.0,16.0,33.0,52.0,21.0,78.0,76.0,43.0,89.0,96.0,8.0,31.0,108.0,227.0,24.0,13.0
59,0.0,1.0,4.0,7.0,13.0,8.0,9.0,18.0,15.0,11.0,3.0,19.0,452.0,53.0,37.0,49.0,12.0,63.0,20.0,10.0,93.0,30.0,48.0,99.0,6.0,5.0,59.0,71.0,29.0,17.0
108,7.0,19.0,0.0,1.0,13.0,5.0,60.0,27.0,145.0,16.0,2.0,61.0,433.0,52.0,8.0,101.0,131.0,133.0,35.0,48.0,92.0,167.0,31.0,194.0,4.0,9.0,28.0,39.0,21.0,50.0
157,0.0,5.0,1.0,13.0,8.0,6.0,3.0,21.0,95.0,12.0,9.0,23.0,726.0,525.0,11.0,35.0,44.0,2.0,38.0,85.0,60.0,25.0,14.0,56.0,4.0,10.0,659.0,17.0,28.0,120.0
206,1.0,3.0,2.0,104.0,5.0,6.0,10.0,12.0,21.0,9.0,0.0,14.0,28.0,61.0,38.0,88.0,92.0,18.0,15.0,110.0,30.0,23.0,45.0,50.0,7.0,4.0,606.0,70.0,58.0,35.0
255,2.0,0.0,1.0,3.0,90.0,8.0,6.0,26.0,314.0,19.0,51.0,74.0,41.0,27.0,12.0,337.0,70.0,93.0,28.0,13.0,20.0,36.0,177.0,138.0,4.0,71.0,54.0,80.0,15.0,50.0
304,2.0,11.0,1.0,0.0,125.0,10.0,4.0,25.0,505.0,5.0,15.0,87.0,3.0,986.0,209.0,23.0,167.0,130.0,30.0,54.0,35.0,12.0,94.0,42.0,18.0,169.0,242.0,198.0,81.0,82.0
353,0.0,2.0,3.0,61.0,10.0,11.0,5.0,19.0,107.0,191.0,15.0,12.0,18.0,82.0,1.0,17.0,25.0,31.0,20.0,105.0,115.0,26.0,147.0,161.0,7.0,6.0,13.0,54.0,97.0,67.0
402,0.0,21.0,2.0,42.0,22.0,1.0,36.0,8.0,95.0,6.0,29.0,10.0,322.0,16.0,26.0,4.0,41.0,105.0,76.0,48.0,31.0,14.0,748.0,25.0,3.0,18.0,242.0,39.0,34.0,82.0
451,2.0,3.0,0.0,4.0,12.0,7.0,6.0,11.0,98.0,15.0,5.0,179.0,24.0,140.0,126.0,320.0,10.0,49.0,22.0,41.0,45.0,34.0,26.0,46.0,32.0,1.0,66.0,124.0,63.0,106.0
500,1.0,8.0,5.0,0.0,127.0,69.0,25.0,45.0,4.0,16.0,120.0,14.0,19.0,3.0,206.0,9.0,402.0,52.0,79.0,28.0,56.0,24.0,35.0,92.0,122.0,85.0,2.0,396.0,136.0,101.0
549,14.0,10.0,1.0,0.0,139.0,120.0,4.0,307.0,7.0,16.0,11.0,12.0,88.0,3.0,508.0,18.0,22.0,42.0,5.0,15.0,21.0,196.0,65.0,69.0,177.0,142.0,28.0,118.0,63.0,81.0
598,8.0,5.0,2.0,0.0,43.0,36.0,10.0,23.0,3.0,33.0,15.0,6.0,139.0,1.0,302.0,18.0,130.0,16.0,29.0,17.0,169.0,128.0,603.0,25.0,78.0,49.0,50.0,537.0,85.0,41.0
647,2.0,9.0,15.0,0.0,7.0,29.0,23.0,40.0,13.0,10.0,659.0,11.0,43.0,21.0,108.0,158.0,71.0,92.0,14.0,84.0,192.0,47.0,5.0,50.0,135.0,6.0,1.0,540.0,132.0,74.0
696,1.0,4.0,3.0,0.0,218.0,101.0,97.0,6.0,59.0,34.0,20.0,84.0,12.0,2.0,387.0,90.0,149.0,21.0,23.0,63.0,79.0,77.0,30.0,40.0,349.0,10.0,11.0,473.0,61.0,46.0
745,1.0,16.0,5.0,0.0,39.0,24.0,8.0,52.0,3.0,30.0,48.0,21.0,156.0,12.0,50.0,32.0,23.0,6.0,33.0,109.0,128.0,105.0,11.0,88.0,192.0,36.0,107.0,204.0,15.0,199.0
794,6.0,5.0,3.0,0.0,15.0,23.0,7.0,9.0,1.0,37.0,30.0,167.0,594.0,2.0,242.0,77.0,168.0,17.0,11.0,95.0,81.0,32.0,44.0,102.0,528.0,29.0,4.0,18285.0,36.0,140.0
843,0.0,3.0,30.0,33.0,35.0,50.0,7.0,15.0,9.0,14.0,5.0,29.0,240.0,25.0,736.0,24.0,12.0,88.0,266.0,249.0,28.0,229.0,196.0,10.0,1292.0,44.0,130.0,529.0,48.0,100.0
892,1.0,0.0,3.0,2.0,21.0,43.0,19.0,10.0,102.0,51.0,8.0,12.0,114.0,38.0,24.0,36.0,92.0,23.0,18.0,32.0,77.0,53.0,27.0,251.0,31.0,6.0,4.0,244.0,25.0,115.0
941,4.0,1.0,6.0,14.0,28.0,12.0,67.0,66.0,8.0,68.0,35.0,0.0,196.0,7.0,80.0,69.0,63.0,230.0,34.0,97.0,30.0,54.0,3.0,58.0,287.0,5.0,15.0,21.0,104.0,53.0
990,2.0,9.0,15.0,0.0,35.0,7.0,11.0,14.0,3.0,37.0,19.0,5.0,1.0,72.0,410.0,43.0,192.0,215.0,71.0,60.0,236.0,22.0,18.0,94.0,26.0,130.0,27.0,95.0,34.0,102.0
1039,3.0,10.0,6.0,9.0,0.0,12.0,75.0,45.0,41.0,30.0,454.0,13.0,1.0,24.0,199.0,189.0,15.0,7.0,39.0,42.0,302.0,107.0,46.0,25.0,83.0,593.0,140.0,67.0,158.0,52.0
1088,2.0,7.0,34.0,4.0,61.0,31.0,32.0,9.0,13.0,59.0,316.0,3.0,0.0,104.0,416.0,266.0,148.0,92.0,30.0,76.0,335.0,11.0,26.0,87.0,54.0,69.0,188.0,331.0,64.0,165.0
1137,0.0,3.0,12.0,1.0,2.0,7.0,11.0,4.0,68.0,26.0,55.0,33.0,39.0,28.0,295.0,278.0,27.0,113.0,35.0,10.0,281.0,49.0,63.0,58.0,393.0,195.0,54.0,42.0,18.0,30.0
1186,0.0,16.0,27.0,99.0,4.0,6.0,29.0,12.0,256.0,249.0,5.0,121.0,22.0,47.0,26.0,90.0,73.0,494.0,118.0,30.0,150.0,113.0,23.0,32.0,9.0,82.0,20.0,42.0,50.0,59.0
1235,2.0,0.0,8.0,10.0,3.0,9.0,65.0,4.0,1.0,11.0,13459.0,17.0,78.0,28.0,145.0,357.0,169.0,242.0,86.0,38.0,272.0,24.0,15.0,46.0,32.0,26.0,170.0,479.0,49.0,36.0
1284,1.0,6.0,15.0,36.0,14.0,34.0,145.0,29.0,19.0,40.0,100.0,4.0,0.0,41.0,625.0,91.0,126.0,18.0,62.0,312.0,339.0,5.0,9.0,157.0,70.0,87.0,2.0,813.0,35.0,85.0
1333,4.0,1.0,3.0,0.0,83.0,2.0,89.0,9.0,91.0,40.0,59.0,5.0,21.0,121.0,553.0,85.0,145.0,13.0,70.0,17.0,96.0,31.0,26.0,82.0,39.0,61.0,300.0,222.0,71.0,37.0
1382,2.0,7.0,27.0,29.0,9.0,12.0,4.0,6.0,0.0,46.0,88.0,11.0,15.0,10.0,59.0,141.0,231.0,30.0,137.0,5.0,198.0,34.0,20.0,48.0,72.0,16.0,32.0,153.0,26.0,293.0
