,ZNF625,ZSCAN18,NDN,PDE10A,HS3ST3A1,BHLHE41,SNHG18,ZNF502,DACH1,CCND2,GREM1,LPHN2,ZNF334,TSPYL5,CCDC8,ALDH2,UBA6-AS1,AC073052.1,RPL39P6,UBA6,ZNF462,GRIN2A,EPB41L3,MDFI,HOXA11,CXADR,C17orf97,TESK2,SPRY1,XAF1
9,2.0,0.0,55.0,9.0,8.0,1.0,4.0,6.0,3.0,13.0,63.0,10.0,18.0,66.0,43.0,16.0,17.0,39.0,46.0,86.0,52.0,28.0,12.0,120.0,614.0,24.0,40.0,60.0,90.0,50.0
58,2.0,0.0,5.0,4.0,10.0,9.0,1.0,16.0,7.0,41.0,8.0,29.0,17.0,139.0,30.0,13.0,26.0,18.0,49.0,12.0,6.0,28.0,3.0,65.0,83.0,15.0,337.0,133.0,50.0,22.0
107,9.0,4.0,1.0,45.0,12.0,6.0,0.0,79.0,3.0,31.0,50.0,5.0,7.0,352.0,15.0,106.0,76.0,34.0,202.0,43.0,16.0,118.0,44.0,85.0,176.0,30.0,54.0,141.0,302.0,279.0
156,4.0,0.0,16.0,2.0,8.0,3.0,1.0,111.0,9.0,12.0,79.0,11.0,7.0,416.0,275.0,33.0,56.0,13.0,58.0,19.0,14.0,21.0,18.0,110.0,1116.0,81.0,223.0,65.0,73.0,27.0
205,2.0,1.0,82.0,8.0,7.0,4.0,0.0,12.0,3.0,11.0,87.0,43.0,13.0,14.0,169.0,76.0,10.0,23.0,156.0,9.0,6.0,112.0,21.0,214.0,135.0,15.0,776.0,44.0,146.0,30.0
254,0.0,1.0,2.0,5.0,8.0,3.0,4.0,328.0,10.0,230.0,18.0,14.0,66.0,34.0,16.0,50.0,12.0,6.0,504.0,17.0,84.0,112.0,29.0,35.0,67.0,40.0,15.0,30.0,183.0,51.0
303,8.0,1.0,0.0,2.0,10.0,3.0,4.0,209.0,7.0,269.0,26.0,192.0,21.0,5.0,129.0,166.0,34.0,108.0,49.0,53.0,186.0,40.0,51.0,27.0,1159.0,112.0,17.0,55.0,15.0,9.0
352,3.0,0.0,56.0,4.0,7.0,10.0,2.0,69.0,19.0,33.0,55.0,1.0,46.0,15.0,5.0,35.0,52.0,25.0,28.0,24.0,11.0,43.0,17.0,42.0,138.0,12.0,29.0,105.0,30.0,36.0
401,13.0,0.0,94.0,15.0,3.0,8.0,10.0,107.0,1.0,46.0,26.0,21.0,335.0,279.0,177.0,35.0,42.0,28.0,5.0,149.0,23.0,6.0,133.0,93.0,20.0,7.0,157.0,32.0,58.0,12.0
450,4.0,2.0,6.0,5.0,8.0,3.0,0.0,68.0,9.0,56.0,37.0,148.0,10.0,22.0,26.0,11.0,15.0,54.0,557.0,12.0,1.0,20.0,92.0,47.0,174.0,72.0,7.0,67.0,176.0,31.0
