,MSH6,GAPDH,HSP70,P-Cadherin,Porin,Rb_pS807_S811,PI3K-p85,Cyclin_D1,Gab2,Bcl-2,AR,C-Raf_pS338,Claudin-7,FoxM1,Chk1_pS345,ADAR1,CDK1,Cyclin_E2,Rb,Caspase-7_cleavedD198,TIGAR,p90RSK_pT573,Chk2,CD31,TSC1,Beclin,PKC-alpha,Syk,GSK-3-BETA,RAD51
3,0.0,8.0,15.0,1.0,9.0,6.0,4.0,13.0,119.0,5.0,28.0,2.0,3.0,12.0,11.0,24.0,36.0,29.0,22.0,30.0,39.0,14.0,92.0,26.0,16.0,17.0,33.0,35.0,118.0,7.0
52,1.0,3.0,15.0,0.0,10.0,11.0,4.0,17.0,125.0,6.0,29.0,8.0,2.0,9.0,41.0,40.0,94.0,22.0,39.0,23.0,65.0,5.0,7.0,28.0,16.0,32.0,21.0,12.0,19.0,76.0
101,3.0,0.0,12.0,2.0,20.0,13.0,1.0,107.0,30.0,5.0,99.0,11.0,6.0,9.0,10.0,25.0,34.0,35.0,19.0,18.0,24.0,4.0,85.0,37.0,16.0,95.0,22.0,28.0,118.0,21.0
150,0.0,4.0,1.0,5.0,2.0,27.0,17.0,12.0,9.0,8.0,24.0,7.0,3.0,6.0,13.0,15.0,31.0,21.0,22.0,39.0,28.0,10.0,26.0,23.0,53.0,16.0,41.0,36.0,116.0,33.0
199,2.0,0.0,5.0,1.0,8.0,6.0,7.0,20.0,12.0,4.0,19.0,33.0,10.0,3.0,94.0,99.0,37.0,18.0,9.0,30.0,17.0,16.0,23.0,86.0,21.0,29.0,27.0,39.0,14.0,35.0
248,4.0,5.0,1.0,2.0,14.0,16.0,9.0,33.0,13.0,11.0,15.0,8.0,3.0,6.0,7.0,98.0,35.0,92.0,39.0,0.0,31.0,12.0,25.0,38.0,20.0,10.0,82.0,62.0,29.0,21.0
297,1.0,16.0,4.0,0.0,5.0,11.0,3.0,14.0,6.0,13.0,9.0,35.0,2.0,30.0,8.0,103.0,98.0,130.0,19.0,10.0,40.0,18.0,7.0,87.0,29.0,39.0,21.0,60.0,129.0,65.0
346,0.0,13.0,2.0,1.0,14.0,17.0,3.0,12.0,33.0,11.0,6.0,28.0,21.0,15.0,18.0,19.0,90.0,20.0,5.0,8.0,61.0,7.0,10.0,92.0,16.0,104.0,54.0,31.0,35.0,40.0
395,1.0,4.0,7.0,0.0,5.0,2.0,9.0,11.0,19.0,3.0,10.0,14.0,18.0,6.0,13.0,24.0,85.0,121.0,15.0,8.0,78.0,17.0,107.0,33.0,16.0,21.0,31.0,74.0,26.0,20.0
444,5.0,1.0,0.0,6.0,4.0,23.0,2.0,17.0,123.0,7.0,9.0,3.0,88.0,11.0,14.0,104.0,29.0,36.0,31.0,30.0,24.0,10.0,12.0,92.0,41.0,97.0,13.0,19.0,15.0,18.0
493,3.0,4.0,16.0,1.0,14.0,6.0,5.0,7.0,2.0,8.0,10.0,0.0,29.0,119.0,20.0,12.0,9.0,13.0,17.0,85.0,15.0,55.0,21.0,18.0,11.0,27.0,80.0,28.0,26.0,19.0
542,0.0,1.0,3.0,7.0,6.0,4.0,5.0,8.0,24.0,13.0,9.0,10.0,2.0,11.0,35.0,16.0,22.0,25.0,17.0,110.0,29.0,80.0,31.0,20.0,12.0,36.0,15.0,14.0,21.0,32.0
591,0.0,10.0,14.0,4.0,7.0,1.0,16.0,3.0,8.0,5.0,11.0,15.0,20.0,18.0,95.0,2.0,25.0,24.0,17.0,84.0,13.0,34.0,30.0,12.0,9.0,93.0,74.0,28.0,115.0,23.0
640,0.0,23.0,5.0,6.0,9.0,3.0,15.0,4.0,17.0,12.0,1.0,2.0,13.0,19.0,105.0,8.0,26.0,11.0,24.0,83.0,14.0,27.0,16.0,82.0,54.0,91.0,72.0,55.0,7.0,10.0
689,1.0,21.0,0.0,15.0,14.0,7.0,2.0,4.0,13.0,6.0,3.0,5.0,12.0,117.0,16.0,11.0,17.0,31.0,8.0,86.0,26.0,32.0,96.0,18.0,24.0,94.0,29.0,57.0,120.0,23.0
738,0.0,10.0,6.0,12.0,13.0,1.0,4.0,7.0,15.0,2.0,8.0,11.0,3.0,9.0,5.0,16.0,20.0,29.0,17.0,95.0,18.0,80.0,31.0,23.0,22.0,25.0,74.0,26.0,127.0,14.0
787,0.0,4.0,18.0,12.0,19.0,1.0,8.0,5.0,21.0,16.0,2.0,7.0,11.0,24.0,10.0,3.0,15.0,126.0,22.0,28.0,17.0,36.0,13.0,108.0,57.0,91.0,30.0,9.0,14.0,26.0
836,7.0,5.0,17.0,27.0,11.0,14.0,2.0,6.0,25.0,4.0,1.0,0.0,18.0,10.0,26.0,3.0,12.0,34.0,13.0,96.0,31.0,52.0,20.0,22.0,29.0,23.0,16.0,58.0,15.0,28.0
885,0.0,15.0,1.0,9.0,21.0,12.0,4.0,6.0,10.0,2.0,11.0,3.0,18.0,28.0,20.0,8.0,5.0,7.0,68.0,83.0,22.0,33.0,110.0,17.0,14.0,92.0,25.0,27.0,113.0,63.0
934,0.0,5.0,3.0,1.0,8.0,11.0,12.0,6.0,15.0,2.0,13.0,4.0,27.0,7.0,97.0,20.0,22.0,32.0,62.0,86.0,31.0,30.0,18.0,17.0,26.0,29.0,9.0,25.0,10.0,64.0
983,0.0,2.0,7.0,4.0,6.0,16.0,27.0,10.0,15.0,25.0,87.0,13.0,8.0,14.0,18.0,20.0,9.0,1.0,44.0,26.0,5.0,29.0,21.0,11.0,122.0,81.0,63.0,17.0,112.0,74.0
1032,0.0,4.0,7.0,36.0,13.0,6.0,9.0,3.0,10.0,19.0,17.0,11.0,14.0,8.0,120.0,5.0,16.0,15.0,71.0,24.0,2.0,68.0,20.0,26.0,18.0,82.0,21.0,12.0,105.0,108.0
