,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
33,13719.0,104.0,13.0,1360.0,16.0,75.0,19.0,39.0,15.0,22.0,58.0,4.0,45.0,159.0,2347.0,84.0,51.0,60.0,122.0,135.0,130.0,77.0,14505.0,131.0,102.0,109.0,87.0,101.0,140.0,16512.0
82,13737.0,7.0,21477.0,57.0,13.0,73.0,94.0,60.0,52.0,22740.0,63.0,65.0,51.0,90.0,130.0,134.0,62.0,167.0,91.0,58.0,138.0,9381.0,14494.0,14469.0,117.0,121.0,21425.0,12119.0,112.0,16522.0
131,13732.0,34.0,21473.0,7.0,25.0,49.0,68.0,39.0,15.0,24.0,81.0,13719.0,80.0,72.0,19.0,17990.0,103.0,38.0,96.0,118.0,140.0,50.0,47.0,182.0,4178.0,167.0,134.0,12111.0,84.0,112.0
180,13728.0,42.0,96.0,6.0,18.0,22.0,3993.0,60.0,81.0,22737.0,3818.0,48.0,111.0,61.0,40.0,197.0,24.0,89.0,63.0,2699.0,70.0,37.0,14508.0,94.0,62.0,78.0,21421.0,12114.0,92.0,16514.0
229,4.0,123.0,21478.0,112.0,11.0,126.0,4001.0,69.0,64.0,50.0,29.0,35.0,73.0,16213.0,2342.0,82.0,10429.0,16573.0,92.0,184.0,180.0,108.0,122.0,114.0,4183.0,214.0,21426.0,56.0,83.0,16517.0
278,13739.0,27.0,21477.0,2.0,92.0,110.0,95.0,53.0,47.0,39.0,72.0,42.0,38.0,108.0,46.0,210.0,96.0,32.0,125.0,153.0,105.0,77.0,94.0,169.0,126.0,154.0,121.0,12120.0,97.0,127.0
327,13734.0,38.0,21461.0,1369.0,50.0,88.0,8.0,102.0,59.0,80.0,77.0,91.0,86.0,16207.0,29.0,18021.0,3.0,15.0,116.0,150.0,21545.0,56.0,14495.0,105.0,137.0,26.0,112.0,75.0,146.0,16509.0
376,13731.0,47.0,21474.0,1360.0,182.0,57.0,14.0,45.0,81.0,22739.0,24.0,30.0,76.0,16209.0,44.0,99.0,94.0,55.0,135.0,102.0,114.0,79.0,14489.0,151.0,41.0,91.0,124.0,73.0,75.0,134.0
425,5.0,112.0,21477.0,1358.0,93.0,139.0,3999.0,113.0,46.0,12.0,23.0,13723.0,118.0,116.0,28.0,166.0,37.0,96.0,161.0,121.0,64.0,76.0,124.0,65.0,42.0,186.0,143.0,57.0,18685.0,90.0
474,104.0,38.0,45.0,1369.0,17.0,55.0,3982.0,82.0,21.0,41.0,46.0,29.0,187.0,154.0,20.0,18006.0,107.0,138.0,100.0,86.0,128.0,63.0,14504.0,91.0,53.0,89.0,21415.0,119.0,159.0,118.0
523,13724.0,37.0,77.0,7.0,25.0,2285.0,3981.0,55.0,22276.0,22737.0,3828.0,17.0,127.0,18.0,27.0,83.0,45.0,16565.0,85.0,2688.0,54.0,9348.0,14506.0,115.0,4161.0,75.0,88.0,43.0,141.0,16511.0
572,7.0,59.0,71.0,2.0,25.0,2047.0,29.0,50.0,78.0,39.0,3812.0,23.0,34.0,74.0,37.0,18024.0,32.0,16562.0,115.0,2686.0,94.0,9391.0,87.0,86.0,4164.0,76.0,21416.0,12115.0,92.0,16509.0
621,36.0,26.0,121.0,1358.0,18.0,88.0,47.0,94.0,51.0,49.0,3818.0,24.0,141.0,99.0,66.0,59.0,28.0,16568.0,105.0,64.0,58.0,9374.0,93.0,70.0,4175.0,34.0,21420.0,31.0,132.0,87.0
670,9.0,11.0,47.0,1356.0,92.0,57.0,3969.0,48.0,20.0,44.0,31.0,13750.0,134.0,16205.0,56.0,39.0,96.0,104.0,123.0,98.0,88.0,141.0,83.0,110.0,3940.0,149.0,21414.0,113.0,18672.0,16510.0
719,17.0,18.0,21471.0,9.0,15.0,64.0,3973.0,32.0,60.0,81.0,3834.0,1.0,120.0,105.0,62.0,116.0,94.0,16573.0,63.0,76.0,92.0,9367.0,14503.0,136.0,16.0,144.0,21419.0,102.0,147.0,16510.0
768,44.0,23.0,71.0,11.0,15.0,63.0,64.0,41.0,133.0,57.0,3829.0,14.0,79.0,58.0,37.0,35.0,10.0,132.0,156.0,153.0,130.0,9369.0,56.0,106.0,4166.0,74.0,21419.0,181.0,18679.0,17.0
817,129.0,24.0,68.0,1356.0,84.0,77.0,3994.0,106.0,34.0,53.0,3822.0,27.0,73.0,22.0,16.0,52.0,88.0,17.0,76.0,2695.0,138.0,112.0,90.0,95.0,4174.0,78.0,111.0,80.0,160.0,15.0
866,3.0,95.0,21471.0,1363.0,119.0,47.0,40.0,54.0,98.0,109.0,3848.0,19.0,45.0,42.0,16.0,102.0,53.0,16566.0,138.0,104.0,84.0,51.0,58.0,125.0,4159.0,123.0,21419.0,12108.0,151.0,37.0
915,13735.0,30.0,72.0,20.0,102.0,76.0,45.0,61.0,17.0,74.0,73.0,58.0,92.0,16212.0,12.0,83.0,115.0,201.0,166.0,137.0,126.0,9359.0,15.0,111.0,60.0,152.0,21428.0,71.0,131.0,16515.0
964,11.0,34.0,40.0,1373.0,95.0,47.0,3982.0,25.0,19.0,71.0,76.0,115.0,150.0,17.0,68.0,89.0,53.0,16564.0,128.0,168.0,103.0,9371.0,35.0,184.0,4046.0,41.0,21419.0,145.0,123.0,154.0
1013,60.0,48.0,15.0,112.0,115.0,54.0,4001.0,90.0,140.0,43.0,44.0,88.0,10.0,166.0,2367.0,152.0,10429.0,16571.0,114.0,100.0,42.0,9401.0,29.0,160.0,68.0,19181.0,129.0,82.0,162.0,200.0
