,hsa-miR-584,hsa-miR-137,hsa-miR-155,hsa-miR-921,hsa-miR-541,hsa-miR-103,hsa-miR-15b,hsa-miR-223,hsa-miR-630,hsa-miR-330-3p,hsa-miR-642,hsa-miR-142-5p,hsa-miR-1293,hsa-miR-105,hsa-miR-934,hsa-miR-27b,hsa-miR-491-3p,hsa-miR-148b,hsa-miR-181c,hsa-miR-1245,hsa-miR-205,hsa-miR-301b,hsa-miR-1226,hsa-miR-601,hsa-miR-888,hsa-miR-762,hsa-miR-590-5p,hsa-miR-132,hsa-miR-125a-3p,hsa-miR-143
17,1.0,4.0,0.0,3.0,7.0,10.0,22.0,5.0,57.0,15.0,12.0,2.0,6.0,24.0,21.0,13.0,80.0,17.0,8.0,36.0,25.0,30.0,20.0,34.0,11.0,61.0,58.0,39.0,18.0,16.0
66,0.0,1.0,2.0,17.0,23.0,6.0,8.0,14.0,9.0,13.0,4.0,10.0,20.0,67.0,11.0,16.0,12.0,30.0,5.0,36.0,7.0,34.0,107.0,81.0,3.0,29.0,42.0,40.0,62.0,22.0
115,0.0,1.0,2.0,8.0,10.0,6.0,9.0,7.0,71.0,25.0,41.0,4.0,26.0,32.0,23.0,11.0,5.0,24.0,62.0,36.0,17.0,29.0,48.0,40.0,15.0,34.0,20.0,12.0,19.0,13.0
164,0.0,1.0,3.0,7.0,11.0,6.0,8.0,10.0,24.0,21.0,15.0,4.0,9.0,85.0,27.0,2.0,12.0,20.0,29.0,42.0,5.0,65.0,18.0,46.0,17.0,77.0,23.0,35.0,70.0,22.0
213,0.0,8.0,2.0,5.0,15.0,1.0,18.0,12.0,52.0,9.0,22.0,7.0,24.0,17.0,13.0,10.0,25.0,21.0,16.0,14.0,3.0,33.0,4.0,45.0,6.0,31.0,76.0,53.0,35.0,23.0
262,0.0,6.0,1.0,2.0,29.0,3.0,22.0,7.0,74.0,19.0,17.0,10.0,5.0,32.0,15.0,8.0,46.0,4.0,25.0,16.0,12.0,18.0,9.0,30.0,13.0,41.0,14.0,20.0,45.0,39.0
311,1.0,0.0,6.0,3.0,4.0,2.0,15.0,31.0,41.0,9.0,8.0,20.0,33.0,37.0,5.0,57.0,26.0,18.0,30.0,11.0,7.0,16.0,29.0,86.0,14.0,12.0,24.0,17.0,10.0,13.0
360,0.0,1.0,3.0,16.0,10.0,2.0,18.0,7.0,30.0,14.0,11.0,5.0,34.0,15.0,6.0,17.0,69.0,12.0,22.0,27.0,4.0,47.0,29.0,51.0,13.0,59.0,79.0,57.0,43.0,19.0
409,0.0,4.0,10.0,2.0,56.0,1.0,23.0,9.0,53.0,6.0,24.0,3.0,14.0,55.0,13.0,26.0,30.0,7.0,12.0,15.0,25.0,37.0,17.0,19.0,5.0,48.0,80.0,36.0,67.0,64.0
458,0.0,30.0,1.0,24.0,3.0,12.0,5.0,10.0,55.0,6.0,11.0,8.0,17.0,34.0,15.0,14.0,19.0,26.0,16.0,4.0,2.0,91.0,18.0,50.0,7.0,57.0,62.0,46.0,42.0,36.0
507,0.0,2.0,3.0,1.0,4.0,12.0,11.0,10.0,30.0,9.0,19.0,17.0,27.0,8.0,6.0,25.0,23.0,22.0,41.0,20.0,5.0,15.0,81.0,16.0,26.0,18.0,21.0,24.0,92.0,14.0
556,0.0,1.0,2.0,20.0,12.0,6.0,8.0,22.0,39.0,5.0,3.0,17.0,7.0,38.0,4.0,77.0,32.0,31.0,66.0,25.0,16.0,13.0,21.0,86.0,23.0,15.0,10.0,42.0,48.0,9.0
605,0.0,1.0,2.0,3.0,19.0,14.0,7.0,6.0,31.0,9.0,26.0,4.0,18.0,27.0,15.0,12.0,38.0,66.0,47.0,29.0,30.0,17.0,88.0,25.0,32.0,22.0,11.0,34.0,35.0,10.0
654,1.0,18.0,0.0,6.0,11.0,16.0,23.0,2.0,21.0,4.0,20.0,22.0,17.0,9.0,28.0,37.0,24.0,19.0,33.0,10.0,5.0,12.0,34.0,98.0,13.0,42.0,15.0,52.0,7.0,27.0
703,0.0,1.0,2.0,6.0,10.0,5.0,11.0,13.0,29.0,19.0,17.0,3.0,4.0,7.0,26.0,34.0,38.0,46.0,31.0,41.0,18.0,15.0,39.0,16.0,21.0,12.0,9.0,56.0,35.0,23.0
752,0.0,10.0,1.0,6.0,4.0,8.0,9.0,5.0,263.0,12.0,18.0,7.0,16.0,2.0,21.0,13.0,28.0,20.0,47.0,23.0,39.0,31.0,70.0,19.0,30.0,26.0,11.0,40.0,15.0,27.0
801,0.0,3.0,1.0,9.0,8.0,4.0,2.0,11.0,6.0,37.0,10.0,5.0,17.0,12.0,16.0,40.0,32.0,35.0,61.0,25.0,19.0,15.0,36.0,14.0,51.0,72.0,13.0,26.0,20.0,43.0
850,0.0,6.0,1.0,3.0,26.0,4.0,18.0,14.0,38.0,35.0,11.0,2.0,7.0,8.0,20.0,22.0,33.0,45.0,67.0,5.0,13.0,21.0,97.0,29.0,30.0,34.0,9.0,36.0,12.0,25.0
899,0.0,3.0,9.0,1.0,24.0,8.0,5.0,10.0,26.0,34.0,6.0,2.0,13.0,7.0,52.0,65.0,62.0,12.0,11.0,28.0,36.0,17.0,107.0,54.0,49.0,27.0,4.0,42.0,55.0,20.0
948,0.0,12.0,3.0,8.0,2.0,4.0,5.0,7.0,61.0,14.0,29.0,9.0,6.0,79.0,11.0,26.0,48.0,30.0,20.0,17.0,25.0,31.0,75.0,24.0,21.0,35.0,1.0,10.0,77.0,64.0
997,0.0,1.0,3.0,4.0,2.0,6.0,13.0,11.0,8.0,19.0,37.0,9.0,30.0,17.0,7.0,12.0,59.0,29.0,74.0,36.0,5.0,52.0,22.0,27.0,20.0,50.0,44.0,80.0,57.0,14.0
1046,0.0,4.0,8.0,3.0,2.0,5.0,10.0,9.0,40.0,24.0,15.0,1.0,53.0,6.0,12.0,35.0,18.0,16.0,38.0,13.0,51.0,48.0,29.0,33.0,14.0,44.0,19.0,61.0,37.0,25.0
1095,0.0,1.0,8.0,5.0,4.0,2.0,7.0,3.0,9.0,14.0,33.0,17.0,28.0,26.0,6.0,25.0,35.0,31.0,24.0,13.0,12.0,72.0,20.0,16.0,19.0,98.0,22.0,44.0,36.0,53.0
1144,0.0,13.0,10.0,1.0,2.0,3.0,14.0,7.0,8.0,44.0,17.0,9.0,25.0,11.0,49.0,5.0,88.0,75.0,18.0,23.0,28.0,70.0,24.0,38.0,35.0,43.0,40.0,30.0,54.0,36.0
1193,0.0,3.0,6.0,1.0,2.0,22.0,31.0,12.0,8.0,48.0,18.0,10.0,28.0,38.0,4.0,40.0,11.0,24.0,13.0,5.0,29.0,64.0,9.0,15.0,46.0,25.0,14.0,85.0,21.0,100.0
1242,0.0,6.0,8.0,3.0,2.0,5.0,11.0,12.0,20.0,47.0,38.0,1.0,14.0,25.0,9.0,26.0,21.0,24.0,10.0,13.0,4.0,46.0,29.0,18.0,16.0,83.0,23.0,384.0,15.0,37.0
