,hsa-miR-584,hsa-miR-921,hsa-miR-137,hsa-miR-155,hsa-miR-105,hsa-miR-330-3p,hsa-miR-642,hsa-miR-1293,hsa-miR-223,hsa-miR-491-3p,hsa-miR-1321,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-448,hsa-miR-934,hsa-miR-103,hsa-miR-541,hsa-miR-888,hsa-miR-556-3p,hsa-miR-630,hsa-miR-601,hsa-miR-762,hsa-miR-301b,hsa-miR-148b,hsa-miR-924,hsa-miR-181c,hsa-miR-1226,hsa-miR-383,kshv-miR-K12-2,hsa-miR-143
16,4.0,0.0,8.0,7.0,11.0,13.0,14.0,5.0,12.0,96.0,3.0,1.0,34.0,63.0,23.0,17.0,22.0,2.0,16.0,62.0,36.0,40.0,33.0,15.0,53.0,10.0,21.0,25.0,41.0,9.0
65,0.0,8.0,2.0,5.0,18.0,10.0,3.0,17.0,15.0,16.0,4.0,6.0,21.0,19.0,7.0,13.0,71.0,1.0,12.0,11.0,62.0,29.0,46.0,30.0,81.0,9.0,105.0,57.0,24.0,27.0
114,0.0,4.0,1.0,3.0,17.0,24.0,55.0,28.0,14.0,7.0,13.0,2.0,22.0,36.0,21.0,15.0,25.0,8.0,6.0,65.0,32.0,27.0,33.0,31.0,126.0,66.0,44.0,57.0,19.0,9.0
163,0.0,2.0,1.0,6.0,55.0,25.0,22.0,4.0,16.0,20.0,5.0,3.0,39.0,63.0,37.0,9.0,28.0,11.0,26.0,27.0,35.0,81.0,64.0,19.0,41.0,43.0,18.0,60.0,12.0,17.0
212,0.0,1.0,10.0,11.0,8.0,9.0,22.0,19.0,14.0,37.0,23.0,7.0,16.0,2.0,12.0,5.0,44.0,3.0,55.0,76.0,45.0,27.0,34.0,25.0,60.0,15.0,4.0,61.0,29.0,21.0
261,0.0,1.0,13.0,2.0,10.0,24.0,17.0,5.0,8.0,54.0,12.0,6.0,14.0,81.0,15.0,9.0,57.0,3.0,7.0,74.0,31.0,33.0,20.0,4.0,39.0,41.0,11.0,58.0,61.0,26.0
310,0.0,1.0,2.0,7.0,13.0,10.0,11.0,27.0,31.0,34.0,21.0,24.0,12.0,23.0,3.0,4.0,5.0,6.0,8.0,62.0,90.0,9.0,17.0,35.0,103.0,37.0,38.0,65.0,40.0,14.0
359,0.0,7.0,4.0,9.0,2.0,13.0,16.0,56.0,11.0,99.0,14.0,3.0,27.0,53.0,5.0,8.0,23.0,6.0,1.0,37.0,36.0,35.0,32.0,17.0,124.0,30.0,46.0,58.0,26.0,19.0
408,0.0,2.0,8.0,30.0,26.0,9.0,36.0,18.0,13.0,29.0,6.0,4.0,19.0,33.0,16.0,5.0,103.0,3.0,1.0,90.0,15.0,52.0,40.0,12.0,205.0,17.0,20.0,37.0,53.0,64.0
457,0.0,10.0,60.0,1.0,6.0,9.0,8.0,35.0,12.0,19.0,7.0,3.0,5.0,26.0,20.0,27.0,4.0,2.0,24.0,65.0,62.0,41.0,113.0,31.0,42.0,21.0,15.0,67.0,45.0,37.0
