, H2O2, JAK-STAT, TLR, PI3K_only, IL-1, Wnt, MAPK_only, MAPK_PI3K, TGFB, TNFa, VEGF
41,0.0,1.0,6.0,2.0,5.0,4.0,8.0,10.0,3.0,7.0,9.0
90,2.0,0.0,4.0,7.0,3.0,1.0,9.0,6.0,10.0,5.0,8.0
139,3.0,5.0,2.0,6.0,8.0,1.0,0.0,9.0,10.0,4.0,7.0
188,8.0,2.0,10.0,6.0,9.0,0.0,4.0,5.0,3.0,1.0,7.0
237,0.0,1.0,2.0,3.0,8.0,6.0,5.0,10.0,9.0,4.0,7.0
286,0.0,3.0,8.0,4.0,7.0,2.0,1.0,10.0,9.0,6.0,5.0
335,4.0,1.0,6.0,3.0,0.0,2.0,7.0,10.0,9.0,5.0,8.0
384,4.0,1.0,7.0,0.0,10.0,2.0,5.0,8.0,6.0,3.0,9.0
433,3.0,1.0,10.0,2.0,0.0,8.0,4.0,6.0,9.0,7.0,5.0
482,1.0,0.0,2.0,3.0,10.0,4.0,8.0,5.0,6.0,7.0,9.0
531,1.0,4.0,0.0,2.0,7.0,3.0,5.0,8.0,10.0,6.0,9.0
580,4.0,1.0,3.0,0.0,5.0,2.0,9.0,6.0,7.0,8.0,10.0
629,0.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,9.0,7.0,10.0
678,1.0,0.0,8.0,3.0,2.0,5.0,7.0,4.0,9.0,6.0,10.0
727,0.0,2.0,3.0,4.0,1.0,6.0,7.0,8.0,9.0,5.0,10.0
776,0.0,3.0,7.0,6.0,1.0,4.0,5.0,10.0,8.0,2.0,9.0
825,3.0,1.0,5.0,4.0,0.0,2.0,8.0,9.0,6.0,7.0,10.0
874,1.0,3.0,0.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
923,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,9.0,10.0
972,3.0,0.0,2.0,1.0,4.0,8.0,6.0,7.0,5.0,9.0,10.0
1021,0.0,2.0,7.0,5.0,8.0,4.0,6.0,10.0,1.0,3.0,9.0
1070,4.0,0.0,1.0,2.0,7.0,3.0,5.0,8.0,9.0,10.0,6.0
1119,1.0,3.0,8.0,6.0,9.0,0.0,5.0,7.0,2.0,10.0,4.0
1168,1.0,2.0,3.0,4.0,6.0,5.0,9.0,10.0,0.0,7.0,8.0
1217,4.0,1.0,6.0,2.0,9.0,3.0,5.0,7.0,0.0,10.0,8.0
1266,0.0,1.0,6.0,5.0,10.0,2.0,4.0,9.0,7.0,3.0,8.0
1315,1.0,2.0,0.0,7.0,9.0,3.0,10.0,6.0,4.0,5.0,8.0
1364,2.0,3.0,5.0,1.0,7.0,4.0,9.0,10.0,0.0,8.0,6.0
1413,1.0,5.0,6.0,7.0,0.0,4.0,3.0,9.0,8.0,2.0,10.0
1462,0.0,3.0,4.0,9.0,8.0,1.0,5.0,10.0,6.0,2.0,7.0
1511,1.0,5.0,2.0,0.0,4.0,3.0,6.0,8.0,10.0,7.0,9.0
1560,7.0,5.0,0.0,1.0,4.0,8.0,9.0,3.0,10.0,6.0,2.0
1609,1.0,3.0,0.0,4.0,2.0,5.0,10.0,6.0,8.0,7.0,9.0
1658,0.0,1.0,2.0,6.0,3.0,9.0,5.0,10.0,4.0,7.0,8.0
1707,1.0,6.0,0.0,2.0,5.0,4.0,8.0,7.0,9.0,10.0,3.0
1756,1.0,2.0,4.0,8.0,3.0,6.0,0.0,9.0,7.0,5.0,10.0
1805,8.0,1.0,0.0,5.0,3.0,7.0,9.0,4.0,6.0,2.0,10.0
1854,0.0,1.0,3.0,4.0,2.0,5.0,6.0,9.0,7.0,10.0,8.0
1903,1.0,3.0,6.0,0.0,2.0,7.0,5.0,8.0,10.0,9.0,4.0
1952,6.0,2.0,0.0,3.0,1.0,8.0,10.0,9.0,4.0,7.0,5.0
2001,3.0,1.0,8.0,10.0,6.0,0.0,4.0,7.0,9.0,2.0,5.0
2050,0.0,2.0,6.0,3.0,4.0,1.0,9.0,8.0,7.0,5.0,10.0
2099,1.0,2.0,4.0,0.0,6.0,3.0,7.0,10.0,5.0,8.0,9.0
2148,3.0,0.0,6.0,1.0,4.0,2.0,9.0,10.0,5.0,7.0,8.0
2197,1.0,0.0,4.0,2.0,8.0,3.0,9.0,5.0,6.0,7.0,10.0
2246,0.0,1.0,4.0,5.0,3.0,6.0,2.0,7.0,8.0,9.0,10.0
2295,0.0,1.0,3.0,8.0,6.0,4.0,2.0,7.0,9.0,10.0,5.0
2344,5.0,0.0,2.0,3.0,6.0,1.0,7.0,8.0,9.0,4.0,10.0
2393,3.0,0.0,4.0,6.0,5.0,1.0,2.0,10.0,9.0,7.0,8.0
2442,1.0,0.0,3.0,4.0,7.0,5.0,2.0,10.0,6.0,9.0,8.0
2491,4.0,5.0,2.0,7.0,0.0,3.0,6.0,1.0,9.0,10.0,8.0
2540,4.0,2.0,5.0,6.0,0.0,1.0,7.0,8.0,3.0,9.0,10.0
2589,6.0,0.0,2.0,1.0,8.0,5.0,3.0,9.0,4.0,7.0,10.0
2638,5.0,2.0,0.0,1.0,9.0,8.0,6.0,3.0,7.0,4.0,10.0
2687,6.0,1.0,4.0,2.0,0.0,3.0,5.0,7.0,9.0,8.0,10.0
2736,2.0,4.0,0.0,1.0,6.0,3.0,7.0,5.0,8.0,9.0,10.0
2785,7.0,0.0,2.0,4.0,5.0,1.0,8.0,9.0,3.0,10.0,6.0
2834,0.0,1.0,4.0,2.0,3.0,7.0,8.0,5.0,6.0,9.0,10.0
2883,2.0,0.0,4.0,1.0,3.0,9.0,5.0,10.0,6.0,7.0,8.0
2932,1.0,4.0,3.0,0.0,2.0,5.0,6.0,8.0,7.0,9.0,10.0
2981,5.0,2.0,6.0,4.0,7.0,1.0,3.0,8.0,10.0,9.0,0.0
3030,5.0,1.0,9.0,0.0,8.0,2.0,10.0,3.0,6.0,7.0,4.0
3079,3.0,1.0,9.0,10.0,4.0,6.0,7.0,8.0,2.0,5.0,0.0
3128,0.0,4.0,7.0,8.0,1.0,3.0,10.0,6.0,2.0,5.0,9.0
3177,1.0,0.0,6.0,4.0,10.0,3.0,5.0,8.0,2.0,9.0,7.0
3226,3.0,4.0,2.0,0.0,1.0,8.0,5.0,6.0,9.0,10.0,7.0
3275,3.0,2.0,8.0,6.0,4.0,1.0,5.0,7.0,10.0,9.0,0.0
3324,7.0,2.0,5.0,1.0,8.0,0.0,3.0,4.0,9.0,6.0,10.0
3373,3.0,4.0,6.0,0.0,9.0,2.0,8.0,5.0,10.0,7.0,1.0
3422,7.0,2.0,8.0,0.0,3.0,4.0,5.0,9.0,10.0,1.0,6.0
3471,0.0,1.0,7.0,4.0,2.0,9.0,3.0,10.0,8.0,6.0,5.0
3520,0.0,1.0,2.0,4.0,3.0,8.0,9.0,5.0,10.0,6.0,7.0
3569,0.0,1.0,4.0,5.0,10.0,9.0,2.0,7.0,8.0,6.0,3.0
3618,4.0,0.0,8.0,2.0,7.0,10.0,1.0,5.0,3.0,9.0,6.0
3667,0.0,1.0,7.0,4.0,3.0,8.0,9.0,6.0,2.0,5.0,10.0
3716,0.0,1.0,5.0,3.0,9.0,7.0,4.0,8.0,2.0,6.0,10.0
3765,0.0,1.0,8.0,2.0,7.0,5.0,4.0,9.0,3.0,10.0,6.0
3814,8.0,2.0,7.0,0.0,1.0,5.0,6.0,9.0,10.0,3.0,4.0
3863,1.0,2.0,7.0,8.0,6.0,5.0,10.0,3.0,0.0,9.0,4.0
3912,1.0,2.0,4.0,9.0,8.0,7.0,0.0,3.0,10.0,5.0,6.0
3961,7.0,0.0,4.0,1.0,8.0,2.0,9.0,10.0,5.0,6.0,3.0
4010,1.0,0.0,6.0,5.0,3.0,8.0,9.0,4.0,2.0,7.0,10.0
4059,2.0,1.0,8.0,0.0,6.0,5.0,3.0,7.0,10.0,4.0,9.0
4108,6.0,0.0,9.0,2.0,8.0,7.0,3.0,1.0,10.0,4.0,5.0
4157,6.0,1.0,0.0,4.0,7.0,5.0,8.0,3.0,9.0,2.0,10.0
4206,0.0,1.0,5.0,6.0,3.0,7.0,8.0,4.0,2.0,9.0,10.0
4255,2.0,0.0,5.0,6.0,3.0,9.0,1.0,4.0,7.0,10.0,8.0
4304,10.0,0.0,2.0,6.0,1.0,8.0,4.0,5.0,7.0,3.0,9.0
4353,8.0,2.0,4.0,5.0,0.0,10.0,9.0,3.0,6.0,1.0,7.0
4402,0.0,1.0,8.0,4.0,10.0,2.0,3.0,7.0,5.0,6.0,9.0
4451,2.0,5.0,7.0,1.0,0.0,6.0,8.0,3.0,9.0,10.0,4.0
4500,1.0,2.0,0.0,4.0,6.0,9.0,7.0,3.0,5.0,10.0,8.0
4549,4.0,1.0,8.0,2.0,0.0,10.0,5.0,7.0,9.0,6.0,3.0
4598,0.0,1.0,2.0,4.0,6.0,5.0,10.0,3.0,7.0,8.0,9.0
4647,0.0,7.0,2.0,5.0,6.0,10.0,4.0,1.0,8.0,9.0,3.0
