, H2O2, JAK-STAT, Wnt, TLR, PI3K_only, TNFa, VEGF, IL-1, MAPK_only, MAPK_PI3K, TGFB
40,0.0,1.0,4.0,3.0,9.0,10.0,2.0,7.0,8.0,6.0,5.0
89,2.0,0.0,7.0,5.0,1.0,9.0,4.0,6.0,3.0,10.0,8.0
138,6.0,1.0,4.0,0.0,5.0,2.0,3.0,9.0,7.0,8.0,10.0
187,1.0,2.0,6.0,4.0,7.0,0.0,5.0,10.0,3.0,8.0,9.0
236,3.0,1.0,0.0,10.0,5.0,2.0,4.0,6.0,9.0,7.0,8.0
285,2.0,0.0,5.0,4.0,7.0,3.0,1.0,9.0,6.0,8.0,10.0
334,1.0,0.0,6.0,3.0,2.0,5.0,4.0,8.0,7.0,9.0,10.0
383,4.0,1.0,0.0,6.0,2.0,3.0,10.0,8.0,7.0,9.0,5.0
432,3.0,0.0,6.0,1.0,2.0,5.0,8.0,7.0,9.0,4.0,10.0
481,2.0,0.0,5.0,1.0,6.0,8.0,4.0,10.0,7.0,9.0,3.0
530,5.0,2.0,1.0,3.0,4.0,0.0,8.0,6.0,9.0,7.0,10.0
579,3.0,1.0,5.0,7.0,0.0,6.0,2.0,4.0,10.0,8.0,9.0
628,1.0,4.0,3.0,2.0,0.0,9.0,5.0,6.0,8.0,7.0,10.0
677,5.0,3.0,4.0,2.0,7.0,0.0,1.0,6.0,8.0,9.0,10.0
726,0.0,1.0,3.0,6.0,2.0,7.0,4.0,5.0,9.0,10.0,8.0
775,3.0,0.0,2.0,8.0,1.0,4.0,5.0,6.0,9.0,7.0,10.0
824,2.0,3.0,1.0,4.0,0.0,5.0,10.0,7.0,6.0,8.0,9.0
873,0.0,2.0,3.0,5.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0
922,3.0,1.0,2.0,4.0,5.0,6.0,0.0,7.0,8.0,10.0,9.0
971,0.0,3.0,4.0,1.0,2.0,8.0,7.0,6.0,5.0,9.0,10.0
1020,0.0,1.0,5.0,2.0,6.0,4.0,7.0,8.0,9.0,3.0,10.0
1069,0.0,1.0,3.0,5.0,8.0,4.0,2.0,7.0,6.0,10.0,9.0
1118,0.0,1.0,4.0,6.0,5.0,2.0,7.0,8.0,9.0,3.0,10.0
1167,1.0,2.0,0.0,6.0,7.0,5.0,4.0,3.0,9.0,10.0,8.0
1216,3.0,1.0,6.0,10.0,2.0,0.0,7.0,8.0,9.0,4.0,5.0
1265,2.0,1.0,3.0,5.0,7.0,0.0,10.0,4.0,6.0,8.0,9.0
1314,3.0,0.0,1.0,10.0,5.0,2.0,7.0,6.0,8.0,4.0,9.0
1363,1.0,2.0,6.0,0.0,3.0,5.0,4.0,7.0,10.0,9.0,8.0
1412,1.0,0.0,3.0,6.0,4.0,2.0,7.0,8.0,9.0,5.0,10.0
1461,1.0,0.0,3.0,8.0,2.0,5.0,7.0,4.0,6.0,9.0,10.0
1510,2.0,0.0,6.0,3.0,1.0,7.0,9.0,4.0,5.0,8.0,10.0
1559,1.0,2.0,0.0,6.0,4.0,5.0,10.0,7.0,8.0,3.0,9.0
1608,1.0,3.0,4.0,2.0,0.0,5.0,6.0,9.0,7.0,10.0,8.0
1657,1.0,0.0,6.0,4.0,5.0,2.0,10.0,3.0,9.0,7.0,8.0
1706,5.0,1.0,4.0,0.0,2.0,6.0,8.0,7.0,3.0,9.0,10.0
1755,2.0,0.0,5.0,3.0,1.0,9.0,6.0,8.0,4.0,7.0,10.0
1804,1.0,5.0,2.0,7.0,9.0,0.0,4.0,8.0,6.0,3.0,10.0
1853,0.0,2.0,3.0,1.0,4.0,6.0,10.0,5.0,7.0,9.0,8.0
1902,1.0,2.0,8.0,0.0,5.0,6.0,9.0,7.0,3.0,4.0,10.0
1951,0.0,3.0,1.0,2.0,5.0,4.0,9.0,8.0,7.0,10.0,6.0
2000,8.0,1.0,0.0,10.0,9.0,5.0,2.0,6.0,7.0,4.0,3.0
2049,9.0,0.0,1.0,5.0,3.0,4.0,6.0,8.0,10.0,7.0,2.0
2098,7.0,0.0,1.0,2.0,3.0,5.0,4.0,6.0,10.0,8.0,9.0
2147,7.0,0.0,5.0,6.0,1.0,4.0,8.0,9.0,3.0,2.0,10.0
2196,3.0,0.0,1.0,2.0,9.0,4.0,6.0,8.0,10.0,5.0,7.0
2245,9.0,0.0,1.0,8.0,2.0,5.0,4.0,10.0,3.0,6.0,7.0
2294,2.0,0.0,1.0,4.0,5.0,3.0,6.0,8.0,9.0,7.0,10.0
2343,1.0,0.0,3.0,2.0,8.0,4.0,9.0,6.0,7.0,5.0,10.0
2392,10.0,0.0,1.0,5.0,6.0,4.0,2.0,3.0,8.0,9.0,7.0
2441,2.0,0.0,1.0,4.0,10.0,8.0,5.0,7.0,3.0,9.0,6.0
2490,0.0,1.0,6.0,2.0,4.0,10.0,7.0,3.0,9.0,5.0,8.0
2539,0.0,2.0,1.0,3.0,4.0,5.0,9.0,8.0,10.0,7.0,6.0
2588,2.0,0.0,3.0,1.0,6.0,7.0,8.0,5.0,4.0,9.0,10.0
2637,1.0,2.0,6.0,0.0,5.0,4.0,7.0,3.0,9.0,8.0,10.0
2686,0.0,2.0,9.0,3.0,1.0,6.0,5.0,4.0,7.0,8.0,10.0
2735,0.0,2.0,1.0,5.0,4.0,8.0,3.0,7.0,9.0,10.0,6.0
2784,0.0,1.0,3.0,4.0,6.0,9.0,5.0,2.0,7.0,10.0,8.0
2833,1.0,3.0,5.0,2.0,0.0,6.0,8.0,4.0,10.0,7.0,9.0
2882,0.0,3.0,8.0,1.0,6.0,2.0,9.0,5.0,10.0,4.0,7.0
2931,0.0,3.0,6.0,2.0,9.0,7.0,1.0,5.0,10.0,8.0,4.0
2980,1.0,3.0,4.0,2.0,0.0,5.0,6.0,8.0,7.0,9.0,10.0
3029,5.0,1.0,3.0,9.0,0.0,6.0,10.0,8.0,4.0,2.0,7.0
3078,1.0,3.0,2.0,4.0,0.0,7.0,6.0,10.0,5.0,8.0,9.0
3127,0.0,2.0,1.0,5.0,8.0,6.0,3.0,9.0,4.0,7.0,10.0
3176,1.0,0.0,2.0,4.0,3.0,7.0,5.0,8.0,9.0,10.0,6.0
3225,0.0,2.0,4.0,3.0,1.0,7.0,9.0,5.0,8.0,10.0,6.0
3274,2.0,3.0,1.0,5.0,0.0,8.0,6.0,10.0,7.0,9.0,4.0
3323,3.0,2.0,5.0,4.0,0.0,8.0,1.0,9.0,6.0,7.0,10.0
