,OR51A2_DEL,OR51A4_DEL,ACACB_MUT,NRXN1_DEL,ZBTB20_AMP,HLA-DRB1_AMP,HLA-DRB6_AMP,DST_MUT,TNK2_MUT,SIRPB1_AMP,HERC2P2_AMP,CTNNA2_MUT,USP32P2_DEL,CREBBP_MUT,APOBEC3A_B_DEL,SPEN_MUT,EP300_MUT,ZNF705G_AMP,JAK2_AMP,ACOT1_DEL,BTNL3_DEL,KIAA0125_AMP,HEATR4_DEL,BTNL8_DEL,MUSK_MUT,ADAM6_AMP,LINC00226_AMP,LRP1B_DEL,APBA1_AMP,FLNA_MUT
30,3.0,2.0,9.0,32.0,4.0,1.0,5.0,87.0,14.0,37.0,0.0,11.0,1039.0,49.0,21.0,12.0,52.0,514.0,56.0,340.0,7.0,20.0,339.0,8.0,477.0,40.0,65.0,33.0,278.0,54.0
79,1.0,0.0,8.0,22.0,2.0,5.0,6.0,36.0,16.0,48.0,3.0,21.0,60.0,28.0,17.0,47.0,27.0,971.0,70.0,264.0,24.0,7.0,455.0,15.0,266.0,11.0,899.0,196.0,274.0,63.0
128,4.0,3.0,5.0,17.0,11.0,1.0,0.0,8.0,24.0,23.0,2.0,16.0,271.0,42.0,71.0,9.0,10.0,25.0,80.0,13.0,377.0,48.0,21.0,700.0,130.0,132.0,251.0,175.0,519.0,60.0
177,0.0,1.0,5.0,37.0,3.0,11.0,12.0,13.0,14.0,23.0,2.0,6.0,296.0,24.0,25.0,10.0,7.0,94.0,136.0,47.0,8.0,21.0,85.0,15.0,119.0,64.0,354.0,20.0,1024.0,53.0
226,0.0,1.0,6.0,26.0,3.0,5.0,4.0,23.0,18.0,85.0,2.0,14.0,129.0,47.0,10.0,8.0,25.0,270.0,130.0,89.0,20.0,22.0,120.0,19.0,124.0,56.0,292.0,11.0,896.0,50.0
275,0.0,4.0,9.0,46.0,7.0,2.0,1.0,8.0,16.0,5188.0,6.0,10.0,919.0,81.0,13.0,15.0,33.0,11523.0,158.0,394.0,28.0,21.0,846.0,20.0,103.0,37.0,164.0,53.0,245.0,48.0
324,2.0,4.0,26.0,3231.0,0.0,22.0,13.0,40.0,6.0,54.0,8.0,48.0,15.0,46.0,23.0,202.0,11.0,1099.0,368.0,240.0,3.0,114.0,573.0,5.0,65.0,141.0,80.0,19.0,208.0,183.0
373,0.0,1.0,7.0,55.0,2.0,13.0,6.0,28.0,14.0,52.0,3.0,8.0,149.0,24.0,11.0,57.0,17.0,513.0,116.0,86.0,26.0,5.0,155.0,49.0,190.0,9.0,56.0,21.0,447.0,97.0
422,1.0,0.0,5.0,8.0,4.0,14.0,27.0,13.0,92.0,33.0,2.0,6.0,193.0,106.0,94.0,7.0,15.0,236.0,42.0,1342.0,24.0,16.0,2943.0,23.0,218.0,71.0,108.0,40.0,215.0,211.0
471,0.0,1.0,14.0,13.0,2.0,4.0,8.0,28.0,31.0,157.0,3.0,21.0,46.0,7.0,23.0,20.0,61.0,591.0,116.0,9336.0,10.0,18.0,14851.0,12.0,219.0,27.0,183.0,165.0,378.0,35.0
520,1.0,10.0,19.0,47.0,15.0,13.0,12.0,11.0,14.0,0.0,302.0,96.0,3.0,61.0,16.0,45.0,33.0,41.0,34.0,27.0,164.0,29.0,36.0,26.0,25.0,35.0,9.0,42.0,144.0,137.0
569,0.0,1.0,8.0,15.0,2.0,6.0,7.0,13.0,4.0,19.0,22.0,32.0,26.0,51.0,33.0,116.0,3.0,25.0,45.0,53.0,226.0,14.0,85.0,84.0,9.0,12.0,27.0,34.0,62.0,69.0
618,2.0,0.0,7.0,26.0,8.0,3.0,4.0,31.0,14.0,15.0,75.0,150.0,17.0,36.0,16.0,33.0,1.0,28.0,23.0,6.0,106.0,10.0,5.0,67.0,25.0,11.0,258.0,112.0,59.0,137.0
667,2.0,0.0,10.0,8.0,4.0,67.0,127.0,109.0,40.0,3.0,106.0,92.0,1.0,49.0,43.0,125.0,5.0,9.0,12.0,215.0,139.0,70.0,319.0,34.0,17.0,73.0,6.0,13.0,30.0,135.0
716,4.0,0.0,3.0,49.0,8.0,5.0,10.0,24.0,6.0,1.0,16.0,30.0,7.0,17.0,38.0,23.0,2.0,31.0,42.0,41.0,48.0,85.0,67.0,20.0,13.0,80.0,57.0,9.0,32.0,45.0
765,2.0,7.0,15.0,176.0,0.0,18.0,19.0,4.0,5.0,9.0,10.0,84.0,67.0,177.0,13.0,72.0,8.0,334.0,11.0,442.0,158.0,1.0,304.0,32.0,58.0,3.0,12.0,21.0,548.0,36.0
814,0.0,10.0,6.0,2.0,5.0,8.0,7.0,16.0,31.0,9.0,17.0,38.0,39.0,28.0,15.0,108.0,1.0,97.0,23.0,37.0,158.0,236.0,52.0,115.0,3.0,243.0,153.0,4.0,36.0,628.0
863,20.0,25.0,14.0,91.0,37.0,0.0,1.0,22.0,6.0,3.0,13.0,31.0,2.0,17.0,24.0,245.0,5.0,4.0,12.0,23.0,32.0,51.0,35.0,7.0,11.0,59.0,40.0,8.0,66.0,47.0
912,1.0,5.0,4.0,30.0,2.0,20.0,23.0,21.0,10.0,0.0,53.0,40.0,8.0,49.0,25.0,64.0,12.0,11.0,26.0,3.0,54.0,18.0,6.0,14.0,13.0,19.0,27.0,22.0,74.0,52.0
961,4.0,6.0,7.0,14.0,0.0,12.0,18.0,117.0,15.0,1.0,21.0,22.0,3.0,35.0,30.0,242.0,5.0,37.0,20.0,32.0,23.0,16.0,46.0,9.0,27.0,11.0,24.0,10.0,148.0,70.0
1010,0.0,1.0,3.0,7.0,10.0,27.0,51.0,11.0,22.0,5.0,2.0,6.0,57.0,67.0,24.0,23.0,40.0,41.0,16.0,8.0,307.0,17.0,9.0,463.0,15.0,12.0,13.0,35.0,20.0,14.0
1059,4.0,2.0,8.0,3.0,1.0,12.0,18.0,153.0,11.0,34.0,0.0,17.0,16.0,9.0,29.0,19.0,48.0,5.0,13.0,62.0,69.0,49.0,43.0,61.0,22.0,36.0,37.0,135.0,39.0,10.0
1108,1.0,0.0,3.0,6.0,13.0,16.0,7.0,26.0,20.0,2.0,4.0,38.0,82.0,8.0,77.0,18.0,25.0,11.0,10.0,14.0,807.0,22.0,19.0,256.0,21.0,17.0,34.0,309.0,15.0,29.0
1157,0.0,1.0,6.0,2.0,5.0,57.0,81.0,8.0,15.0,33.0,23.0,70.0,77.0,13.0,18.0,35.0,11.0,3.0,14.0,29.0,42.0,7.0,24.0,92.0,54.0,4.0,60.0,1218.0,21.0,9.0
1206,1.0,0.0,6.0,4.0,5.0,8.0,15.0,33.0,9.0,3.0,2.0,23.0,16.0,10.0,906.0,14.0,26.0,12.0,11.0,22.0,66.0,7.0,20.0,59.0,49.0,21.0,969.0,212.0,44.0,13.0
1255,1.0,0.0,5.0,8.0,17.0,56.0,117.0,23.0,14.0,2.0,3.0,9.0,29.0,13.0,90.0,12.0,15.0,18.0,126.0,26.0,1289.0,156.0,35.0,367.0,19.0,174.0,6.0,27.0,22.0,11.0
1304,0.0,1.0,3.0,8.0,12.0,59.0,47.0,15.0,9.0,37.0,2.0,11.0,76.0,5.0,30.0,18.0,4.0,53.0,55.0,29.0,460.0,97.0,28.0,408.0,298.0,69.0,103.0,17.0,367.0,10.0
1353,1.0,0.0,5.0,2.0,4.0,17.0,58.0,22.0,23.0,6.0,3.0,10.0,33.0,12.0,30.0,8.0,32.0,7.0,13.0,131.0,20.0,14.0,113.0,21.0,43.0,9.0,68.0,473.0,19.0,34.0
1402,1.0,0.0,4.0,3.0,43.0,25.0,33.0,10.0,41.0,9.0,2.0,24.0,28.0,5.0,50.0,12.0,7.0,17.0,78.0,84.0,81.0,34.0,132.0,75.0,26.0,22.0,14.0,27.0,32.0,13.0
1451,0.0,2.0,13.0,12.0,11.0,97.0,150.0,16.0,9.0,1.0,18.0,69.0,15.0,86.0,46.0,22.0,4.0,3.0,21.0,7.0,103.0,32.0,5.0,90.0,20.0,27.0,59.0,207.0,54.0,36.0
1500,0.0,2.0,3.0,6.0,217.0,10.0,13.0,14.0,11.0,22.0,36.0,19.0,21.0,23.0,5.0,8.0,7.0,1.0,99.0,20.0,46.0,16.0,17.0,34.0,53.0,12.0,4.0,15.0,74.0,37.0
1549,0.0,1.0,3.0,6.0,4.0,14.0,22.0,21.0,13.0,2.0,20.0,12.0,39.0,17.0,74.0,8.0,11.0,16.0,31.0,9.0,10.0,48.0,7.0,5.0,28.0,83.0,329.0,23.0,34.0,46.0
1598,0.0,1.0,5.0,3.0,24.0,22.0,12.0,18.0,10.0,2.0,17.0,8.0,26.0,29.0,16.0,6.0,11.0,4.0,96.0,73.0,7.0,15.0,60.0,9.0,63.0,13.0,21.0,19.0,42.0,45.0
1647,0.0,2.0,4.0,10.0,12.0,1.0,3.0,13.0,9.0,6.0,7.0,14.0,28.0,78.0,24.0,40.0,43.0,8.0,42.0,16.0,22.0,18.0,19.0,5.0,67.0,21.0,62.0,34.0,65.0,36.0
1696,2.0,22.0,12.0,7.0,10.0,25.0,38.0,27.0,9.0,1.0,0.0,15.0,14.0,74.0,11.0,21.0,19.0,18.0,37.0,36.0,4.0,269.0,29.0,3.0,24.0,248.0,52.0,17.0,85.0,92.0
1745,0.0,1.0,6.0,42.0,11.0,23.0,71.0,19.0,18.0,7.0,17.0,9.0,5.0,27.0,12.0,2.0,13.0,15.0,244.0,55.0,4.0,2284.0,85.0,3.0,37.0,681.0,80.0,16.0,39.0,28.0
1794,0.0,4.0,14.0,7.0,9.0,17.0,19.0,8.0,31.0,118.0,5.0,10.0,18.0,21.0,6.0,20.0,15.0,1.0,40.0,30.0,3.0,12.0,38.0,2.0,47.0,11.0,184.0,13.0,114.0,127.0
1843,0.0,1.0,3.0,2.0,11.0,7.0,17.0,4.0,18.0,10.0,5.0,9.0,14.0,46.0,13.0,32.0,19.0,6.0,38.0,16.0,68.0,103.0,15.0,101.0,28.0,91.0,62.0,27.0,53.0,73.0
1892,1.0,2.0,3.0,11.0,10.0,20.0,36.0,75.0,15.0,16.0,0.0,14.0,6.0,17.0,35.0,13.0,12.0,4.0,61.0,332.0,5.0,387.0,352.0,7.0,31.0,203.0,19.0,8.0,92.0,25.0
1941,0.0,12.0,14.0,25.0,9.0,35.0,56.0,8.0,11.0,16.0,3.0,6.0,15.0,62.0,2.0,7.0,10.0,21.0,38.0,488.0,5.0,17.0,453.0,1.0,133.0,13.0,30.0,18.0,770.0,74.0
1990,7.0,2.0,8.0,1.0,12.0,32.0,14.0,17.0,24.0,16.0,0.0,20.0,6.0,18.0,21.0,31.0,43.0,11.0,19.0,60.0,118.0,147.0,61.0,112.0,4.0,128.0,3.0,98.0,25.0,136.0
2039,8.0,3.0,57.0,48.0,0.0,5.0,7.0,28.0,9.0,1.0,11.0,114.0,23.0,34.0,41.0,400.0,39.0,12.0,13.0,17.0,243.0,487.0,20.0,86.0,10.0,833.0,4.0,224.0,19.0,597.0
2088,15.0,5.0,10.0,12.0,4.0,2.0,1.0,9.0,7.0,314.0,8.0,23.0,14.0,17.0,43.0,24.0,13.0,22.0,155.0,190.0,135.0,228.0,317.0,114.0,6.0,187.0,3.0,35.0,18.0,47.0
2137,1.0,0.0,25.0,9.0,4.0,22.0,21.0,23.0,7.0,5.0,3.0,6.0,12.0,15.0,186.0,58.0,32.0,20.0,24.0,567.0,18.0,48.0,937.0,10.0,16.0,39.0,2.0,19.0,35.0,55.0
2186,1.0,0.0,30.0,4.0,12.0,9.0,11.0,55.0,15.0,20.0,8.0,5.0,14.0,17.0,45.0,28.0,116.0,3.0,25.0,106.0,7.0,46.0,114.0,6.0,21.0,40.0,2.0,111.0,38.0,22.0
2235,2.0,0.0,27.0,4.0,1.0,5.0,9.0,45.0,11.0,63.0,10.0,51.0,17.0,24.0,14.0,20.0,25.0,3.0,12.0,32.0,341.0,237.0,16.0,327.0,13.0,253.0,8.0,998.0,31.0,55.0
2284,3.0,0.0,19.0,34.0,2.0,25.0,23.0,38.0,7.0,18.0,1.0,14.0,16.0,17.0,103.0,90.0,31.0,12.0,15.0,44.0,5.0,21.0,48.0,10.0,513.0,6.0,4.0,92.0,124.0,52.0
2333,1.0,0.0,36.0,10.0,2.0,5.0,6.0,50.0,15.0,42.0,4.0,7.0,14.0,56.0,29.0,55.0,17.0,314.0,9.0,182.0,31.0,107.0,164.0,21.0,11.0,146.0,20.0,138.0,12.0,139.0
2382,10.0,3.0,17.0,11.0,9.0,0.0,1.0,16.0,12.0,95.0,7.0,8.0,4.0,64.0,31.0,29.0,58.0,5.0,20.0,5589.0,42.0,538.0,5778.0,15.0,26.0,547.0,6.0,79.0,78.0,14.0
2431,3.0,0.0,26.0,4.0,1.0,8.0,10.0,9.0,22.0,20.0,7.0,15.0,49.0,36.0,24.0,32.0,76.0,17.0,13.0,138.0,11.0,57.0,174.0,18.0,12.0,60.0,2.0,231.0,16.0,59.0
2480,1.0,6.0,7.0,2.0,9.0,12.0,27.0,4.0,14.0,13.0,259.0,19.0,76.0,3.0,0.0,47.0,26.0,80.0,31.0,57.0,205.0,72.0,40.0,143.0,37.0,54.0,11.0,51.0,34.0,29.0
2529,1.0,2.0,11.0,9.0,3.0,7.0,12.0,0.0,15.0,5.0,121.0,16.0,733.0,13.0,10.0,91.0,95.0,2769.0,18.0,83.0,74.0,8.0,88.0,43.0,37.0,6.0,4.0,216.0,33.0,31.0
2578,0.0,8.0,2.0,4.0,11.0,3.0,12.0,9.0,15.0,1.0,65.0,35.0,22.0,21.0,14.0,40.0,43.0,157.0,18.0,227.0,110.0,7.0,244.0,90.0,72.0,6.0,27.0,33.0,42.0,45.0
2627,3.0,0.0,13.0,2.0,1.0,6.0,8.0,4.0,15.0,7.0,29.0,28.0,23.0,5.0,22.0,49.0,132.0,177.0,19.0,184.0,12.0,9.0,276.0,16.0,64.0,17.0,73.0,71.0,34.0,26.0
2676,7.0,10.0,6.0,9.0,101.0,4.0,1.0,5.0,15.0,0.0,81.0,48.0,16.0,2.0,8.0,354.0,28.0,274.0,44.0,27.0,334.0,36.0,32.0,729.0,63.0,26.0,3.0,197.0,18.0,17.0
2725,4.0,3.0,16.0,22.0,9.0,11.0,14.0,2.0,7.0,25.0,0.0,195.0,59.0,5.0,13.0,30.0,36.0,243.0,42.0,3673.0,28.0,6.0,2850.0,24.0,550.0,1.0,32.0,1221.0,434.0,17.0
2774,0.0,1.0,11.0,4.0,6.0,2.0,5.0,12.0,21.0,3.0,441.0,80.0,56.0,19.0,7.0,204.0,20.0,122.0,14.0,24.0,16.0,25.0,32.0,8.0,13.0,27.0,37.0,140.0,33.0,264.0
2823,2.0,0.0,16.0,4.0,5.0,26.0,63.0,13.0,23.0,1.0,58.0,17.0,11.0,7.0,8.0,36.0,55.0,345.0,20.0,458.0,19.0,15.0,482.0,14.0,67.0,18.0,3.0,78.0,29.0,9.0
2872,1.0,3.0,5.0,6.0,10.0,0.0,2.0,9.0,15.0,11.0,20.0,22.0,80.0,7.0,14.0,29.0,31.0,296.0,19.0,77.0,65.0,8.0,78.0,96.0,43.0,4.0,13.0,52.0,36.0,21.0
2921,0.0,1.0,17.0,6.0,3.0,2.0,7.0,26.0,32.0,11.0,4.0,9.0,15.0,8.0,10.0,52.0,64.0,99.0,13.0,69.0,12.0,45.0,77.0,16.0,30.0,18.0,146.0,40.0,23.0,98.0
2970,0.0,1.0,10.0,31.0,21.0,14.0,4.0,29.0,5.0,8.0,1286.0,46.0,6.0,148.0,27.0,66.0,79.0,215.0,43.0,9.0,258.0,3.0,12.0,183.0,11.0,2.0,13.0,19.0,41.0,98.0
3019,0.0,1.0,3.0,2.0,7.0,13.0,5.0,19.0,10.0,11.0,6.0,16.0,4.0,12.0,35.0,39.0,42.0,28.0,21.0,20.0,133.0,187.0,25.0,122.0,38.0,154.0,224.0,71.0,26.0,32.0
3068,0.0,2.0,7.0,1.0,12.0,4.0,3.0,20.0,22.0,30.0,611.0,11.0,5.0,17.0,6.0,9.0,248.0,111.0,39.0,14.0,378.0,140.0,19.0,220.0,35.0,207.0,289.0,54.0,16.0,26.0
3117,0.0,1.0,4.0,2.0,15.0,16.0,9.0,7.0,17.0,11.0,12.0,10.0,8.0,13.0,5.0,19.0,99.0,56.0,21.0,6.0,511.0,144.0,3.0,525.0,24.0,85.0,46.0,29.0,23.0,34.0
3166,0.0,1.0,5.0,9.0,11.0,3.0,2.0,7.0,26.0,10.0,129.0,13.0,4.0,17.0,28.0,77.0,25.0,178.0,30.0,12.0,213.0,309.0,15.0,109.0,42.0,138.0,62.0,95.0,39.0,40.0
3215,0.0,2.0,1.0,9.0,171.0,10.0,4.0,6.0,13.0,29.0,106.0,25.0,3.0,8.0,28.0,5.0,12.0,23.0,91.0,14.0,243.0,3071.0,20.0,128.0,21.0,3243.0,212.0,56.0,24.0,17.0
3264,0.0,1.0,7.0,8.0,4.0,10.0,9.0,35.0,5.0,21.0,571.0,15.0,2.0,11.0,39.0,22.0,136.0,27.0,18.0,25.0,70.0,139.0,32.0,71.0,38.0,127.0,104.0,37.0,19.0,16.0
3313,1.0,0.0,4.0,3.0,6.0,57.0,28.0,8.0,11.0,85.0,14.0,27.0,9.0,2.0,54.0,5.0,192.0,59.0,24.0,131.0,10.0,42.0,201.0,19.0,142.0,36.0,74.0,89.0,194.0,56.0
3362,0.0,1.0,7.0,6.0,11.0,3.0,2.0,44.0,16.0,57.0,96.0,10.0,4.0,17.0,23.0,5.0,25.0,45.0,27.0,9.0,31.0,43.0,8.0,35.0,15.0,64.0,351.0,21.0,24.0,164.0
3411,0.0,1.0,5.0,4.0,74.0,7.0,6.0,14.0,23.0,47.0,152.0,46.0,26.0,9.0,21.0,8.0,16.0,11.0,13.0,2.0,175.0,466.0,3.0,371.0,35.0,396.0,3354.0,86.0,41.0,49.0
3460,2.0,0.0,6.0,8.0,84.0,3.0,4.0,1.0,28.0,12.0,99.0,22.0,10.0,5.0,50.0,9.0,27.0,48.0,60.0,18.0,25.0,33.0,26.0,20.0,21.0,39.0,7.0,59.0,37.0,40.0
3509,0.0,1.0,11.0,6.0,10.0,5.0,7.0,25.0,16.0,22.0,47.0,42.0,45.0,32.0,43.0,29.0,13.0,15.0,21.0,2.0,28.0,12.0,3.0,23.0,17.0,18.0,14.0,27.0,50.0,341.0
3558,0.0,5.0,6.0,4.0,130.0,17.0,8.0,15.0,14.0,20.0,88.0,19.0,1.0,13.0,26.0,9.0,43.0,12.0,27.0,7.0,38.0,2.0,10.0,34.0,22.0,3.0,16.0,25.0,53.0,93.0
3607,0.0,1.0,2.0,5.0,175.0,7.0,8.0,12.0,24.0,23.0,492.0,10.0,90.0,21.0,52.0,6.0,13.0,14.0,15.0,3.0,26.0,172.0,4.0,17.0,16.0,187.0,136.0,64.0,27.0,56.0
3656,2.0,0.0,1.0,3.0,20.0,5.0,7.0,25.0,23.0,211.0,10.0,15.0,73.0,9.0,18.0,6.0,11.0,4.0,21.0,12.0,19.0,22.0,8.0,14.0,44.0,13.0,65.0,248.0,31.0,42.0
3705,0.0,1.0,4.0,10.0,169.0,2.0,16.0,7.0,8.0,40.0,118.0,6.0,32.0,36.0,101.0,31.0,75.0,3.0,21.0,11.0,26.0,22.0,14.0,46.0,33.0,27.0,5.0,20.0,18.0,57.0
3754,0.0,1.0,3.0,2.0,12.0,33.0,38.0,22.0,21.0,13.0,11.0,18.0,51.0,7.0,14.0,5.0,32.0,10.0,9.0,4.0,15.0,88.0,6.0,19.0,23.0,67.0,117.0,50.0,20.0,68.0
3803,0.0,1.0,6.0,4.0,117.0,2.0,3.0,30.0,49.0,80.0,10.0,15.0,454.0,11.0,18.0,7.0,5.0,39.0,21.0,8.0,95.0,19.0,9.0,53.0,13.0,24.0,60.0,58.0,17.0,250.0
3852,1.0,0.0,8.0,5.0,38.0,80.0,72.0,15.0,51.0,54.0,4.0,7.0,44.0,6.0,111.0,10.0,17.0,16.0,12.0,184.0,3.0,14.0,256.0,2.0,283.0,13.0,9.0,29.0,181.0,214.0
3901,0.0,1.0,3.0,2.0,5.0,8.0,11.0,15.0,46.0,23.0,59.0,13.0,38.0,9.0,61.0,6.0,21.0,10.0,17.0,16.0,20.0,25.0,18.0,7.0,24.0,41.0,117.0,48.0,37.0,111.0
