,OR51A2_DEL,OR51A4_DEL,NRXN1_DEL,HLA-DRB1_AMP,ACACB_MUT,HLA-DRB6_AMP,ZBTB20_AMP,USP32P2_DEL,TNK2_MUT,DST_MUT,CTNNA2_MUT,SPEN_MUT,HERC2P2_AMP,SIRPB1_AMP,CREBBP_MUT,APOBEC3A_B_DEL,ZNF705G_AMP,KIAA0125_AMP,EP300_MUT,BTNL3_DEL,BTNL8_DEL,JAK2_AMP,LRP1B_DEL,ADAM6_AMP,ACOT1_DEL,MUSK_MUT,HEATR4_DEL,MIR548AI_AMP,FHIT_DEL,FLNA_MUT
29,2.0,3.0,29.0,0.0,9.0,7.0,4.0,384.0,14.0,129.0,11.0,12.0,1.0,80.0,49.0,26.0,498.0,20.0,46.0,5.0,6.0,63.0,30.0,32.0,402.0,478.0,403.0,85.0,61.0,43.0
78,0.0,1.0,19.0,3.0,8.0,6.0,2.0,50.0,18.0,40.0,20.0,37.0,5.0,81.0,35.0,24.0,796.0,7.0,26.0,15.0,11.0,84.0,114.0,9.0,258.0,248.0,365.0,59.0,202.0,64.0
127,2.0,4.0,11.0,0.0,5.0,1.0,12.0,201.0,24.0,9.0,15.0,6.0,3.0,43.0,33.0,68.0,21.0,29.0,7.0,254.0,420.0,83.0,134.0,91.0,17.0,125.0,25.0,88.0,917.0,66.0
176,0.0,2.0,26.0,10.0,5.0,12.0,1.0,208.0,19.0,20.0,6.0,8.0,3.0,47.0,25.0,29.0,79.0,13.0,7.0,9.0,11.0,154.0,14.0,38.0,56.0,106.0,87.0,63.0,39.0,52.0
225,0.0,1.0,20.0,4.0,6.0,5.0,3.0,121.0,22.0,32.0,11.0,8.0,2.0,172.0,49.0,12.0,246.0,19.0,21.0,18.0,15.0,134.0,9.0,40.0,85.0,113.0,124.0,90.0,39.0,51.0
274,2.0,6.0,37.0,0.0,7.0,1.0,5.0,611.0,22.0,10.0,9.0,11.0,8.0,12140.0,87.0,14.0,11758.0,20.0,31.0,16.0,12.0,167.0,34.0,28.0,319.0,112.0,582.0,65.0,56.0,44.0
323,4.0,6.0,2782.0,19.0,24.0,13.0,0.0,18.0,5.0,41.0,38.0,133.0,10.0,118.0,44.0,35.0,986.0,98.0,8.0,2.0,3.0,423.0,16.0,123.0,195.0,50.0,363.0,234.0,690.0,159.0
372,0.0,2.0,46.0,11.0,8.0,5.0,1.0,90.0,14.0,42.0,9.0,37.0,3.0,101.0,27.0,12.0,477.0,4.0,18.0,17.0,30.0,104.0,16.0,7.0,82.0,163.0,149.0,83.0,164.0,81.0
421,2.0,0.0,11.0,10.0,4.0,16.0,5.0,166.0,100.0,17.0,6.0,7.0,1.0,74.0,103.0,116.0,217.0,15.0,14.0,24.0,18.0,37.0,26.0,61.0,705.0,181.0,1529.0,8.0,9.0,204.0
470,0.0,2.0,10.0,3.0,13.0,6.0,1.0,36.0,32.0,37.0,26.0,21.0,4.0,273.0,9.0,30.0,507.0,14.0,48.0,7.0,11.0,106.0,92.0,19.0,11048.0,214.0,15924.0,68.0,18.0,29.0
519,1.0,18.0,34.0,7.0,23.0,5.0,10.0,3.0,12.0,17.0,117.0,40.0,646.0,0.0,61.0,21.0,48.0,19.0,42.0,120.0,26.0,37.0,38.0,25.0,22.0,20.0,33.0,74.0,63.0,116.0
568,1.0,2.0,11.0,4.0,10.0,6.0,0.0,21.0,5.0,18.0,36.0,59.0,45.0,33.0,56.0,26.0,32.0,12.0,3.0,168.0,60.0,53.0,25.0,9.0,49.0,8.0,63.0,137.0,22.0,54.0
617,2.0,1.0,18.0,0.0,8.0,4.0,7.0,17.0,12.0,40.0,143.0,23.0,155.0,20.0,44.0,15.0,32.0,9.0,3.0,75.0,51.0,19.0,87.0,10.0,6.0,16.0,5.0,30.0,2090.0,106.0
666,2.0,1.0,4.0,27.0,10.0,63.0,3.0,0.0,44.0,152.0,112.0,74.0,124.0,6.0,59.0,55.0,8.0,67.0,5.0,110.0,36.0,15.0,9.0,69.0,181.0,16.0,245.0,26.0,19.0,108.0
715,9.0,5.0,31.0,1.0,6.0,8.0,10.0,2.0,7.0,24.0,35.0,17.0,21.0,4.0,19.0,41.0,34.0,44.0,0.0,29.0,16.0,51.0,3.0,39.0,33.0,11.0,48.0,79.0,92.0,43.0
