,C16:0 LPE,creatine,inositol,urate,2-deoxycytidine,C22:6 LPE,C22:6 CE,pantothenate,beta-alanine,N-carbamoyl-beta-alanine,palmitoylcarnitine,1-methylnicotinamide,serotonin,valerylcarnitine,alpha-glycerophosphocholine,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,C34:2 DAG,5-HIAA,cytidine,niacinamide,C56:3 TAG,guanosine,NADP,alpha-hydroxybutyrate,inosine,cis/trans-hydroxyproline,3-phosphoglycerate,cystathionine
27,0.0,8.0,2.0,35.0,15.0,22.0,1.0,49.0,37.0,5.0,17.0,48.0,4.0,41.0,7.0,24.0,16.0,23.0,3.0,51.0,34.0,14.0,26.0,6.0,27.0,52.0,36.0,50.0,13.0,44.0
76,0.0,5.0,15.0,26.0,1.0,39.0,24.0,30.0,8.0,14.0,40.0,65.0,60.0,38.0,16.0,47.0,18.0,32.0,6.0,59.0,50.0,21.0,13.0,2.0,9.0,22.0,34.0,12.0,46.0,49.0
125,2.0,3.0,33.0,37.0,21.0,44.0,26.0,41.0,11.0,22.0,15.0,5.0,0.0,19.0,18.0,6.0,13.0,28.0,4.0,12.0,52.0,17.0,23.0,30.0,32.0,31.0,24.0,61.0,48.0,51.0
174,0.0,10.0,34.0,8.0,11.0,3.0,21.0,29.0,5.0,57.0,20.0,51.0,61.0,19.0,9.0,16.0,18.0,49.0,2.0,62.0,46.0,13.0,66.0,7.0,25.0,35.0,26.0,12.0,15.0,47.0
223,22.0,5.0,54.0,6.0,10.0,42.0,25.0,9.0,4.0,14.0,19.0,64.0,52.0,18.0,15.0,26.0,17.0,24.0,1.0,11.0,48.0,56.0,28.0,35.0,29.0,3.0,37.0,27.0,16.0,34.0
272,5.0,8.0,32.0,10.0,15.0,21.0,23.0,1.0,20.0,17.0,49.0,24.0,54.0,19.0,14.0,12.0,18.0,38.0,3.0,53.0,4.0,13.0,34.0,7.0,29.0,0.0,28.0,52.0,16.0,39.0
321,3.0,1.0,55.0,2.0,9.0,33.0,17.0,31.0,24.0,19.0,21.0,16.0,60.0,40.0,4.0,0.0,39.0,30.0,12.0,59.0,11.0,18.0,66.0,10.0,7.0,27.0,8.0,22.0,43.0,46.0
370,29.0,0.0,7.0,31.0,9.0,37.0,13.0,8.0,25.0,4.0,6.0,12.0,5.0,18.0,15.0,3.0,17.0,36.0,10.0,20.0,19.0,16.0,2.0,1.0,51.0,28.0,50.0,59.0,44.0,47.0
419,8.0,1.0,29.0,2.0,5.0,18.0,48.0,36.0,10.0,14.0,24.0,51.0,63.0,23.0,16.0,25.0,22.0,9.0,17.0,11.0,37.0,15.0,26.0,6.0,33.0,31.0,30.0,20.0,7.0,50.0
468,1.0,10.0,26.0,5.0,3.0,32.0,12.0,6.0,4.0,14.0,28.0,18.0,20.0,35.0,23.0,15.0,16.0,40.0,0.0,21.0,9.0,13.0,66.0,7.0,8.0,27.0,51.0,22.0,25.0,46.0
517,1.0,7.0,20.0,24.0,25.0,9.0,18.0,8.0,36.0,4.0,5.0,31.0,59.0,17.0,30.0,0.0,15.0,13.0,23.0,14.0,12.0,63.0,3.0,2.0,10.0,6.0,48.0,58.0,41.0,44.0
566,8.0,14.0,25.0,0.0,39.0,15.0,12.0,2.0,40.0,63.0,23.0,20.0,6.0,16.0,11.0,21.0,18.0,9.0,29.0,59.0,31.0,10.0,66.0,28.0,3.0,54.0,1.0,58.0,17.0,44.0
615,0.0,6.0,15.0,1.0,42.0,5.0,27.0,21.0,16.0,63.0,35.0,32.0,59.0,18.0,12.0,31.0,30.0,9.0,4.0,58.0,10.0,2.0,66.0,11.0,22.0,52.0,23.0,57.0,34.0,45.0
664,10.0,3.0,7.0,29.0,17.0,8.0,1.0,2.0,6.0,58.0,4.0,14.0,54.0,45.0,19.0,15.0,12.0,9.0,16.0,53.0,31.0,59.0,0.0,5.0,30.0,25.0,47.0,52.0,23.0,38.0
713,0.0,15.0,3.0,10.0,9.0,8.0,24.0,27.0,23.0,6.0,41.0,19.0,18.0,20.0,17.0,5.0,16.0,2.0,25.0,59.0,4.0,63.0,21.0,28.0,52.0,56.0,51.0,58.0,42.0,46.0
762,0.0,31.0,56.0,3.0,4.0,1.0,8.0,27.0,2.0,19.0,18.0,11.0,62.0,16.0,25.0,23.0,14.0,9.0,32.0,61.0,26.0,63.0,66.0,6.0,5.0,20.0,49.0,60.0,7.0,46.0
811,2.0,0.0,28.0,9.0,23.0,30.0,4.0,35.0,11.0,19.0,21.0,20.0,16.0,15.0,62.0,5.0,18.0,7.0,27.0,58.0,6.0,61.0,3.0,8.0,29.0,65.0,51.0,14.0,43.0,46.0
860,0.0,4.0,31.0,36.0,24.0,2.0,26.0,38.0,9.0,15.0,10.0,18.0,11.0,21.0,17.0,33.0,13.0,5.0,6.0,60.0,27.0,63.0,23.0,29.0,32.0,56.0,52.0,59.0,45.0,48.0
909,0.0,4.0,2.0,3.0,24.0,23.0,13.0,50.0,14.0,18.0,7.0,20.0,16.0,6.0,19.0,5.0,38.0,11.0,22.0,53.0,10.0,65.0,26.0,12.0,32.0,51.0,29.0,52.0,66.0,44.0
958,5.0,0.0,3.0,6.0,4.0,32.0,21.0,53.0,19.0,11.0,13.0,22.0,1.0,12.0,63.0,44.0,10.0,28.0,37.0,16.0,24.0,62.0,66.0,8.0,34.0,65.0,51.0,17.0,39.0,23.0
