,guanosine,2-deoxycytidine,pantothenate,1-methylnicotinamide,creatine,inosine,C16:0 LPE,cystathionine,3-phosphoglycerate,palmitoylcarnitine,C22:6 CE,C34:2 DAG,PEP,GABA,inositol,urate,cytidine,C36:1 DAG,valerylcarnitine,butyrylcarnitine/isobutyrylcarnitine,C56:3 TAG,cis/trans-hydroxyproline,homocysteine,hypoxanthine,taurodeoxycholate,niacinamide,alpha-glycerophosphate,NADP,serotonin,alpha-hydroxybutyrate
21,0.0,3.0,5.0,11.0,9.0,24.0,1.0,30.0,44.0,6.0,8.0,35.0,16.0,23.0,17.0,22.0,10.0,32.0,31.0,53.0,39.0,60.0,14.0,19.0,40.0,13.0,4.0,15.0,49.0,7.0
70,0.0,1.0,9.0,18.0,8.0,3.0,4.0,10.0,13.0,26.0,16.0,37.0,7.0,32.0,2.0,12.0,19.0,5.0,35.0,39.0,33.0,34.0,6.0,59.0,17.0,15.0,14.0,11.0,31.0,29.0
119,0.0,2.0,7.0,1.0,14.0,9.0,5.0,22.0,41.0,3.0,33.0,16.0,13.0,24.0,53.0,39.0,32.0,10.0,40.0,12.0,26.0,49.0,11.0,34.0,23.0,38.0,31.0,4.0,21.0,6.0
168,0.0,3.0,17.0,5.0,16.0,4.0,1.0,28.0,30.0,10.0,21.0,32.0,24.0,6.0,47.0,2.0,52.0,36.0,31.0,37.0,23.0,13.0,11.0,20.0,41.0,8.0,38.0,7.0,26.0,33.0
217,1.0,0.0,14.0,6.0,11.0,3.0,2.0,30.0,5.0,10.0,8.0,19.0,33.0,17.0,46.0,36.0,29.0,9.0,13.0,38.0,35.0,12.0,57.0,7.0,21.0,32.0,34.0,4.0,60.0,15.0
266,1.0,2.0,6.0,4.0,7.0,10.0,8.0,42.0,35.0,11.0,17.0,63.0,23.0,12.0,15.0,9.0,46.0,30.0,36.0,26.0,25.0,21.0,14.0,20.0,39.0,13.0,16.0,5.0,56.0,3.0
315,3.0,2.0,18.0,1.0,5.0,14.0,0.0,52.0,6.0,16.0,12.0,23.0,30.0,8.0,26.0,19.0,46.0,25.0,50.0,29.0,11.0,54.0,58.0,15.0,33.0,7.0,27.0,17.0,48.0,4.0
364,0.0,3.0,13.0,10.0,27.0,6.0,22.0,28.0,19.0,2.0,9.0,42.0,30.0,16.0,18.0,4.0,39.0,17.0,8.0,25.0,15.0,62.0,1.0,23.0,56.0,5.0,11.0,20.0,45.0,44.0
413,0.0,1.0,28.0,9.0,13.0,6.0,10.0,12.0,3.0,7.0,23.0,27.0,15.0,17.0,22.0,5.0,41.0,16.0,25.0,8.0,14.0,29.0,52.0,11.0,31.0,4.0,38.0,21.0,63.0,2.0
462,1.0,4.0,2.0,0.0,13.0,3.0,7.0,11.0,16.0,14.0,25.0,10.0,24.0,9.0,22.0,8.0,19.0,18.0,21.0,6.0,12.0,26.0,20.0,31.0,64.0,5.0,23.0,39.0,58.0,15.0
