,hsa-miR-558,hsa-miR-548a-3p,hsa-miR-148a,hsa-miR-205,hsa-miR-601,hsa-miR-604,hsa-miR-609,hsa-miR-223,hsa-miR-34c-5p,hsa-miR-512-3p,hsa-miR-508-3p,hsa-miR-657,hsa-miR-30c,hsa-miR-28-3p,hsa-miR-26b,hsa-miR-541,hsa-miR-548d-3p,hcmv-miR-US25-2-3p,hsa-miR-938,hsa-miR-1288,hsa-miR-711,hsa-miR-511,hsa-miR-877,hsa-miR-449b,hsa-miR-105,hsa-miR-1246,hsa-miR-616,hsa-miR-518d-3p,hsa-miR-320c,hsa-miR-571
15,0.0,7.0,1.0,13.0,22.0,3.0,29.0,6.0,85.0,19.0,2.0,12.0,25.0,37.0,39.0,50.0,57.0,5.0,96.0,188.0,59.0,26.0,40.0,14.0,15.0,10.0,264.0,79.0,31.0,38.0
64,2.0,4.0,1.0,8.0,25.0,10.0,60.0,51.0,16.0,39.0,20.0,11.0,24.0,21.0,5.0,22.0,113.0,9.0,19.0,92.0,0.0,18.0,29.0,86.0,26.0,74.0,95.0,34.0,129.0,6.0
113,2.0,8.0,5.0,3.0,46.0,4.0,37.0,48.0,50.0,73.0,15.0,12.0,11.0,26.0,13.0,22.0,172.0,1.0,45.0,18.0,6.0,74.0,54.0,17.0,51.0,69.0,30.0,114.0,41.0,118.0
162,3.0,0.0,9.0,4.0,20.0,1.0,10.0,146.0,64.0,37.0,31.0,17.0,62.0,5.0,57.0,72.0,6.0,50.0,60.0,29.0,41.0,16.0,22.0,11.0,45.0,7.0,26.0,87.0,56.0,90.0
211,43.0,1.0,15.0,3.0,8.0,2.0,12.0,0.0,28.0,70.0,14.0,39.0,25.0,34.0,65.0,97.0,6.0,32.0,23.0,48.0,4.0,50.0,17.0,59.0,10.0,7.0,88.0,33.0,30.0,29.0
260,0.0,3.0,1.0,17.0,10.0,5.0,7.0,33.0,14.0,15.0,11.0,8.0,9.0,44.0,27.0,29.0,93.0,4.0,30.0,68.0,16.0,2.0,34.0,71.0,56.0,21.0,75.0,19.0,123.0,20.0
309,7.0,2.0,16.0,22.0,11.0,5.0,10.0,112.0,67.0,23.0,40.0,36.0,27.0,15.0,13.0,4.0,43.0,0.0,65.0,18.0,3.0,54.0,41.0,32.0,24.0,12.0,25.0,97.0,60.0,29.0
358,0.0,4.0,6.0,11.0,1.0,3.0,16.0,26.0,66.0,38.0,7.0,60.0,14.0,8.0,22.0,32.0,89.0,2.0,73.0,91.0,5.0,15.0,59.0,42.0,27.0,12.0,131.0,36.0,51.0,49.0
407,0.0,1.0,3.0,27.0,14.0,26.0,6.0,65.0,28.0,13.0,29.0,8.0,11.0,22.0,75.0,10.0,66.0,2.0,18.0,60.0,30.0,5.0,42.0,40.0,17.0,45.0,74.0,25.0,16.0,69.0
456,1.0,2.0,3.0,4.0,18.0,14.0,5.0,45.0,29.0,33.0,21.0,0.0,6.0,142.0,38.0,36.0,103.0,9.0,141.0,10.0,15.0,28.0,7.0,46.0,62.0,61.0,40.0,162.0,20.0,57.0
505,3.0,0.0,1.0,2.0,78.0,32.0,5.0,8.0,14.0,31.0,18.0,10.0,34.0,137.0,45.0,107.0,63.0,50.0,53.0,77.0,7.0,4.0,25.0,113.0,22.0,80.0,27.0,97.0,39.0,66.0
554,3.0,1.0,0.0,2.0,27.0,4.0,33.0,6.0,5.0,95.0,20.0,7.0,104.0,118.0,17.0,61.0,16.0,84.0,86.0,22.0,9.0,10.0,107.0,76.0,15.0,26.0,30.0,40.0,50.0,197.0
603,1.0,4.0,3.0,2.0,32.0,24.0,6.0,10.0,18.0,7.0,12.0,29.0,8.0,61.0,122.0,109.0,14.0,59.0,9.0,11.0,17.0,0.0,30.0,53.0,42.0,38.0,28.0,138.0,35.0,40.0
652,2.0,0.0,1.0,4.0,79.0,41.0,19.0,5.0,11.0,28.0,60.0,6.0,44.0,36.0,24.0,13.0,52.0,31.0,7.0,39.0,3.0,9.0,56.0,32.0,54.0,27.0,18.0,38.0,37.0,51.0
701,1.0,0.0,8.0,5.0,25.0,4.0,7.0,18.0,23.0,32.0,22.0,14.0,46.0,70.0,17.0,124.0,54.0,99.0,20.0,21.0,15.0,2.0,64.0,16.0,12.0,38.0,6.0,108.0,112.0,35.0
750,3.0,0.0,4.0,1.0,16.0,136.0,2.0,7.0,6.0,14.0,55.0,9.0,21.0,109.0,71.0,67.0,103.0,59.0,45.0,15.0,44.0,5.0,72.0,47.0,123.0,42.0,12.0,50.0,69.0,84.0
799,8.0,2.0,1.0,4.0,296.0,17.0,15.0,80.0,84.0,49.0,18.0,3.0,19.0,23.0,73.0,58.0,6.0,22.0,10.0,42.0,0.0,5.0,95.0,32.0,34.0,31.0,43.0,101.0,112.0,46.0
848,2.0,0.0,1.0,19.0,29.0,25.0,17.0,6.0,3.0,18.0,50.0,4.0,56.0,90.0,54.0,23.0,124.0,38.0,14.0,35.0,15.0,7.0,116.0,49.0,33.0,30.0,8.0,98.0,31.0,48.0
897,1.0,0.0,2.0,3.0,143.0,10.0,5.0,4.0,8.0,15.0,34.0,11.0,90.0,91.0,29.0,58.0,40.0,52.0,26.0,49.0,9.0,6.0,48.0,35.0,33.0,38.0,25.0,20.0,46.0,59.0
946,2.0,0.0,1.0,16.0,39.0,13.0,5.0,4.0,43.0,9.0,27.0,6.0,61.0,88.0,73.0,50.0,55.0,71.0,11.0,7.0,17.0,3.0,99.0,84.0,20.0,130.0,12.0,93.0,34.0,21.0
995,0.0,1.0,4.0,20.0,5.0,13.0,21.0,48.0,27.0,11.0,6.0,8.0,3.0,42.0,65.0,29.0,47.0,112.0,114.0,70.0,18.0,24.0,14.0,2.0,9.0,7.0,40.0,15.0,16.0,147.0
1044,12.0,0.0,2.0,1.0,5.0,6.0,3.0,41.0,55.0,19.0,16.0,13.0,8.0,18.0,9.0,32.0,114.0,33.0,265.0,48.0,51.0,27.0,31.0,4.0,40.0,38.0,15.0,56.0,42.0,163.0
1093,2.0,0.0,10.0,8.0,3.0,5.0,1.0,7.0,27.0,13.0,6.0,19.0,4.0,31.0,47.0,196.0,20.0,18.0,121.0,109.0,29.0,45.0,9.0,38.0,17.0,16.0,40.0,12.0,15.0,135.0
1142,0.0,5.0,8.0,2.0,9.0,3.0,1.0,107.0,34.0,22.0,7.0,14.0,11.0,15.0,45.0,137.0,24.0,65.0,19.0,10.0,12.0,13.0,4.0,6.0,80.0,48.0,37.0,17.0,54.0,318.0
1191,0.0,1.0,2.0,14.0,8.0,19.0,4.0,25.0,6.0,15.0,24.0,31.0,27.0,22.0,32.0,69.0,3.0,175.0,101.0,154.0,29.0,16.0,23.0,7.0,12.0,33.0,13.0,36.0,49.0,34.0
1240,0.0,1.0,18.0,4.0,3.0,6.0,7.0,12.0,24.0,15.0,8.0,28.0,10.0,20.0,21.0,69.0,46.0,38.0,75.0,290.0,14.0,2.0,49.0,5.0,29.0,32.0,48.0,13.0,73.0,87.0
1289,1.0,0.0,9.0,3.0,4.0,18.0,21.0,2.0,49.0,8.0,5.0,65.0,12.0,22.0,19.0,42.0,38.0,82.0,85.0,271.0,53.0,45.0,11.0,10.0,26.0,7.0,23.0,52.0,34.0,29.0
