,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
19,24.0,11.0,15.0,54.0,64.0,87.0,496.0,130.0,395.0,36.0,8.0,365.0,75.0,33.0,83.0,356.0,49.0,56.0,549.0,55.0,93.0,520.0,117.0,88.0,40.0,128.0,32.0,104.0,139.0,19.0
68,597.0,8.0,12.0,64.0,87.0,21.0,29.0,84.0,405.0,39.0,3.0,78.0,569.0,551.0,89.0,18.0,93.0,61.0,101.0,23.0,25.0,116.0,122.0,112.0,37.0,115.0,138.0,124.0,15.0,45.0
117,15.0,2.0,22.0,20.0,96.0,413.0,23.0,68.0,406.0,53.0,489.0,27.0,48.0,556.0,100.0,26.0,106.0,81.0,31.0,3.0,99.0,526.0,138.0,120.0,84.0,143.0,541.0,55.0,82.0,132.0
166,625.0,40.0,14.0,36.0,42.0,404.0,27.0,57.0,1.0,52.0,5.0,373.0,129.0,0.0,278.0,88.0,119.0,109.0,70.0,432.0,83.0,93.0,229.0,123.0,51.0,56.0,25.0,627.0,24.0,120.0
215,1.0,6.0,10.0,25.0,295.0,13.0,43.0,75.0,29.0,23.0,49.0,365.0,84.0,30.0,134.0,127.0,32.0,109.0,557.0,101.0,122.0,524.0,193.0,116.0,113.0,135.0,536.0,26.0,18.0,90.0
264,1.0,6.0,17.0,19.0,73.0,46.0,49.0,151.0,138.0,53.0,5.0,75.0,160.0,11.0,68.0,32.0,89.0,115.0,94.0,43.0,42.0,56.0,148.0,104.0,114.0,63.0,540.0,54.0,124.0,132.0
313,1.0,14.0,11.0,31.0,133.0,4.0,48.0,98.0,41.0,56.0,619.0,6.0,418.0,0.0,352.0,17.0,39.0,34.0,150.0,27.0,101.0,625.0,127.0,533.0,51.0,276.0,562.0,52.0,115.0,193.0
362,0.0,9.0,20.0,70.0,71.0,79.0,5.0,119.0,23.0,40.0,4.0,34.0,47.0,11.0,369.0,271.0,142.0,100.0,26.0,56.0,152.0,578.0,94.0,57.0,84.0,50.0,512.0,32.0,135.0,82.0
411,12.0,8.0,30.0,68.0,53.0,404.0,132.0,80.0,100.0,37.0,491.0,29.0,73.0,77.0,258.0,60.0,105.0,118.0,39.0,7.0,42.0,59.0,117.0,129.0,113.0,51.0,96.0,627.0,107.0,61.0
460,3.0,28.0,14.0,5.0,68.0,407.0,37.0,82.0,4.0,109.0,13.0,95.0,32.0,2.0,294.0,15.0,124.0,74.0,561.0,25.0,59.0,527.0,87.0,547.0,42.0,452.0,540.0,624.0,21.0,125.0
509,572.0,22.0,11.0,587.0,76.0,52.0,45.0,69.0,49.0,31.0,452.0,39.0,94.0,559.0,37.0,9.0,33.0,67.0,26.0,51.0,112.0,47.0,96.0,87.0,53.0,24.0,134.0,6.0,140.0,89.0
558,618.0,13.0,10.0,44.0,63.0,9.0,53.0,68.0,54.0,73.0,17.0,18.0,595.0,35.0,28.0,19.0,105.0,81.0,21.0,430.0,322.0,517.0,88.0,45.0,113.0,448.0,131.0,616.0,102.0,72.0
607,566.0,14.0,11.0,26.0,282.0,15.0,510.0,90.0,7.0,77.0,1.0,373.0,72.0,45.0,25.0,24.0,81.0,103.0,48.0,435.0,115.0,40.0,75.0,42.0,60.0,452.0,138.0,4.0,327.0,334.0
