,GPX3,ADORA1,LINC00942,NDN,GPX1P1,SYTL1,PRKCH,RP11-390F4.3,FAM110C,NLRP2,CORO2A,DSG2,AIF1L,SULF2,RP11-560J1.2,SCEL,CTD-2354A18.1,RNF224,PSAT1P3,RP11-47I22.1,DHRS4-AS1,RTKN2,MPP7,MYEOV,ZNF853,MBOAT1,PHLDA3,C18orf25,HMGA1P4,KCNK1
8,0.0,20.0,2.0,1.0,27.0,7.0,137.0,8.0,106.0,29.0,6.0,3.0,371.0,51.0,17.0,19.0,18.0,39.0,28.0,66.0,21.0,26.0,16.0,74.0,9.0,84.0,22.0,62.0,32.0,130.0
57,0.0,1.0,2.0,3.0,32.0,4.0,16.0,14.0,60.0,5.0,20.0,7.0,11.0,25.0,19.0,92.0,21.0,34.0,109.0,26.0,81.0,15.0,8.0,71.0,10.0,36.0,9.0,174.0,162.0,66.0
106,0.0,1.0,2.0,6.0,12.0,35.0,19.0,20.0,11.0,54.0,4.0,32.0,24.0,141.0,58.0,10.0,388.0,62.0,30.0,27.0,77.0,31.0,71.0,9.0,17.0,67.0,181.0,356.0,44.0,25.0
155,0.0,1.0,3.0,2.0,7.0,34.0,42.0,196.0,68.0,43.0,9.0,14.0,60.0,32.0,22.0,15.0,23.0,28.0,612.0,64.0,21.0,97.0,8.0,4.0,16.0,74.0,26.0,20.0,37.0,104.0
204,0.0,1.0,2.0,4.0,220.0,8.0,5.0,7.0,18.0,6.0,3.0,11.0,113.0,59.0,35.0,149.0,797.0,9.0,17.0,28.0,132.0,443.0,21.0,44.0,63.0,53.0,52.0,15.0,36.0,88.0
253,1.0,0.0,4.0,3.0,61.0,38.0,111.0,53.0,35.0,8.0,12.0,22.0,7.0,102.0,40.0,74.0,44.0,32.0,136.0,41.0,313.0,26.0,17.0,112.0,2.0,57.0,18.0,93.0,55.0,36.0
302,0.0,3.0,1.0,6.0,109.0,9.0,16.0,5.0,33.0,24.0,4.0,12.0,70.0,41.0,92.0,7.0,218.0,13.0,15.0,11.0,38.0,17.0,25.0,36.0,2.0,26.0,60.0,90.0,30.0,112.0
351,0.0,1.0,3.0,2.0,49.0,24.0,63.0,17.0,12.0,101.0,8.0,7.0,41.0,51.0,70.0,52.0,32.0,45.0,19.0,72.0,43.0,16.0,14.0,74.0,4.0,11.0,73.0,38.0,20.0,98.0
400,0.0,2.0,1.0,4.0,106.0,28.0,189.0,10.0,12.0,3.0,19.0,7.0,30.0,22.0,38.0,44.0,29.0,13.0,17.0,64.0,62.0,33.0,8.0,23.0,5.0,73.0,46.0,52.0,76.0,36.0
449,0.0,3.0,1.0,7.0,42.0,9.0,47.0,13.0,5.0,748.0,8.0,12.0,15.0,10.0,51.0,60.0,20.0,23.0,16.0,71.0,193.0,67.0,53.0,25.0,2.0,11.0,100.0,238.0,149.0,24.0
498,1.0,13.0,21.0,0.0,2.0,8.0,7.0,11.0,5.0,24.0,3.0,4.0,77.0,36.0,68.0,176.0,696.0,184.0,17.0,69.0,26.0,161.0,12.0,375.0,264.0,22.0,9.0,316.0,48.0,249.0
547,0.0,5.0,14.0,13.0,22.0,3.0,7.0,19.0,15.0,110.0,6.0,20.0,90.0,25.0,36.0,744.0,5817.0,241.0,28.0,53.0,116.0,34.0,85.0,45.0,295.0,44.0,46.0,200.0,219.0,1351.0
596,1.0,15.0,19.0,0.0,40.0,8.0,3.0,10.0,4.0,5.0,46.0,13.0,6.0,199.0,73.0,1233.0,453.0,42.0,36.0,27.0,66.0,12.0,7.0,287.0,641.0,173.0,28.0,127.0,93.0,156.0
645,1.0,2.0,17.0,3.0,235.0,4.0,5.0,19.0,0.0,6.0,14.0,13.0,8.0,59.0,78.0,1429.0,550.0,172.0,23.0,52.0,90.0,26.0,21.0,93.0,1694.0,86.0,24.0,165.0,188.0,285.0
694,1.0,3.0,5.0,0.0,9.0,104.0,8.0,21.0,7.0,14.0,4.0,44.0,63.0,76.0,83.0,416.0,470.0,64.0,16.0,34.0,38.0,10.0,20.0,182.0,587.0,41.0,49.0,156.0,73.0,364.0
743,4.0,20.0,14.0,3.0,15.0,36.0,7.0,11.0,0.0,1240.0,1.0,5.0,6.0,9.0,23.0,2065.0,444.0,321.0,12.0,151.0,63.0,10.0,66.0,45.0,1226.0,16.0,35.0,403.0,195.0,40.0
792,0.0,1.0,35.0,6.0,3.0,44.0,17.0,27.0,2.0,7.0,5.0,4.0,20.0,116.0,16.0,118.0,587.0,65.0,834.0,66.0,29.0,60.0,23.0,67.0,1570.0,97.0,8.0,53.0,68.0,174.0
841,1.0,10.0,3.0,0.0,9.0,7.0,5.0,4.0,2.0,21.0,23.0,6.0,60.0,22.0,51.0,320.0,1025.0,260.0,17.0,32.0,16.0,15.0,50.0,145.0,515.0,52.0,19.0,177.0,44.0,372.0
890,0.0,10.0,3.0,2.0,67.0,19.0,14.0,23.0,9.0,1.0,4.0,6.0,11.0,20.0,18.0,1759.0,48.0,274.0,38.0,51.0,40.0,36.0,24.0,53.0,1266.0,91.0,31.0,131.0,195.0,133.0
939,0.0,19.0,6.0,1.0,65.0,4.0,7.0,11.0,5.0,14.0,3.0,2.0,27.0,59.0,44.0,810.0,463.0,95.0,10.0,68.0,57.0,34.0,32.0,188.0,480.0,55.0,60.0,104.0,33.0,202.0
988,0.0,4.0,6.0,3.0,2.0,62.0,58.0,18.0,26.0,5.0,1.0,9.0,12.0,13.0,23.0,133.0,27.0,77.0,71.0,228.0,20.0,17.0,47.0,256.0,73.0,7.0,28.0,34.0,97.0,64.0
1037,0.0,29.0,1.0,2.0,6.0,32.0,18.0,5.0,20.0,237.0,13.0,7.0,4.0,12.0,25.0,67.0,47.0,196.0,75.0,77.0,21.0,10.0,135.0,70.0,30.0,9.0,162.0,399.0,883.0,46.0
1086,0.0,4.0,1.0,6.0,2.0,7.0,14.0,39.0,34.0,100.0,8.0,3.0,19.0,109.0,36.0,51.0,67.0,37.0,40.0,63.0,13.0,54.0,589.0,165.0,27.0,5.0,12.0,73.0,393.0,153.0
1135,0.0,2.0,1.0,183.0,17.0,11.0,49.0,23.0,4.0,36.0,8.0,13.0,12.0,26.0,44.0,155.0,14.0,10.0,24.0,324.0,5.0,35.0,80.0,54.0,351.0,3.0,52.0,152.0,121.0,37.0
