,SYTL1,DYRK3,BSPRY,ZCCHC24,RP13-580F15.2,GALNT3,ARHGAP27,VAMP8,FAAH2,FAM110C,HMGA1P4,TSTD1,MACC1,TMC6,AP1M1,CEP170,MYO5B,GPR160,FUT3,ITGB6,PPM1F,SH3YL1,ST3GAL2,DSP,RP11-408H20.1,SMPD1,C5orf24,RP11-902B17.1,GPSM1,LOXL3
7,6.0,0.0,1.0,36.0,9.0,3.0,11.0,179.0,12.0,77.0,14.0,4.0,279.0,96.0,39.0,16517.0,61.0,58.0,10909.0,593.0,47.0,16469.0,43.0,23.0,19.0,84.0,20743.0,100.0,55.0,16649.0
56,7.0,4.0,11.0,19644.0,0.0,12.0,9.0,16662.0,8.0,88.0,17.0,2.0,162.0,95.0,24.0,16508.0,11961.0,14827.0,23.0,735.0,49.0,39.0,89.0,29.0,6.0,98.0,51.0,31.0,245.0,16682.0
105,8.0,4.0,12.0,19586.0,9.0,0.0,17.0,77.0,1.0,36.0,2.0,13.0,19.0,99.0,3.0,16501.0,141.0,14805.0,57.0,105.0,38.0,53.0,54.0,29.0,20.0,106.0,28.0,24.0,143.0,16640.0
154,6.0,1.0,28.0,44.0,8.0,2.0,12.0,85.0,2585.0,587.0,21.0,67.0,4.0,90.0,3.0,16527.0,11216.0,14843.0,76.0,243.0,48.0,46.0,73.0,14.0,9.0,55.0,23.0,114.0,19476.0,79.0
203,0.0,14.0,1.0,2.0,9.0,7.0,11.0,76.0,10.0,16446.0,43.0,17311.0,4.0,78.0,6.0,94.0,22.0,120.0,39.0,3.0,52.0,29.0,44.0,13.0,27.0,97.0,20.0,96.0,19425.0,66.0
252,3.0,13.0,60.0,19641.0,6.0,30.0,14.0,59.0,11.0,16478.0,41.0,83.0,1.0,11573.0,23.0,16508.0,11950.0,68.0,10920.0,12818.0,8.0,86.0,19.0,31.0,44.0,106.0,36.0,131.0,19463.0,88.0
301,10.0,1.0,4.0,6.0,2.0,0.0,9735.0,5.0,14.0,16472.0,45.0,76.0,3.0,11582.0,36.0,28.0,218.0,14821.0,10905.0,15.0,7.0,46.0,21.0,31.0,40.0,81.0,24.0,124.0,19405.0,16652.0
350,6.0,0.0,46.0,19631.0,21.0,28.0,20.0,16685.0,3.0,16518.0,41.0,8.0,4.0,11602.0,1.0,16535.0,54.0,14788.0,10966.0,5.0,34.0,30.0,35.0,31.0,33.0,4915.0,38.0,1956.0,737.0,70.0
399,8.0,3.0,36.0,70.0,33.0,43.0,9.0,48.0,1.0,16465.0,4.0,10.0,5.0,11575.0,6.0,16512.0,96.0,14834.0,10912.0,2.0,50.0,32.0,56.0,37.0,69.0,24.0,18.0,1322.0,12.0,41.0
448,4.0,1.0,105.0,19580.0,57.0,0.0,24.0,29.0,3.0,67.0,27.0,7.0,2.0,18.0,16.0,16514.0,5.0,63.0,60.0,31.0,49.0,20.0,91.0,20968.0,11856.0,19.0,20743.0,239.0,108.0,61.0
497,0.0,7.0,4.0,3.0,65.0,2.0,1.0,30.0,22.0,12.0,19366.0,17310.0,17.0,8.0,11181.0,9.0,24.0,87.0,6.0,12819.0,85.0,88.0,42.0,20987.0,19.0,18.0,20743.0,55.0,19473.0,16654.0
546,0.0,10.0,6.0,2.0,27.0,42.0,3.0,16670.0,5.0,387.0,19379.0,17302.0,19.0,45.0,298.0,11.0,9.0,341.0,1.0,12816.0,81.0,66.0,59.0,20979.0,48.0,58.0,160.0,28.0,19396.0,95.0
595,0.0,14.0,10.0,7.0,41.0,4.0,1.0,23.0,13.0,16453.0,19381.0,17298.0,28.0,8.0,1112.0,2.0,9.0,65.0,21.0,47.0,71.0,85.0,9951.0,20974.0,33.0,58.0,20732.0,30.0,373.0,16642.0
644,1.0,20.0,6.0,4.0,5.0,0.0,8.0,21.0,11.0,16467.0,36.0,17304.0,23.0,82.0,11159.0,19.0,17.0,49.0,13.0,12802.0,8773.0,61.0,9925.0,20981.0,37.0,52.0,2.0,87.0,457.0,43.0
693,0.0,3.0,11.0,6.0,28.0,4.0,5.0,13.0,9.0,16468.0,2.0,17304.0,34.0,10.0,11165.0,25.0,74.0,70.0,12.0,12810.0,92.0,62.0,9959.0,20983.0,616.0,88.0,53.0,94.0,19406.0,16644.0
742,3.0,31.0,0.0,8.0,34.0,32.0,4.0,12.0,28.0,74.0,44.0,17309.0,21.0,37.0,11168.0,6.0,79.0,75.0,22.0,2.0,8735.0,51.0,9945.0,67.0,36.0,4887.0,170.0,221.0,19412.0,16641.0
791,3.0,5.0,4.0,7.0,14.0,17.0,15.0,61.0,30.0,56.0,19353.0,2.0,28.0,29.0,11197.0,27.0,11.0,42.0,19.0,12.0,8758.0,39.0,9965.0,60.0,34.0,97.0,183.0,349.0,275.0,18.0
840,0.0,8.0,6.0,2.0,10496.0,1.0,27.0,47.0,24.0,19.0,19386.0,4.0,18.0,3.0,11195.0,20.0,11822.0,14812.0,5.0,77.0,8736.0,37.0,9938.0,21.0,11968.0,4904.0,183.0,240.0,19403.0,16647.0
889,0.0,1.0,4.0,8.0,66.0,3.0,5.0,55.0,21.0,71.0,20321.0,58.0,31.0,7.0,11202.0,22.0,120.0,13.0,30.0,2.0,8792.0,44.0,9967.0,47.0,91.0,70.0,89.0,110.0,19451.0,16734.0
938,27.0,43.0,4.0,2.0,3.0,0.0,14.0,55.0,7.0,13.0,48.0,1.0,53.0,11594.0,11192.0,5.0,106.0,34.0,21.0,12.0,52.0,16538.0,9965.0,36.0,70.0,61.0,8.0,805.0,19474.0,16717.0
987,16155.0,15.0,0.0,3.0,10531.0,12.0,7.0,47.0,7852.0,41.0,92.0,14.0,105.0,1.0,11.0,16519.0,11979.0,14780.0,10922.0,56.0,8819.0,18.0,9976.0,1107.0,12024.0,4895.0,20801.0,1783.0,19468.0,96.0
1036,6.0,8.0,0.0,1.0,81.0,17.0,14.0,7.0,680.0,4.0,39.0,17326.0,23.0,3.0,57.0,16537.0,11952.0,31.0,76.0,91.0,8794.0,27.0,10.0,99.0,11897.0,4907.0,34.0,188.0,50.0,59.0
1085,3.0,5.0,2.0,6.0,0.0,7.0,1.0,16727.0,7835.0,14.0,22.0,17.0,44.0,27.0,56.0,16509.0,11719.0,29.0,50.0,83.0,8798.0,16.0,13.0,20969.0,11974.0,4912.0,25.0,209.0,54.0,994.0
1134,7.0,2.0,3.0,1.0,72.0,0.0,22.0,75.0,3136.0,17.0,21.0,17316.0,19.0,30.0,74.0,16517.0,11204.0,4.0,87.0,12841.0,8616.0,38.0,23.0,81.0,134.0,4989.0,28.0,238.0,61.0,16661.0
1183,9.0,8.0,6.0,1.0,5.0,0.0,15.0,88.0,7847.0,13.0,4.0,17351.0,55.0,43.0,108.0,84.0,11971.0,2.0,62.0,12841.0,8818.0,16.0,25.0,61.0,12003.0,291.0,66.0,2093.0,19476.0,16656.0
1232,0.0,6.0,42.0,9.0,33.0,2.0,7.0,41.0,7820.0,14.0,3.0,17306.0,22550.0,1.0,18.0,57.0,11700.0,8.0,67.0,143.0,8732.0,21.0,25.0,20977.0,11952.0,4874.0,47.0,134.0,205.0,16670.0
1281,4.0,13.0,35.0,57.0,14.0,0.0,5.0,46.0,7863.0,2.0,1.0,16.0,12.0,8.0,90.0,65.0,7.0,10.0,60.0,122.0,8795.0,32.0,25.0,102.0,11989.0,4909.0,17.0,1906.0,255.0,16712.0
1330,8.0,9.0,4.0,42.0,26.0,1.0,23.0,30.0,7816.0,20.0,3.0,118.0,22573.0,0.0,49.0,45.0,11823.0,50.0,89.0,12820.0,15.0,11.0,35.0,75.0,62.0,41.0,13.0,90.0,19407.0,34.0
1379,12.0,6.0,2.0,44.0,10587.0,1.0,9.0,11.0,7847.0,30.0,8.0,32.0,767.0,3.0,11196.0,64.0,11978.0,84.0,81.0,0.0,8819.0,24.0,26.0,16.0,20.0,54.0,20804.0,1906.0,19465.0,89.0
1428,29.0,14.0,22.0,20.0,33.0,7.0,54.0,32.0,35.0,51.0,27.0,17197.0,15.0,11580.0,11180.0,25.0,112.0,14710.0,10907.0,12.0,8817.0,26.0,9.0,59.0,10.0,87.0,20811.0,1319.0,19410.0,16717.0
1477,56.0,15.0,20274.0,1.0,6.0,0.0,2.0,28.0,4.0,12.0,210.0,17318.0,22571.0,11668.0,11205.0,16519.0,3.0,14732.0,10941.0,12839.0,8824.0,113.0,145.0,127.0,11895.0,102.0,20812.0,78.0,13.0,16667.0
1526,3.0,9.0,47.0,0.0,16.0,1.0,6.0,2.0,12.0,423.0,19356.0,17316.0,22592.0,11588.0,11175.0,16527.0,7.0,14708.0,100.0,12822.0,115.0,94.0,71.0,20957.0,11928.0,40.0,259.0,198.0,67.0,16657.0
1575,1.0,72.0,6.0,3.0,43.0,2.0,9.0,17.0,16.0,5.0,19371.0,31.0,22569.0,11594.0,11187.0,16995.0,24.0,14720.0,70.0,12895.0,8809.0,16533.0,81.0,602.0,11928.0,39.0,126.0,186.0,19467.0,1024.0
1624,2.0,12.0,1.0,3.0,31.0,0.0,14.0,5.0,22.0,50.0,198.0,29.0,73.0,63.0,7880.0,60.0,21.0,14835.0,9.0,12890.0,8639.0,100.0,321.0,20966.0,10785.0,59.0,20806.0,84.0,19473.0,681.0
1673,6.0,17.0,5.0,0.0,43.0,7.0,3.0,2.0,46.0,63.0,26.0,14.0,436.0,12.0,11219.0,76.0,34.0,80.0,41.0,12829.0,8753.0,110.0,9967.0,20959.0,11995.0,68.0,87.0,139.0,263.0,16714.0
1722,3.0,17.0,8.0,2.0,16.0,5.0,4.0,1.0,24.0,13.0,22.0,53.0,126.0,10.0,55.0,61.0,11.0,221.0,25.0,12827.0,8063.0,16500.0,99.0,20984.0,10658.0,4925.0,100.0,58.0,542.0,16705.0
1771,19.0,8.0,35.0,0.0,10.0,4.0,1.0,6.0,2.0,83.0,12.0,184.0,125.0,49.0,59.0,16520.0,25.0,95.0,18.0,12811.0,63.0,16463.0,69.0,20982.0,11853.0,4908.0,33.0,126.0,204.0,16650.0
1820,22.0,36.0,0.0,1.0,11.0,13307.0,2.0,3.0,16.0,23.0,20.0,17307.0,155.0,38.0,39.0,16505.0,69.0,14812.0,17.0,12831.0,163.0,68.0,80.0,20955.0,83.0,4878.0,20771.0,96.0,14.0,16642.0
1869,4.0,9.0,0.0,11.0,14.0,33.0,1.0,3.0,80.0,16557.0,7.0,17207.0,34.0,71.0,7409.0,17491.0,52.0,45.0,16.0,12902.0,8152.0,35.0,97.0,20988.0,10853.0,78.0,5.0,1640.0,17.0,1126.0
1918,8.0,16.0,7.0,18.0,2.0,0.0,13.0,5.0,4.0,203.0,15.0,17325.0,211.0,39.0,36.0,16525.0,72.0,9.0,1.0,12887.0,313.0,28.0,82.0,20957.0,170.0,69.0,6.0,647.0,12.0,16721.0
1967,16143.0,1.0,3.0,6.0,0.0,59.0,4.0,16782.0,14.0,49.0,956.0,17305.0,22581.0,56.0,11204.0,15.0,26.0,8.0,10939.0,12829.0,48.0,16464.0,13.0,543.0,11968.0,267.0,690.0,368.0,19411.0,16654.0
2016,2.0,4.0,14.0,32.0,0.0,72.0,15.0,38.0,3.0,1.0,20.0,44.0,22242.0,78.0,11190.0,27.0,34.0,24.0,10925.0,12873.0,48.0,16540.0,83.0,71.0,11998.0,291.0,20800.0,40.0,19485.0,46.0
2065,2.0,5.0,18.0,6.0,0.0,21.0,14.0,3.0,7.0,1.0,16.0,37.0,22564.0,11574.0,983.0,84.0,46.0,25.0,10925.0,12828.0,48.0,16479.0,80.0,20967.0,11983.0,4921.0,20805.0,1883.0,19438.0,29.0
2114,77.0,1.0,7.0,26.0,0.0,47.0,25.0,30.0,5.0,4.0,23.0,27.0,418.0,11586.0,375.0,76.0,111.0,31.0,10913.0,12818.0,15.0,16455.0,73.0,20972.0,11971.0,51.0,19.0,2056.0,19408.0,55.0
2163,73.0,35.0,17.0,6.0,0.0,62.0,12.0,23.0,3.0,1.0,4.0,17306.0,22586.0,758.0,2.0,16541.0,81.0,29.0,10899.0,12828.0,48.0,16457.0,53.0,204.0,60.0,4878.0,58.0,26.0,19409.0,16647.0
2212,108.0,0.0,18.0,23.0,6.0,73.0,2.0,4.0,31.0,3.0,15.0,1073.0,22577.0,11569.0,57.0,33.0,12.0,8.0,534.0,70.0,78.0,107.0,53.0,1140.0,11986.0,72.0,154.0,2020.0,19438.0,62.0
2261,16114.0,17672.0,5.0,423.0,6.0,113.0,10.0,15.0,22.0,1.0,2.0,397.0,139.0,11579.0,0.0,16544.0,17.0,8.0,80.0,12834.0,55.0,16462.0,62.0,180.0,34.0,81.0,96.0,986.0,19462.0,24.0
2310,16123.0,646.0,2.0,19653.0,4.0,68.0,87.0,16.0,7834.0,3.0,40.0,17315.0,46.0,97.0,1.0,16517.0,11931.0,10.0,73.0,82.0,48.0,84.0,43.0,8.0,19.0,101.0,606.0,1253.0,19475.0,16683.0
2359,2.0,5.0,4.0,9.0,6.0,73.0,74.0,3.0,15.0,1.0,19382.0,17304.0,25.0,11919.0,0.0,16507.0,10701.0,42.0,11021.0,12864.0,57.0,16490.0,65.0,64.0,22.0,4844.0,117.0,1575.0,19407.0,41.0
2408,271.0,10.0,71.0,4.0,0.0,15.0,42.0,6.0,12.0,2.0,3.0,17308.0,9.0,11559.0,1.0,16511.0,11820.0,40.0,359.0,12820.0,16.0,16473.0,258.0,84.0,23.0,4901.0,13.0,1961.0,19393.0,93.0
2457,0.0,2.0,7.0,1.0,10529.0,3.0,14.0,17.0,32.0,10.0,19354.0,16.0,42.0,38.0,11181.0,117.0,11955.0,14860.0,12.0,447.0,8815.0,16479.0,27.0,20954.0,19.0,4931.0,510.0,35.0,75.0,93.0
2506,3.0,1.0,2.0,12.0,10472.0,0.0,16.0,37.0,29.0,6.0,19310.0,33.0,23.0,11551.0,11139.0,20.0,11923.0,14791.0,5.0,7.0,8765.0,53.0,34.0,86.0,11890.0,4797.0,20868.0,2035.0,125.0,16650.0
2555,1.0,4.0,0.0,3.0,18.0,8.0,2.0,7.0,16.0,1025.0,102.0,43.0,20.0,13.0,103.0,92.0,11921.0,14824.0,10.0,747.0,8803.0,86.0,46.0,87.0,11865.0,4885.0,20800.0,2031.0,14.0,756.0
