,OESOPHAGUS,OVARY,AERODIGESTIVE,HAEMATOPOIETIC,KIDNEY,ENDOMETRIUM,LARGE_INTESTINE,STOMACH,BREAST,SALIVARY,BILIARY,PLEURA,PROSTATE,THYROID,PANCREAS,URINARY,LUNG,LIVER,BONE,GANGLIA,SOFT_TISSUE,SKIN,NERVOUS
44,0.0,3.0,1.0,6.0,7.0,9.0,2.0,5.0,4.0,12.0,10.0,14.0,13.0,11.0,18.0,8.0,16.0,15.0,17.0,19.0,20.0,21.0,22.0
93,0.0,2.0,1.0,5.0,3.0,10.0,4.0,9.0,6.0,8.0,11.0,13.0,7.0,12.0,17.0,16.0,14.0,18.0,15.0,19.0,20.0,21.0,22.0
142,0.0,2.0,1.0,4.0,3.0,5.0,9.0,8.0,6.0,7.0,13.0,12.0,11.0,14.0,16.0,10.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
191,0.0,3.0,1.0,5.0,4.0,6.0,2.0,9.0,7.0,8.0,10.0,18.0,12.0,11.0,14.0,13.0,17.0,15.0,16.0,19.0,20.0,21.0,22.0
240,0.0,2.0,1.0,3.0,5.0,6.0,4.0,10.0,7.0,8.0,11.0,9.0,15.0,12.0,16.0,14.0,13.0,17.0,20.0,18.0,19.0,21.0,22.0
289,0.0,2.0,1.0,4.0,3.0,5.0,6.0,9.0,8.0,7.0,13.0,12.0,11.0,14.0,16.0,10.0,15.0,18.0,17.0,20.0,19.0,21.0,22.0
338,0.0,2.0,3.0,4.0,6.0,5.0,1.0,15.0,8.0,7.0,9.0,12.0,13.0,11.0,17.0,14.0,16.0,19.0,18.0,10.0,20.0,21.0,22.0
387,0.0,3.0,2.0,7.0,1.0,5.0,4.0,9.0,6.0,8.0,10.0,12.0,13.0,11.0,17.0,14.0,16.0,15.0,18.0,20.0,19.0,21.0,22.0
436,0.0,1.0,3.0,4.0,2.0,10.0,6.0,8.0,5.0,7.0,11.0,14.0,13.0,12.0,16.0,9.0,15.0,17.0,18.0,20.0,19.0,21.0,22.0
485,0.0,1.0,2.0,6.0,5.0,3.0,4.0,8.0,14.0,7.0,9.0,11.0,12.0,10.0,16.0,13.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
