,ZBTB20_AMP,NAALADL2_DEL,CDC73_AMP,GSTTP1_AMP,PCCB_DEL,BTNL3_DEL,KIR2DL4_AMP,NRXN1_DEL,SORD_AMP,MRGPRX1_DEL,ARHGAP22_DEL,GALNTL6_DEL,CES1P1_DEL,KIR3DL1_AMP,UBE2Q2P2_AMP,BTNL8_DEL,LPA_AMP,UBE2Q2P3_AMP,ADAM3A_AMP,XKR6_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,BCAS1_AMP,PCDHA5_DEL,PCDHA2_DEL,PCDHA1_DEL,PCDHA7_DEL,PCDHA4_DEL,PCDHA6_DEL
30,0.0,33.0,15.0,10.0,46.0,111.0,31.0,22.0,19.0,16.0,17.0,2294.0,350.0,37.0,4.0,1165.0,385.0,5.0,23.0,28.0,6.0,7.0,8.0,18.0,55.0,53.0,54.0,52.0,49.0,51.0
79,0.0,25.0,4.0,1.0,44.0,370.0,5.0,12.0,73.0,29.0,8.0,321.0,10.0,18.0,17.0,11550.0,11.0,16.0,70.0,40.0,20.0,21.0,19.0,14.0,32.0,37.0,36.0,34.0,31.0,33.0
128,0.0,17.0,1.0,2.0,25.0,96.0,165.0,27.0,28.0,60.0,3.0,105.0,130.0,94.0,12.0,366.0,4.0,11.0,99.0,22.0,15.0,16.0,14.0,19.0,34.0,36.0,30.0,31.0,33.0,35.0
177,0.0,7.0,3.0,1.0,26.0,33.0,9.0,17.0,6.0,2.0,28.0,752.0,126.0,14.0,34.0,402.0,41.0,35.0,59.0,18.0,38.0,40.0,39.0,24.0,48.0,43.0,42.0,44.0,46.0,47.0
226,0.0,29.0,6.0,3.0,45.0,62.0,15.0,36.0,60.0,9.0,14.0,10.0,248.0,42.0,18.0,1289.0,55.0,21.0,92.0,54.0,19.0,17.0,20.0,13.0,23.0,28.0,24.0,26.0,27.0,25.0
275,0.0,32.0,1.0,5.0,14.0,168.0,3.0,23.0,27.0,4.0,11.0,802.0,232.0,8.0,15.0,12748.0,345.0,16.0,21.0,49.0,19.0,18.0,17.0,13.0,37.0,38.0,39.0,34.0,33.0,35.0
324,0.0,3.0,48.0,17.0,18.0,75.0,33.0,47.0,34.0,13.0,2.0,40.0,5218.0,46.0,8.0,627.0,56.0,7.0,19.0,2094.0,11.0,10.0,9.0,59.0,28.0,24.0,27.0,30.0,26.0,29.0
373,0.0,11.0,3.0,1.0,28.0,1290.0,25.0,4.0,70.0,5.0,29.0,56.0,57.0,42.0,7.0,5426.0,372.0,6.0,22.0,39.0,10.0,8.0,9.0,41.0,18.0,16.0,17.0,14.0,13.0,21.0
422,0.0,5.0,41.0,17.0,95.0,28.0,2.0,12.0,213.0,383.0,197.0,13.0,103.0,4.0,48.0,1813.0,32.0,47.0,46.0,74.0,51.0,50.0,49.0,6.0,38.0,36.0,35.0,34.0,39.0,33.0
471,0.0,60.0,13.0,3.0,16.0,129.0,25.0,18.0,19.0,35.0,6.0,54.0,680.0,39.0,8.0,9459.0,252.0,7.0,15.0,48.0,10.0,11.0,9.0,154.0,30.0,29.0,27.0,32.0,28.0,33.0
520,1.0,0.0,3.0,4.0,16.0,14.0,12.0,5.0,350.0,2.0,13.0,31.0,6.0,10.0,57.0,43.0,110.0,56.0,30.0,22.0,66.0,64.0,65.0,88.0,38.0,40.0,33.0,34.0,41.0,39.0
569,0.0,1.0,3.0,9.0,5.0,7.0,12.0,6.0,19.0,2.0,22.0,17.0,13.0,15.0,29.0,25.0,42.0,28.0,8.0,38.0,33.0,32.0,34.0,49.0,55.0,59.0,58.0,53.0,56.0,54.0
618,0.0,2.0,12.0,4.0,21.0,11.0,29.0,3.0,47.0,15.0,14.0,27.0,13.0,49.0,765.0,54.0,390.0,764.0,31.0,22.0,858.0,860.0,859.0,55.0,58.0,66.0,64.0,65.0,62.0,59.0
667,3.0,0.0,4.0,8.0,1.0,2.0,78.0,19.0,197.0,11.0,39.0,72.0,54.0,136.0,106.0,15.0,9.0,107.0,42.0,49.0,116.0,118.0,117.0,127.0,35.0,33.0,34.0,31.0,28.0,29.0
716,0.0,5.0,13.0,3.0,36.0,2.0,198.0,1.0,7.0,11.0,4.0,48.0,102.0,217.0,82.0,41.0,212.0,85.0,16.0,17.0,81.0,84.0,83.0,72.0,55.0,52.0,54.0,57.0,60.0,56.0
765,0.0,1.0,4.0,11.0,41.0,2.0,13.0,3.0,40.0,25.0,89.0,12.0,67.0,21.0,136.0,22.0,61.0,135.0,15.0,33.0,145.0,146.0,144.0,66.0,97.0,105.0,104.0,98.0,102.0,99.0
814,0.0,3.0,1.0,2.0,10.0,7.0,4.0,8.0,21.0,5.0,9.0,248.0,990.0,11.0,29.0,19.0,51.0,30.0,17.0,37.0,31.0,32.0,33.0,298.0,68.0,66.0,71.0,65.0,69.0,67.0
863,2.0,0.0,7.0,3.0,1.0,24.0,26.0,25.0,19.0,5.0,4.0,196.0,34.0,39.0,30.0,102.0,13.0,29.0,22.0,104.0,32.0,31.0,33.0,251.0,47.0,50.0,45.0,44.0,52.0,48.0
912,8.0,1.0,11.0,4.0,7.0,3.0,19.0,2.0,6.0,0.0,5.0,22.0,65.0,58.0,41.0,13.0,52.0,42.0,10.0,61.0,45.0,43.0,44.0,143.0,34.0,29.0,31.0,37.0,36.0,35.0
961,0.0,25.0,11.0,2.0,17.0,258.0,100.0,9.0,8.0,3.0,16.0,7687.0,21.0,157.0,97.0,7842.0,7.0,96.0,22.0,44.0,106.0,105.0,104.0,23.0,59.0,57.0,60.0,62.0,56.0,55.0
1010,1.0,0.0,123.0,82.0,2.0,20.0,97.0,142.0,395.0,10.0,19.0,56.0,24.0,155.0,6.0,59.0,15.0,5.0,28.0,133.0,8.0,7.0,9.0,312.0,39.0,37.0,36.0,35.0,41.0,38.0
1059,0.0,2.0,33.0,7.0,1.0,3.0,6.0,48.0,9.0,27.0,21.0,28.0,50.0,14.0,16.0,26.0,8.0,15.0,32.0,179.0,17.0,19.0,18.0,44.0,84.0,81.0,86.0,83.0,87.0,85.0
1108,0.0,2.0,33.0,107.0,5.0,1.0,7.0,24.0,10.0,75.0,349.0,11.0,78.0,23.0,153.0,3.0,53.0,154.0,48.0,383.0,161.0,160.0,159.0,123.0,20.0,18.0,19.0,22.0,16.0,21.0
1157,0.0,2.0,17.0,8.0,1.0,3.0,64.0,16.0,117.0,56.0,19.0,7.0,4.0,165.0,21.0,9.0,10.0,20.0,52.0,643.0,23.0,24.0,22.0,18.0,76.0,77.0,75.0,73.0,78.0,74.0
1206,0.0,5.0,37.0,23.0,2.0,1.0,33.0,32.0,8.0,66.0,10.0,7.0,4.0,78.0,12.0,11.0,3.0,13.0,58.0,232.0,14.0,16.0,15.0,9.0,1227.0,1226.0,1220.0,1222.0,1224.0,1219.0
1255,0.0,8.0,112.0,100.0,1.0,2.0,78.0,27.0,32.0,47.0,12.0,33.0,13.0,222.0,14.0,19.0,3.0,15.0,9.0,130.0,17.0,18.0,16.0,30.0,45.0,44.0,42.0,41.0,39.0,43.0
1304,0.0,2.0,35.0,7.0,3.0,1.0,9.0,29.0,4.0,18.0,8.0,21.0,158.0,23.0,13.0,10.0,27.0,14.0,39.0,313.0,15.0,16.0,17.0,24.0,59.0,56.0,62.0,61.0,58.0,60.0
1353,0.0,2.0,25.0,10.0,1.0,11.0,18.0,174.0,27.0,45.0,19.0,46.0,21.0,24.0,4.0,40.0,65.0,3.0,17.0,110.0,7.0,6.0,5.0,15.0,31.0,34.0,35.0,36.0,32.0,30.0
1402,1.0,0.0,67.0,13.0,3.0,17.0,4.0,40.0,28.0,52.0,65.0,2.0,951.0,10.0,6.0,21.0,11.0,5.0,25.0,96.0,8.0,9.0,7.0,12.0,35.0,33.0,32.0,37.0,34.0,36.0
1451,0.0,3.0,82.0,11.0,2.0,1.0,56.0,103.0,4.0,31.0,41.0,10.0,19.0,72.0,12.0,8.0,9.0,13.0,42.0,116.0,14.0,15.0,16.0,48.0,38.0,33.0,35.0,34.0,37.0,32.0
1500,0.0,3.0,5.0,4.0,8.0,1.0,7.0,16.0,15.0,2.0,21.0,34.0,139.0,11.0,153.0,6.0,260.0,154.0,10.0,13.0,164.0,165.0,166.0,72.0,27.0,24.0,30.0,29.0,26.0,28.0
1549,0.0,7.0,2.0,6.0,4.0,1.0,13.0,51.0,159.0,9.0,45.0,8.0,694.0,43.0,19.0,5.0,44.0,20.0,12.0,10.0,23.0,21.0,22.0,15.0,31.0,28.0,33.0,29.0,32.0,30.0
1598,0.0,2.0,3.0,9.0,7.0,1.0,19.0,25.0,21.0,20.0,31.0,4.0,39.0,18.0,78.0,6.0,30.0,79.0,24.0,11.0,93.0,91.0,92.0,59.0,45.0,41.0,47.0,43.0,46.0,44.0
1647,0.0,7.0,1.0,4.0,5.0,2.0,13.0,21.0,11.0,3.0,35.0,6.0,69.0,28.0,33.0,121.0,89.0,32.0,31.0,16.0,40.0,39.0,38.0,56.0,79.0,81.0,76.0,77.0,78.0,80.0
1696,0.0,8.0,9.0,5.0,15.0,1.0,30.0,16.0,14.0,4.0,43.0,3.0,117.0,46.0,99.0,18.0,28.0,100.0,7.0,10.0,120.0,119.0,118.0,47.0,33.0,37.0,35.0,31.0,36.0,34.0
1745,0.0,10.0,7.0,20.0,1.0,3.0,4.0,15.0,406.0,6.0,28.0,5.0,59.0,12.0,121.0,58.0,2617.0,122.0,26.0,8.0,147.0,146.0,145.0,150.0,40.0,35.0,34.0,39.0,37.0,38.0
1794,0.0,7.0,25.0,41.0,6.0,1.0,8.0,30.0,5.0,14.0,19.0,18.0,134.0,12.0,60.0,3.0,120.0,59.0,15.0,144.0,64.0,65.0,63.0,28.0,35.0,33.0,34.0,36.0,37.0,38.0
1843,0.0,10.0,2.0,13.0,12.0,1.0,18.0,26.0,6.0,47.0,920.0,4.0,36.0,66.0,204.0,3.0,109.0,205.0,5.0,21.0,225.0,226.0,227.0,19.0,27.0,31.0,29.0,33.0,32.0,28.0
1892,0.0,4.0,7.0,6.0,3.0,2.0,5.0,12.0,159.0,9.0,26.0,14.0,8.0,13.0,262.0,28.0,18.0,261.0,15.0,17.0,317.0,319.0,318.0,64.0,39.0,37.0,42.0,36.0,40.0,38.0
1941,0.0,8.0,3.0,4.0,5.0,1.0,17.0,13.0,19.0,31.0,25.0,2.0,6.0,35.0,50.0,9.0,193.0,51.0,18.0,23.0,48.0,47.0,49.0,54.0,296.0,294.0,293.0,298.0,300.0,297.0
1990,0.0,2.0,9.0,40.0,34.0,58.0,3.0,15.0,21.0,19.0,246.0,559.0,18.0,8.0,130.0,191.0,23.0,134.0,32.0,46.0,131.0,132.0,133.0,49.0,29.0,26.0,25.0,30.0,28.0,31.0
2039,2.0,1.0,4.0,36.0,31.0,9.0,30.0,6.0,8.0,97.0,426.0,0.0,22.0,40.0,45.0,37.0,18.0,44.0,35.0,72.0,46.0,48.0,47.0,7.0,12.0,13.0,11.0,16.0,15.0,10.0
2088,0.0,46.0,1.0,18.0,19.0,7.0,2.0,23.0,22.0,13.0,79.0,8.0,17.0,3.0,49.0,20.0,24.0,48.0,69.0,25.0,50.0,47.0,51.0,5.0,36.0,35.0,31.0,37.0,33.0,32.0
2137,0.0,1.0,4.0,3.0,36.0,32.0,31.0,11.0,6.0,49.0,82.0,7.0,28.0,34.0,54.0,85.0,41.0,53.0,48.0,33.0,51.0,52.0,50.0,12.0,14.0,17.0,19.0,15.0,16.0,13.0
2186,0.0,3.0,1.0,21.0,12.0,51.0,2.0,6.0,10.0,5.0,60.0,4.0,88.0,7.0,41.0,30.0,24.0,43.0,26.0,59.0,40.0,44.0,42.0,9.0,19.0,16.0,17.0,20.0,15.0,14.0
2235,0.0,3.0,11.0,16.0,10.0,1.0,5.0,8.0,15.0,17.0,46.0,2.0,9.0,7.0,176.0,4.0,30.0,174.0,53.0,61.0,175.0,172.0,173.0,68.0,34.0,37.0,36.0,31.0,39.0,33.0
2284,0.0,4.0,2.0,43.0,31.0,1.0,6.0,5.0,10.0,29.0,117.0,9.0,7.0,8.0,79.0,3.0,47.0,78.0,37.0,34.0,77.0,76.0,75.0,35.0,19.0,22.0,21.0,24.0,20.0,25.0
2333,0.0,2.0,3.0,14.0,40.0,9.0,6.0,5.0,1.0,28.0,148.0,10.0,22.0,11.0,58.0,23.0,49.0,59.0,13.0,48.0,60.0,56.0,57.0,4.0,18.0,21.0,20.0,16.0,19.0,17.0
2382,0.0,2.0,3.0,15.0,34.0,1.0,4.0,19.0,10.0,76.0,148.0,24.0,6.0,7.0,82.0,5.0,52.0,85.0,18.0,51.0,81.0,83.0,84.0,13.0,30.0,32.0,31.0,27.0,29.0,33.0
