,GABA,alpha-hydroxybutyrate,phosphocreatine,serine,alpha-glycerophosphate,C16:0 LPE,alpha-glycerophosphocholine,UMP,C22:6 LPE,niacinamide,C18:0 LPC,palmitoylcarnitine,pyroglutamic acid,isocitrate,valerylcarnitine,hypoxanthine,pantothenate,C36:4 PC-B,adenosine,urate,creatinine,C18:0 LPE,asparagine,serotonin,NADP,SDMA/ADMA,malondialdehyde,C34:4 PC,inositol,C56:5 TAG
23,0.0,8.0,1.0,16.0,2.0,5.0,3.0,6.0,7.0,26.0,9.0,18.0,10.0,4.0,17.0,20.0,21.0,35.0,29.0,14.0,23.0,13.0,34.0,22.0,28.0,24.0,12.0,49.0,11.0,30.0
72,3.0,0.0,1.0,8.0,4.0,7.0,6.0,2.0,5.0,9.0,10.0,14.0,24.0,13.0,28.0,16.0,17.0,18.0,21.0,20.0,19.0,35.0,22.0,25.0,42.0,29.0,11.0,44.0,27.0,15.0
121,0.0,3.0,1.0,6.0,8.0,2.0,4.0,9.0,11.0,28.0,12.0,34.0,21.0,5.0,42.0,7.0,22.0,17.0,13.0,14.0,40.0,15.0,24.0,19.0,31.0,36.0,10.0,43.0,18.0,29.0
170,0.0,2.0,3.0,7.0,1.0,14.0,6.0,5.0,8.0,13.0,11.0,30.0,15.0,4.0,9.0,16.0,26.0,23.0,18.0,10.0,25.0,34.0,19.0,31.0,36.0,29.0,12.0,39.0,24.0,35.0
219,0.0,2.0,1.0,11.0,4.0,3.0,6.0,9.0,15.0,5.0,7.0,16.0,12.0,13.0,8.0,10.0,23.0,19.0,26.0,17.0,30.0,20.0,25.0,14.0,31.0,28.0,21.0,40.0,18.0,38.0
268,0.0,6.0,4.0,9.0,1.0,11.0,2.0,3.0,8.0,19.0,15.0,12.0,27.0,5.0,16.0,10.0,13.0,21.0,32.0,29.0,18.0,25.0,24.0,17.0,37.0,23.0,7.0,45.0,14.0,20.0
317,0.0,4.0,1.0,2.0,6.0,8.0,5.0,7.0,9.0,17.0,3.0,21.0,13.0,12.0,20.0,10.0,16.0,19.0,26.0,11.0,23.0,22.0,14.0,28.0,30.0,24.0,18.0,42.0,33.0,25.0
366,0.0,4.0,1.0,3.0,8.0,5.0,7.0,9.0,2.0,10.0,13.0,14.0,16.0,12.0,6.0,18.0,11.0,15.0,24.0,20.0,33.0,39.0,19.0,23.0,28.0,30.0,37.0,45.0,17.0,40.0
415,0.0,4.0,1.0,5.0,3.0,7.0,6.0,8.0,2.0,20.0,12.0,10.0,19.0,13.0,26.0,9.0,22.0,14.0,24.0,27.0,21.0,33.0,11.0,23.0,15.0,31.0,16.0,35.0,17.0,32.0
464,0.0,3.0,9.0,6.0,8.0,4.0,1.0,15.0,2.0,13.0,7.0,23.0,14.0,29.0,10.0,22.0,11.0,19.0,16.0,21.0,30.0,12.0,28.0,35.0,34.0,32.0,5.0,57.0,17.0,24.0
513,1.0,5.0,3.0,11.0,0.0,13.0,9.0,18.0,12.0,7.0,2.0,4.0,8.0,10.0,6.0,14.0,33.0,19.0,21.0,28.0,22.0,34.0,15.0,32.0,23.0,25.0,20.0,17.0,30.0,29.0
562,6.0,0.0,1.0,4.0,5.0,3.0,8.0,13.0,11.0,14.0,12.0,2.0,9.0,7.0,10.0,22.0,17.0,15.0,16.0,23.0,24.0,21.0,18.0,19.0,30.0,27.0,37.0,41.0,25.0,32.0
611,1.0,4.0,0.0,9.0,5.0,6.0,2.0,17.0,18.0,12.0,3.0,8.0,7.0,10.0,11.0,25.0,32.0,15.0,27.0,16.0,21.0,13.0,14.0,20.0,23.0,22.0,24.0,31.0,35.0,28.0
660,4.0,0.0,1.0,5.0,3.0,2.0,7.0,13.0,14.0,12.0,10.0,11.0,6.0,9.0,16.0,8.0,31.0,21.0,26.0,30.0,23.0,27.0,25.0,29.0,22.0,18.0,34.0,24.0,36.0,32.0
709,6.0,1.0,0.0,5.0,2.0,4.0,3.0,13.0,9.0,8.0,11.0,20.0,10.0,15.0,7.0,12.0,22.0,16.0,24.0,31.0,18.0,14.0,21.0,23.0,36.0,29.0,25.0,32.0,19.0,30.0
758,5.0,2.0,0.0,7.0,3.0,6.0,4.0,20.0,15.0,18.0,1.0,9.0,8.0,11.0,12.0,19.0,21.0,10.0,31.0,24.0,22.0,28.0,16.0,27.0,30.0,23.0,14.0,26.0,17.0,29.0
807,3.0,0.0,2.0,4.0,10.0,5.0,1.0,13.0,16.0,8.0,9.0,6.0,7.0,12.0,14.0,15.0,18.0,27.0,46.0,26.0,19.0,11.0,20.0,24.0,25.0,35.0,28.0,33.0,40.0,36.0
856,5.0,6.0,3.0,10.0,0.0,7.0,2.0,13.0,9.0,15.0,12.0,4.0,14.0,11.0,8.0,1.0,17.0,21.0,20.0,16.0,22.0,26.0,29.0,24.0,30.0,23.0,28.0,35.0,25.0,27.0
905,1.0,7.0,0.0,2.0,6.0,3.0,4.0,17.0,13.0,11.0,8.0,5.0,10.0,14.0,9.0,15.0,35.0,18.0,27.0,29.0,19.0,22.0,30.0,20.0,31.0,25.0,12.0,41.0,34.0,16.0
954,0.0,1.0,2.0,6.0,4.0,3.0,10.0,7.0,20.0,9.0,8.0,16.0,5.0,11.0,12.0,15.0,18.0,24.0,25.0,17.0,19.0,22.0,28.0,13.0,23.0,36.0,34.0,21.0,29.0,27.0
1003,0.0,1.0,5.0,2.0,3.0,7.0,4.0,11.0,6.0,10.0,14.0,9.0,8.0,12.0,18.0,25.0,21.0,13.0,26.0,24.0,28.0,17.0,35.0,31.0,16.0,15.0,32.0,23.0,30.0,33.0
1052,0.0,1.0,3.0,4.0,2.0,12.0,5.0,7.0,6.0,8.0,14.0,11.0,9.0,15.0,13.0,19.0,16.0,20.0,10.0,17.0,34.0,33.0,23.0,24.0,22.0,18.0,26.0,35.0,25.0,21.0
1101,0.0,2.0,1.0,3.0,6.0,13.0,5.0,8.0,4.0,11.0,10.0,7.0,9.0,16.0,19.0,31.0,26.0,15.0,12.0,18.0,23.0,27.0,37.0,32.0,28.0,14.0,25.0,21.0,22.0,33.0
1150,1.0,2.0,3.0,0.0,6.0,13.0,10.0,8.0,4.0,7.0,23.0,15.0,5.0,9.0,33.0,17.0,29.0,11.0,19.0,36.0,38.0,24.0,30.0,20.0,22.0,25.0,14.0,41.0,31.0,26.0
1199,1.0,0.0,3.0,5.0,2.0,8.0,6.0,9.0,4.0,13.0,15.0,7.0,11.0,10.0,19.0,29.0,18.0,12.0,16.0,23.0,24.0,17.0,22.0,31.0,25.0,14.0,38.0,28.0,34.0,20.0
1248,1.0,0.0,4.0,6.0,2.0,3.0,9.0,8.0,5.0,11.0,16.0,18.0,12.0,7.0,19.0,25.0,13.0,10.0,22.0,15.0,32.0,14.0,34.0,20.0,26.0,24.0,23.0,31.0,29.0,28.0
1297,0.0,2.0,3.0,7.0,4.0,9.0,6.0,5.0,8.0,1.0,16.0,11.0,12.0,10.0,18.0,13.0,22.0,14.0,34.0,21.0,19.0,15.0,44.0,17.0,32.0,23.0,28.0,25.0,24.0,30.0
1346,0.0,2.0,4.0,3.0,1.0,5.0,7.0,9.0,6.0,11.0,12.0,14.0,8.0,15.0,13.0,35.0,23.0,18.0,22.0,26.0,39.0,10.0,25.0,30.0,27.0,24.0,19.0,21.0,43.0,36.0
1395,1.0,0.0,2.0,5.0,4.0,10.0,7.0,6.0,3.0,11.0,9.0,8.0,13.0,12.0,15.0,16.0,19.0,17.0,23.0,22.0,29.0,21.0,27.0,20.0,28.0,24.0,34.0,30.0,26.0,37.0
1444,3.0,1.0,2.0,0.0,7.0,10.0,9.0,8.0,4.0,16.0,19.0,6.0,13.0,12.0,14.0,17.0,5.0,11.0,18.0,22.0,26.0,29.0,28.0,25.0,27.0,31.0,55.0,39.0,23.0,37.0
1493,2.0,4.0,6.0,5.0,0.0,9.0,8.0,7.0,1.0,3.0,10.0,20.0,11.0,22.0,12.0,25.0,19.0,14.0,15.0,34.0,18.0,31.0,28.0,37.0,21.0,17.0,13.0,16.0,43.0,27.0
1542,5.0,6.0,3.0,1.0,0.0,10.0,8.0,4.0,2.0,7.0,9.0,16.0,13.0,15.0,18.0,22.0,19.0,23.0,26.0,27.0,17.0,37.0,14.0,20.0,11.0,30.0,21.0,12.0,34.0,32.0
1591,6.0,7.0,8.0,15.0,0.0,3.0,9.0,5.0,2.0,4.0,1.0,26.0,10.0,11.0,19.0,27.0,12.0,16.0,14.0,20.0,17.0,29.0,23.0,36.0,13.0,22.0,24.0,21.0,35.0,47.0
1640,2.0,5.0,4.0,11.0,0.0,3.0,7.0,8.0,6.0,1.0,9.0,25.0,10.0,13.0,12.0,16.0,14.0,17.0,18.0,24.0,26.0,27.0,20.0,19.0,22.0,15.0,32.0,28.0,29.0,42.0
1689,5.0,1.0,3.0,2.0,0.0,7.0,6.0,11.0,4.0,8.0,10.0,24.0,13.0,14.0,18.0,26.0,9.0,12.0,17.0,15.0,19.0,34.0,16.0,27.0,23.0,20.0,21.0,25.0,29.0,32.0
1738,2.0,5.0,7.0,8.0,3.0,0.0,9.0,4.0,1.0,6.0,22.0,12.0,10.0,15.0,14.0,21.0,11.0,13.0,18.0,26.0,16.0,29.0,23.0,33.0,24.0,20.0,17.0,30.0,39.0,41.0
1787,3.0,6.0,2.0,8.0,0.0,9.0,4.0,7.0,1.0,5.0,10.0,14.0,12.0,13.0,17.0,29.0,20.0,15.0,19.0,26.0,16.0,34.0,11.0,28.0,32.0,21.0,24.0,22.0,33.0,31.0
1836,6.0,3.0,2.0,5.0,0.0,7.0,4.0,8.0,1.0,13.0,9.0,11.0,12.0,16.0,10.0,28.0,21.0,14.0,17.0,20.0,19.0,40.0,23.0,18.0,15.0,22.0,32.0,25.0,33.0,37.0
1885,2.0,0.0,3.0,13.0,1.0,6.0,12.0,4.0,7.0,5.0,9.0,11.0,10.0,30.0,16.0,28.0,21.0,17.0,22.0,14.0,20.0,31.0,15.0,27.0,8.0,19.0,18.0,23.0,44.0,34.0
1934,8.0,3.0,1.0,2.0,0.0,4.0,7.0,6.0,5.0,19.0,11.0,10.0,18.0,12.0,21.0,17.0,16.0,9.0,14.0,13.0,15.0,24.0,20.0,29.0,22.0,25.0,37.0,34.0,39.0,41.0
1983,3.0,2.0,6.0,1.0,5.0,7.0,4.0,0.0,10.0,12.0,15.0,14.0,9.0,8.0,21.0,18.0,11.0,19.0,24.0,17.0,30.0,42.0,27.0,20.0,16.0,28.0,40.0,29.0,38.0,25.0
2032,5.0,0.0,1.0,2.0,14.0,6.0,4.0,7.0,3.0,10.0,20.0,13.0,9.0,16.0,8.0,17.0,15.0,11.0,24.0,12.0,32.0,22.0,31.0,40.0,19.0,25.0,29.0,45.0,43.0,44.0
2081,4.0,6.0,1.0,0.0,8.0,3.0,2.0,7.0,5.0,28.0,9.0,12.0,11.0,15.0,10.0,23.0,14.0,20.0,16.0,34.0,41.0,31.0,18.0,17.0,22.0,26.0,30.0,21.0,33.0,42.0
2130,5.0,0.0,3.0,1.0,6.0,14.0,2.0,4.0,7.0,15.0,13.0,10.0,9.0,19.0,8.0,25.0,16.0,11.0,26.0,18.0,22.0,20.0,24.0,29.0,12.0,17.0,28.0,23.0,33.0,38.0
2179,3.0,2.0,4.0,0.0,12.0,5.0,1.0,6.0,18.0,7.0,15.0,13.0,10.0,11.0,20.0,26.0,9.0,8.0,28.0,16.0,27.0,33.0,25.0,17.0,23.0,29.0,51.0,34.0,24.0,38.0
2228,4.0,1.0,0.0,2.0,5.0,11.0,3.0,10.0,7.0,19.0,14.0,9.0,12.0,8.0,6.0,23.0,15.0,13.0,26.0,16.0,17.0,36.0,32.0,18.0,35.0,30.0,49.0,29.0,27.0,24.0
2277,4.0,0.0,2.0,1.0,7.0,5.0,6.0,3.0,8.0,20.0,19.0,10.0,12.0,11.0,23.0,24.0,9.0,15.0,13.0,22.0,34.0,26.0,18.0,16.0,17.0,31.0,41.0,33.0,21.0,38.0
2326,0.0,8.0,10.0,2.0,9.0,6.0,4.0,3.0,1.0,25.0,20.0,14.0,13.0,22.0,7.0,16.0,11.0,5.0,38.0,15.0,26.0,21.0,23.0,17.0,18.0,27.0,45.0,19.0,24.0,29.0
2375,0.0,2.0,5.0,1.0,10.0,9.0,4.0,3.0,6.0,17.0,8.0,12.0,7.0,11.0,14.0,22.0,28.0,19.0,29.0,24.0,26.0,35.0,31.0,43.0,15.0,21.0,48.0,33.0,18.0,20.0
2424,5.0,7.0,3.0,0.0,1.0,8.0,2.0,4.0,6.0,21.0,14.0,28.0,10.0,11.0,15.0,25.0,12.0,37.0,18.0,32.0,27.0,41.0,45.0,20.0,16.0,30.0,24.0,17.0,23.0,35.0
2473,0.0,1.0,7.0,3.0,5.0,4.0,19.0,2.0,9.0,6.0,18.0,13.0,11.0,23.0,26.0,12.0,15.0,14.0,17.0,34.0,30.0,20.0,10.0,38.0,8.0,31.0,32.0,29.0,27.0,41.0
