,1-methylnicotinamide,alpha-glycerophosphate,C20:4 CE,homocysteine,C22:6 CE,GABA,leucine,guanosine,C18:0 LPC,UMP,C22:6 LPE,C16:0 LPE,alpha-hydroxybutyrate,niacinamide,C34:4 PC,hippurate,palmitoylcarnitine,oxalate,uridine,pantothenate,serine,C56:3 TAG,phosphocreatine,2-deoxycytidine,pyroglutamic acid,5-HIAA,C34:2 DAG,inositol,creatinine,hypoxanthine
21,0.0,4.0,3.0,8.0,1.0,5.0,15.0,2.0,12.0,9.0,11.0,6.0,16.0,41.0,21.0,13.0,14.0,46.0,18.0,31.0,25.0,45.0,23.0,17.0,19.0,32.0,20.0,48.0,22.0,38.0
70,0.0,1.0,2.0,7.0,5.0,43.0,3.0,4.0,12.0,11.0,19.0,16.0,15.0,38.0,10.0,6.0,27.0,64.0,25.0,8.0,41.0,42.0,35.0,33.0,22.0,13.0,17.0,18.0,40.0,46.0
119,0.0,3.0,1.0,2.0,4.0,10.0,6.0,8.0,24.0,9.0,31.0,5.0,7.0,21.0,11.0,17.0,29.0,12.0,15.0,20.0,33.0,13.0,35.0,19.0,16.0,36.0,34.0,39.0,65.0,26.0
168,0.0,2.0,4.0,7.0,1.0,5.0,3.0,9.0,22.0,6.0,27.0,24.0,8.0,13.0,15.0,10.0,33.0,16.0,19.0,11.0,41.0,12.0,18.0,20.0,60.0,53.0,45.0,21.0,58.0,29.0
217,0.0,1.0,2.0,11.0,6.0,3.0,5.0,4.0,7.0,13.0,26.0,17.0,9.0,12.0,19.0,8.0,16.0,18.0,59.0,15.0,45.0,10.0,23.0,14.0,29.0,25.0,21.0,38.0,30.0,28.0
266,0.0,1.0,5.0,41.0,6.0,2.0,3.0,24.0,29.0,4.0,38.0,11.0,17.0,21.0,22.0,25.0,9.0,27.0,16.0,8.0,57.0,14.0,18.0,31.0,7.0,34.0,10.0,44.0,53.0,19.0
315,0.0,1.0,2.0,26.0,8.0,9.0,3.0,13.0,6.0,5.0,28.0,11.0,4.0,12.0,42.0,7.0,14.0,16.0,40.0,23.0,17.0,18.0,20.0,32.0,15.0,30.0,25.0,52.0,45.0,10.0
364,0.0,4.0,1.0,48.0,2.0,3.0,5.0,9.0,12.0,6.0,8.0,11.0,7.0,10.0,32.0,14.0,15.0,21.0,31.0,17.0,37.0,22.0,40.0,24.0,41.0,25.0,19.0,20.0,66.0,16.0
413,0.0,1.0,5.0,8.0,11.0,6.0,4.0,12.0,18.0,9.0,7.0,13.0,2.0,19.0,48.0,16.0,27.0,22.0,14.0,31.0,42.0,35.0,20.0,44.0,15.0,47.0,36.0,32.0,28.0,10.0
462,0.0,3.0,1.0,4.0,17.0,2.0,5.0,38.0,9.0,19.0,7.0,23.0,6.0,14.0,32.0,10.0,16.0,44.0,37.0,18.0,39.0,11.0,45.0,47.0,29.0,40.0,12.0,21.0,36.0,34.0
511,0.0,1.0,16.0,5.0,3.0,4.0,19.0,2.0,6.0,56.0,10.0,9.0,15.0,7.0,14.0,24.0,11.0,52.0,8.0,17.0,26.0,45.0,42.0,12.0,18.0,20.0,22.0,13.0,27.0,23.0
560,0.0,1.0,16.0,4.0,3.0,13.0,12.0,5.0,6.0,36.0,9.0,2.0,14.0,17.0,10.0,39.0,7.0,33.0,8.0,55.0,24.0,11.0,19.0,37.0,18.0,15.0,58.0,23.0,29.0,20.0
609,0.0,4.0,5.0,6.0,2.0,3.0,7.0,1.0,14.0,45.0,31.0,9.0,16.0,29.0,26.0,12.0,30.0,57.0,15.0,36.0,41.0,21.0,10.0,18.0,13.0,17.0,32.0,20.0,51.0,53.0
658,0.0,4.0,17.0,1.0,2.0,9.0,12.0,3.0,5.0,16.0,6.0,8.0,7.0,36.0,19.0,44.0,14.0,35.0,27.0,48.0,31.0,13.0,11.0,34.0,55.0,26.0,29.0,20.0,37.0,10.0
707,0.0,1.0,3.0,5.0,7.0,37.0,10.0,24.0,2.0,9.0,31.0,11.0,4.0,13.0,16.0,27.0,17.0,41.0,42.0,29.0,36.0,43.0,12.0,22.0,18.0,6.0,32.0,53.0,8.0,23.0
756,0.0,1.0,7.0,8.0,2.0,12.0,9.0,6.0,3.0,39.0,34.0,13.0,4.0,24.0,5.0,19.0,44.0,27.0,28.0,33.0,25.0,40.0,10.0,36.0,38.0,35.0,21.0,22.0,30.0,14.0
805,0.0,1.0,3.0,22.0,4.0,8.0,2.0,7.0,5.0,12.0,19.0,9.0,11.0,18.0,27.0,36.0,26.0,44.0,24.0,38.0,16.0,46.0,41.0,14.0,15.0,6.0,21.0,34.0,13.0,17.0
854,0.0,1.0,10.0,2.0,4.0,8.0,5.0,3.0,19.0,13.0,22.0,17.0,12.0,20.0,18.0,9.0,11.0,34.0,21.0,35.0,23.0,40.0,25.0,39.0,37.0,31.0,15.0,24.0,28.0,6.0
903,0.0,2.0,5.0,1.0,15.0,13.0,20.0,3.0,8.0,63.0,17.0,23.0,10.0,19.0,4.0,6.0,18.0,33.0,30.0,53.0,24.0,16.0,22.0,32.0,42.0,21.0,35.0,9.0,26.0,27.0
952,0.0,4.0,1.0,8.0,7.0,22.0,11.0,3.0,5.0,30.0,16.0,9.0,2.0,46.0,13.0,6.0,20.0,21.0,55.0,12.0,28.0,24.0,64.0,14.0,43.0,29.0,17.0,33.0,32.0,42.0
1001,0.0,1.0,17.0,4.0,3.0,8.0,7.0,5.0,6.0,20.0,2.0,15.0,10.0,13.0,9.0,12.0,16.0,19.0,21.0,51.0,44.0,38.0,40.0,11.0,45.0,14.0,32.0,48.0,37.0,53.0
1050,0.0,2.0,24.0,1.0,3.0,4.0,5.0,9.0,10.0,15.0,7.0,22.0,43.0,8.0,6.0,11.0,12.0,44.0,13.0,59.0,47.0,33.0,41.0,21.0,34.0,26.0,19.0,52.0,27.0,51.0
1099,0.0,8.0,30.0,1.0,6.0,10.0,5.0,3.0,4.0,17.0,2.0,12.0,11.0,7.0,9.0,13.0,18.0,21.0,34.0,52.0,51.0,14.0,45.0,22.0,25.0,61.0,41.0,43.0,35.0,49.0
1148,0.0,1.0,47.0,2.0,10.0,4.0,5.0,3.0,35.0,12.0,6.0,7.0,13.0,39.0,16.0,26.0,49.0,14.0,9.0,21.0,15.0,19.0,30.0,31.0,46.0,53.0,11.0,54.0,57.0,50.0
1197,0.0,5.0,32.0,2.0,4.0,3.0,9.0,18.0,10.0,6.0,1.0,37.0,7.0,30.0,21.0,8.0,14.0,19.0,25.0,53.0,46.0,20.0,29.0,42.0,23.0,16.0,36.0,22.0,11.0,44.0
1246,0.0,1.0,6.0,2.0,11.0,10.0,13.0,5.0,7.0,27.0,4.0,8.0,3.0,16.0,12.0,18.0,20.0,9.0,29.0,39.0,30.0,43.0,40.0,22.0,37.0,25.0,35.0,50.0,15.0,52.0
1295,0.0,3.0,9.0,1.0,11.0,2.0,10.0,5.0,14.0,8.0,4.0,13.0,7.0,16.0,15.0,6.0,22.0,60.0,27.0,37.0,39.0,40.0,25.0,12.0,31.0,38.0,33.0,20.0,18.0,45.0
1344,0.0,1.0,20.0,10.0,12.0,3.0,2.0,8.0,23.0,9.0,4.0,7.0,6.0,21.0,13.0,5.0,45.0,42.0,33.0,16.0,17.0,22.0,63.0,32.0,29.0,11.0,51.0,18.0,48.0,64.0
1393,0.0,2.0,12.0,11.0,8.0,5.0,10.0,7.0,4.0,9.0,1.0,3.0,6.0,15.0,38.0,13.0,17.0,48.0,21.0,53.0,19.0,16.0,33.0,45.0,18.0,20.0,58.0,32.0,22.0,42.0
1442,0.0,2.0,9.0,3.0,8.0,28.0,14.0,10.0,5.0,7.0,1.0,12.0,4.0,15.0,20.0,33.0,11.0,36.0,16.0,22.0,6.0,23.0,61.0,53.0,45.0,25.0,27.0,55.0,35.0,52.0
1491,1.0,0.0,2.0,12.0,4.0,8.0,7.0,10.0,3.0,18.0,5.0,15.0,11.0,6.0,13.0,51.0,37.0,52.0,9.0,21.0,19.0,45.0,49.0,20.0,31.0,42.0,32.0,22.0,26.0,43.0
1540,0.0,3.0,2.0,1.0,9.0,27.0,4.0,52.0,5.0,8.0,7.0,15.0,6.0,10.0,32.0,33.0,39.0,16.0,34.0,24.0,26.0,42.0,28.0,17.0,12.0,38.0,55.0,37.0,20.0,11.0
1589,0.0,1.0,2.0,3.0,6.0,10.0,18.0,9.0,8.0,4.0,12.0,14.0,11.0,5.0,22.0,34.0,42.0,64.0,7.0,23.0,13.0,41.0,19.0,33.0,15.0,39.0,56.0,57.0,16.0,21.0
1638,0.0,1.0,3.0,2.0,10.0,13.0,11.0,9.0,4.0,8.0,12.0,5.0,14.0,7.0,26.0,24.0,34.0,36.0,6.0,21.0,39.0,20.0,19.0,46.0,17.0,47.0,18.0,64.0,23.0,28.0
1687,0.0,1.0,2.0,7.0,4.0,13.0,6.0,12.0,5.0,10.0,3.0,14.0,15.0,9.0,18.0,62.0,17.0,31.0,11.0,21.0,20.0,22.0,55.0,38.0,8.0,60.0,41.0,25.0,49.0,40.0
1736,0.0,1.0,5.0,4.0,6.0,8.0,11.0,12.0,15.0,2.0,9.0,3.0,13.0,10.0,17.0,60.0,7.0,34.0,14.0,16.0,36.0,28.0,32.0,24.0,22.0,21.0,39.0,38.0,35.0,30.0
1785,0.0,1.0,3.0,10.0,9.0,25.0,2.0,8.0,4.0,6.0,5.0,13.0,21.0,11.0,12.0,46.0,17.0,52.0,7.0,35.0,30.0,47.0,33.0,22.0,32.0,26.0,44.0,15.0,18.0,34.0
1834,0.0,1.0,2.0,5.0,4.0,41.0,8.0,3.0,7.0,10.0,6.0,9.0,11.0,14.0,34.0,29.0,13.0,27.0,20.0,28.0,43.0,42.0,19.0,44.0,12.0,21.0,48.0,24.0,15.0,60.0
1883,0.0,1.0,2.0,10.0,7.0,11.0,6.0,8.0,5.0,9.0,19.0,12.0,4.0,17.0,22.0,36.0,15.0,24.0,3.0,14.0,37.0,26.0,30.0,39.0,20.0,13.0,52.0,49.0,62.0,27.0
1932,0.0,1.0,2.0,10.0,3.0,13.0,5.0,8.0,7.0,12.0,14.0,4.0,6.0,22.0,15.0,46.0,37.0,36.0,19.0,27.0,35.0,25.0,20.0,39.0,9.0,24.0,57.0,59.0,16.0,51.0
1981,0.0,1.0,16.0,4.0,6.0,8.0,9.0,3.0,15.0,2.0,11.0,14.0,12.0,5.0,10.0,49.0,44.0,26.0,29.0,24.0,7.0,13.0,47.0,27.0,30.0,53.0,23.0,22.0,65.0,36.0
2030,0.0,12.0,6.0,7.0,10.0,15.0,2.0,1.0,16.0,13.0,3.0,4.0,11.0,39.0,5.0,25.0,59.0,9.0,54.0,17.0,14.0,24.0,46.0,48.0,31.0,38.0,20.0,47.0,57.0,55.0
2079,0.0,6.0,1.0,4.0,5.0,18.0,2.0,14.0,21.0,11.0,13.0,3.0,28.0,9.0,7.0,31.0,19.0,25.0,42.0,8.0,23.0,10.0,30.0,16.0,33.0,24.0,12.0,40.0,15.0,66.0
2128,0.0,6.0,2.0,10.0,5.0,35.0,3.0,1.0,7.0,4.0,12.0,9.0,27.0,17.0,16.0,51.0,20.0,18.0,11.0,8.0,38.0,30.0,65.0,15.0,40.0,29.0,57.0,23.0,55.0,63.0
2177,0.0,3.0,2.0,1.0,5.0,10.0,7.0,13.0,18.0,9.0,15.0,4.0,26.0,33.0,17.0,23.0,50.0,6.0,39.0,16.0,11.0,8.0,28.0,24.0,46.0,20.0,19.0,41.0,40.0,21.0
2226,0.0,3.0,7.0,1.0,22.0,6.0,2.0,11.0,4.0,10.0,5.0,16.0,9.0,18.0,14.0,38.0,24.0,27.0,17.0,8.0,28.0,26.0,23.0,20.0,25.0,15.0,13.0,29.0,19.0,41.0
2275,0.0,3.0,2.0,1.0,10.0,9.0,8.0,4.0,13.0,5.0,17.0,7.0,11.0,26.0,18.0,32.0,29.0,6.0,22.0,19.0,25.0,33.0,14.0,41.0,38.0,34.0,16.0,15.0,31.0,59.0
2324,0.0,1.0,8.0,4.0,14.0,10.0,9.0,3.0,6.0,7.0,2.0,5.0,39.0,15.0,25.0,40.0,21.0,12.0,49.0,18.0,32.0,55.0,23.0,11.0,33.0,64.0,53.0,27.0,31.0,48.0
2373,0.0,5.0,2.0,10.0,3.0,8.0,6.0,4.0,13.0,1.0,7.0,14.0,20.0,24.0,19.0,12.0,60.0,18.0,15.0,27.0,37.0,35.0,25.0,16.0,49.0,53.0,42.0,34.0,40.0,44.0
2422,0.0,1.0,3.0,6.0,7.0,11.0,5.0,13.0,28.0,4.0,2.0,14.0,23.0,8.0,12.0,30.0,27.0,16.0,9.0,53.0,10.0,20.0,35.0,19.0,24.0,25.0,17.0,38.0,54.0,43.0
2471,0.0,3.0,2.0,6.0,11.0,1.0,13.0,10.0,9.0,18.0,8.0,5.0,4.0,7.0,27.0,15.0,41.0,14.0,23.0,22.0,12.0,24.0,51.0,20.0,21.0,49.0,31.0,53.0,48.0,19.0
2520,0.0,9.0,2.0,3.0,14.0,1.0,7.0,24.0,4.0,33.0,5.0,10.0,6.0,11.0,8.0,26.0,18.0,12.0,17.0,38.0,21.0,22.0,29.0,16.0,37.0,15.0,62.0,55.0,58.0,13.0
2569,0.0,5.0,1.0,3.0,4.0,2.0,10.0,29.0,8.0,21.0,6.0,14.0,7.0,9.0,16.0,24.0,23.0,19.0,34.0,32.0,49.0,13.0,15.0,50.0,39.0,11.0,17.0,40.0,54.0,35.0
2618,0.0,5.0,1.0,10.0,6.0,2.0,16.0,33.0,13.0,12.0,15.0,18.0,7.0,14.0,9.0,31.0,21.0,4.0,54.0,42.0,17.0,11.0,23.0,24.0,27.0,41.0,26.0,46.0,34.0,3.0
2667,0.0,7.0,2.0,3.0,8.0,1.0,5.0,9.0,4.0,14.0,6.0,25.0,32.0,11.0,10.0,16.0,15.0,13.0,24.0,37.0,31.0,12.0,33.0,47.0,18.0,29.0,50.0,23.0,34.0,41.0
2716,0.0,4.0,6.0,16.0,12.0,1.0,3.0,7.0,8.0,9.0,10.0,19.0,20.0,2.0,5.0,14.0,18.0,11.0,29.0,13.0,22.0,40.0,28.0,36.0,27.0,41.0,42.0,45.0,49.0,17.0
2765,0.0,8.0,1.0,7.0,5.0,4.0,2.0,3.0,9.0,20.0,11.0,23.0,22.0,10.0,12.0,6.0,21.0,16.0,13.0,54.0,17.0,31.0,24.0,46.0,35.0,26.0,37.0,38.0,47.0,25.0
2814,0.0,11.0,3.0,5.0,6.0,2.0,21.0,8.0,4.0,36.0,41.0,23.0,18.0,1.0,13.0,42.0,10.0,9.0,7.0,25.0,14.0,12.0,15.0,19.0,34.0,39.0,44.0,24.0,33.0,37.0
2863,0.0,6.0,2.0,5.0,13.0,1.0,9.0,4.0,11.0,10.0,26.0,36.0,7.0,3.0,15.0,46.0,33.0,20.0,17.0,19.0,25.0,8.0,24.0,12.0,30.0,32.0,23.0,18.0,29.0,31.0
2912,0.0,4.0,3.0,2.0,11.0,1.0,10.0,6.0,12.0,34.0,26.0,16.0,5.0,7.0,18.0,61.0,13.0,23.0,14.0,33.0,24.0,20.0,22.0,17.0,59.0,8.0,21.0,35.0,19.0,9.0
2961,0.0,1.0,4.0,12.0,29.0,3.0,10.0,5.0,2.0,9.0,6.0,7.0,15.0,11.0,28.0,16.0,35.0,31.0,18.0,14.0,13.0,27.0,20.0,8.0,23.0,40.0,45.0,19.0,25.0,49.0
3010,0.0,1.0,2.0,13.0,28.0,4.0,11.0,7.0,5.0,9.0,3.0,6.0,26.0,8.0,12.0,18.0,17.0,20.0,10.0,39.0,58.0,22.0,41.0,25.0,21.0,14.0,30.0,23.0,56.0,35.0
