,hsa-miR-210,ebv-miR-BART7,hsa-miR-148a,hsa-miR-888,hsa-miR-597,hsa-miR-485-3p,hsa-miR-135b,hcmv-miR-US5-1,hsa-miR-590-3p,hsa-miR-587,hsa-miR-588,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-586,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-581,hsa-miR-580,hsa-miR-577,hsa-miR-591,hsa-miR-590-5p,hsa-miR-579,hsa-miR-578,hsa-miR-596,hsa-miR-576-5p,hsa-miR-592,hsa-miR-593,hsa-miR-628-5p,hsa-miR-576-3p
20,31.0,0.0,40.0,292.0,19.0,550.0,333.0,4.0,46.0,55.0,62.0,61.0,51.0,50.0,58.0,52.0,59.0,49.0,48.0,56.0,79.0,47.0,57.0,60.0,20.0,54.0,64.0,94.0,33.0,53.0
69,2.0,0.0,343.0,21.0,93.0,1.0,347.0,5.0,44.0,49.0,48.0,52.0,45.0,46.0,50.0,54.0,65.0,56.0,53.0,62.0,57.0,43.0,58.0,59.0,96.0,63.0,66.0,81.0,55.0,80.0
118,588.0,0.0,341.0,293.0,9.0,37.0,7.0,240.0,71.0,55.0,99.0,52.0,47.0,70.0,51.0,46.0,45.0,48.0,68.0,57.0,96.0,98.0,54.0,69.0,92.0,60.0,95.0,94.0,38.0,62.0
167,0.0,4.0,19.0,296.0,1.0,2.0,39.0,251.0,44.0,49.0,47.0,50.0,51.0,46.0,61.0,56.0,53.0,57.0,58.0,55.0,59.0,45.0,52.0,60.0,83.0,54.0,62.0,98.0,77.0,48.0
216,5.0,1.0,20.0,26.0,4.0,32.0,336.0,6.0,50.0,51.0,46.0,52.0,43.0,47.0,44.0,54.0,65.0,53.0,57.0,62.0,68.0,66.0,59.0,60.0,91.0,63.0,94.0,93.0,55.0,64.0
265,40.0,1.0,18.0,292.0,6.0,4.0,3.0,29.0,64.0,45.0,46.0,41.0,42.0,47.0,48.0,63.0,44.0,51.0,52.0,56.0,66.0,80.0,53.0,54.0,14.0,59.0,93.0,92.0,32.0,60.0
314,34.0,0.0,18.0,7.0,11.0,4.0,330.0,17.0,94.0,65.0,95.0,49.0,45.0,67.0,48.0,44.0,50.0,46.0,64.0,58.0,91.0,92.0,53.0,55.0,86.0,59.0,89.0,88.0,57.0,60.0
363,6.0,0.0,366.0,16.0,41.0,5.0,331.0,249.0,63.0,59.0,60.0,56.0,57.0,69.0,58.0,102.0,55.0,104.0,138.0,143.0,65.0,64.0,105.0,142.0,52.0,144.0,66.0,67.0,78.0,145.0
412,31.0,0.0,17.0,290.0,12.0,25.0,330.0,239.0,42.0,40.0,46.0,60.0,45.0,41.0,43.0,48.0,47.0,49.0,50.0,55.0,61.0,44.0,52.0,54.0,1.0,56.0,76.0,63.0,30.0,57.0
461,32.0,0.0,344.0,33.0,22.0,3.0,35.0,241.0,51.0,57.0,56.0,60.0,59.0,55.0,63.0,53.0,61.0,58.0,54.0,45.0,50.0,62.0,52.0,47.0,26.0,98.0,49.0,46.0,70.0,165.0
510,5.0,0.0,342.0,294.0,59.0,8.0,31.0,9.0,50.0,55.0,53.0,60.0,63.0,15.0,57.0,58.0,61.0,56.0,54.0,51.0,44.0,62.0,52.0,49.0,46.0,48.0,47.0,45.0,37.0,98.0
559,5.0,0.0,21.0,7.0,24.0,37.0,329.0,236.0,42.0,46.0,49.0,56.0,60.0,54.0,39.0,59.0,58.0,55.0,51.0,43.0,48.0,57.0,50.0,44.0,62.0,52.0,47.0,45.0,65.0,53.0
608,5.0,0.0,364.0,19.0,66.0,26.0,336.0,238.0,47.0,41.0,42.0,49.0,50.0,18.0,63.0,53.0,52.0,54.0,55.0,60.0,48.0,44.0,58.0,59.0,79.0,61.0,45.0,51.0,31.0,62.0
657,40.0,11.0,342.0,21.0,89.0,551.0,24.0,5.0,45.0,49.0,47.0,53.0,52.0,46.0,50.0,55.0,64.0,54.0,57.0,44.0,80.0,65.0,58.0,59.0,28.0,56.0,93.0,92.0,61.0,60.0
706,1.0,5.0,26.0,291.0,13.0,31.0,2.0,0.0,47.0,50.0,49.0,64.0,63.0,48.0,51.0,54.0,53.0,55.0,60.0,25.0,45.0,46.0,52.0,56.0,94.0,93.0,79.0,66.0,59.0,161.0
755,33.0,16.0,25.0,293.0,89.0,549.0,337.0,9.0,47.0,42.0,43.0,8.0,63.0,44.0,51.0,55.0,52.0,56.0,57.0,21.0,49.0,48.0,58.0,59.0,29.0,61.0,54.0,91.0,50.0,62.0
804,6.0,186.0,341.0,289.0,92.0,33.0,28.0,8.0,47.0,54.0,50.0,57.0,56.0,48.0,55.0,59.0,58.0,60.0,49.0,51.0,46.0,43.0,53.0,52.0,93.0,61.0,94.0,64.0,66.0,42.0
853,590.0,4.0,365.0,31.0,20.0,28.0,333.0,14.0,47.0,55.0,54.0,52.0,59.0,61.0,56.0,58.0,60.0,57.0,53.0,50.0,45.0,46.0,49.0,51.0,64.0,89.0,48.0,94.0,29.0,95.0
902,0.0,26.0,363.0,16.0,95.0,42.0,34.0,237.0,64.0,60.0,59.0,63.0,48.0,58.0,65.0,61.0,62.0,57.0,56.0,53.0,52.0,47.0,54.0,55.0,67.0,50.0,49.0,51.0,39.0,97.0
951,36.0,9.0,365.0,26.0,86.0,551.0,330.0,39.0,67.0,42.0,43.0,46.0,45.0,95.0,44.0,49.0,47.0,51.0,64.0,22.0,93.0,94.0,52.0,53.0,87.0,57.0,91.0,90.0,59.0,58.0
1000,0.0,15.0,22.0,307.0,45.0,4.0,19.0,241.0,58.0,62.0,60.0,66.0,65.0,59.0,64.0,68.0,67.0,69.0,73.0,106.0,55.0,57.0,105.0,140.0,44.0,143.0,70.0,54.0,78.0,144.0
1049,0.0,16.0,343.0,294.0,81.0,3.0,347.0,243.0,49.0,56.0,54.0,59.0,58.0,52.0,57.0,61.0,60.0,62.0,50.0,51.0,46.0,47.0,55.0,53.0,64.0,63.0,43.0,45.0,71.0,44.0
1098,0.0,2.0,4.0,1.0,84.0,551.0,348.0,243.0,47.0,45.0,44.0,48.0,50.0,43.0,49.0,52.0,51.0,53.0,54.0,6.0,46.0,41.0,55.0,57.0,83.0,58.0,61.0,90.0,73.0,59.0
1147,46.0,5.0,364.0,1.0,9.0,44.0,28.0,242.0,68.0,55.0,67.0,48.0,49.0,69.0,51.0,47.0,50.0,66.0,53.0,27.0,93.0,95.0,56.0,61.0,89.0,63.0,11.0,91.0,62.0,64.0
