,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-223,hsa-let-7e,hsa-miR-210,hsa-miR-24,hsa-miR-135b,hsa-miR-22,hsa-miR-21,hsa-miR-890,hsa-miR-130a,hsa-miR-151-3p,hsa-miR-193b,hsa-miR-574-5p,hsa-let-7a,hsa-miR-147b,hsa-miR-513a-3p,hsa-miR-92a,hsa-let-7i,hsa-miR-148a,hsa-miR-137,hsa-miR-628-5p,hsa-miR-10a,hsa-miR-193a-5p,hcmv-miR-US5-1,hsa-miR-222,hsa-miR-378,hsa-miR-422a,mcv-miR-M1-3p,hsa-miR-149
18,0.0,2.0,4.0,3.0,5.0,1.0,8.0,7.0,19.0,28.0,14.0,36.0,6.0,10.0,9.0,13.0,100.0,22.0,75.0,58.0,46.0,99.0,21.0,15.0,33.0,20.0,65.0,27.0,37.0,119.0
67,0.0,3.0,11.0,1.0,6.0,2.0,4.0,12.0,8.0,27.0,5.0,10.0,43.0,13.0,14.0,26.0,22.0,9.0,7.0,28.0,50.0,16.0,116.0,24.0,30.0,15.0,60.0,167.0,93.0,68.0
116,3.0,0.0,4.0,1.0,15.0,2.0,14.0,5.0,11.0,19.0,9.0,28.0,10.0,16.0,6.0,22.0,20.0,12.0,8.0,23.0,17.0,26.0,69.0,13.0,93.0,38.0,90.0,403.0,27.0,245.0
165,0.0,2.0,4.0,1.0,3.0,5.0,27.0,9.0,19.0,17.0,16.0,36.0,29.0,8.0,6.0,123.0,42.0,14.0,11.0,15.0,7.0,69.0,21.0,12.0,28.0,10.0,200.0,47.0,64.0,33.0
214,0.0,4.0,3.0,1.0,21.0,2.0,58.0,14.0,27.0,6.0,11.0,37.0,20.0,23.0,15.0,18.0,41.0,8.0,7.0,5.0,91.0,39.0,10.0,12.0,81.0,9.0,165.0,79.0,52.0,73.0
263,0.0,1.0,10.0,3.0,12.0,2.0,8.0,4.0,18.0,5.0,15.0,7.0,6.0,9.0,26.0,11.0,13.0,20.0,14.0,24.0,54.0,21.0,19.0,16.0,56.0,40.0,200.0,116.0,128.0,65.0
312,0.0,1.0,3.0,5.0,12.0,2.0,15.0,7.0,23.0,4.0,6.0,17.0,11.0,8.0,9.0,22.0,253.0,69.0,41.0,47.0,20.0,52.0,30.0,14.0,53.0,70.0,16.0,212.0,40.0,54.0
361,2.0,0.0,7.0,3.0,1.0,6.0,8.0,9.0,5.0,15.0,4.0,12.0,18.0,14.0,10.0,21.0,25.0,30.0,34.0,23.0,11.0,19.0,36.0,13.0,98.0,59.0,62.0,106.0,89.0,35.0
410,0.0,1.0,4.0,2.0,45.0,3.0,22.0,25.0,19.0,9.0,6.0,35.0,23.0,15.0,12.0,10.0,149.0,14.0,8.0,18.0,13.0,125.0,356.0,16.0,27.0,5.0,73.0,102.0,83.0,136.0
459,2.0,1.0,9.0,0.0,6.0,3.0,7.0,4.0,10.0,12.0,14.0,11.0,13.0,17.0,5.0,114.0,162.0,71.0,8.0,74.0,24.0,417.0,182.0,18.0,174.0,39.0,42.0,121.0,359.0,16.0
508,1.0,5.0,0.0,2.0,10.0,4.0,3.0,24.0,9.0,14.0,6.0,20.0,36.0,12.0,47.0,22.0,11.0,31.0,23.0,117.0,100.0,19.0,25.0,160.0,38.0,135.0,37.0,15.0,41.0,7.0
557,0.0,3.0,1.0,31.0,2.0,48.0,15.0,5.0,25.0,8.0,190.0,44.0,7.0,22.0,18.0,149.0,20.0,51.0,36.0,59.0,58.0,12.0,6.0,187.0,175.0,74.0,98.0,24.0,35.0,11.0
606,1.0,2.0,0.0,3.0,6.0,5.0,8.0,41.0,48.0,28.0,13.0,11.0,14.0,20.0,33.0,22.0,16.0,12.0,15.0,30.0,19.0,37.0,4.0,120.0,111.0,34.0,98.0,60.0,36.0,79.0
655,1.0,2.0,0.0,8.0,3.0,4.0,20.0,7.0,15.0,42.0,9.0,25.0,154.0,54.0,11.0,62.0,6.0,13.0,103.0,108.0,82.0,12.0,60.0,287.0,5.0,10.0,18.0,16.0,429.0,94.0
704,3.0,2.0,0.0,4.0,7.0,1.0,5.0,6.0,13.0,19.0,21.0,16.0,8.0,51.0,29.0,12.0,11.0,17.0,18.0,35.0,61.0,31.0,402.0,123.0,48.0,68.0,20.0,22.0,30.0,10.0
