,hsa-miR-105,hsa-miR-1248,hsa-miR-34a,hsa-miR-541,hsa-miR-148a,hsa-miR-888,hsa-miR-206,hsa-miR-1236,hsa-miR-26a,hsa-miR-136,hsa-miR-223,hsa-miR-616,hsa-miR-877,hsa-miR-142-5p,hsa-miR-1262,hsa-miR-1256,hsa-miR-190,hsa-miR-652,hsa-miR-609,hsa-miR-323-5p,hsa-miR-513a-3p,hsa-miR-553,hsa-miR-623,hsa-miR-143,hsa-miR-375,hsa-miR-550,hsa-miR-412,hsa-miR-924,hsa-miR-103,hsa-miR-1297
15,1.0,0.0,5.0,10.0,60.0,19.0,12.0,35.0,26.0,7.0,27.0,22.0,3.0,9.0,6.0,38.0,214.0,4.0,2.0,59.0,95.0,31.0,28.0,64.0,17.0,91.0,34.0,141.0,20.0,15.0
64,1.0,4.0,20.0,3.0,13.0,18.0,9.0,2.0,0.0,8.0,30.0,22.0,5.0,15.0,16.0,17.0,362.0,41.0,62.0,53.0,28.0,39.0,64.0,75.0,10.0,181.0,70.0,14.0,33.0,11.0
113,0.0,1.0,4.0,19.0,49.0,5.0,7.0,21.0,6.0,17.0,52.0,16.0,2.0,46.0,62.0,45.0,117.0,14.0,58.0,3.0,36.0,9.0,41.0,32.0,76.0,8.0,31.0,13.0,39.0,23.0
162,0.0,6.0,3.0,5.0,100.0,8.0,111.0,7.0,25.0,2.0,12.0,80.0,1.0,24.0,53.0,68.0,33.0,9.0,4.0,15.0,119.0,28.0,114.0,49.0,21.0,10.0,44.0,26.0,48.0,23.0
211,3.0,4.0,20.0,0.0,12.0,8.0,37.0,7.0,53.0,1.0,13.0,5.0,2.0,6.0,17.0,26.0,101.0,19.0,28.0,22.0,18.0,25.0,23.0,87.0,49.0,171.0,31.0,38.0,21.0,44.0
260,1.0,0.0,3.0,4.0,59.0,58.0,6.0,13.0,44.0,9.0,32.0,19.0,2.0,42.0,14.0,34.0,122.0,5.0,8.0,43.0,49.0,79.0,10.0,37.0,69.0,50.0,63.0,35.0,40.0,21.0
309,0.0,3.0,7.0,1.0,29.0,9.0,15.0,6.0,14.0,2.0,16.0,10.0,4.0,12.0,17.0,106.0,348.0,5.0,20.0,27.0,61.0,23.0,41.0,30.0,26.0,58.0,22.0,92.0,40.0,21.0
358,2.0,10.0,34.0,0.0,42.0,5.0,14.0,11.0,6.0,9.0,35.0,7.0,1.0,41.0,83.0,122.0,109.0,8.0,25.0,39.0,29.0,21.0,40.0,53.0,54.0,32.0,13.0,19.0,94.0,33.0
407,0.0,10.0,3.0,4.0,56.0,9.0,11.0,7.0,16.0,58.0,12.0,6.0,1.0,21.0,14.0,89.0,172.0,2.0,17.0,28.0,39.0,33.0,31.0,15.0,5.0,43.0,79.0,13.0,34.0,54.0
456,10.0,2.0,6.0,17.0,56.0,7.0,3.0,47.0,4.0,0.0,30.0,19.0,8.0,20.0,32.0,58.0,34.0,18.0,14.0,21.0,157.0,15.0,55.0,38.0,22.0,79.0,197.0,26.0,42.0,12.0
505,1.0,0.0,2.0,17.0,47.0,12.0,22.0,3.0,9.0,8.0,10.0,53.0,15.0,38.0,19.0,4.0,83.0,11.0,6.0,30.0,37.0,18.0,35.0,13.0,16.0,185.0,5.0,94.0,60.0,25.0
554,2.0,7.0,9.0,11.0,18.0,4.0,1.0,24.0,0.0,44.0,12.0,14.0,33.0,30.0,216.0,10.0,123.0,19.0,6.0,29.0,46.0,3.0,104.0,5.0,42.0,195.0,20.0,28.0,98.0,31.0
603,1.0,10.0,0.0,15.0,4.0,5.0,17.0,2.0,28.0,19.0,7.0,18.0,141.0,70.0,65.0,97.0,59.0,11.0,3.0,43.0,53.0,54.0,46.0,9.0,92.0,85.0,16.0,61.0,148.0,42.0
