,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-210,hsa-miR-24,hsa-miR-151-3p,hsa-miR-22,hcmv-miR-US5-1,hsa-miR-193b,hsa-miR-149,hsa-miR-130a,hsa-miR-890,hsa-let-7a,hsa-let-7e,hsa-miR-135b,hsa-miR-10a,hsa-miR-21,hsa-miR-574-5p,hsa-miR-628-5p,ebv-miR-BART7,hsa-miR-150,hsa-miR-137,hsa-let-7i,hsa-miR-148a,hsa-miR-513a-3p,hsa-miR-455-5p,hsa-miR-29b,hsa-miR-597,hsa-miR-26b,hsa-miR-593,hsa-miR-147b
14,2.0,0.0,4.0,7.0,15.0,1.0,5.0,27.0,18.0,12.0,25.0,29.0,3.0,43.0,126.0,8.0,19.0,20.0,9.0,84.0,6.0,41.0,87.0,203.0,23.0,11.0,70.0,76.0,411.0,46.0
63,0.0,2.0,19.0,1.0,3.0,7.0,5.0,27.0,21.0,4.0,14.0,20.0,9.0,6.0,79.0,26.0,66.0,29.0,16.0,8.0,17.0,38.0,46.0,23.0,11.0,308.0,108.0,440.0,104.0,121.0
112,7.0,0.0,5.0,4.0,8.0,6.0,11.0,18.0,42.0,3.0,12.0,21.0,1.0,2.0,16.0,32.0,38.0,57.0,69.0,17.0,99.0,20.0,45.0,10.0,37.0,15.0,60.0,61.0,23.0,205.0
161,9.0,0.0,10.0,1.0,32.0,6.0,3.0,5.0,19.0,11.0,15.0,8.0,2.0,38.0,7.0,84.0,51.0,64.0,13.0,49.0,28.0,20.0,137.0,90.0,14.0,96.0,42.0,123.0,89.0,132.0
210,0.0,1.0,5.0,7.0,22.0,8.0,11.0,6.0,20.0,29.0,4.0,9.0,3.0,10.0,13.0,143.0,45.0,49.0,14.0,12.0,118.0,2.0,21.0,42.0,19.0,30.0,355.0,53.0,18.0,81.0
259,1.0,6.0,13.0,7.0,2.0,0.0,5.0,12.0,20.0,4.0,16.0,9.0,3.0,19.0,39.0,135.0,35.0,17.0,154.0,8.0,26.0,57.0,21.0,69.0,61.0,14.0,277.0,47.0,56.0,25.0
308,4.0,3.0,22.0,0.0,14.0,8.0,29.0,2.0,85.0,1.0,5.0,7.0,12.0,15.0,17.0,10.0,24.0,20.0,18.0,134.0,11.0,70.0,76.0,534.0,19.0,13.0,77.0,9.0,27.0,443.0
357,3.0,0.0,9.0,5.0,4.0,2.0,36.0,6.0,19.0,1.0,24.0,17.0,7.0,14.0,12.0,8.0,50.0,31.0,70.0,10.0,28.0,30.0,45.0,219.0,489.0,52.0,126.0,34.0,18.0,553.0
406,3.0,0.0,48.0,15.0,2.0,20.0,10.0,33.0,26.0,1.0,5.0,9.0,7.0,24.0,12.0,19.0,37.0,70.0,25.0,6.0,11.0,493.0,42.0,254.0,72.0,8.0,97.0,38.0,18.0,23.0
455,8.0,5.0,1.0,0.0,4.0,2.0,6.0,9.0,36.0,15.0,14.0,21.0,3.0,11.0,29.0,20.0,28.0,91.0,13.0,31.0,41.0,19.0,44.0,136.0,26.0,10.0,438.0,34.0,16.0,75.0
504,1.0,18.0,3.0,7.0,2.0,10.0,15.0,6.0,22.0,13.0,11.0,26.0,5.0,4.0,9.0,313.0,19.0,47.0,30.0,444.0,51.0,16.0,164.0,56.0,120.0,27.0,222.0,52.0,493.0,68.0
553,3.0,0.0,1.0,2.0,10.0,5.0,128.0,30.0,31.0,53.0,12.0,13.0,14.0,8.0,7.0,87.0,9.0,18.0,222.0,105.0,99.0,25.0,4.0,17.0,40.0,27.0,41.0,496.0,101.0,107.0
602,2.0,4.0,5.0,3.0,10.0,13.0,28.0,1.0,9.0,27.0,14.0,20.0,0.0,81.0,8.0,65.0,6.0,59.0,132.0,265.0,55.0,32.0,11.0,18.0,25.0,54.0,17.0,89.0,301.0,21.0
651,2.0,11.0,3.0,0.0,8.0,1.0,12.0,7.0,13.0,24.0,6.0,46.0,4.0,9.0,35.0,189.0,29.0,14.0,23.0,59.0,317.0,15.0,22.0,34.0,52.0,10.0,25.0,64.0,355.0,88.0
700,6.0,4.0,1.0,2.0,5.0,8.0,39.0,7.0,10.0,36.0,3.0,99.0,0.0,15.0,59.0,120.0,43.0,16.0,17.0,124.0,105.0,20.0,21.0,68.0,141.0,22.0,12.0,67.0,35.0,19.0
749,17.0,2.0,0.0,3.0,4.0,1.0,32.0,6.0,22.0,119.0,5.0,401.0,8.0,16.0,7.0,21.0,147.0,18.0,14.0,521.0,164.0,12.0,190.0,280.0,195.0,13.0,60.0,61.0,25.0,128.0
798,5.0,2.0,0.0,1.0,3.0,4.0,12.0,10.0,13.0,559.0,6.0,20.0,42.0,89.0,26.0,144.0,50.0,30.0,35.0,579.0,274.0,55.0,43.0,25.0,11.0,59.0,62.0,228.0,155.0,9.0
847,3.0,6.0,7.0,0.0,1.0,2.0,93.0,8.0,5.0,36.0,4.0,31.0,10.0,14.0,226.0,233.0,16.0,109.0,22.0,501.0,285.0,55.0,123.0,27.0,21.0,332.0,30.0,101.0,433.0,35.0
896,3.0,0.0,1.0,4.0,2.0,7.0,22.0,8.0,9.0,33.0,23.0,95.0,5.0,6.0,43.0,38.0,30.0,18.0,13.0,16.0,173.0,410.0,297.0,17.0,29.0,458.0,61.0,81.0,361.0,601.0
945,1.0,4.0,2.0,6.0,11.0,24.0,9.0,5.0,3.0,64.0,0.0,14.0,10.0,45.0,38.0,120.0,40.0,34.0,33.0,18.0,149.0,15.0,27.0,73.0,23.0,74.0,86.0,126.0,20.0,352.0
994,1.0,0.0,3.0,13.0,4.0,16.0,12.0,8.0,7.0,232.0,19.0,5.0,15.0,2.0,144.0,451.0,115.0,14.0,9.0,103.0,35.0,107.0,274.0,398.0,22.0,105.0,198.0,186.0,245.0,6.0
1043,2.0,0.0,1.0,13.0,3.0,26.0,27.0,6.0,9.0,14.0,5.0,266.0,7.0,46.0,105.0,75.0,194.0,11.0,23.0,180.0,36.0,51.0,83.0,527.0,8.0,174.0,138.0,509.0,492.0,24.0
1092,2.0,0.0,1.0,195.0,9.0,10.0,7.0,4.0,77.0,12.0,19.0,25.0,5.0,67.0,58.0,41.0,108.0,24.0,3.0,301.0,18.0,103.0,421.0,524.0,56.0,96.0,85.0,120.0,100.0,211.0
1141,5.0,0.0,2.0,14.0,4.0,11.0,8.0,16.0,18.0,35.0,10.0,22.0,42.0,62.0,21.0,52.0,39.0,12.0,1.0,77.0,31.0,55.0,34.0,15.0,13.0,19.0,94.0,28.0,26.0,37.0
