, MAPK_PI3K, H2O2, JAK-STAT, IL-1, MAPK_only, TLR, PI3K_only, TGFB, VEGF, Wnt, TNFa
41,1.0,4.0,5.0,0.0,3.0,7.0,6.0,2.0,10.0,8.0,9.0
90,0.0,9.0,4.0,1.0,3.0,10.0,6.0,2.0,8.0,5.0,7.0
139,5.0,1.0,2.0,0.0,8.0,9.0,3.0,6.0,4.0,7.0,10.0
188,1.0,0.0,8.0,2.0,5.0,6.0,3.0,4.0,7.0,10.0,9.0
237,1.0,3.0,2.0,7.0,4.0,8.0,5.0,6.0,9.0,0.0,10.0
286,1.0,0.0,8.0,7.0,4.0,2.0,5.0,6.0,3.0,10.0,9.0
335,3.0,5.0,7.0,6.0,0.0,8.0,4.0,1.0,9.0,2.0,10.0
384,0.0,5.0,2.0,6.0,1.0,7.0,3.0,8.0,4.0,10.0,9.0
433,7.0,3.0,0.0,4.0,5.0,8.0,1.0,6.0,2.0,9.0,10.0
482,0.0,9.0,1.0,7.0,2.0,3.0,5.0,6.0,4.0,8.0,10.0
531,0.0,1.0,3.0,2.0,7.0,4.0,8.0,10.0,6.0,5.0,9.0
580,3.0,6.0,8.0,10.0,7.0,1.0,4.0,0.0,2.0,5.0,9.0
629,1.0,2.0,9.0,8.0,6.0,3.0,4.0,7.0,5.0,0.0,10.0
678,8.0,5.0,6.0,2.0,3.0,0.0,4.0,7.0,1.0,10.0,9.0
727,4.0,6.0,1.0,0.0,2.0,5.0,7.0,8.0,3.0,9.0,10.0
776,1.0,0.0,2.0,6.0,7.0,3.0,8.0,9.0,10.0,5.0,4.0
825,1.0,3.0,2.0,0.0,8.0,6.0,7.0,9.0,4.0,5.0,10.0
874,1.0,2.0,0.0,3.0,7.0,9.0,4.0,5.0,8.0,6.0,10.0
923,1.0,0.0,2.0,8.0,5.0,9.0,4.0,10.0,3.0,7.0,6.0
972,7.0,2.0,3.0,0.0,9.0,4.0,1.0,8.0,6.0,5.0,10.0
1021,0.0,2.0,3.0,7.0,1.0,4.0,5.0,8.0,6.0,10.0,9.0
1070,0.0,2.0,1.0,4.0,5.0,8.0,6.0,7.0,3.0,10.0,9.0
1119,0.0,5.0,1.0,7.0,4.0,6.0,2.0,3.0,9.0,10.0,8.0
1168,0.0,4.0,1.0,5.0,2.0,10.0,3.0,6.0,8.0,9.0,7.0
1217,0.0,1.0,7.0,6.0,10.0,3.0,2.0,4.0,9.0,5.0,8.0
1266,0.0,1.0,2.0,6.0,3.0,8.0,4.0,9.0,5.0,10.0,7.0
1315,5.0,3.0,4.0,9.0,1.0,6.0,2.0,0.0,7.0,8.0,10.0
1364,0.0,7.0,3.0,2.0,8.0,5.0,6.0,9.0,1.0,4.0,10.0
1413,0.0,1.0,3.0,2.0,5.0,9.0,7.0,8.0,4.0,6.0,10.0
1462,0.0,5.0,1.0,6.0,7.0,8.0,2.0,4.0,3.0,9.0,10.0
1511,7.0,5.0,6.0,0.0,4.0,2.0,3.0,1.0,10.0,8.0,9.0
1560,1.0,2.0,5.0,0.0,6.0,3.0,7.0,4.0,9.0,8.0,10.0
1609,2.0,6.0,7.0,1.0,3.0,4.0,5.0,0.0,9.0,8.0,10.0
1658,4.0,6.0,7.0,1.0,2.0,5.0,0.0,3.0,9.0,10.0,8.0
1707,4.0,1.0,6.0,0.0,7.0,5.0,2.0,3.0,10.0,8.0,9.0
1756,2.0,1.0,6.0,4.0,5.0,3.0,7.0,0.0,8.0,10.0,9.0
1805,3.0,6.0,1.0,0.0,7.0,4.0,8.0,2.0,9.0,5.0,10.0
1854,0.0,7.0,3.0,1.0,4.0,2.0,5.0,6.0,9.0,10.0,8.0
1903,4.0,9.0,6.0,3.0,8.0,2.0,0.0,7.0,1.0,10.0,5.0
1952,2.0,1.0,6.0,5.0,0.0,7.0,4.0,3.0,9.0,10.0,8.0
2001,2.0,6.0,1.0,3.0,5.0,4.0,9.0,0.0,7.0,8.0,10.0
2050,0.0,8.0,1.0,5.0,6.0,2.0,7.0,3.0,4.0,10.0,9.0
2099,0.0,4.0,5.0,7.0,1.0,2.0,10.0,3.0,9.0,6.0,8.0
2148,2.0,3.0,4.0,1.0,5.0,6.0,8.0,7.0,0.0,10.0,9.0
2197,0.0,7.0,2.0,4.0,3.0,1.0,5.0,8.0,6.0,9.0,10.0
2246,2.0,4.0,0.0,1.0,5.0,6.0,7.0,9.0,3.0,8.0,10.0
2295,0.0,4.0,3.0,2.0,5.0,6.0,8.0,7.0,1.0,10.0,9.0
2344,5.0,1.0,0.0,4.0,3.0,2.0,6.0,7.0,9.0,10.0,8.0
2393,0.0,9.0,5.0,4.0,8.0,2.0,1.0,6.0,7.0,3.0,10.0
2442,0.0,10.0,3.0,2.0,1.0,4.0,7.0,5.0,6.0,9.0,8.0
2491,1.0,6.0,8.0,7.0,0.0,4.0,9.0,5.0,2.0,3.0,10.0
2540,5.0,1.0,3.0,2.0,4.0,7.0,6.0,8.0,0.0,10.0,9.0
2589,4.0,2.0,0.0,9.0,3.0,7.0,8.0,10.0,6.0,1.0,5.0
2638,0.0,6.0,2.0,7.0,1.0,3.0,5.0,8.0,10.0,4.0,9.0
2687,2.0,3.0,1.0,0.0,7.0,4.0,5.0,9.0,6.0,8.0,10.0
2736,1.0,7.0,0.0,4.0,2.0,5.0,6.0,9.0,8.0,3.0,10.0
2785,7.0,6.0,2.0,0.0,3.0,8.0,4.0,9.0,5.0,1.0,10.0
2834,2.0,1.0,5.0,4.0,0.0,6.0,3.0,9.0,7.0,8.0,10.0
2883,0.0,4.0,2.0,1.0,7.0,5.0,8.0,6.0,3.0,10.0,9.0
2932,3.0,2.0,1.0,5.0,7.0,8.0,9.0,0.0,4.0,6.0,10.0
2981,1.0,4.0,0.0,8.0,2.0,5.0,9.0,3.0,7.0,10.0,6.0
3030,0.0,8.0,2.0,7.0,1.0,5.0,6.0,10.0,4.0,3.0,9.0
3079,0.0,4.0,5.0,2.0,3.0,1.0,9.0,6.0,8.0,10.0,7.0
3128,0.0,3.0,2.0,1.0,6.0,7.0,8.0,4.0,10.0,5.0,9.0
3177,0.0,2.0,3.0,1.0,6.0,4.0,7.0,5.0,9.0,10.0,8.0
3226,3.0,2.0,0.0,9.0,1.0,5.0,6.0,8.0,7.0,4.0,10.0
3275,0.0,2.0,1.0,3.0,8.0,6.0,4.0,5.0,9.0,7.0,10.0
3324,0.0,1.0,7.0,3.0,8.0,2.0,9.0,4.0,5.0,6.0,10.0
3373,0.0,5.0,3.0,8.0,6.0,1.0,7.0,9.0,10.0,2.0,4.0
3422,0.0,5.0,9.0,1.0,8.0,6.0,4.0,2.0,7.0,3.0,10.0
3471,1.0,0.0,3.0,2.0,5.0,4.0,7.0,10.0,6.0,9.0,8.0
3520,1.0,4.0,0.0,2.0,5.0,9.0,3.0,10.0,6.0,8.0,7.0
3569,4.0,0.0,10.0,2.0,7.0,5.0,6.0,8.0,1.0,3.0,9.0
3618,5.0,0.0,4.0,3.0,9.0,6.0,7.0,10.0,1.0,2.0,8.0
3667,5.0,2.0,9.0,4.0,3.0,6.0,0.0,7.0,1.0,10.0,8.0
3716,0.0,5.0,1.0,2.0,3.0,4.0,8.0,9.0,6.0,7.0,10.0
