, JAK-STAT, MAPK_PI3K, PI3K_only, TGFB, VEGF, MAPK_only, TLR, IL-1, Wnt, H2O2, TNFa
40,0.0,4.0,1.0,3.0,2.0,5.0,6.0,10.0,8.0,7.0,9.0
89,2.0,1.0,0.0,3.0,6.0,5.0,8.0,10.0,4.0,9.0,7.0
138,0.0,2.0,1.0,5.0,3.0,8.0,7.0,4.0,6.0,10.0,9.0
187,0.0,2.0,1.0,7.0,4.0,6.0,5.0,3.0,9.0,8.0,10.0
236,0.0,1.0,2.0,4.0,7.0,8.0,3.0,6.0,9.0,5.0,10.0
285,0.0,3.0,1.0,6.0,8.0,10.0,9.0,2.0,5.0,7.0,4.0
334,0.0,4.0,1.0,7.0,2.0,6.0,3.0,9.0,8.0,5.0,10.0
383,0.0,2.0,1.0,9.0,7.0,4.0,5.0,6.0,8.0,3.0,10.0
432,0.0,2.0,1.0,3.0,5.0,4.0,9.0,8.0,7.0,6.0,10.0
481,0.0,2.0,1.0,5.0,7.0,4.0,6.0,9.0,3.0,10.0,8.0
530,0.0,3.0,2.0,4.0,1.0,6.0,9.0,5.0,10.0,7.0,8.0
579,0.0,3.0,2.0,6.0,5.0,8.0,4.0,7.0,10.0,1.0,9.0
628,0.0,5.0,1.0,4.0,10.0,8.0,7.0,3.0,6.0,2.0,9.0
677,0.0,5.0,2.0,6.0,1.0,7.0,3.0,4.0,8.0,10.0,9.0
726,3.0,1.0,5.0,2.0,0.0,7.0,9.0,4.0,6.0,8.0,10.0
775,3.0,0.0,2.0,1.0,5.0,6.0,4.0,9.0,7.0,8.0,10.0
824,0.0,5.0,2.0,8.0,1.0,6.0,3.0,4.0,10.0,7.0,9.0
873,0.0,5.0,2.0,3.0,1.0,8.0,10.0,4.0,6.0,7.0,9.0
922,2.0,0.0,1.0,3.0,4.0,5.0,9.0,8.0,6.0,10.0,7.0
971,5.0,0.0,1.0,2.0,8.0,7.0,3.0,6.0,4.0,9.0,10.0
1020,0.0,1.0,2.0,4.0,3.0,8.0,9.0,10.0,5.0,6.0,7.0
1069,0.0,1.0,2.0,8.0,5.0,3.0,7.0,10.0,6.0,9.0,4.0
1118,0.0,2.0,1.0,3.0,10.0,8.0,5.0,4.0,9.0,7.0,6.0
1167,0.0,2.0,3.0,8.0,1.0,7.0,6.0,10.0,9.0,4.0,5.0
1216,0.0,3.0,2.0,4.0,10.0,6.0,8.0,1.0,7.0,5.0,9.0
1265,0.0,2.0,1.0,6.0,3.0,7.0,5.0,4.0,9.0,10.0,8.0
1314,0.0,4.0,2.0,7.0,1.0,6.0,3.0,8.0,10.0,5.0,9.0
1363,0.0,4.0,2.0,1.0,3.0,8.0,6.0,7.0,5.0,10.0,9.0
1412,1.0,0.0,2.0,7.0,4.0,6.0,3.0,9.0,5.0,8.0,10.0
1461,0.0,1.0,2.0,5.0,3.0,7.0,8.0,4.0,9.0,10.0,6.0
1510,3.0,1.0,0.0,6.0,9.0,4.0,7.0,2.0,5.0,8.0,10.0
1559,2.0,0.0,1.0,10.0,8.0,4.0,9.0,7.0,6.0,5.0,3.0
1608,0.0,2.0,1.0,8.0,4.0,3.0,5.0,7.0,9.0,6.0,10.0
1657,0.0,1.0,2.0,9.0,3.0,5.0,10.0,6.0,7.0,4.0,8.0
1706,2.0,0.0,1.0,6.0,7.0,5.0,4.0,3.0,10.0,9.0,8.0
1755,0.0,1.0,2.0,6.0,3.0,5.0,7.0,9.0,8.0,4.0,10.0
1804,2.0,0.0,1.0,4.0,7.0,3.0,6.0,5.0,8.0,9.0,10.0
1853,1.0,2.0,3.0,7.0,9.0,6.0,8.0,4.0,5.0,0.0,10.0
1902,0.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,1.0,9.0
1951,2.0,0.0,1.0,5.0,9.0,8.0,4.0,7.0,3.0,6.0,10.0
2000,0.0,1.0,2.0,7.0,4.0,5.0,6.0,3.0,8.0,10.0,9.0
2049,0.0,1.0,3.0,4.0,2.0,5.0,10.0,7.0,9.0,8.0,6.0
2098,0.0,2.0,1.0,7.0,6.0,3.0,8.0,5.0,4.0,9.0,10.0
2147,0.0,1.0,2.0,4.0,5.0,3.0,7.0,10.0,8.0,9.0,6.0
2196,0.0,4.0,1.0,3.0,5.0,2.0,7.0,6.0,8.0,9.0,10.0
2245,0.0,4.0,2.0,1.0,5.0,3.0,8.0,7.0,9.0,10.0,6.0
2294,0.0,1.0,2.0,9.0,4.0,5.0,6.0,3.0,7.0,10.0,8.0
2343,0.0,5.0,3.0,1.0,9.0,2.0,6.0,4.0,10.0,8.0,7.0
2392,2.0,0.0,1.0,4.0,9.0,7.0,6.0,5.0,10.0,8.0,3.0
2441,0.0,5.0,2.0,9.0,1.0,4.0,6.0,10.0,8.0,3.0,7.0
2490,0.0,3.0,2.0,10.0,9.0,7.0,6.0,4.0,5.0,1.0,8.0
2539,4.0,1.0,0.0,3.0,6.0,7.0,2.0,8.0,5.0,10.0,9.0
2588,2.0,0.0,1.0,3.0,8.0,6.0,4.0,9.0,5.0,10.0,7.0
