,C34:4 PC,uracil,inositol,2-deoxycytidine,uridine,GABA,beta-alanine,N-carbamoyl-beta-alanine,serotonin,malondialdehyde,creatine,phosphocreatine,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,urate,glutamine,palmitoylcarnitine,C22:6 CE,1-methylnicotinamide,creatinine,isocitrate,hypoxanthine,C16:0 LPE,acetylcholine,3-phosphoglycerate,C56:5 TAG,hexoses (HILIC neg),2-deoxyadenosine,cystathionine,DHAP/glyceraldehyde 3P
25,0.0,38.0,16.0,1.0,7.0,4.0,10.0,9.0,2.0,5.0,8.0,20.0,26.0,15.0,13.0,14.0,48.0,29.0,3.0,24.0,33.0,17.0,39.0,34.0,64.0,23.0,6.0,12.0,60.0,45.0
74,0.0,8.0,1.0,20.0,7.0,2.0,9.0,12.0,18.0,22.0,3.0,10.0,19.0,5.0,15.0,4.0,14.0,16.0,46.0,11.0,27.0,24.0,57.0,50.0,53.0,17.0,35.0,13.0,30.0,40.0
123,3.0,1.0,13.0,7.0,6.0,5.0,15.0,34.0,0.0,9.0,19.0,59.0,27.0,24.0,2.0,8.0,10.0,21.0,11.0,30.0,17.0,12.0,50.0,22.0,36.0,26.0,16.0,4.0,33.0,23.0
172,0.0,1.0,2.0,11.0,3.0,6.0,5.0,4.0,7.0,26.0,16.0,33.0,10.0,15.0,8.0,28.0,9.0,12.0,66.0,13.0,18.0,24.0,37.0,22.0,48.0,42.0,63.0,19.0,38.0,44.0
221,0.0,2.0,1.0,9.0,3.0,7.0,27.0,4.0,5.0,13.0,39.0,21.0,6.0,8.0,15.0,30.0,17.0,18.0,37.0,12.0,11.0,14.0,50.0,43.0,33.0,48.0,58.0,10.0,29.0,16.0
270,0.0,5.0,2.0,4.0,29.0,13.0,23.0,6.0,1.0,12.0,3.0,15.0,9.0,11.0,14.0,24.0,22.0,8.0,37.0,32.0,20.0,35.0,10.0,16.0,33.0,50.0,36.0,18.0,34.0,7.0
319,0.0,5.0,1.0,8.0,3.0,4.0,12.0,21.0,18.0,20.0,34.0,29.0,36.0,6.0,33.0,2.0,7.0,10.0,35.0,54.0,28.0,39.0,9.0,16.0,23.0,55.0,49.0,45.0,37.0,32.0
368,6.0,14.0,5.0,1.0,32.0,0.0,15.0,4.0,2.0,13.0,24.0,61.0,11.0,7.0,3.0,12.0,16.0,17.0,20.0,26.0,18.0,23.0,8.0,49.0,9.0,55.0,27.0,34.0,59.0,57.0
417,0.0,8.0,20.0,4.0,2.0,1.0,9.0,3.0,5.0,10.0,15.0,7.0,22.0,23.0,6.0,21.0,32.0,28.0,12.0,29.0,25.0,24.0,11.0,26.0,17.0,31.0,45.0,42.0,52.0,36.0
466,0.0,11.0,1.0,2.0,27.0,3.0,4.0,9.0,6.0,13.0,12.0,42.0,47.0,5.0,10.0,7.0,22.0,37.0,33.0,28.0,26.0,30.0,43.0,17.0,35.0,58.0,44.0,36.0,19.0,56.0
515,8.0,2.0,4.0,6.0,17.0,42.0,11.0,10.0,5.0,3.0,0.0,1.0,26.0,31.0,13.0,36.0,27.0,16.0,22.0,29.0,32.0,21.0,9.0,23.0,15.0,33.0,58.0,12.0,47.0,61.0
564,1.0,2.0,5.0,9.0,0.0,34.0,16.0,17.0,12.0,48.0,7.0,28.0,40.0,47.0,19.0,3.0,49.0,18.0,6.0,13.0,29.0,52.0,10.0,8.0,51.0,24.0,4.0,20.0,26.0,21.0
613,0.0,1.0,3.0,5.0,7.0,14.0,16.0,21.0,18.0,34.0,2.0,48.0,8.0,19.0,10.0,13.0,17.0,52.0,30.0,11.0,6.0,58.0,22.0,12.0,23.0,31.0,20.0,28.0,51.0,29.0
662,7.0,0.0,19.0,5.0,1.0,24.0,12.0,25.0,49.0,33.0,3.0,21.0,9.0,8.0,55.0,11.0,2.0,10.0,6.0,13.0,17.0,31.0,32.0,22.0,14.0,34.0,45.0,18.0,41.0,44.0
711,6.0,0.0,1.0,4.0,2.0,28.0,35.0,9.0,3.0,30.0,21.0,32.0,25.0,7.0,15.0,5.0,64.0,39.0,23.0,8.0,27.0,26.0,49.0,31.0,13.0,12.0,36.0,22.0,59.0,14.0
760,2.0,3.0,27.0,6.0,4.0,29.0,34.0,10.0,20.0,49.0,0.0,1.0,26.0,8.0,38.0,17.0,12.0,5.0,7.0,30.0,15.0,14.0,16.0,54.0,32.0,9.0,45.0,25.0,63.0,36.0
809,0.0,9.0,3.0,4.0,1.0,39.0,12.0,46.0,47.0,48.0,5.0,8.0,17.0,29.0,31.0,6.0,2.0,49.0,10.0,11.0,22.0,16.0,18.0,15.0,33.0,24.0,54.0,13.0,21.0,35.0
858,1.0,0.0,32.0,10.0,4.0,14.0,16.0,40.0,28.0,42.0,2.0,6.0,12.0,29.0,39.0,15.0,19.0,33.0,37.0,9.0,22.0,3.0,57.0,38.0,66.0,8.0,11.0,20.0,60.0,58.0
907,0.0,21.0,4.0,3.0,8.0,6.0,56.0,45.0,5.0,15.0,10.0,64.0,11.0,2.0,54.0,1.0,9.0,51.0,38.0,33.0,25.0,34.0,13.0,41.0,66.0,52.0,49.0,50.0,65.0,22.0
956,11.0,6.0,0.0,10.0,2.0,9.0,3.0,4.0,22.0,25.0,1.0,12.0,41.0,5.0,52.0,54.0,19.0,13.0,49.0,17.0,36.0,38.0,45.0,48.0,21.0,14.0,35.0,33.0,32.0,57.0
1005,0.0,6.0,4.0,1.0,2.0,18.0,7.0,8.0,3.0,5.0,22.0,35.0,30.0,20.0,36.0,21.0,46.0,31.0,9.0,48.0,55.0,12.0,60.0,16.0,10.0,32.0,57.0,24.0,17.0,43.0
1054,4.0,7.0,1.0,3.0,32.0,18.0,2.0,21.0,0.0,6.0,23.0,45.0,11.0,5.0,9.0,38.0,12.0,34.0,39.0,10.0,22.0,13.0,33.0,17.0,53.0,48.0,14.0,29.0,20.0,19.0
1103,1.0,20.0,4.0,3.0,16.0,34.0,8.0,39.0,5.0,0.0,2.0,21.0,7.0,22.0,25.0,37.0,14.0,9.0,13.0,31.0,11.0,10.0,12.0,29.0,15.0,38.0,42.0,58.0,32.0,53.0
