,C34:4 PC,inositol,uridine,GABA,serotonin,uracil,malondialdehyde,alpha-glycerophosphate,2-deoxycytidine,3-phosphoglycerate,creatine,butyrylcarnitine/isobutyrylcarnitine,2-deoxyadenosine,beta-alanine,urate,cotinine,creatinine,asparagine,cystathionine,phosphocreatine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,glutamine,isocitrate,C56:5 TAG,C16:0 LPE,pyroglutamic acid,C22:6 CE,sarcosine,hypoxanthine
21,1.0,10.0,3.0,2.0,0.0,14.0,11.0,24.0,6.0,9.0,62.0,15.0,5.0,18.0,19.0,65.0,23.0,8.0,36.0,38.0,31.0,30.0,20.0,27.0,32.0,51.0,56.0,49.0,34.0,48.0
70,2.0,0.0,9.0,1.0,11.0,3.0,29.0,6.0,17.0,36.0,51.0,40.0,8.0,10.0,24.0,52.0,38.0,31.0,26.0,13.0,37.0,33.0,14.0,54.0,28.0,20.0,41.0,16.0,21.0,27.0
119,4.0,9.0,3.0,2.0,0.0,26.0,6.0,37.0,28.0,10.0,34.0,13.0,1.0,22.0,7.0,31.0,21.0,19.0,32.0,51.0,14.0,12.0,20.0,36.0,48.0,15.0,30.0,8.0,17.0,16.0
168,0.0,5.0,1.0,2.0,3.0,6.0,33.0,14.0,23.0,13.0,28.0,7.0,21.0,26.0,4.0,24.0,22.0,19.0,45.0,12.0,15.0,10.0,17.0,42.0,30.0,8.0,29.0,18.0,32.0,55.0
217,0.0,5.0,3.0,4.0,2.0,1.0,11.0,6.0,13.0,51.0,23.0,7.0,15.0,26.0,19.0,41.0,8.0,59.0,39.0,14.0,20.0,21.0,12.0,37.0,34.0,18.0,9.0,10.0,33.0,16.0
266,1.0,7.0,5.0,11.0,0.0,3.0,31.0,10.0,6.0,42.0,15.0,13.0,2.0,52.0,20.0,56.0,24.0,21.0,14.0,19.0,48.0,4.0,29.0,28.0,27.0,23.0,12.0,8.0,60.0,34.0
315,0.0,2.0,4.0,3.0,16.0,6.0,17.0,9.0,20.0,15.0,50.0,5.0,65.0,40.0,11.0,33.0,8.0,7.0,14.0,57.0,13.0,22.0,1.0,24.0,59.0,21.0,51.0,26.0,48.0,25.0
364,0.0,24.0,2.0,1.0,3.0,22.0,37.0,5.0,4.0,6.0,50.0,8.0,13.0,18.0,32.0,33.0,29.0,15.0,55.0,34.0,17.0,45.0,7.0,43.0,62.0,11.0,66.0,25.0,36.0,60.0
413,0.0,15.0,2.0,17.0,6.0,1.0,19.0,13.0,5.0,4.0,12.0,21.0,42.0,8.0,3.0,35.0,7.0,47.0,51.0,18.0,11.0,58.0,14.0,28.0,46.0,44.0,16.0,39.0,55.0,36.0
462,0.0,1.0,8.0,6.0,7.0,3.0,36.0,50.0,4.0,42.0,20.0,2.0,26.0,13.0,5.0,44.0,27.0,30.0,37.0,46.0,32.0,33.0,10.0,18.0,41.0,28.0,11.0,9.0,17.0,48.0
