,hsa-miR-34a,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-579,hsa-miR-26a,hsa-miR-591,hsa-miR-675,hsa-miR-1256,hsa-miR-891a,hsa-miR-581,hsa-miR-582-5p,hsa-miR-597,hsa-miR-28-5p,hsa-miR-1286,hsa-miR-654-3p,hsa-miR-298,hsa-miR-223,hsa-miR-921,hsa-miR-614,hsa-miR-934,hsa-miR-519e,hsa-miR-155,hcmv-miR-US25-2-3p,hsa-miR-601,hsa-miR-892a,hsa-miR-132,ebv-miR-BART5,hsa-miR-557,hsa-miR-302e,hsa-miR-133b
16,0.0,1.0,2.0,3.0,24.0,15.0,13.0,29.0,22.0,68.0,9.0,27.0,18.0,5.0,67.0,8.0,34.0,21.0,11.0,20.0,12.0,42.0,6.0,119.0,37.0,41.0,10.0,26.0,53.0,45.0
65,0.0,1.0,20.0,2.0,65.0,12.0,18.0,37.0,11.0,62.0,42.0,30.0,32.0,25.0,46.0,5.0,50.0,55.0,16.0,10.0,23.0,19.0,3.0,33.0,7.0,27.0,17.0,9.0,29.0,24.0
114,0.0,1.0,3.0,2.0,33.0,9.0,12.0,5.0,11.0,37.0,78.0,27.0,49.0,17.0,22.0,30.0,15.0,24.0,36.0,7.0,26.0,13.0,4.0,40.0,53.0,62.0,23.0,60.0,29.0,47.0
163,0.0,1.0,15.0,2.0,51.0,32.0,9.0,7.0,10.0,21.0,24.0,105.0,8.0,19.0,60.0,27.0,28.0,5.0,17.0,25.0,16.0,14.0,3.0,139.0,59.0,50.0,45.0,36.0,13.0,40.0
212,2.0,0.0,1.0,3.0,11.0,5.0,8.0,23.0,30.0,26.0,53.0,117.0,24.0,19.0,43.0,9.0,13.0,62.0,32.0,59.0,7.0,21.0,6.0,109.0,14.0,51.0,15.0,49.0,18.0,42.0
261,1.0,0.0,18.0,10.0,23.0,13.0,8.0,17.0,11.0,43.0,78.0,91.0,38.0,36.0,101.0,34.0,33.0,35.0,19.0,2.0,15.0,5.0,14.0,27.0,70.0,26.0,16.0,6.0,66.0,25.0
310,0.0,1.0,35.0,18.0,7.0,12.0,25.0,8.0,22.0,110.0,19.0,6.0,28.0,4.0,56.0,39.0,40.0,10.0,55.0,29.0,9.0,2.0,17.0,44.0,51.0,91.0,33.0,23.0,32.0,31.0
359,1.0,0.0,25.0,2.0,17.0,9.0,3.0,24.0,11.0,48.0,56.0,43.0,53.0,13.0,22.0,16.0,32.0,21.0,57.0,4.0,14.0,90.0,10.0,50.0,68.0,35.0,23.0,52.0,40.0,30.0
408,0.0,2.0,1.0,5.0,7.0,11.0,45.0,25.0,17.0,19.0,89.0,83.0,41.0,9.0,68.0,3.0,60.0,51.0,39.0,16.0,14.0,54.0,15.0,132.0,8.0,49.0,20.0,21.0,26.0,34.0
457,0.0,1.0,6.0,11.0,25.0,8.0,10.0,2.0,24.0,9.0,39.0,27.0,33.0,13.0,49.0,44.0,19.0,18.0,16.0,41.0,34.0,32.0,4.0,61.0,98.0,157.0,21.0,26.0,23.0,17.0
