,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
14,0.0,10.0,31.0,1.0,4.0,13.0,23.0,5.0,376.0,574.0,63.0,14.0,22.0,136.0,34.0,2.0,8.0,107.0,68.0,253.0,614.0,101.0,26.0,373.0,267.0,364.0,7.0,15.0,114.0,352.0
63,0.0,1.0,11.0,3.0,83.0,230.0,16.0,118.0,146.0,220.0,15.0,30.0,81.0,58.0,44.0,70.0,48.0,238.0,24.0,442.0,101.0,134.0,18.0,57.0,52.0,189.0,2.0,9.0,129.0,181.0
112,1.0,0.0,3.0,2.0,85.0,19.0,6.0,54.0,261.0,21.0,14.0,30.0,16.0,35.0,27.0,17.0,618.0,59.0,10.0,494.0,71.0,80.0,48.0,123.0,186.0,139.0,4.0,51.0,96.0,159.0
161,0.0,15.0,12.0,4.0,34.0,2.0,51.0,7.0,216.0,185.0,109.0,56.0,18.0,9.0,22.0,79.0,123.0,405.0,1.0,140.0,67.0,257.0,5.0,75.0,47.0,20.0,379.0,8.0,24.0,198.0
210,1.0,2.0,0.0,3.0,16.0,74.0,35.0,19.0,22.0,56.0,12.0,6.0,64.0,7.0,10.0,93.0,113.0,110.0,376.0,79.0,53.0,41.0,47.0,5.0,406.0,89.0,13.0,11.0,87.0,575.0
259,5.0,7.0,8.0,1.0,305.0,37.0,2.0,18.0,4.0,38.0,32.0,66.0,89.0,77.0,15.0,9.0,358.0,55.0,64.0,108.0,43.0,27.0,19.0,95.0,90.0,518.0,0.0,310.0,61.0,44.0
308,76.0,0.0,5.0,288.0,6.0,49.0,14.0,89.0,246.0,263.0,53.0,3.0,10.0,42.0,233.0,73.0,319.0,8.0,18.0,398.0,599.0,20.0,9.0,90.0,101.0,368.0,1.0,45.0,30.0,132.0
357,5.0,10.0,24.0,114.0,21.0,45.0,2.0,33.0,19.0,338.0,213.0,0.0,126.0,174.0,90.0,501.0,350.0,4.0,22.0,167.0,83.0,7.0,27.0,68.0,20.0,381.0,41.0,462.0,140.0,34.0
406,17.0,0.0,8.0,39.0,74.0,7.0,19.0,89.0,21.0,106.0,429.0,23.0,26.0,426.0,41.0,31.0,286.0,245.0,136.0,190.0,259.0,45.0,18.0,207.0,84.0,240.0,239.0,11.0,145.0,234.0
455,46.0,149.0,0.0,7.0,8.0,16.0,2.0,5.0,52.0,45.0,32.0,65.0,77.0,73.0,80.0,51.0,128.0,330.0,12.0,82.0,464.0,144.0,112.0,62.0,9.0,71.0,136.0,38.0,11.0,143.0
