,hsa-miR-605,hsa-miR-579,hsa-miR-558,hsa-miR-614,hsa-miR-520c-3p,hsa-miR-515-3p,hsa-miR-198,bkv-miR-B1-5p,hsa-miR-34a,hsa-miR-518c,ebv-miR-BART5,hsa-miR-1231,hsa-miR-133b,hsa-miR-96,hsa-miR-519e,hsa-miR-1975,hsa-miR-302e,hsa-miR-1302,hsa-miR-567,hsa-miR-339-3p,hsa-miR-1299,hsa-miR-513a-5p,hsa-miR-486-3p,hsa-miR-197,hsa-miR-708,hsa-miR-424,hsa-miR-1539,hcmv-miR-US5-2,hsa-miR-612,hsa-miR-143
19,105.0,0.0,29.0,8.0,73.0,32.0,23.0,50.0,36.0,554.0,81.0,57.0,52.0,4.0,79.0,84.0,44.0,21.0,49.0,31.0,67.0,136.0,76.0,414.0,129.0,18.0,373.0,246.0,41.0,164.0
68,9.0,32.0,119.0,33.0,61.0,64.0,152.0,48.0,111.0,561.0,101.0,80.0,26.0,146.0,44.0,427.0,158.0,58.0,31.0,65.0,144.0,554.0,15.0,99.0,348.0,155.0,367.0,125.0,128.0,70.0
117,14.0,32.0,2.0,355.0,144.0,44.0,42.0,118.0,154.0,556.0,174.0,104.0,91.0,297.0,105.0,47.0,92.0,134.0,45.0,29.0,36.0,533.0,141.0,419.0,51.0,79.0,375.0,116.0,40.0,89.0
166,19.0,13.0,48.0,29.0,95.0,59.0,58.0,62.0,613.0,42.0,327.0,100.0,27.0,32.0,44.0,97.0,133.0,92.0,114.0,620.0,57.0,134.0,39.0,72.0,271.0,25.0,376.0,211.0,82.0,135.0
215,1.0,25.0,222.0,47.0,110.0,90.0,137.0,96.0,3.0,16.0,50.0,7.0,395.0,70.0,23.0,66.0,24.0,124.0,41.0,615.0,4.0,56.0,506.0,53.0,45.0,154.0,377.0,143.0,32.0,133.0
264,26.0,67.0,229.0,151.0,94.0,516.0,58.0,165.0,33.0,27.0,55.0,59.0,11.0,290.0,52.0,44.0,110.0,106.0,30.0,74.0,472.0,48.0,570.0,56.0,329.0,83.0,505.0,309.0,178.0,174.0
313,23.0,87.0,242.0,342.0,62.0,558.0,91.0,55.0,96.0,88.0,92.0,123.0,93.0,16.0,76.0,111.0,576.0,154.0,64.0,141.0,178.0,65.0,84.0,61.0,19.0,530.0,387.0,186.0,119.0,177.0
362,46.0,6.0,90.0,17.0,23.0,32.0,2.0,92.0,27.0,11.0,116.0,54.0,64.0,380.0,80.0,173.0,154.0,100.0,50.0,444.0,66.0,138.0,628.0,119.0,137.0,126.0,486.0,87.0,72.0,438.0
411,11.0,102.0,242.0,92.0,67.0,54.0,38.0,107.0,132.0,1.0,29.0,72.0,35.0,45.0,53.0,19.0,55.0,65.0,63.0,104.0,43.0,24.0,83.0,49.0,17.0,133.0,378.0,7.0,87.0,71.0
460,37.0,185.0,29.0,3.0,36.0,0.0,83.0,33.0,612.0,552.0,107.0,149.0,72.0,84.0,35.0,51.0,105.0,158.0,63.0,78.0,46.0,59.0,141.0,45.0,269.0,49.0,382.0,81.0,92.0,148.0
