, JAK-STAT, MAPK_PI3K, Wnt, IL-1, MAPK_only, TLR, PI3K_only, TNFa, VEGF, TGFB, H2O2
35,0.0,1.0,8.0,5.0,2.0,4.0,3.0,7.0,10.0,9.0,6.0
84,3.0,1.0,5.0,0.0,7.0,2.0,4.0,6.0,10.0,8.0,9.0
133,3.0,1.0,6.0,2.0,7.0,0.0,9.0,8.0,4.0,5.0,10.0
182,2.0,3.0,8.0,1.0,6.0,0.0,7.0,5.0,10.0,4.0,9.0
231,0.0,1.0,5.0,4.0,7.0,3.0,6.0,8.0,10.0,2.0,9.0
280,4.0,3.0,2.0,1.0,9.0,0.0,6.0,7.0,10.0,5.0,8.0
329,6.0,0.0,1.0,3.0,2.0,8.0,4.0,5.0,9.0,7.0,10.0
378,4.0,2.0,5.0,0.0,3.0,1.0,9.0,6.0,10.0,8.0,7.0
427,10.0,1.0,4.0,3.0,5.0,0.0,6.0,8.0,7.0,2.0,9.0
476,5.0,2.0,3.0,8.0,1.0,4.0,6.0,10.0,9.0,0.0,7.0
525,0.0,3.0,1.0,5.0,4.0,7.0,10.0,2.0,6.0,9.0,8.0
574,3.0,2.0,1.0,4.0,7.0,10.0,9.0,0.0,6.0,5.0,8.0
623,0.0,1.0,9.0,10.0,5.0,7.0,6.0,2.0,8.0,4.0,3.0
672,1.0,0.0,8.0,4.0,10.0,3.0,2.0,9.0,7.0,6.0,5.0
721,3.0,0.0,1.0,6.0,10.0,9.0,8.0,2.0,5.0,7.0,4.0
770,0.0,4.0,1.0,6.0,3.0,9.0,7.0,8.0,5.0,10.0,2.0
819,5.0,0.0,7.0,4.0,6.0,3.0,8.0,2.0,1.0,9.0,10.0
868,0.0,2.0,6.0,1.0,3.0,10.0,7.0,4.0,9.0,5.0,8.0
917,1.0,0.0,2.0,3.0,9.0,8.0,10.0,6.0,7.0,5.0,4.0
966,7.0,0.0,4.0,1.0,6.0,5.0,8.0,2.0,10.0,9.0,3.0
1015,8.0,9.0,4.0,1.0,2.0,6.0,5.0,0.0,3.0,7.0,10.0
1064,0.0,10.0,5.0,6.0,4.0,7.0,3.0,9.0,1.0,8.0,2.0
1113,10.0,2.0,5.0,8.0,4.0,0.0,1.0,3.0,7.0,9.0,6.0
1162,1.0,7.0,9.0,10.0,6.0,0.0,3.0,4.0,2.0,5.0,8.0
1211,10.0,9.0,8.0,6.0,5.0,0.0,1.0,2.0,4.0,7.0,3.0
1260,6.0,0.0,1.0,2.0,4.0,3.0,5.0,9.0,7.0,8.0,10.0
1309,1.0,2.0,3.0,4.0,5.0,9.0,6.0,0.0,7.0,10.0,8.0
1358,4.0,6.0,2.0,7.0,1.0,3.0,9.0,0.0,10.0,5.0,8.0
1407,9.0,1.0,4.0,10.0,3.0,6.0,8.0,0.0,2.0,7.0,5.0
1456,5.0,10.0,3.0,1.0,6.0,9.0,2.0,0.0,8.0,7.0,4.0
1505,0.0,2.0,3.0,6.0,1.0,5.0,9.0,7.0,8.0,10.0,4.0
1554,0.0,1.0,3.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0,4.0
1603,0.0,1.0,2.0,5.0,3.0,9.0,8.0,6.0,10.0,4.0,7.0
1652,1.0,0.0,4.0,8.0,2.0,5.0,6.0,9.0,3.0,7.0,10.0
1701,2.0,0.0,4.0,1.0,3.0,7.0,5.0,9.0,6.0,10.0,8.0
1750,0.0,2.0,1.0,3.0,4.0,5.0,10.0,9.0,8.0,7.0,6.0
1799,0.0,2.0,1.0,7.0,3.0,10.0,9.0,6.0,5.0,4.0,8.0
1848,4.0,0.0,3.0,5.0,2.0,1.0,7.0,6.0,8.0,9.0,10.0
1897,0.0,3.0,2.0,7.0,1.0,5.0,9.0,6.0,4.0,8.0,10.0
1946,1.0,0.0,4.0,6.0,2.0,3.0,9.0,5.0,10.0,7.0,8.0
1995,1.0,0.0,4.0,5.0,3.0,8.0,6.0,2.0,7.0,9.0,10.0
2044,4.0,1.0,0.0,5.0,6.0,2.0,7.0,3.0,9.0,8.0,10.0
2093,0.0,1.0,2.0,5.0,7.0,4.0,8.0,6.0,3.0,9.0,10.0
2142,0.0,2.0,3.0,8.0,4.0,9.0,1.0,10.0,6.0,5.0,7.0
2191,2.0,7.0,6.0,10.0,3.0,1.0,5.0,0.0,8.0,4.0,9.0
