, IL-1, TLR, H2O2, JAK-STAT, MAPK_PI3K, Wnt, TNFa, VEGF, MAPK_only, TGFB, PI3K_only
40,8.0,6.0,1.0,2.0,3.0,9.0,0.0,10.0,7.0,4.0,5.0
89,1.0,3.0,6.0,10.0,7.0,0.0,2.0,4.0,9.0,5.0,8.0
138,2.0,1.0,0.0,9.0,4.0,7.0,6.0,8.0,5.0,3.0,10.0
187,1.0,0.0,3.0,8.0,7.0,5.0,2.0,10.0,6.0,4.0,9.0
236,3.0,2.0,9.0,0.0,7.0,5.0,8.0,4.0,10.0,1.0,6.0
285,2.0,0.0,4.0,6.0,9.0,1.0,3.0,10.0,7.0,8.0,5.0
334,6.0,1.0,8.0,7.0,2.0,3.0,0.0,5.0,4.0,9.0,10.0
383,3.0,0.0,2.0,8.0,5.0,6.0,1.0,9.0,7.0,4.0,10.0
432,9.0,1.0,0.0,6.0,8.0,7.0,4.0,3.0,2.0,5.0,10.0
481,0.0,1.0,6.0,7.0,2.0,4.0,9.0,8.0,5.0,3.0,10.0
530,2.0,0.0,5.0,4.0,3.0,1.0,10.0,7.0,9.0,6.0,8.0
579,5.0,1.0,3.0,2.0,0.0,6.0,4.0,10.0,7.0,8.0,9.0
628,5.0,1.0,2.0,8.0,3.0,6.0,7.0,10.0,4.0,0.0,9.0
677,2.0,0.0,5.0,6.0,4.0,1.0,3.0,8.0,9.0,7.0,10.0
726,7.0,0.0,1.0,4.0,8.0,2.0,5.0,3.0,6.0,9.0,10.0
775,3.0,4.0,0.0,1.0,8.0,6.0,5.0,7.0,2.0,10.0,9.0
824,7.0,4.0,3.0,1.0,9.0,2.0,0.0,5.0,10.0,6.0,8.0
873,0.0,4.0,8.0,2.0,1.0,3.0,7.0,6.0,5.0,9.0,10.0
922,2.0,6.0,0.0,3.0,5.0,1.0,8.0,7.0,10.0,4.0,9.0
971,1.0,3.0,2.0,8.0,6.0,0.0,7.0,4.0,10.0,5.0,9.0
1020,8.0,3.0,7.0,10.0,0.0,4.0,6.0,2.0,1.0,5.0,9.0
1069,2.0,7.0,0.0,10.0,1.0,9.0,8.0,6.0,4.0,3.0,5.0
1118,3.0,0.0,2.0,7.0,5.0,10.0,9.0,8.0,6.0,4.0,1.0
1167,1.0,7.0,2.0,9.0,10.0,5.0,8.0,6.0,4.0,0.0,3.0
1216,1.0,2.0,10.0,7.0,3.0,5.0,8.0,6.0,4.0,0.0,9.0
1265,0.0,1.0,5.0,10.0,2.0,4.0,3.0,7.0,6.0,9.0,8.0
1314,3.0,1.0,0.0,7.0,6.0,2.0,4.0,9.0,8.0,10.0,5.0
1363,1.0,0.0,5.0,8.0,10.0,4.0,2.0,9.0,7.0,3.0,6.0
1412,1.0,2.0,10.0,8.0,9.0,3.0,0.0,4.0,5.0,7.0,6.0
1461,1.0,0.0,2.0,9.0,4.0,6.0,3.0,7.0,8.0,10.0,5.0
1510,1.0,9.0,5.0,3.0,2.0,10.0,7.0,6.0,4.0,8.0,0.0
1559,8.0,9.0,4.0,3.0,1.0,0.0,2.0,7.0,6.0,5.0,10.0
1608,0.0,1.0,6.0,5.0,3.0,4.0,9.0,8.0,10.0,2.0,7.0
1657,2.0,0.0,6.0,5.0,1.0,4.0,10.0,9.0,3.0,8.0,7.0
1706,7.0,2.0,1.0,6.0,0.0,8.0,5.0,9.0,4.0,3.0,10.0
1755,10.0,7.0,0.0,5.0,4.0,1.0,6.0,2.0,8.0,9.0,3.0
1804,5.0,9.0,8.0,2.0,6.0,1.0,3.0,0.0,10.0,4.0,7.0
1853,9.0,1.0,10.0,8.0,0.0,4.0,2.0,6.0,7.0,3.0,5.0
1902,5.0,10.0,9.0,4.0,3.0,2.0,8.0,1.0,0.0,7.0,6.0
1951,8.0,1.0,0.0,3.0,2.0,6.0,4.0,9.0,5.0,7.0,10.0
2000,1.0,0.0,8.0,2.0,5.0,4.0,9.0,6.0,7.0,10.0,3.0
2049,4.0,0.0,6.0,7.0,1.0,8.0,3.0,2.0,10.0,9.0,5.0
2098,1.0,0.0,8.0,3.0,6.0,4.0,7.0,2.0,9.0,10.0,5.0
2147,1.0,0.0,2.0,4.0,3.0,9.0,10.0,6.0,7.0,8.0,5.0
2196,6.0,0.0,2.0,5.0,1.0,8.0,3.0,10.0,4.0,7.0,9.0
2245,5.0,3.0,0.0,6.0,2.0,10.0,4.0,9.0,1.0,8.0,7.0
2294,2.0,6.0,0.0,3.0,8.0,4.0,7.0,1.0,5.0,9.0,10.0
2343,1.0,6.0,4.0,2.0,0.0,3.0,5.0,7.0,10.0,9.0,8.0
2392,5.0,0.0,6.0,9.0,2.0,8.0,7.0,1.0,4.0,3.0,10.0
2441,5.0,1.0,4.0,7.0,3.0,0.0,6.0,2.0,10.0,8.0,9.0
2490,3.0,1.0,0.0,5.0,4.0,8.0,6.0,9.0,7.0,10.0,2.0
2539,4.0,2.0,1.0,7.0,9.0,10.0,5.0,3.0,0.0,6.0,8.0
2588,1.0,2.0,0.0,5.0,6.0,7.0,3.0,8.0,4.0,10.0,9.0
2637,7.0,3.0,4.0,9.0,0.0,1.0,8.0,2.0,6.0,10.0,5.0
2686,3.0,2.0,1.0,8.0,0.0,5.0,9.0,4.0,7.0,10.0,6.0
2735,1.0,0.0,4.0,8.0,5.0,3.0,7.0,6.0,2.0,9.0,10.0
2784,1.0,5.0,0.0,4.0,3.0,8.0,10.0,7.0,2.0,9.0,6.0
2833,1.0,8.0,6.0,2.0,5.0,4.0,7.0,0.0,3.0,10.0,9.0
2882,0.0,2.0,1.0,10.0,4.0,8.0,6.0,9.0,5.0,7.0,3.0
2931,1.0,7.0,8.0,3.0,0.0,9.0,10.0,5.0,2.0,4.0,6.0
2980,1.0,3.0,10.0,4.0,9.0,0.0,2.0,6.0,8.0,5.0,7.0
3029,0.0,5.0,3.0,2.0,1.0,4.0,8.0,7.0,9.0,6.0,10.0
3078,3.0,9.0,4.0,2.0,6.0,0.0,5.0,7.0,1.0,8.0,10.0
3127,1.0,5.0,9.0,3.0,4.0,0.0,6.0,8.0,7.0,10.0,2.0
3176,1.0,7.0,8.0,4.0,5.0,0.0,9.0,3.0,10.0,2.0,6.0
3225,0.0,9.0,8.0,3.0,7.0,1.0,6.0,2.0,10.0,4.0,5.0
3274,0.0,6.0,10.0,2.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0
3323,1.0,7.0,8.0,3.0,5.0,0.0,6.0,2.0,9.0,10.0,4.0
3372,1.0,8.0,4.0,2.0,10.0,0.0,5.0,3.0,7.0,9.0,6.0
3421,0.0,9.0,6.0,2.0,3.0,1.0,7.0,4.0,10.0,5.0,8.0
3470,5.0,4.0,6.0,8.0,7.0,2.0,0.0,9.0,1.0,3.0,10.0
3519,7.0,1.0,9.0,5.0,4.0,3.0,0.0,10.0,6.0,8.0,2.0
3568,9.0,6.0,2.0,10.0,4.0,0.0,5.0,3.0,1.0,8.0,7.0
3617,0.0,1.0,8.0,6.0,4.0,2.0,5.0,9.0,7.0,3.0,10.0
3666,7.0,1.0,6.0,5.0,4.0,2.0,10.0,3.0,8.0,9.0,0.0
3715,0.0,2.0,7.0,5.0,6.0,1.0,3.0,9.0,8.0,4.0,10.0
3764,3.0,0.0,1.0,6.0,2.0,9.0,7.0,10.0,8.0,5.0,4.0
3813,0.0,5.0,2.0,4.0,7.0,6.0,3.0,8.0,9.0,1.0,10.0
3862,0.0,8.0,5.0,4.0,2.0,9.0,3.0,6.0,7.0,1.0,10.0
3911,0.0,9.0,7.0,2.0,4.0,8.0,6.0,5.0,3.0,1.0,10.0
3960,2.0,4.0,7.0,0.0,5.0,9.0,10.0,3.0,6.0,1.0,8.0
4009,1.0,4.0,0.0,5.0,10.0,3.0,8.0,2.0,6.0,7.0,9.0
4058,0.0,4.0,3.0,1.0,9.0,5.0,10.0,7.0,8.0,6.0,2.0
4107,0.0,6.0,4.0,1.0,7.0,2.0,9.0,3.0,5.0,10.0,8.0
4156,5.0,4.0,6.0,3.0,10.0,0.0,1.0,8.0,2.0,7.0,9.0
4205,0.0,5.0,6.0,1.0,8.0,4.0,9.0,3.0,7.0,2.0,10.0
4254,0.0,1.0,5.0,8.0,9.0,2.0,3.0,4.0,6.0,7.0,10.0
4303,0.0,5.0,1.0,7.0,3.0,9.0,10.0,4.0,6.0,2.0,8.0
4352,4.0,7.0,2.0,0.0,5.0,3.0,6.0,1.0,9.0,10.0,8.0
4401,1.0,5.0,3.0,0.0,10.0,4.0,9.0,2.0,7.0,8.0,6.0
