,DDB2,MDM2,LINC00515,RYR2,AC006946.12,RP11-405A12.2,AL355490.1,ST8SIA6-AS1,KIF25,RNPEPL1,CTC-273B12.6,PTPN13,MT1G,GCK,MAGEA11,RP11-112J1.3,DAAM1,HNRNPCP1,JKAMP,DACT1,PSMA3,ARID4A,GPR135,HMGB1P14,TIMM9,KIAA0586,L3HYPDH,C14orf37,RP11-349A22.5,AL132989.1
12,3161.0,23.0,6622.0,16370.0,26.0,126.0,130.0,117.0,80.0,58.0,6724.0,13652.0,2068.0,124.0,7812.0,215.0,250.0,171.0,255.0,247.0,206.0,170.0,252.0,172.0,177.0,173.0,254.0,201.0,209.0,174.0
61,10.0,27.0,57.0,16369.0,21.0,118.0,3854.0,147.0,22561.0,46.0,6718.0,13629.0,2046.0,18552.0,155.0,191.0,190.0,196.0,187.0,195.0,301.0,200.0,189.0,86.0,199.0,197.0,188.0,399.0,375.0,270.0
110,59.0,33.0,6626.0,108.0,0.0,143.0,91.0,150.0,146.0,11811.0,6707.0,132.0,41.0,152.0,7809.0,280.0,171.0,285.0,162.0,441.0,398.0,393.0,167.0,395.0,392.0,391.0,164.0,400.0,397.0,394.0
159,6.0,75.0,24.0,133.0,34.0,107.0,3858.0,95.0,16.0,161.0,106.0,13631.0,2051.0,18556.0,7814.0,195.0,196.0,189.0,199.0,201.0,184.0,183.0,197.0,171.0,200.0,188.0,198.0,178.0,173.0,170.0
208,154.0,29.0,9.0,16368.0,17.0,120.0,139.0,19473.0,147.0,11813.0,6726.0,114.0,3.0,166.0,7811.0,199.0,213.0,201.0,230.0,200.0,212.0,204.0,215.0,210.0,203.0,202.0,231.0,422.0,211.0,205.0
257,1.0,35.0,16.0,39.0,141.0,154.0,36.0,157.0,94.0,159.0,6731.0,13617.0,2058.0,18562.0,7820.0,205.0,187.0,207.0,185.0,206.0,215.0,210.0,211.0,213.0,209.0,208.0,179.0,217.0,214.0,212.0
306,3160.0,19.0,6625.0,16368.0,12.0,129.0,3855.0,99.0,55.0,11814.0,6727.0,13652.0,149.0,56.0,7812.0,231.0,224.0,207.0,236.0,223.0,217.0,212.0,238.0,215.0,211.0,210.0,237.0,219.0,216.0,214.0
355,2.0,48.0,62.0,44.0,18.0,105.0,3851.0,19480.0,22566.0,76.0,6727.0,13615.0,2049.0,18558.0,7812.0,234.0,235.0,177.0,292.0,176.0,185.0,181.0,236.0,184.0,180.0,178.0,293.0,187.0,192.0,182.0
404,107.0,25.0,21.0,43.0,40.0,157.0,103.0,153.0,116.0,6.0,6733.0,147.0,3.0,156.0,7817.0,389.0,300.0,414.0,203.0,302.0,421.0,417.0,241.0,419.0,416.0,415.0,201.0,432.0,420.0,418.0
453,62.0,20.0,28.0,16370.0,45.0,5694.0,3855.0,87.0,68.0,11791.0,6727.0,13654.0,2064.0,18557.0,7814.0,218.0,209.0,213.0,210.0,212.0,403.0,239.0,206.0,453.0,217.0,215.0,205.0,405.0,402.0,309.0
