,VHL,Shc_pY317,Bax,YAP_pS127,GSK3-alpha-beta_pS21_S9,c-Kit,PI3K-p85,Annexin 1,Transglutaminase,Raptor,Lck,p53,CDK1,ACVRL1,GATA3,Akt_pS473,VAV1,p14 Arf(BetA300-340A),4E-BP1_pT70,beta-Catenin,Beclin,AR,FRA1,AMPK_alpha,PRAS40_pT246,ADAR1,Acetyl-a-Tubulin (Lys40),p38_pT180_Y182,RAD51,N-Cadherin
5,5.0,95.0,47.0,126.0,25.0,89.0,19.0,53.0,11.0,8.0,78.0,109.0,93.0,139.0,41.0,38.0,30.0,86.0,56.0,12.0,104.0,51.0,37.0,40.0,75.0,31.0,68.0,29.0,157.0,158.0
54,4.0,23.0,54.0,75.0,25.0,160.0,36.0,56.0,24.0,135.0,38.0,96.0,82.0,5.0,13.0,15.0,61.0,31.0,112.0,40.0,73.0,34.0,105.0,66.0,29.0,129.0,16.0,71.0,95.0,43.0
103,4.0,0.0,16.0,64.0,42.0,70.0,36.0,13.0,11.0,83.0,58.0,34.0,109.0,121.0,8.0,54.0,9.0,32.0,28.0,10.0,23.0,95.0,41.0,37.0,18.0,80.0,61.0,57.0,92.0,60.0
152,0.0,8.0,30.0,138.0,27.0,46.0,72.0,31.0,35.0,117.0,15.0,143.0,74.0,20.0,39.0,23.0,16.0,14.0,62.0,4.0,7.0,32.0,25.0,43.0,53.0,121.0,45.0,103.0,159.0,70.0
201,27.0,74.0,56.0,47.0,10.0,32.0,67.0,57.0,15.0,1.0,31.0,52.0,96.0,2.0,108.0,77.0,18.0,64.0,124.0,163.0,13.0,28.0,138.0,29.0,39.0,80.0,83.0,19.0,78.0,158.0
250,12.0,130.0,42.0,109.0,47.0,97.0,63.0,45.0,8.0,157.0,69.0,57.0,73.0,134.0,28.0,37.0,74.0,80.0,44.0,138.0,90.0,6.0,111.0,131.0,14.0,49.0,48.0,95.0,35.0,9.0
299,32.0,5.0,18.0,3.0,12.0,23.0,33.0,22.0,28.0,154.0,7.0,30.0,90.0,102.0,9.0,77.0,31.0,67.0,52.0,131.0,48.0,135.0,55.0,86.0,2.0,83.0,34.0,24.0,66.0,71.0
348,73.0,84.0,49.0,26.0,96.0,21.0,1.0,34.0,87.0,157.0,31.0,22.0,75.0,8.0,44.0,29.0,37.0,45.0,7.0,122.0,42.0,19.0,158.0,68.0,39.0,130.0,131.0,30.0,13.0,58.0
397,4.0,18.0,19.0,2.0,91.0,43.0,16.0,33.0,41.0,155.0,84.0,34.0,69.0,135.0,87.0,7.0,70.0,15.0,25.0,105.0,73.0,79.0,44.0,89.0,38.0,134.0,60.0,26.0,52.0,90.0
446,1.0,29.0,37.0,18.0,14.0,20.0,19.0,50.0,9.0,3.0,73.0,30.0,56.0,44.0,92.0,53.0,71.0,27.0,28.0,102.0,8.0,83.0,13.0,60.0,63.0,75.0,26.0,33.0,5.0,59.0
495,16.0,1.0,39.0,140.0,37.0,15.0,73.0,17.0,30.0,61.0,109.0,56.0,46.0,28.0,21.0,14.0,7.0,35.0,29.0,20.0,45.0,86.0,8.0,31.0,48.0,40.0,13.0,49.0,108.0,110.0
544,135.0,10.0,48.0,7.0,9.0,72.0,36.0,31.0,35.0,2.0,45.0,23.0,67.0,3.0,97.0,84.0,76.0,56.0,62.0,5.0,29.0,44.0,95.0,59.0,150.0,107.0,88.0,91.0,12.0,108.0
593,28.0,0.0,21.0,137.0,1.0,44.0,88.0,57.0,95.0,36.0,83.0,67.0,18.0,133.0,77.0,76.0,38.0,33.0,14.0,121.0,26.0,15.0,37.0,40.0,27.0,73.0,101.0,82.0,155.0,60.0
642,60.0,5.0,23.0,12.0,83.0,7.0,50.0,29.0,43.0,100.0,105.0,64.0,90.0,129.0,80.0,159.0,107.0,41.0,52.0,1.0,34.0,2.0,21.0,47.0,22.0,16.0,92.0,116.0,68.0,3.0
691,36.0,22.0,16.0,139.0,85.0,46.0,75.0,50.0,0.0,152.0,68.0,58.0,64.0,137.0,109.0,27.0,100.0,24.0,35.0,77.0,126.0,118.0,38.0,66.0,2.0,136.0,55.0,90.0,57.0,119.0
740,64.0,8.0,20.0,134.0,71.0,25.0,13.0,55.0,128.0,24.0,30.0,70.0,37.0,33.0,23.0,60.0,131.0,36.0,79.0,4.0,17.0,35.0,32.0,16.0,7.0,85.0,69.0,61.0,51.0,28.0
789,37.0,53.0,34.0,131.0,22.0,32.0,35.0,49.0,10.0,163.0,14.0,16.0,46.0,11.0,83.0,160.0,76.0,7.0,28.0,45.0,12.0,157.0,15.0,65.0,40.0,162.0,60.0,81.0,117.0,115.0
838,22.0,101.0,36.0,2.0,93.0,89.0,34.0,21.0,37.0,160.0,29.0,31.0,91.0,12.0,26.0,105.0,94.0,28.0,35.0,10.0,151.0,76.0,5.0,41.0,13.0,14.0,54.0,98.0,19.0,50.0
887,44.0,38.0,26.0,10.0,83.0,18.0,15.0,13.0,6.0,138.0,57.0,46.0,36.0,16.0,89.0,132.0,5.0,42.0,65.0,123.0,52.0,101.0,43.0,48.0,49.0,14.0,133.0,93.0,160.0,11.0
936,24.0,25.0,18.0,132.0,9.0,17.0,51.0,27.0,96.0,162.0,14.0,149.0,36.0,129.0,85.0,115.0,98.0,37.0,22.0,39.0,82.0,77.0,91.0,61.0,44.0,126.0,21.0,66.0,113.0,8.0
985,1.0,3.0,8.0,105.0,29.0,31.0,146.0,5.0,128.0,2.0,57.0,37.0,87.0,125.0,34.0,76.0,132.0,102.0,28.0,88.0,32.0,93.0,108.0,70.0,96.0,7.0,65.0,25.0,68.0,30.0
1034,3.0,11.0,16.0,12.0,75.0,76.0,148.0,6.0,29.0,45.0,85.0,39.0,49.0,69.0,58.0,35.0,15.0,149.0,38.0,10.0,37.0,79.0,83.0,22.0,20.0,19.0,51.0,52.0,30.0,9.0
1083,5.0,7.0,24.0,0.0,32.0,23.0,70.0,60.0,22.0,18.0,58.0,64.0,39.0,141.0,27.0,97.0,125.0,102.0,44.0,54.0,13.0,14.0,31.0,34.0,66.0,30.0,45.0,59.0,85.0,10.0
1132,17.0,30.0,27.0,0.0,21.0,106.0,83.0,20.0,37.0,158.0,58.0,18.0,82.0,133.0,29.0,64.0,76.0,94.0,4.0,53.0,38.0,36.0,1.0,118.0,113.0,135.0,75.0,70.0,23.0,48.0
1181,57.0,11.0,18.0,44.0,36.0,30.0,155.0,70.0,127.0,47.0,14.0,10.0,81.0,24.0,82.0,94.0,60.0,97.0,65.0,114.0,66.0,32.0,49.0,34.0,68.0,43.0,85.0,72.0,15.0,21.0
