,LUNG,BREAST,HAEMATOPOIETIC,NERVOUS,SKIN,OVARY,PANCREAS,URINARY,STOMACH,ENDOMETRIUM,LARGE_INTESTINE,BONE,LIVER,OESOPHAGUS,GANGLIA,SOFT_TISSUE,AERODIGESTIVE,PROSTATE,THYROID,KIDNEY,SALIVARY,PLEURA,BILIARY
48,11.0,0.0,5.0,4.0,1.0,15.0,7.0,3.0,2.0,6.0,9.0,10.0,16.0,8.0,12.0,20.0,17.0,18.0,13.0,14.0,19.0,21.0,22.0
97,0.0,5.0,7.0,9.0,6.0,8.0,21.0,10.0,11.0,1.0,2.0,13.0,3.0,16.0,4.0,20.0,15.0,17.0,12.0,14.0,19.0,18.0,22.0
146,2.0,0.0,1.0,7.0,6.0,16.0,9.0,8.0,15.0,20.0,4.0,13.0,18.0,5.0,12.0,11.0,3.0,17.0,10.0,19.0,21.0,14.0,22.0
195,1.0,0.0,2.0,10.0,5.0,11.0,8.0,4.0,3.0,9.0,12.0,7.0,13.0,14.0,15.0,18.0,6.0,16.0,19.0,20.0,17.0,21.0,22.0
244,0.0,11.0,1.0,3.0,2.0,8.0,16.0,7.0,4.0,15.0,14.0,6.0,5.0,10.0,13.0,12.0,21.0,17.0,20.0,9.0,19.0,18.0,22.0
293,2.0,10.0,4.0,1.0,5.0,12.0,8.0,0.0,3.0,11.0,6.0,9.0,16.0,13.0,14.0,18.0,7.0,15.0,19.0,20.0,17.0,21.0,22.0
342,0.0,3.0,2.0,13.0,6.0,8.0,5.0,14.0,15.0,1.0,4.0,12.0,11.0,9.0,10.0,20.0,17.0,18.0,7.0,16.0,19.0,21.0,22.0
391,0.0,2.0,1.0,5.0,8.0,6.0,11.0,4.0,3.0,9.0,7.0,15.0,13.0,12.0,17.0,14.0,10.0,21.0,18.0,19.0,20.0,16.0,22.0
440,1.0,0.0,15.0,4.0,12.0,16.0,5.0,3.0,2.0,8.0,18.0,10.0,17.0,7.0,9.0,11.0,6.0,19.0,13.0,14.0,20.0,21.0,22.0
489,0.0,4.0,7.0,6.0,2.0,9.0,3.0,8.0,5.0,13.0,10.0,16.0,12.0,1.0,14.0,18.0,11.0,15.0,19.0,20.0,17.0,21.0,22.0
538,1.0,0.0,8.0,9.0,7.0,12.0,15.0,10.0,13.0,21.0,2.0,3.0,4.0,6.0,5.0,11.0,16.0,17.0,20.0,14.0,19.0,18.0,22.0
587,0.0,3.0,9.0,7.0,5.0,6.0,10.0,8.0,16.0,18.0,1.0,2.0,14.0,13.0,15.0,12.0,21.0,17.0,4.0,11.0,20.0,19.0,22.0
636,18.0,3.0,1.0,0.0,2.0,16.0,4.0,7.0,8.0,15.0,6.0,13.0,12.0,5.0,11.0,10.0,21.0,17.0,9.0,20.0,19.0,14.0,22.0
685,3.0,15.0,2.0,11.0,0.0,1.0,4.0,7.0,8.0,18.0,5.0,14.0,13.0,12.0,9.0,6.0,19.0,20.0,10.0,16.0,21.0,17.0,22.0
734,5.0,21.0,1.0,6.0,0.0,8.0,9.0,7.0,15.0,18.0,2.0,13.0,3.0,12.0,14.0,4.0,16.0,17.0,11.0,10.0,20.0,19.0,22.0
783,2.0,7.0,1.0,4.0,11.0,5.0,16.0,3.0,0.0,18.0,9.0,10.0,15.0,8.0,6.0,12.0,21.0,17.0,13.0,14.0,20.0,19.0,22.0
832,0.0,16.0,3.0,17.0,4.0,2.0,1.0,7.0,5.0,15.0,6.0,13.0,12.0,10.0,11.0,20.0,21.0,18.0,9.0,8.0,19.0,14.0,22.0
881,11.0,10.0,3.0,1.0,5.0,12.0,9.0,0.0,2.0,21.0,7.0,14.0,8.0,4.0,13.0,6.0,15.0,16.0,19.0,20.0,18.0,17.0,22.0
930,0.0,2.0,1.0,5.0,12.0,6.0,10.0,4.0,3.0,21.0,7.0,9.0,8.0,14.0,11.0,13.0,15.0,16.0,19.0,20.0,18.0,17.0,22.0
979,17.0,7.0,2.0,4.0,11.0,5.0,3.0,1.0,0.0,21.0,10.0,9.0,14.0,6.0,12.0,8.0,15.0,16.0,20.0,13.0,19.0,18.0,22.0
1028,1.0,2.0,7.0,11.0,6.0,8.0,0.0,14.0,15.0,3.0,13.0,12.0,4.0,9.0,5.0,10.0,17.0,18.0,20.0,16.0,19.0,21.0,22.0
1077,2.0,14.0,12.0,13.0,1.0,0.0,4.0,9.0,10.0,19.0,7.0,5.0,6.0,11.0,8.0,16.0,3.0,20.0,15.0,17.0,21.0,18.0,22.0
1126,17.0,0.0,8.0,14.0,1.0,6.0,4.0,15.0,7.0,16.0,2.0,3.0,13.0,11.0,12.0,20.0,5.0,18.0,10.0,9.0,19.0,21.0,22.0
1175,2.0,0.0,7.0,6.0,5.0,10.0,1.0,20.0,16.0,3.0,14.0,13.0,12.0,15.0,4.0,11.0,17.0,18.0,9.0,8.0,19.0,21.0,22.0
1224,15.0,4.0,10.0,8.0,6.0,7.0,0.0,9.0,14.0,1.0,2.0,18.0,3.0,5.0,13.0,12.0,16.0,17.0,11.0,20.0,19.0,21.0,22.0
1273,0.0,15.0,4.0,2.0,19.0,3.0,9.0,11.0,1.0,10.0,6.0,8.0,7.0,12.0,5.0,18.0,14.0,16.0,13.0,20.0,17.0,21.0,22.0
1322,1.0,3.0,7.0,0.0,9.0,14.0,2.0,15.0,16.0,4.0,6.0,12.0,11.0,10.0,13.0,18.0,5.0,19.0,8.0,17.0,20.0,21.0,22.0
1371,12.0,0.0,5.0,3.0,16.0,4.0,1.0,2.0,14.0,10.0,9.0,11.0,15.0,7.0,8.0,19.0,6.0,17.0,20.0,13.0,18.0,21.0,22.0
1420,1.0,3.0,0.0,14.0,7.0,13.0,2.0,15.0,16.0,4.0,18.0,8.0,6.0,9.0,5.0,10.0,17.0,19.0,11.0,12.0,20.0,21.0,22.0
1469,1.0,2.0,0.0,7.0,6.0,13.0,11.0,8.0,9.0,14.0,17.0,3.0,4.0,10.0,5.0,12.0,16.0,18.0,20.0,15.0,19.0,21.0,22.0
1518,2.0,1.0,6.0,4.0,12.0,5.0,0.0,10.0,3.0,15.0,13.0,14.0,9.0,11.0,7.0,18.0,8.0,16.0,19.0,20.0,17.0,21.0,22.0
1567,12.0,7.0,0.0,1.0,6.0,4.0,5.0,3.0,14.0,8.0,10.0,15.0,9.0,2.0,13.0,17.0,11.0,21.0,18.0,19.0,20.0,16.0,22.0
1616,1.0,11.0,5.0,0.0,6.0,4.0,8.0,19.0,2.0,12.0,14.0,10.0,9.0,3.0,13.0,16.0,7.0,15.0,17.0,18.0,21.0,20.0,22.0
1665,10.0,9.0,4.0,0.0,1.0,3.0,8.0,11.0,2.0,15.0,5.0,14.0,7.0,12.0,13.0,18.0,6.0,16.0,19.0,20.0,17.0,21.0,22.0
1714,0.0,15.0,5.0,1.0,2.0,9.0,14.0,4.0,3.0,8.0,12.0,13.0,7.0,10.0,11.0,18.0,6.0,16.0,19.0,20.0,17.0,21.0,22.0
1763,10.0,9.0,4.0,0.0,6.0,1.0,15.0,11.0,3.0,8.0,13.0,2.0,7.0,12.0,5.0,18.0,14.0,16.0,19.0,21.0,17.0,20.0,22.0
1812,3.0,2.0,0.0,6.0,12.0,10.0,1.0,5.0,4.0,21.0,8.0,14.0,9.0,11.0,7.0,18.0,13.0,15.0,19.0,20.0,17.0,16.0,22.0
1861,9.0,3.0,1.0,10.0,5.0,11.0,2.0,4.0,0.0,8.0,6.0,7.0,16.0,12.0,13.0,18.0,14.0,15.0,19.0,20.0,17.0,21.0,22.0
1910,10.0,1.0,5.0,11.0,6.0,4.0,9.0,3.0,2.0,15.0,0.0,14.0,8.0,12.0,13.0,18.0,7.0,16.0,19.0,20.0,17.0,21.0,22.0
1959,3.0,10.0,0.0,5.0,1.0,6.0,2.0,4.0,11.0,14.0,12.0,13.0,9.0,7.0,8.0,18.0,15.0,16.0,21.0,19.0,17.0,20.0,22.0
2008,18.0,0.0,5.0,3.0,1.0,4.0,7.0,2.0,15.0,10.0,6.0,11.0,9.0,13.0,16.0,8.0,12.0,17.0,20.0,14.0,19.0,21.0,22.0
