,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
32,0.0,2.0,4.0,1.0,3.0,32.0,712.0,9.0,6.0,12.0,5.0,8.0,67.0,101.0,144.0,68.0,27.0,16.0,84.0,906.0,131.0,278.0,360.0,81.0,1228.0,14.0,120.0,5997.0,1030.0,75.0
81,0.0,2.0,4.0,1.0,34.0,15.0,167.0,6.0,7.0,32.0,43.0,20.0,112.0,16.0,128.0,673.0,214.0,155.0,57.0,3.0,3004.0,71.0,280.0,366.0,179.0,484.0,26.0,72.0,221.0,139.0
130,2.0,0.0,5.0,1.0,8.0,31.0,39.0,9.0,337.0,14.0,4.0,11.0,3.0,115.0,654.0,185.0,15.0,48.0,15817.0,78.0,21.0,62.0,275.0,44.0,315.0,10944.0,13.0,268.0,3541.0,3656.0
179,0.0,1.0,3.0,5.0,8.0,2.0,219.0,7.0,34.0,47.0,25.0,6.0,4.0,29.0,37.0,30.0,27.0,1843.0,19.0,656.0,14057.0,198.0,1266.0,141.0,1518.0,181.0,18.0,327.0,9.0,3609.0
228,0.0,3.0,1.0,8.0,6.0,5.0,26.0,4.0,37.0,11.0,2.0,7.0,670.0,125.0,23.0,451.0,18.0,60.0,205.0,55.0,14019.0,249.0,184.0,16.0,80.0,10.0,757.0,145.0,140.0,103.0
277,2.0,0.0,3.0,1.0,285.0,5.0,2214.0,195.0,65.0,11.0,8.0,502.0,356.0,9370.0,33.0,21407.0,369.0,215.0,24.0,402.0,18420.0,399.0,18.0,45.0,23.0,172.0,127.0,220.0,103.0,156.0
326,0.0,4.0,1.0,2.0,3.0,9.0,158.0,24.0,13801.0,8.0,11.0,5.0,66.0,428.0,163.0,6.0,20.0,46.0,57.0,231.0,790.0,1112.0,16534.0,1001.0,13.0,25.0,11979.0,280.0,598.0,60.0
375,0.0,1.0,2.0,7.0,384.0,6.0,12306.0,4.0,583.0,9.0,8.0,5.0,403.0,1385.0,21834.0,84.0,26.0,165.0,332.0,163.0,1075.0,11.0,122.0,32.0,1028.0,3.0,22.0,25.0,713.0,929.0
424,0.0,1.0,2.0,3.0,4.0,13.0,16875.0,7.0,5.0,14.0,6.0,12.0,39.0,53.0,654.0,16.0,1866.0,196.0,11.0,76.0,14065.0,79.0,1018.0,310.0,74.0,35.0,10.0,8.0,222.0,788.0
473,0.0,18.0,2.0,1.0,6.0,16.0,228.0,3.0,72.0,176.0,8.0,19.0,163.0,3133.0,23.0,359.0,7.0,2093.0,4.0,115.0,31.0,245.0,52.0,1922.0,16588.0,37.0,12468.0,137.0,24.0,288.0
