,BRAF_MUT,BRAF.V600E_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,TTN_MUT,KIAA1217_DEL,FAM21A_DEL,HLA-H_DEL,NRAS_MUT,MIR548AI_DEL,RHD_DEL,CDC73_AMP,ZNF423_MUT,FAM35B_DEL,TNK2_MUT,FAM66A_DEL,NBPF16_DEL,UNC13C_MUT,LOC728875_DEL,LINC00221_DEL,SORD_AMP,MITF_AMP,HLA-DRB1_AMP,PUS7_DEL,LINC00226_AMP,MACROD2_AMP,CFHR3_AMP,ATG10_DEL,LGALS9C_DEL
29,0.0,2.0,4.0,6.0,7.0,1.0,10.0,3.0,5.0,25.0,53.0,12.0,8.0,13.0,694.0,21.0,2172.0,45.0,19.0,32.0,269.0,24.0,22.0,28.0,474.0,14.0,15.0,54.0,17.0,26.0
78,0.0,2.0,4.0,10.0,6.0,7.0,9.0,29.0,1.0,5.0,3.0,41.0,28.0,18.0,89.0,24.0,548.0,211.0,15.0,1193.0,13.0,46.0,20.0,53.0,25.0,19.0,21.0,15841.0,159.0,12.0
127,0.0,3.0,2.0,5.0,9.0,1.0,12.0,6.0,8.0,4.0,7.0,18.0,13.0,10.0,45.0,30.0,366.0,114.0,43.0,32.0,14.0,24.0,50.0,29.0,63.0,19.0,40.0,8408.0,23.0,544.0
176,0.0,1.0,3.0,6.0,4.0,2.0,5.0,7.0,12.0,8.0,9.0,11.0,14.0,16.0,23.0,22.0,35.0,48.0,44.0,10.0,29.0,163.0,15.0,34.0,18.0,13.0,45.0,6188.0,41.0,33.0
225,0.0,2.0,1.0,3.0,9.0,7.0,4.0,6.0,10.0,5.0,48.0,73.0,11.0,56.0,160.0,19.0,20.0,40.0,13.0,15.0,102.0,204.0,92.0,14.0,84.0,26.0,21.0,1173.0,16.0,53.0
274,0.0,2.0,3.0,4.0,8.0,1.0,10.0,13.0,7.0,9.0,44.0,5.0,11.0,96.0,147.0,205.0,32.0,82.0,17.0,6.0,22.0,81.0,21.0,12.0,25.0,43.0,24.0,69.0,20.0,26.0
323,0.0,1.0,2.0,5.0,4.0,3.0,6.0,9.0,8.0,7.0,13.0,11.0,15.0,21.0,215.0,33.0,29.0,30.0,45.0,14.0,63.0,68.0,17.0,36.0,28.0,42.0,40.0,104.0,61.0,18.0
372,0.0,2.0,1.0,3.0,8.0,4.0,47.0,24.0,31.0,5.0,495.0,7.0,13.0,10.0,51.0,35.0,38.0,27.0,16.0,6.0,11.0,23237.0,76.0,9.0,102.0,12.0,30.0,402.0,42.0,53.0
421,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,12.0,23.0,9.0,10.0,19.0,41.0,17.0,16.0,20.0,13.0,139.0,36.0,1538.0,14.0,38.0,163.0,18.0,71.0,358.0,15.0,28.0
470,0.0,1.0,4.0,13.0,3.0,2.0,14.0,7.0,5.0,15.0,9.0,8.0,10.0,17.0,20.0,50.0,272.0,37.0,27.0,24.0,16.0,22.0,11.0,30.0,67.0,90.0,60.0,4524.0,19.0,402.0
519,0.0,1.0,4.0,6.0,5.0,3.0,70.0,21.0,2.0,60.0,18.0,12.0,19.0,22.0,157.0,33.0,101.0,259.0,43.0,48.0,410.0,69.0,95.0,14.0,1055.0,8.0,76.0,7.0,110.0,348.0
568,0.0,3.0,1.0,2.0,17.0,47.0,16.0,4.0,5.0,13.0,7.0,37.0,8.0,55.0,20.0,24.0,45.0,63.0,86.0,33.0,152.0,6.0,1208.0,21.0,40.0,19.0,48.0,31.0,85.0,1281.0
617,0.0,1.0,5.0,8.0,9.0,55.0,4.0,2.0,3.0,14.0,6.0,76.0,72.0,29.0,15.0,22.0,176.0,45.0,139.0,23.0,77.0,30.0,156.0,50.0,44.0,57.0,58.0,13.0,131.0,24.0
666,0.0,1.0,2.0,3.0,7.0,33.0,8.0,6.0,4.0,5.0,13.0,11.0,36.0,10.0,70.0,34.0,87.0,57.0,93.0,9.0,35.0,307.0,47.0,240.0,24.0,66.0,513.0,15.0,45.0,56.0
715,0.0,1.0,2.0,5.0,7.0,37.0,6.0,17.0,3.0,18.0,4.0,8.0,21.0,10.0,16.0,41.0,34.0,62.0,83.0,9.0,51.0,843.0,79.0,40.0,36.0,14.0,73.0,22.0,67.0,612.0
764,0.0,1.0,2.0,4.0,6.0,8.0,7.0,13.0,5.0,9.0,12.0,11.0,22.0,19.0,20.0,18.0,30.0,41.0,130.0,55.0,40.0,29.0,109.0,112.0,49.0,3.0,50.0,25.0,26.0,31.0
813,0.0,3.0,1.0,4.0,8.0,10.0,9.0,6.0,2.0,16.0,7.0,5.0,22.0,25.0,19.0,33.0,54.0,39.0,56.0,14.0,27.0,250.0,196.0,90.0,265.0,31.0,67.0,11.0,89.0,37.0
862,0.0,2.0,3.0,5.0,8.0,10.0,1.0,7.0,6.0,4.0,9.0,61.0,419.0,21.0,25.0,34.0,43.0,13.0,625.0,18.0,39.0,62.0,97.0,12.0,27.0,52.0,911.0,91.0,20.0,42.0
911,0.0,3.0,1.0,4.0,10.0,5.0,2.0,7.0,9.0,6.0,31.0,8.0,35.0,18.0,28.0,27.0,20.0,14.0,36.0,23.0,30.0,81.0,369.0,178.0,52.0,11.0,46.0,57.0,37.0,38.0
960,0.0,1.0,6.0,7.0,10.0,342.0,9.0,3.0,2.0,5.0,4.0,13.0,75.0,18.0,8.0,19.0,14.0,12.0,93.0,48.0,16.0,39.0,118.0,38.0,37.0,55.0,56.0,101.0,323.0,105.0
1009,0.0,2.0,3.0,5.0,6.0,1.0,4.0,8.0,16.0,7.0,78.0,10.0,119.0,15.0,9.0,21.0,13.0,12.0,22.0,265.0,11.0,49.0,44.0,375.0,77.0,116.0,1322.0,65.0,71.0,225.0
1058,0.0,1.0,2.0,3.0,10.0,4.0,5.0,6.0,34.0,7.0,16.0,13.0,69.0,11.0,9.0,14.0,8.0,31.0,26.0,42.0,12.0,62.0,47.0,148.0,40.0,1740.0,634.0,241.0,146.0,48.0
1107,0.0,1.0,2.0,3.0,6.0,5.0,4.0,13.0,10.0,19.0,31.0,8.0,381.0,9.0,11.0,22.0,74.0,12.0,39.0,36.0,7.0,14.0,78.0,92.0,33.0,754.0,340.0,54.0,42.0,383.0
1156,0.0,3.0,2.0,5.0,7.0,1.0,8.0,4.0,35.0,21.0,10.0,11.0,94.0,12.0,9.0,34.0,36.0,26.0,104.0,13.0,6.0,29.0,72.0,10100.0,171.0,381.0,1590.0,33.0,55.0,49.0
1205,0.0,1.0,4.0,5.0,3.0,6.0,2.0,20.0,11.0,8.0,7.0,40.0,2015.0,12.0,9.0,31.0,10.0,22.0,90.0,45.0,23.0,114.0,38.0,102.0,32.0,274.0,1432.0,66.0,35.0,18.0
1254,0.0,2.0,3.0,4.0,5.0,1.0,6.0,10.0,20.0,7.0,23.0,18.0,62.0,15.0,11.0,12.0,26.0,84.0,22.0,193.0,8.0,24.0,39.0,110.0,28.0,350.0,282.0,16.0,289.0,14.0
1303,0.0,1.0,3.0,4.0,7.0,5.0,2.0,10.0,18.0,6.0,11.0,13.0,83.0,12.0,23.0,16.0,38.0,30.0,21.0,19.0,8.0,22.0,28.0,161.0,37.0,2665.0,213.0,24.0,62.0,31.0
1352,0.0,1.0,2.0,3.0,6.0,12.0,18.0,4.0,331.0,5.0,105.0,54.0,23.0,35.0,7.0,13.0,11.0,53.0,15.0,161.0,59.0,9.0,332.0,58.0,60.0,74.0,287.0,17.0,48.0,66.0
1401,0.0,1.0,6.0,8.0,2.0,3.0,12.0,4.0,29.0,7.0,10.0,11.0,242.0,14.0,5.0,18.0,31.0,9.0,23.0,30.0,13.0,28.0,35.0,297.0,21.0,77.0,11006.0,74.0,72.0,25.0
1450,0.0,1.0,4.0,6.0,3.0,2.0,7.0,19.0,5.0,24.0,33.0,11.0,103.0,10.0,21.0,54.0,986.0,12.0,36.0,56.0,45.0,23.0,50.0,208.0,579.0,107.0,1018.0,48.0,59.0,14.0
