,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.MC_MUT,OR2T11_AMP,NRAS_MUT,KANK1_AMP,OR2T10_AMP,PAXIP1_MUT,MAST2_MUT,ZDHHC11_AMP,SLC6A19_AMP,MIR548AI_DEL,HLA-H_DEL,LOC100506688_AMP,LOC284344_DEL,OR51A4_DEL,TTN_MUT,ALPK2_MUT,PRKCE_DEL,ATP13A5_MUT,TNK2_MUT,ANKS1B_DEL,ZNF826P_DEL,FAM74A2_DEL,UPF3A_AMP,TOMM20_AMP,GSTM1_DEL,PSG4_DEL
28,0.0,5.0,1.0,4.0,9.0,16.0,94.0,3.0,23.0,679.0,2.0,1729.0,339.0,823.0,3068.0,269.0,117.0,267.0,6.0,316.0,818.0,1694.0,9426.0,326.0,193.0,80.0,53.0,19375.0,1261.0,61.0
77,0.0,2.0,6.0,5.0,3.0,1.0,35.0,4.0,293.0,16730.0,485.0,626.0,15183.0,188.0,41.0,15806.0,1093.0,1013.0,1159.0,16646.0,75.0,2739.0,802.0,21.0,1579.0,513.0,55.0,19638.0,2712.0,12186.0
126,0.0,1.0,4.0,2.0,79.0,3.0,2164.0,272.0,10.0,703.0,18.0,126.0,271.0,576.0,7.0,23121.0,780.0,267.0,494.0,9385.0,1589.0,12534.0,646.0,293.0,1647.0,12093.0,688.0,1061.0,84.0,11135.0
175,1.0,0.0,14.0,9.0,11.0,4.0,401.0,28.0,40.0,16724.0,455.0,1061.0,373.0,205.0,66.0,77.0,5.0,756.0,12.0,296.0,17.0,16431.0,135.0,47.0,72.0,8546.0,2086.0,21.0,2522.0,12653.0
224,1.0,2.0,3.0,5.0,79.0,0.0,23.0,383.0,7.0,110.0,1569.0,28.0,14235.0,2522.0,2785.0,14205.0,192.0,67.0,2253.0,952.0,688.0,921.0,212.0,10840.0,12183.0,12307.0,289.0,2609.0,6823.0,158.0
273,2.0,1.0,9.0,0.0,76.0,35.0,27.0,214.0,49.0,520.0,19.0,22799.0,21.0,2751.0,4.0,2483.0,511.0,3873.0,2377.0,330.0,83.0,16431.0,16603.0,15.0,5.0,555.0,23747.0,299.0,993.0,512.0
322,4.0,2.0,1.0,3.0,25.0,0.0,10.0,370.0,65.0,732.0,142.0,320.0,222.0,2809.0,256.0,15797.0,477.0,30.0,17065.0,1314.0,283.0,750.0,16616.0,988.0,8079.0,679.0,23758.0,263.0,2155.0,12282.0
371,3.0,0.0,4.0,2.0,35.0,1.0,30.0,2429.0,259.0,5165.0,350.0,664.0,15.0,19212.0,3618.0,12.0,7021.0,5013.0,1510.0,12318.0,9.0,15177.0,9450.0,17.0,182.0,1556.0,22088.0,19.0,1228.0,10895.0
420,0.0,2.0,1.0,9.0,16.0,6.0,442.0,5.0,462.0,16716.0,662.0,22776.0,3.0,20675.0,2822.0,189.0,6262.0,93.0,782.0,2360.0,12350.0,1229.0,168.0,31.0,26.0,33.0,533.0,842.0,2341.0,205.0
469,0.0,1.0,3.0,1468.0,13.0,5.0,521.0,13651.0,10.0,803.0,11.0,1131.0,15150.0,101.0,8.0,30.0,1586.0,4139.0,265.0,35.0,49.0,16440.0,1628.0,7.0,8156.0,1449.0,23630.0,19581.0,2238.0,11600.0
518,0.0,1.0,3.0,6.0,29.0,4.0,11.0,1147.0,18514.0,86.0,13306.0,23078.0,13395.0,1371.0,2.0,16002.0,6354.0,1117.0,1882.0,36.0,12434.0,10.0,8.0,43.0,8246.0,59.0,159.0,9.0,1327.0,48.0
567,0.0,3.0,4.0,1.0,9122.0,262.0,1270.0,2.0,89.0,48.0,226.0,22785.0,36.0,178.0,1052.0,565.0,6490.0,4282.0,2808.0,586.0,12341.0,1568.0,7.0,12165.0,1015.0,11977.0,683.0,9.0,17.0,118.0
616,0.0,8.0,1.0,17.0,5884.0,63.0,21.0,4.0,639.0,48.0,16663.0,2142.0,15172.0,53.0,10.0,15806.0,634.0,185.0,474.0,3.0,13.0,16453.0,16613.0,26.0,93.0,251.0,23760.0,19592.0,2314.0,350.0
665,2.0,159.0,0.0,1.0,2091.0,6.0,16536.0,2511.0,380.0,133.0,16739.0,22774.0,15231.0,39.0,142.0,15781.0,622.0,26.0,2600.0,10.0,13.0,76.0,289.0,15.0,38.0,8094.0,23633.0,3.0,131.0,1292.0
714,0.0,1.0,5.0,2.0,4.0,16.0,744.0,92.0,6.0,10.0,16705.0,23030.0,250.0,88.0,822.0,1762.0,724.0,24.0,1963.0,16646.0,12346.0,232.0,11.0,3.0,63.0,530.0,1176.0,927.0,36.0,12846.0
763,1.0,0.0,4.0,7.0,121.0,2.0,16529.0,207.0,2689.0,1903.0,16.0,53.0,22.0,8.0,32.0,1974.0,6590.0,42.0,17055.0,512.0,108.0,16476.0,198.0,769.0,1111.0,11973.0,1534.0,19.0,52.0,2201.0
