,DHAP/glyceraldehyde 3P,GABA,pantothenate,adenosine,beta-alanine,cis/trans-hydroxyproline,niacinamide,glutamine,N-carbamoyl-beta-alanine,urate,asparagine,cytidine,C18:0 LPC,inosine,alpha-glycerophosphocholine,5-HIAA,homocysteine,putrescine,serotonin,hippurate,valerylcarnitine,C18:0 LPE,C34:2 DAG,C16:0 LPE,hypoxanthine,guanosine,taurodeoxycholate,creatine,phosphocreatine,carnitine
22,1.0,0.0,5.0,2.0,3.0,8.0,6.0,10.0,13.0,7.0,4.0,12.0,20.0,9.0,21.0,16.0,15.0,17.0,24.0,14.0,22.0,19.0,56.0,27.0,26.0,29.0,11.0,30.0,39.0,25.0
71,1.0,0.0,10.0,4.0,14.0,2.0,3.0,6.0,11.0,18.0,12.0,9.0,16.0,7.0,5.0,8.0,15.0,23.0,27.0,13.0,33.0,25.0,32.0,17.0,31.0,36.0,34.0,41.0,30.0,35.0
120,1.0,0.0,4.0,2.0,6.0,8.0,7.0,3.0,11.0,20.0,9.0,10.0,5.0,12.0,37.0,14.0,15.0,18.0,27.0,13.0,17.0,24.0,43.0,34.0,23.0,16.0,40.0,33.0,36.0,22.0
169,3.0,0.0,7.0,2.0,21.0,12.0,5.0,8.0,4.0,11.0,14.0,13.0,9.0,1.0,17.0,18.0,15.0,19.0,31.0,10.0,20.0,28.0,24.0,23.0,29.0,41.0,42.0,38.0,26.0,6.0
218,1.0,0.0,11.0,5.0,8.0,15.0,10.0,2.0,4.0,21.0,13.0,6.0,16.0,7.0,12.0,17.0,3.0,27.0,30.0,14.0,26.0,32.0,44.0,18.0,41.0,22.0,23.0,38.0,31.0,20.0
267,0.0,1.0,2.0,7.0,5.0,3.0,6.0,16.0,4.0,15.0,18.0,8.0,22.0,10.0,12.0,9.0,14.0,20.0,26.0,11.0,17.0,25.0,19.0,24.0,39.0,42.0,38.0,31.0,51.0,28.0
316,0.0,4.0,2.0,1.0,7.0,3.0,11.0,6.0,9.0,17.0,5.0,8.0,14.0,10.0,21.0,13.0,18.0,27.0,33.0,12.0,24.0,19.0,36.0,16.0,43.0,31.0,42.0,30.0,26.0,35.0
365,3.0,0.0,4.0,1.0,11.0,9.0,8.0,10.0,7.0,14.0,2.0,16.0,20.0,6.0,12.0,13.0,5.0,18.0,25.0,15.0,36.0,30.0,43.0,17.0,24.0,27.0,21.0,31.0,42.0,26.0
414,0.0,1.0,2.0,6.0,4.0,9.0,7.0,10.0,8.0,20.0,5.0,11.0,14.0,13.0,19.0,3.0,17.0,25.0,21.0,15.0,50.0,16.0,27.0,32.0,29.0,39.0,26.0,44.0,34.0,12.0
463,0.0,2.0,1.0,8.0,6.0,7.0,3.0,18.0,5.0,9.0,11.0,20.0,4.0,12.0,21.0,17.0,14.0,23.0,24.0,19.0,13.0,22.0,27.0,25.0,48.0,46.0,31.0,15.0,40.0,32.0
512,1.0,0.0,3.0,5.0,2.0,6.0,7.0,8.0,11.0,20.0,4.0,9.0,10.0,28.0,19.0,18.0,36.0,12.0,13.0,21.0,16.0,34.0,22.0,33.0,26.0,29.0,15.0,43.0,14.0,35.0
561,1.0,2.0,4.0,6.0,0.0,7.0,5.0,9.0,15.0,12.0,16.0,3.0,14.0,37.0,18.0,11.0,42.0,33.0,8.0,39.0,22.0,10.0,31.0,13.0,47.0,49.0,32.0,24.0,23.0,35.0
610,3.0,2.0,4.0,6.0,1.0,0.0,8.0,7.0,9.0,10.0,11.0,16.0,36.0,5.0,14.0,17.0,20.0,12.0,26.0,13.0,23.0,19.0,31.0,32.0,22.0,29.0,33.0,35.0,27.0,25.0
659,1.0,4.0,0.0,5.0,3.0,2.0,7.0,8.0,13.0,16.0,9.0,10.0,12.0,17.0,46.0,6.0,42.0,14.0,19.0,27.0,11.0,39.0,25.0,32.0,33.0,15.0,20.0,35.0,26.0,43.0
708,4.0,0.0,2.0,6.0,1.0,7.0,5.0,8.0,11.0,10.0,15.0,3.0,9.0,13.0,24.0,12.0,41.0,31.0,16.0,23.0,17.0,18.0,39.0,37.0,26.0,14.0,20.0,30.0,45.0,35.0
757,0.0,5.0,1.0,3.0,2.0,6.0,4.0,11.0,8.0,14.0,7.0,13.0,25.0,23.0,17.0,10.0,16.0,42.0,9.0,30.0,12.0,21.0,22.0,19.0,41.0,26.0,36.0,27.0,24.0,34.0
806,4.0,0.0,1.0,5.0,2.0,3.0,6.0,10.0,17.0,24.0,20.0,12.0,29.0,22.0,31.0,18.0,13.0,11.0,7.0,16.0,19.0,37.0,38.0,40.0,8.0,9.0,21.0,25.0,26.0,45.0
855,2.0,4.0,3.0,8.0,0.0,7.0,6.0,1.0,19.0,10.0,9.0,12.0,13.0,26.0,20.0,14.0,47.0,37.0,5.0,21.0,22.0,28.0,27.0,16.0,32.0,15.0,23.0,29.0,25.0,46.0
904,3.0,0.0,2.0,6.0,1.0,4.0,5.0,7.0,24.0,12.0,8.0,15.0,14.0,34.0,10.0,9.0,45.0,42.0,21.0,17.0,11.0,22.0,27.0,32.0,18.0,16.0,23.0,35.0,31.0,41.0
953,0.0,14.0,9.0,5.0,2.0,4.0,1.0,8.0,15.0,7.0,6.0,3.0,20.0,29.0,19.0,11.0,42.0,23.0,16.0,31.0,13.0,26.0,22.0,18.0,21.0,10.0,32.0,17.0,12.0,45.0
1002,1.0,0.0,3.0,9.0,2.0,5.0,8.0,6.0,24.0,4.0,25.0,15.0,18.0,17.0,14.0,7.0,12.0,36.0,21.0,20.0,16.0,40.0,13.0,37.0,31.0,38.0,11.0,19.0,44.0,23.0
1051,1.0,2.0,0.0,7.0,3.0,6.0,9.0,5.0,23.0,8.0,14.0,30.0,20.0,11.0,27.0,4.0,24.0,33.0,12.0,18.0,28.0,19.0,25.0,21.0,22.0,26.0,13.0,17.0,38.0,32.0
1100,3.0,2.0,0.0,4.0,1.0,9.0,8.0,6.0,11.0,5.0,10.0,28.0,18.0,22.0,19.0,7.0,13.0,27.0,12.0,24.0,15.0,16.0,30.0,34.0,17.0,23.0,25.0,21.0,36.0,46.0
1149,1.0,2.0,0.0,11.0,3.0,7.0,4.0,5.0,9.0,8.0,12.0,19.0,13.0,14.0,21.0,6.0,23.0,45.0,10.0,18.0,16.0,38.0,15.0,28.0,27.0,24.0,22.0,26.0,37.0,30.0
1198,0.0,3.0,1.0,2.0,10.0,5.0,4.0,6.0,11.0,8.0,9.0,17.0,31.0,20.0,26.0,7.0,13.0,12.0,16.0,22.0,21.0,14.0,15.0,29.0,19.0,23.0,28.0,41.0,35.0,52.0
1247,0.0,2.0,1.0,10.0,4.0,9.0,7.0,8.0,6.0,3.0,11.0,13.0,25.0,17.0,20.0,5.0,14.0,24.0,22.0,12.0,23.0,39.0,15.0,30.0,18.0,19.0,37.0,21.0,28.0,44.0
1296,0.0,2.0,3.0,5.0,4.0,11.0,1.0,14.0,20.0,6.0,16.0,29.0,18.0,21.0,28.0,7.0,8.0,19.0,25.0,27.0,31.0,9.0,12.0,38.0,23.0,39.0,32.0,15.0,37.0,10.0
1345,1.0,0.0,2.0,4.0,6.0,5.0,3.0,7.0,28.0,9.0,23.0,22.0,19.0,31.0,20.0,13.0,11.0,41.0,10.0,17.0,8.0,15.0,12.0,55.0,14.0,29.0,25.0,32.0,35.0,34.0
1394,0.0,2.0,1.0,5.0,6.0,4.0,3.0,8.0,17.0,9.0,13.0,7.0,24.0,25.0,30.0,11.0,19.0,36.0,10.0,35.0,15.0,22.0,14.0,21.0,18.0,20.0,27.0,31.0,29.0,26.0
1443,2.0,3.0,0.0,8.0,1.0,6.0,5.0,7.0,33.0,4.0,12.0,15.0,19.0,10.0,25.0,9.0,21.0,18.0,14.0,28.0,11.0,23.0,32.0,35.0,22.0,27.0,13.0,17.0,38.0,34.0
1492,4.0,0.0,2.0,5.0,1.0,6.0,28.0,3.0,7.0,20.0,17.0,11.0,22.0,16.0,27.0,32.0,24.0,8.0,31.0,15.0,29.0,33.0,10.0,19.0,25.0,30.0,14.0,21.0,12.0,26.0
1541,0.0,4.0,2.0,1.0,3.0,6.0,9.0,5.0,10.0,7.0,15.0,20.0,14.0,13.0,22.0,21.0,12.0,8.0,26.0,29.0,44.0,17.0,42.0,11.0,34.0,23.0,37.0,18.0,33.0,28.0
1590,2.0,0.0,4.0,1.0,9.0,3.0,6.0,12.0,15.0,8.0,19.0,5.0,14.0,7.0,25.0,20.0,28.0,11.0,17.0,10.0,46.0,26.0,16.0,27.0,21.0,53.0,13.0,45.0,18.0,23.0
1639,0.0,4.0,1.0,2.0,5.0,7.0,14.0,6.0,11.0,13.0,12.0,9.0,36.0,8.0,24.0,22.0,37.0,3.0,19.0,10.0,18.0,17.0,21.0,15.0,27.0,34.0,16.0,45.0,25.0,30.0
1688,0.0,1.0,4.0,2.0,6.0,3.0,5.0,12.0,8.0,15.0,16.0,11.0,25.0,9.0,20.0,28.0,14.0,10.0,17.0,7.0,37.0,24.0,29.0,18.0,13.0,40.0,27.0,22.0,21.0,44.0
1737,3.0,0.0,5.0,1.0,4.0,7.0,2.0,9.0,8.0,16.0,23.0,11.0,19.0,14.0,20.0,32.0,27.0,6.0,10.0,15.0,21.0,40.0,12.0,26.0,13.0,36.0,17.0,29.0,25.0,49.0
1786,1.0,0.0,2.0,3.0,9.0,5.0,7.0,8.0,25.0,38.0,37.0,12.0,18.0,16.0,28.0,6.0,11.0,4.0,13.0,14.0,15.0,33.0,29.0,32.0,17.0,24.0,10.0,22.0,20.0,21.0
1835,3.0,0.0,4.0,1.0,2.0,15.0,11.0,7.0,14.0,16.0,10.0,9.0,12.0,5.0,25.0,13.0,40.0,6.0,18.0,8.0,24.0,35.0,32.0,17.0,20.0,31.0,22.0,36.0,33.0,21.0
1884,0.0,1.0,2.0,3.0,16.0,6.0,20.0,7.0,12.0,10.0,25.0,9.0,24.0,8.0,32.0,18.0,28.0,4.0,11.0,5.0,14.0,29.0,15.0,22.0,31.0,36.0,17.0,30.0,26.0,23.0
1933,1.0,4.0,2.0,0.0,5.0,3.0,9.0,11.0,6.0,15.0,10.0,13.0,21.0,14.0,19.0,17.0,38.0,8.0,26.0,7.0,22.0,23.0,16.0,12.0,28.0,35.0,18.0,39.0,25.0,32.0
