,hsa-miR-130a,hsa-miR-222,hsa-miR-497,hsa-miR-34a,hsa-let-7e,hsa-let-7c,hsa-miR-149,hsa-miR-1260,hsa-miR-548p,hsa-miR-1978,hsa-miR-1302,hsa-miR-218,hsa-miR-582-5p,hsa-miR-553,hsa-miR-1298,hsa-miR-1233,hsa-miR-483-3p,hsa-miR-155,hsa-miR-9,hsa-miR-210,hsa-miR-1308,hsa-miR-96,hsa-miR-569,hsa-miR-877,hsa-miR-135b,hsa-miR-99a,hsa-miR-1307,hsa-miR-129-3p,hsa-miR-342-3p,hsa-miR-567
19,4.0,27.0,18.0,13.0,83.0,20.0,137.0,40.0,96.0,54.0,69.0,50.0,139.0,241.0,48.0,90.0,111.0,155.0,294.0,32.0,63.0,67.0,0.0,249.0,93.0,55.0,103.0,114.0,612.0,107.0
68,2.0,11.0,29.0,20.0,68.0,454.0,360.0,31.0,43.0,394.0,63.0,109.0,33.0,225.0,482.0,81.0,70.0,389.0,45.0,17.0,383.0,55.0,153.0,72.0,375.0,82.0,94.0,85.0,602.0,100.0
117,3.0,12.0,40.0,47.0,459.0,24.0,377.0,33.0,84.0,69.0,70.0,101.0,71.0,115.0,58.0,95.0,510.0,46.0,296.0,41.0,28.0,38.0,202.0,66.0,391.0,29.0,85.0,119.0,629.0,78.0
166,1.0,11.0,30.0,35.0,128.0,114.0,48.0,20.0,58.0,85.0,31.0,52.0,86.0,116.0,33.0,73.0,508.0,3.0,331.0,32.0,22.0,64.0,191.0,343.0,383.0,81.0,104.0,61.0,610.0,51.0
215,20.0,21.0,9.0,11.0,456.0,72.0,389.0,91.0,64.0,67.0,29.0,13.0,32.0,212.0,469.0,90.0,136.0,365.0,81.0,494.0,39.0,56.0,186.0,128.0,388.0,99.0,60.0,474.0,63.0,93.0
264,7.0,8.0,38.0,29.0,35.0,458.0,369.0,48.0,101.0,404.0,51.0,105.0,57.0,147.0,59.0,79.0,129.0,89.0,45.0,5.0,66.0,84.0,3.0,25.0,385.0,91.0,42.0,60.0,610.0,98.0
313,20.0,8.0,39.0,18.0,108.0,441.0,362.0,42.0,102.0,93.0,28.0,104.0,48.0,105.0,56.0,90.0,496.0,82.0,321.0,16.0,133.0,242.0,1.0,331.0,32.0,80.0,50.0,462.0,601.0,69.0
362,20.0,32.0,8.0,15.0,441.0,440.0,17.0,103.0,85.0,16.0,90.0,67.0,46.0,34.0,74.0,430.0,48.0,385.0,3.0,0.0,35.0,232.0,206.0,125.0,375.0,113.0,28.0,98.0,599.0,106.0
411,10.0,29.0,7.0,13.0,42.0,33.0,375.0,68.0,35.0,14.0,60.0,104.0,72.0,209.0,429.0,106.0,91.0,102.0,64.0,23.0,59.0,66.0,228.0,97.0,386.0,40.0,44.0,135.0,90.0,78.0
460,21.0,23.0,10.0,8.0,109.0,45.0,378.0,68.0,91.0,3.0,29.0,25.0,80.0,114.0,77.0,96.0,509.0,24.0,65.0,400.0,28.0,48.0,225.0,294.0,83.0,75.0,40.0,472.0,46.0,117.0
509,5.0,19.0,18.0,34.0,112.0,22.0,11.0,13.0,21.0,137.0,101.0,79.0,86.0,121.0,89.0,31.0,59.0,370.0,131.0,20.0,45.0,81.0,118.0,128.0,392.0,100.0,123.0,116.0,609.0,109.0
558,6.0,11.0,18.0,39.0,16.0,54.0,96.0,85.0,113.0,424.0,50.0,19.0,25.0,211.0,466.0,130.0,507.0,82.0,267.0,395.0,462.0,20.0,224.0,21.0,388.0,53.0,42.0,473.0,73.0,95.0
