,ETV4,TMC6,TOR4A,RP11-973F15.1,RP11-93B14.5,MBP,SPRY2,ALX4,GPR137,ENAH,CTD-2231H16.1,C16orf87,RP11-236F9.2,EML1,CTSE,RNF125,KRBA1,DBN1,SOGA1,SLCO4A1,ARHGAP33,C15orf59,DUSP6,DNAJB2,ETV5,SHISA9,KLF3,LEMD2,NPAS2,OSBPL11
7,0.0,13.0,19311.0,5.0,1.0,6.0,114.0,4675.0,2.0,19.0,159.0,17.0,19982.0,104.0,12.0,11993.0,3.0,21164.0,43.0,15.0,191.0,8.0,58.0,13251.0,14571.0,2672.0,4.0,31.0,16.0,121.0
56,1.0,3.0,7.0,0.0,21.0,33.0,1493.0,756.0,25.0,23.0,21598.0,15.0,19997.0,1530.0,6.0,42.0,18.0,21101.0,208.0,6874.0,46.0,111.0,5194.0,13215.0,79.0,50.0,2.0,16.0,12923.0,125.0
105,1.0,4.0,35.0,0.0,2.0,5.0,1349.0,3.0,34.0,14.0,212.0,28.0,20007.0,3351.0,17.0,48.0,16.0,21107.0,27.0,128.0,96.0,104.0,5231.0,13205.0,161.0,2701.0,7.0,22753.0,51.0,14440.0
154,1.0,12.0,48.0,0.0,2.0,26.0,24.0,72.0,3821.0,6.0,141.0,7.0,67.0,1369.0,4.0,82.0,11.0,704.0,33.0,6913.0,46.0,16.0,9.0,92.0,526.0,2675.0,13.0,27.0,272.0,14449.0
203,10.0,4.0,42.0,1.0,0.0,29.0,1621.0,9.0,3567.0,36.0,21546.0,6.0,20004.0,3161.0,12.0,73.0,15.0,3.0,30.0,6905.0,11093.0,3201.0,31.0,203.0,14572.0,1004.0,13618.0,325.0,148.0,439.0
252,3.0,0.0,44.0,2.0,1.0,28.0,46.0,93.0,52.0,21.0,21541.0,12.0,80.0,3056.0,4.0,990.0,27.0,69.0,13.0,42.0,67.0,3204.0,5217.0,74.0,152.0,54.0,275.0,22740.0,7.0,14202.0
301,1.0,0.0,19178.0,3.0,2.0,16.0,45.0,24.0,3672.0,20.0,32.0,33.0,133.0,3035.0,19.0,40.0,64.0,4.0,66.0,6904.0,49.0,2661.0,5180.0,13199.0,14571.0,1273.0,13480.0,22766.0,98.0,14199.0
350,7.0,0.0,19179.0,1.0,4.0,23.0,46.0,15.0,59.0,37.0,55.0,1934.0,20000.0,32.0,3.0,20.0,2.0,110.0,47.0,12.0,11118.0,2762.0,5226.0,13198.0,14585.0,207.0,5.0,19.0,112.0,315.0
399,2.0,0.0,788.0,1.0,4.0,22.0,11.0,7.0,3819.0,27.0,113.0,1930.0,20008.0,3159.0,15.0,6.0,3.0,95.0,58.0,226.0,11097.0,66.0,5268.0,26.0,36.0,72.0,5.0,32.0,85.0,14215.0
448,19.0,0.0,41.0,6.0,1.0,20.0,9.0,11.0,4084.0,46.0,48.0,4.0,19997.0,58.0,8.0,188.0,2.0,54.0,16.0,204.0,309.0,79.0,5894.0,7.0,14596.0,3017.0,83.0,38.0,3.0,595.0
