,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,THYROID,PANCREAS,AERODIGESTIVE,BILIARY,URINARY,KIDNEY,SOFT_TISSUE,SALIVARY,PLEURA,OESOPHAGUS,PROSTATE,ENDOMETRIUM,BREAST,BONE,LIVER,OVARY,NERVOUS,LUNG
43,0.0,8.0,1.0,2.0,4.0,3.0,5.0,10.0,6.0,7.0,9.0,14.0,11.0,21.0,20.0,22.0,12.0,16.0,15.0,17.0,18.0,19.0,13.0
92,0.0,1.0,5.0,10.0,3.0,2.0,6.0,7.0,8.0,9.0,11.0,4.0,12.0,16.0,14.0,15.0,13.0,21.0,17.0,18.0,19.0,20.0,22.0
141,0.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,16.0,14.0,15.0,13.0,21.0,17.0,18.0,19.0,20.0,22.0
190,8.0,0.0,3.0,5.0,2.0,1.0,4.0,6.0,7.0,9.0,10.0,11.0,12.0,20.0,13.0,22.0,19.0,14.0,16.0,21.0,17.0,18.0,15.0
239,0.0,1.0,5.0,2.0,4.0,3.0,7.0,6.0,8.0,9.0,11.0,12.0,13.0,14.0,10.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
288,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,10.0,12.0,11.0,13.0,9.0,16.0,21.0,8.0,17.0,18.0,15.0,14.0,19.0,20.0,22.0
337,6.0,7.0,3.0,0.0,2.0,1.0,5.0,4.0,8.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,21.0,14.0,17.0,18.0,19.0,20.0,22.0
386,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,21.0,9.0,10.0,11.0,17.0,12.0,22.0,16.0,13.0,18.0,19.0,15.0,20.0,14.0
435,4.0,0.0,2.0,5.0,1.0,6.0,3.0,12.0,7.0,8.0,9.0,10.0,11.0,20.0,13.0,22.0,18.0,19.0,15.0,16.0,21.0,17.0,14.0
484,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,7.0,10.0,17.0,11.0,22.0,21.0,14.0,13.0,12.0,15.0,16.0,18.0,19.0,20.0
533,0.0,1.0,4.0,2.0,3.0,6.0,5.0,13.0,7.0,8.0,9.0,22.0,10.0,11.0,12.0,15.0,20.0,14.0,16.0,17.0,18.0,19.0,21.0
582,6.0,0.0,1.0,2.0,4.0,3.0,5.0,13.0,7.0,20.0,8.0,9.0,10.0,11.0,12.0,22.0,21.0,14.0,16.0,17.0,18.0,19.0,15.0
631,0.0,3.0,4.0,5.0,1.0,6.0,2.0,17.0,9.0,7.0,10.0,8.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,18.0,19.0,13.0
680,0.0,1.0,2.0,3.0,5.0,4.0,6.0,17.0,8.0,9.0,10.0,7.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,18.0,19.0,13.0
729,0.0,1.0,4.0,2.0,3.0,6.0,5.0,13.0,7.0,8.0,9.0,10.0,11.0,16.0,12.0,22.0,21.0,14.0,17.0,18.0,19.0,20.0,15.0
778,0.0,1.0,2.0,3.0,5.0,4.0,6.0,13.0,7.0,8.0,9.0,10.0,11.0,12.0,20.0,22.0,21.0,14.0,18.0,16.0,17.0,19.0,15.0
827,0.0,1.0,2.0,4.0,6.0,5.0,3.0,14.0,10.0,22.0,11.0,12.0,9.0,8.0,16.0,7.0,20.0,21.0,19.0,18.0,13.0,15.0,17.0
876,0.0,1.0,4.0,7.0,3.0,2.0,5.0,14.0,9.0,6.0,10.0,11.0,12.0,8.0,13.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
925,0.0,1.0,2.0,3.0,5.0,4.0,6.0,13.0,7.0,8.0,9.0,10.0,11.0,12.0,20.0,22.0,21.0,14.0,16.0,18.0,17.0,19.0,15.0
