,LPA_AMP,OR2T11_AMP,CDC73_AMP,ZNF705G_AMP,LOC100506776_DEL,MUC20_AMP,MSTO2P_AMP,DAP3_AMP,HLA-H_DEL,OR2T10_AMP,SIRPB1_AMP,GALNTL6_DEL,HLA-DQB1_DEL,HCG4B_DEL,MLIP_DEL,HERC2P2_AMP,CES1P1_DEL,LCE3C_DEL,PCCB_DEL,CES1_AMP,KIAA1217_DEL,TAG_DEL,SMARCA2_DEL,ARL17A_DEL,USP17L1P_AMP,MIR570_AMP,LOC348120_AMP,NBEAP1_AMP,HEATR4_AMP,FAM106CP_AMP
30,0.0,2.0,1.0,3.0,4.0,37.0,5.0,6.0,18.0,12.0,11.0,15.0,16.0,40.0,97.0,7.0,10.0,46.0,38.0,20.0,17.0,14.0,9.0,60.0,13.0,239.0,26.0,34.0,23.0,80.0
79,0.0,3.0,21.0,2.0,7.0,1.0,5.0,4.0,13.0,11.0,62.0,56.0,52.0,28.0,32.0,16.0,17.0,23.0,51.0,37.0,14.0,19.0,6.0,129.0,12.0,9.0,40.0,25.0,15.0,44.0
128,2.0,0.0,1.0,6.0,4.0,10.0,7.0,8.0,33.0,9.0,29.0,24.0,3.0,264.0,21.0,15.0,5.0,20.0,23.0,22.0,11.0,13.0,17.0,16.0,32.0,35.0,27.0,44.0,12.0,104.0
177,0.0,2.0,3.0,1.0,11.0,30.0,7.0,8.0,27.0,18.0,23.0,12.0,16.0,397.0,9.0,31.0,40.0,219.0,65.0,66.0,5.0,17.0,22.0,52.0,6.0,201.0,39.0,60.0,10.0,56.0
226,1.0,7.0,3.0,0.0,2.0,13.0,5.0,4.0,14.0,46.0,18.0,36.0,8.0,6.0,312.0,53.0,16.0,17.0,19.0,44.0,10.0,24.0,9.0,11.0,12.0,33.0,70.0,61.0,26.0,258.0
275,0.0,3.0,4.0,6.0,5.0,8.0,1.0,2.0,29.0,19.0,38.0,55.0,7.0,58.0,47.0,10.0,39.0,22.0,65.0,12.0,16.0,13.0,18.0,30.0,27.0,41.0,45.0,25.0,20.0,91.0
324,8.0,2.0,6.0,3.0,4.0,18.0,0.0,1.0,5.0,7.0,87.0,16.0,12.0,15.0,39.0,67.0,24.0,27.0,31.0,20.0,11.0,44.0,28.0,23.0,9.0,52.0,13.0,40.0,22.0,48.0
373,4.0,0.0,2.0,1.0,3.0,8.0,6.0,5.0,18.0,7.0,75.0,36.0,12.0,56.0,104.0,9.0,21.0,107.0,48.0,14.0,10.0,24.0,16.0,26.0,11.0,38.0,32.0,84.0,19.0,64.0
422,1.0,2.0,9.0,0.0,11.0,25.0,4.0,5.0,27.0,16.0,42.0,19.0,21.0,50.0,13.0,37.0,51.0,29.0,45.0,20.0,6.0,47.0,15.0,30.0,3.0,48.0,14.0,34.0,17.0,129.0
471,2.0,0.0,5.0,3.0,9.0,4.0,8.0,7.0,14.0,1.0,85.0,69.0,6.0,37.0,23.0,16.0,11.0,13.0,38.0,21.0,45.0,30.0,52.0,51.0,12.0,10.0,80.0,31.0,18.0,141.0
