,LPA_AMP,OR2T11_AMP,CDC73_AMP,LOC100506776_DEL,HLA-H_DEL,ZNF705G_AMP,MUC20_AMP,SIRPB1_AMP,HERC2P2_AMP,MSTO2P_AMP,DAP3_AMP,OR2T10_AMP,HCG4B_DEL,HLA-DQB1_DEL,GALNTL6_DEL,MLIP_DEL,PCCB_DEL,LCE3C_DEL,SMARCA2_DEL,TAG_DEL,KIAA1217_DEL,CES1P1_DEL,NBEAP1_AMP,CES1_AMP,MIR570_AMP,ARL17A_DEL,USP17L1P_AMP,FAM106CP_AMP,CCDC144A_AMP,MRC1_AMP
29,0.0,3.0,2.0,5.0,20.0,4.0,36.0,9.0,1.0,8.0,7.0,18.0,35.0,16.0,13.0,109.0,49.0,42.0,6.0,11.0,17.0,12.0,34.0,28.0,126.0,64.0,10.0,78.0,79.0,167.0
78,0.0,3.0,20.0,9.0,13.0,2.0,1.0,47.0,7.0,6.0,5.0,15.0,29.0,56.0,62.0,39.0,57.0,22.0,4.0,16.0,21.0,17.0,24.0,82.0,8.0,210.0,11.0,37.0,38.0,201.0
127,4.0,0.0,1.0,3.0,41.0,11.0,8.0,16.0,5.0,10.0,9.0,7.0,243.0,2.0,17.0,30.0,24.0,18.0,15.0,12.0,14.0,6.0,50.0,38.0,34.0,21.0,35.0,89.0,88.0,213.0
176,0.0,3.0,2.0,13.0,32.0,1.0,41.0,19.0,20.0,10.0,9.0,22.0,305.0,17.0,11.0,8.0,100.0,239.0,18.0,15.0,6.0,39.0,62.0,103.0,197.0,73.0,5.0,55.0,54.0,220.0
225,3.0,18.0,1.0,2.0,16.0,0.0,19.0,10.0,24.0,12.0,13.0,83.0,4.0,5.0,27.0,492.0,20.0,9.0,6.0,22.0,15.0,17.0,81.0,52.0,41.0,7.0,14.0,262.0,263.0,18931.0
274,0.0,4.0,5.0,6.0,29.0,11.0,7.0,33.0,3.0,2.0,1.0,26.0,47.0,8.0,54.0,50.0,57.0,22.0,15.0,13.0,19.0,49.0,20.0,18.0,39.0,37.0,27.0,74.0,73.0,91.0
323,9.0,0.0,8.0,1.0,5.0,4.0,16.0,89.0,31.0,3.0,2.0,6.0,14.0,10.0,18.0,57.0,34.0,37.0,38.0,56.0,11.0,29.0,49.0,27.0,41.0,21.0,7.0,47.0,46.0,17.0
372,5.0,0.0,1.0,3.0,16.0,4.0,9.0,60.0,2.0,8.0,7.0,6.0,53.0,10.0,38.0,90.0,51.0,95.0,11.0,23.0,12.0,24.0,68.0,20.0,34.0,35.0,13.0,63.0,62.0,287.0
421,0.0,2.0,5.0,12.0,28.0,1.0,26.0,42.0,20.0,7.0,6.0,17.0,45.0,19.0,21.0,11.0,49.0,31.0,15.0,46.0,4.0,70.0,32.0,30.0,40.0,41.0,3.0,112.0,113.0,708.0
470,2.0,0.0,4.0,7.0,17.0,5.0,3.0,79.0,9.0,12.0,11.0,1.0,39.0,6.0,80.0,16.0,42.0,14.0,47.0,29.0,69.0,10.0,26.0,31.0,8.0,57.0,13.0,139.0,138.0,120.0
519,1.0,4.0,2.0,8.0,13.0,3.0,23.0,18.0,21.0,29.0,28.0,6.0,20.0,70.0,37.0,0.0,32.0,7.0,12.0,55.0,49.0,25.0,60.0,162.0,35.0,839.0,5.0,41.0,40.0,525.0
568,0.0,9.0,2.0,6.0,11.0,8.0,21.0,3.0,1.0,16.0,17.0,30.0,20.0,187.0,5.0,12.0,18.0,19.0,14.0,7.0,192.0,4.0,31.0,132.0,65.0,27.0,13.0,23.0,24.0,10.0
617,0.0,9.0,2.0,5.0,4.0,12.0,66.0,3.0,1.0,7.0,8.0,22.0,31.0,28.0,6.0,13.0,14.0,25.0,11.0,42.0,452.0,67.0,30.0,59.0,288.0,393.0,18.0,77.0,78.0,10.0
666,0.0,10.0,9.0,8.0,2.0,4.0,24.0,3.0,1.0,6.0,5.0,25.0,15.0,109.0,12.0,17.0,72.0,14.0,13.0,19.0,33.0,18.0,460.0,65.0,29.0,81.0,16.0,32.0,31.0,37.0
715,0.0,4.0,1.0,3.0,2.0,6.0,32.0,5.0,7.0,15.0,14.0,22.0,10.0,54.0,9.0,8.0,19.0,21.0,17.0,38.0,37.0,18.0,31.0,45.0,91.0,151.0,11.0,24.0,23.0,16.0
764,0.0,9.0,3.0,13.0,2.0,10.0,47.0,7.0,4.0,16.0,15.0,36.0,11.0,152.0,1.0,5.0,8.0,33.0,14.0,28.0,222.0,40.0,69.0,29.0,198.0,265.0,19.0,22.0,21.0,18.0
813,0.0,1.0,5.0,3.0,7.0,4.0,9.0,2.0,36.0,12.0,13.0,6.0,17.0,26.0,10.0,28.0,22.0,142.0,111.0,575.0,71.0,14.0,41.0,47.0,16.0,2223.0,8.0,42.0,43.0,11.0
862,0.0,9.0,1.0,7.0,8.0,6.0,17.0,5.0,2.0,26.0,27.0,21.0,42.0,18.0,3.0,20.0,14.0,4.0,59.0,36.0,57.0,10.0,19.0,74.0,50.0,29.0,13.0,23.0,24.0,15.0
911,1.0,0.0,2.0,4.0,5.0,6.0,11.0,13.0,7.0,18.0,17.0,3.0,22.0,30.0,10.0,26.0,72.0,61.0,8.0,14.0,638.0,64.0,69.0,75.0,34.0,276.0,12.0,29.0,28.0,107.0
960,1.0,16.0,2.0,5.0,7.0,3.0,97.0,10.0,20.0,11.0,12.0,63.0,36.0,269.0,0.0,72.0,22.0,17.0,13.0,274.0,21.0,4.0,283.0,33.0,685.0,2373.0,26.0,173.0,174.0,1975.0
1009,0.0,5.0,1.0,8.0,2.0,13.0,7.0,11.0,6.0,3.0,4.0,10.0,9.0,24.0,14.0,17.0,20.0,18.0,47.0,31.0,78.0,21.0,23.0,22.0,19.0,51.0,79.0,25.0,26.0,12.0
1058,1.0,3.0,0.0,14.0,10.0,4.0,49.0,6.0,13.0,9.0,8.0,15.0,5.0,37.0,2.0,18.0,42.0,12.0,33.0,43.0,23.0,7.0,30.0,32.0,220.0,31.0,20.0,75.0,76.0,22.0
