,ZNF705G_AMP,DEFB130_DEL,USP17L7_DEL,LOC392196_DEL,LOC100133267_DEL,LPA_AMP,ZNF705B_DEL,MYH9_MUT,FAM90A7P_DEL,ZNF705D_DEL,MUC20_AMP,RNF103-CHMP3_DEL,RB1_MUT,FAM66D_DEL,DAP3_AMP,UPK3B_AMP,RGPD4_AMP,CDC73_AMP,OR2T11_AMP,FAM90A2P_DEL,CHD1_MUT,LRRK2_MUT,MSTO2P_AMP,FLNB_MUT,LMTK2_MUT,ZFY_DEL,AFF2_DEL,USP17L4_AMP,LOC100506776_DEL,TSPY8_DEL
28,111.0,4.0,32.0,169.0,5.0,501.0,1.0,35.0,10870.0,10.0,262.0,20855.0,25.0,7.0,101.0,23326.0,152.0,19.0,18.0,48.0,16570.0,285.0,16836.0,13.0,16.0,22.0,519.0,21763.0,2428.0,196.0
77,158.0,1.0,0.0,60.0,18557.0,14395.0,18534.0,52.0,10836.0,3.0,9.0,20877.0,850.0,5.0,1234.0,530.0,1603.0,22769.0,18212.0,29.0,114.0,16544.0,2253.0,16578.0,53.0,8211.0,494.0,36.0,20898.0,410.0
126,16.0,287.0,15.0,163.0,11.0,51.0,18593.0,547.0,114.0,406.0,6.0,1045.0,101.0,18624.0,3.0,23307.0,143.0,31.0,623.0,2205.0,44.0,424.0,23.0,294.0,35.0,41.0,45.0,2399.0,2135.0,217.0
175,0.0,2.0,3.0,165.0,18548.0,62.0,12.0,16321.0,1118.0,8411.0,13675.0,73.0,168.0,142.0,10.0,308.0,13308.0,15.0,613.0,8188.0,1447.0,1298.0,1086.0,16634.0,16629.0,288.0,271.0,11.0,8.0,87.0
224,0.0,5.0,60.0,494.0,67.0,51.0,18542.0,729.0,290.0,472.0,17.0,2330.0,12.0,172.0,2001.0,36.0,337.0,79.0,18257.0,747.0,595.0,37.0,16762.0,16615.0,614.0,342.0,21.0,340.0,653.0,160.0
273,51.0,1.0,0.0,117.0,81.0,112.0,96.0,1625.0,23.0,5.0,13666.0,247.0,211.0,17.0,23018.0,346.0,2277.0,82.0,224.0,574.0,16550.0,16539.0,141.0,360.0,13.0,427.0,94.0,2301.0,1195.0,500.0
322,57.0,0.0,21.0,3178.0,539.0,33.0,492.0,69.0,74.0,26.0,13658.0,93.0,16885.0,135.0,60.0,310.0,13378.0,617.0,2.0,8136.0,103.0,66.0,1.0,16620.0,36.0,8.0,697.0,38.0,20841.0,45.0
371,40.0,18.0,2.0,3.0,112.0,15.0,383.0,352.0,1746.0,13.0,124.0,2305.0,16912.0,502.0,236.0,46.0,1359.0,221.0,67.0,2263.0,16537.0,1582.0,16758.0,39.0,11.0,8221.0,202.0,25.0,907.0,8.0
420,2.0,16.0,6.0,11.0,18551.0,84.0,10.0,218.0,4.0,12.0,696.0,511.0,53.0,1.0,22.0,23286.0,227.0,989.0,18215.0,549.0,197.0,196.0,16809.0,110.0,18.0,3.0,6903.0,5.0,20894.0,35.0
469,89.0,0.0,132.0,13.0,69.0,7.0,2.0,648.0,296.0,31.0,34.0,156.0,106.0,127.0,44.0,95.0,13323.0,22707.0,18222.0,48.0,374.0,16525.0,16754.0,758.0,5.0,1.0,259.0,860.0,266.0,20.0
518,2.0,3.0,0.0,3580.0,1016.0,123.0,44.0,177.0,66.0,785.0,835.0,635.0,167.0,162.0,127.0,27.0,7.0,1433.0,17.0,8184.0,65.0,209.0,1128.0,1403.0,58.0,8241.0,370.0,30.0,402.0,614.0
567,5.0,11.0,2.0,4.0,47.0,40.0,18558.0,36.0,1133.0,9614.0,1087.0,1.0,1579.0,22.0,323.0,9.0,13257.0,872.0,196.0,116.0,27.0,16539.0,8.0,7.0,55.0,813.0,1195.0,2307.0,20917.0,7808.0
616,15838.0,130.0,1.0,200.0,15.0,0.0,273.0,25.0,86.0,5.0,1144.0,1889.0,1572.0,144.0,949.0,2084.0,42.0,56.0,1714.0,2313.0,32.0,16550.0,16788.0,1452.0,122.0,168.0,1041.0,341.0,128.0,1176.0
665,6.0,0.0,38.0,111.0,181.0,4.0,23.0,1.0,29.0,5.0,13670.0,74.0,1221.0,249.0,22979.0,26.0,327.0,61.0,256.0,9.0,132.0,139.0,402.0,465.0,15.0,1990.0,325.0,10.0,57.0,70.0
714,5.0,1.0,16.0,102.0,162.0,7.0,237.0,0.0,28.0,3.0,494.0,24.0,780.0,168.0,192.0,23.0,6.0,163.0,452.0,4.0,87.0,9352.0,18.0,14.0,31.0,9088.0,888.0,15.0,96.0,804.0
763,57.0,1.0,81.0,6.0,19024.0,46.0,8.0,147.0,12.0,3.0,153.0,368.0,44.0,143.0,2313.0,23246.0,1529.0,22791.0,213.0,5.0,334.0,16553.0,72.0,910.0,67.0,8267.0,2323.0,43.0,534.0,11.0
812,19.0,7.0,52.0,120.0,50.0,0.0,18557.0,6.0,13.0,22.0,248.0,187.0,57.0,12.0,30.0,1403.0,9.0,2.0,40.0,25.0,4.0,16543.0,16803.0,916.0,14.0,7736.0,763.0,132.0,91.0,509.0
861,7.0,3.0,2.0,1.0,97.0,1010.0,24.0,1119.0,46.0,14.0,314.0,20642.0,16866.0,0.0,146.0,1850.0,2273.0,822.0,18206.0,30.0,6.0,933.0,1201.0,374.0,1095.0,428.0,328.0,395.0,20842.0,8442.0
910,8.0,1.0,0.0,3.0,684.0,204.0,71.0,933.0,10848.0,16.0,10.0,19.0,16905.0,24.0,2077.0,548.0,2160.0,85.0,5.0,179.0,15.0,119.0,844.0,20.0,23.0,386.0,426.0,74.0,161.0,251.0
959,0.0,3.0,48.0,31.0,39.0,7.0,396.0,1264.0,350.0,61.0,2220.0,20645.0,83.0,19035.0,521.0,250.0,13386.0,36.0,2317.0,1835.0,16532.0,22.0,1983.0,16613.0,2.0,171.0,11.0,58.0,117.0,50.0
1008,0.0,8.0,648.0,4113.0,16.0,35.0,863.0,6.0,61.0,2259.0,12.0,50.0,32.0,91.0,65.0,219.0,1004.0,3.0,21.0,54.0,14.0,186.0,5.0,83.0,1844.0,9421.0,6406.0,537.0,15.0,105.0
1057,19.0,26.0,49.0,3.0,2.0,215.0,57.0,12.0,506.0,197.0,10.0,20864.0,17.0,9.0,56.0,102.0,351.0,1.0,0.0,161.0,16567.0,5.0,938.0,54.0,724.0,8239.0,62.0,151.0,1777.0,8403.0
1106,13.0,484.0,624.0,44.0,55.0,7.0,18539.0,32.0,10826.0,39.0,6.0,20.0,11.0,0.0,673.0,151.0,13295.0,25.0,12.0,8189.0,88.0,16.0,17.0,10.0,16632.0,179.0,6895.0,19.0,2335.0,1201.0
1155,2.0,590.0,4351.0,117.0,39.0,3.0,0.0,10.0,2056.0,21.0,235.0,24.0,58.0,1265.0,988.0,485.0,445.0,498.0,77.0,1322.0,16541.0,67.0,16741.0,144.0,340.0,8228.0,48.0,23606.0,1552.0,54.0
1204,1.0,40.0,159.0,156.0,3.0,12.0,328.0,409.0,10842.0,540.0,140.0,27.0,16895.0,1237.0,484.0,196.0,88.0,351.0,5.0,2356.0,16557.0,7.0,694.0,268.0,16645.0,7606.0,6907.0,2268.0,20773.0,245.0
1253,2.0,65.0,24.0,40.0,5.0,21.0,98.0,523.0,10.0,18.0,1181.0,6.0,16826.0,28.0,32.0,23268.0,748.0,557.0,31.0,17.0,444.0,1193.0,15922.0,294.0,151.0,7263.0,2209.0,1.0,973.0,26.0
1302,0.0,11.0,4225.0,224.0,12.0,16.0,18547.0,2.0,504.0,9857.0,87.0,1.0,423.0,18542.0,699.0,1709.0,514.0,4.0,65.0,88.0,84.0,283.0,16784.0,27.0,68.0,9164.0,6412.0,43.0,20903.0,9905.0
1351,22.0,1.0,3509.0,3513.0,25.0,626.0,19008.0,169.0,1967.0,8141.0,69.0,2.0,915.0,121.0,64.0,60.0,81.0,1513.0,36.0,84.0,491.0,16513.0,26.0,16547.0,16610.0,321.0,53.0,306.0,20897.0,762.0
1400,46.0,699.0,86.0,676.0,0.0,23.0,25.0,16449.0,84.0,4.0,20.0,2.0,488.0,10.0,8.0,1279.0,16.0,1.0,132.0,8212.0,722.0,1433.0,22.0,16584.0,954.0,8261.0,12.0,103.0,32.0,8466.0
