,FLNB_MUT,ZNF705G_AMP,RGPD4_AMP,LOC100130700_AMP,RB1_MUT,HS3ST3A1_DEL,HLA-DQB1_DEL,CDC73_AMP,RNF103-CHMP3_DEL,DEFB4B_DEL,LOC100506776_DEL,LPA_AMP,CES1_AMP,ODF3B_DEL,POTEB_DEL,MUC20_AMP,CNTN5_DEL,LOC100133267_DEL,UPK3B_AMP,DHRS4L2_DEL,SLC25A37_AMP,GALNTL6_DEL,OR2T11_AMP,MSTO2P_AMP,PCDHA10_DEL,HLA-H_DEL,ATP9A_AMP,LINGO2_DEL,RBFOX1_DEL,HCG4B_DEL
33,0.0,61.0,137.0,15474.0,16612.0,78.0,91.0,36.0,128.0,89.0,29.0,73.0,19.0,42.0,45.0,112.0,130.0,13.0,46.0,51.0,124.0,84.0,87.0,132.0,95.0,127.0,65.0,3577.0,9454.0,148.0
82,3.0,34.0,162.0,15475.0,16613.0,31.0,827.0,23182.0,20872.0,169.0,45.0,51.0,30.0,85.0,646.0,76.0,91.0,21.0,16.0,52.0,22024.0,167.0,128.0,61.0,39.0,83.0,97.0,124.0,9452.0,139.0
131,42.0,97.0,76.0,15478.0,16608.0,35.0,55.0,23.0,30.0,131.0,32.0,57.0,93.0,31.0,643.0,115.0,43.0,104.0,47.0,39.0,22060.0,61.0,126.0,86.0,9576.0,112.0,45.0,141.0,9449.0,6776.0
180,6.0,39.0,62.0,15479.0,16616.0,69.0,90.0,91.0,20876.0,115.0,54.0,49.0,17488.0,2268.0,41.0,121.0,10401.0,58.0,19198.0,759.0,170.0,96.0,101.0,112.0,35.0,132.0,15622.0,111.0,9457.0,6764.0
229,16183.0,34.0,12621.0,15467.0,16607.0,101.0,110.0,107.0,19878.0,20521.0,63.0,74.0,20.0,0.0,637.0,126.0,50.0,46.0,86.0,43.0,22043.0,105.0,76.0,73.0,9594.0,135.0,15609.0,3607.0,9448.0,119.0
278,24.0,86.0,39.0,15444.0,16609.0,33.0,54.0,37.0,20871.0,123.0,78.0,63.0,68.0,47.0,643.0,97.0,16.0,28.0,18.0,40.0,106.0,153.0,124.0,49.0,9.0,98.0,15610.0,3586.0,9446.0,15.0
327,13.0,41.0,70.0,10.0,16612.0,131.0,97.0,95.0,60.0,39.0,71.0,53.0,17484.0,49.0,29.0,105.0,75.0,32.0,19.0,758.0,22061.0,89.0,91.0,68.0,9597.0,73.0,126.0,113.0,9449.0,110.0
376,16187.0,37.0,123.0,15472.0,16610.0,10.0,59.0,79.0,57.0,164.0,51.0,64.0,3.0,30.0,642.0,75.0,43.0,61.0,14.0,772.0,135.0,134.0,73.0,90.0,9599.0,89.0,15614.0,3572.0,9448.0,170.0
425,13.0,23.0,64.0,15465.0,16613.0,22.0,32.0,62.0,19876.0,25.0,20935.0,50.0,38.0,2256.0,55.0,126.0,17.0,20690.0,30.0,40.0,22061.0,88.0,90.0,67.0,9570.0,110.0,69.0,39.0,9444.0,127.0
474,45.0,32.0,95.0,15476.0,16606.0,19.0,40.0,82.0,20751.0,3.0,72.0,56.0,37.0,128.0,638.0,116.0,10392.0,54.0,99.0,24.0,22042.0,105.0,65.0,90.0,9575.0,106.0,15611.0,96.0,9451.0,88.0
