,C18:0 LPC,pantothenate,isocitrate,valerylcarnitine,C18:0 LPE,beta-alanine,taurodeoxycholate,niacinamide,UMP,C22:6 LPE,C56:5 TAG,C16:0 LPE,phosphocreatine,GABA,cytidine,alpha-glycerophosphate,adenosine,C36:4 PC-B,serine,oxalate,inosine,C36:1 DAG,cotinine,DHAP/glyceraldehyde 3P,guanosine,creatinine,hypoxanthine,alpha-hydroxybutyrate,glutamine,butyrylcarnitine/isobutyrylcarnitine
23,2.0,0.0,1.0,23.0,10.0,5.0,6.0,8.0,7.0,4.0,3.0,22.0,14.0,20.0,19.0,12.0,15.0,31.0,9.0,13.0,32.0,11.0,17.0,16.0,25.0,26.0,34.0,30.0,40.0,27.0
72,2.0,0.0,4.0,3.0,22.0,1.0,7.0,10.0,8.0,20.0,5.0,17.0,13.0,12.0,11.0,21.0,18.0,26.0,6.0,14.0,35.0,19.0,25.0,23.0,31.0,33.0,38.0,15.0,9.0,16.0
121,8.0,1.0,13.0,2.0,19.0,9.0,4.0,6.0,3.0,18.0,10.0,5.0,27.0,12.0,15.0,0.0,17.0,20.0,7.0,14.0,34.0,23.0,11.0,22.0,26.0,31.0,30.0,21.0,32.0,25.0
170,3.0,0.0,1.0,2.0,13.0,6.0,8.0,5.0,18.0,31.0,17.0,9.0,20.0,12.0,11.0,24.0,10.0,33.0,14.0,16.0,25.0,19.0,4.0,26.0,27.0,28.0,32.0,15.0,22.0,7.0
219,6.0,1.0,0.0,2.0,14.0,10.0,5.0,4.0,3.0,26.0,13.0,19.0,11.0,9.0,7.0,15.0,8.0,36.0,12.0,16.0,30.0,25.0,33.0,22.0,40.0,32.0,21.0,29.0,17.0,20.0
268,2.0,0.0,5.0,3.0,4.0,8.0,1.0,6.0,7.0,35.0,13.0,11.0,21.0,12.0,16.0,9.0,27.0,17.0,15.0,14.0,33.0,10.0,25.0,18.0,19.0,32.0,30.0,24.0,23.0,20.0
317,5.0,0.0,4.0,3.0,15.0,1.0,2.0,8.0,11.0,20.0,18.0,7.0,23.0,25.0,13.0,12.0,14.0,22.0,6.0,19.0,33.0,9.0,17.0,32.0,24.0,36.0,27.0,26.0,10.0,21.0
366,1.0,0.0,2.0,18.0,16.0,3.0,4.0,7.0,5.0,22.0,13.0,6.0,19.0,11.0,10.0,17.0,12.0,31.0,8.0,14.0,39.0,9.0,27.0,20.0,21.0,38.0,35.0,36.0,23.0,15.0
415,5.0,0.0,1.0,21.0,15.0,2.0,9.0,4.0,14.0,33.0,3.0,18.0,8.0,11.0,13.0,22.0,27.0,19.0,16.0,7.0,30.0,12.0,17.0,24.0,6.0,34.0,36.0,20.0,10.0,25.0
464,6.0,0.0,1.0,5.0,11.0,7.0,2.0,8.0,4.0,24.0,3.0,14.0,16.0,12.0,10.0,9.0,19.0,23.0,18.0,17.0,28.0,21.0,20.0,30.0,25.0,31.0,33.0,26.0,15.0,13.0
513,0.0,2.0,9.0,20.0,4.0,14.0,27.0,15.0,3.0,5.0,7.0,1.0,12.0,8.0,16.0,24.0,6.0,18.0,10.0,26.0,13.0,33.0,23.0,25.0,22.0,21.0,34.0,11.0,36.0,17.0
562,0.0,1.0,3.0,24.0,6.0,12.0,14.0,20.0,9.0,4.0,11.0,2.0,13.0,22.0,35.0,18.0,5.0,16.0,7.0,26.0,10.0,19.0,32.0,33.0,34.0,28.0,25.0,8.0,27.0,37.0
611,1.0,3.0,0.0,35.0,4.0,6.0,41.0,7.0,12.0,15.0,9.0,2.0,16.0,13.0,29.0,11.0,10.0,20.0,5.0,28.0,30.0,25.0,19.0,24.0,44.0,31.0,21.0,8.0,34.0,39.0
660,0.0,1.0,2.0,28.0,18.0,17.0,14.0,10.0,7.0,4.0,6.0,3.0,21.0,8.0,22.0,13.0,5.0,12.0,19.0,24.0,11.0,25.0,30.0,23.0,32.0,29.0,27.0,9.0,42.0,52.0
709,0.0,6.0,1.0,19.0,5.0,9.0,18.0,15.0,12.0,7.0,3.0,2.0,4.0,10.0,14.0,21.0,11.0,8.0,25.0,33.0,27.0,17.0,36.0,32.0,45.0,28.0,13.0,16.0,29.0,40.0
