,hsa-miR-24,hsa-miR-663,hsa-miR-148a,bkv-miR-B1-5p,hsa-miR-449b,hsa-miR-658,hsa-miR-155,hsa-miR-10a,hsa-miR-130a,hsa-miR-581,hsa-miR-584,hsa-miR-586,hsa-miR-583,hsa-miR-582-5p,hsa-miR-588,hsa-miR-587,hsa-miR-582-3p,hsa-miR-574-5p,hsa-miR-589,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-580,hsa-miR-576-5p,hsa-miR-576-3p,hsa-miR-590-3p,hsa-miR-626,hsa-miR-625,hsa-miR-627,hsa-miR-591
20,18.0,42.0,364.0,199.0,0.0,255.0,9.0,432.0,358.0,55.0,50.0,47.0,51.0,52.0,68.0,58.0,53.0,31.0,83.0,57.0,61.0,64.0,56.0,66.0,62.0,95.0,60.0,59.0,63.0,93.0
69,4.0,18.0,363.0,11.0,7.0,13.0,26.0,6.0,356.0,58.0,52.0,50.0,60.0,49.0,44.0,61.0,59.0,48.0,42.0,56.0,55.0,54.0,57.0,53.0,51.0,43.0,65.0,66.0,141.0,64.0
118,0.0,2.0,12.0,198.0,3.0,1.0,21.0,34.0,356.0,52.0,47.0,49.0,57.0,55.0,54.0,56.0,53.0,42.0,10.0,50.0,59.0,58.0,51.0,46.0,44.0,48.0,72.0,71.0,73.0,45.0
167,0.0,2.0,10.0,202.0,12.0,7.0,390.0,3.0,43.0,59.0,61.0,56.0,51.0,62.0,53.0,55.0,60.0,47.0,49.0,57.0,54.0,52.0,58.0,63.0,50.0,44.0,68.0,69.0,67.0,96.0
216,573.0,0.0,341.0,198.0,6.0,253.0,386.0,36.0,356.0,61.0,55.0,64.0,58.0,59.0,51.0,65.0,60.0,28.0,23.0,52.0,62.0,48.0,63.0,47.0,46.0,45.0,37.0,41.0,49.0,57.0
265,1.0,5.0,19.0,23.0,8.0,258.0,367.0,431.0,28.0,55.0,51.0,50.0,67.0,54.0,48.0,45.0,53.0,159.0,49.0,57.0,62.0,64.0,56.0,65.0,66.0,68.0,58.0,47.0,59.0,69.0
314,10.0,9.0,341.0,41.0,0.0,256.0,388.0,34.0,356.0,56.0,57.0,61.0,45.0,47.0,44.0,49.0,53.0,48.0,54.0,59.0,55.0,52.0,58.0,51.0,50.0,60.0,32.0,65.0,64.0,87.0
363,14.0,11.0,13.0,24.0,0.0,253.0,23.0,28.0,357.0,58.0,52.0,51.0,55.0,59.0,49.0,50.0,48.0,46.0,17.0,56.0,54.0,53.0,57.0,61.0,45.0,60.0,72.0,33.0,73.0,44.0
412,31.0,35.0,381.0,198.0,0.0,25.0,34.0,38.0,358.0,67.0,62.0,61.0,63.0,64.0,59.0,60.0,66.0,143.0,56.0,69.0,103.0,105.0,68.0,140.0,141.0,57.0,21.0,76.0,75.0,55.0
461,12.0,4.0,365.0,201.0,1.0,255.0,395.0,32.0,359.0,54.0,25.0,48.0,44.0,66.0,45.0,47.0,53.0,62.0,24.0,56.0,57.0,58.0,55.0,59.0,61.0,50.0,51.0,46.0,43.0,94.0
