,hsa-miR-142-5p,hsa-let-7e,hsa-miR-24,hsa-miR-574-5p,hsa-miR-130a,hsa-miR-21,hsa-miR-663,hsa-miR-135b,hsa-miR-10a,hsa-miR-222,hsa-miR-22,hsa-miR-147b,hsa-miR-31,hsa-miR-216a,hsa-miR-223,hsa-miR-579,hsa-miR-92a,hsa-miR-219-2-3p,hsa-miR-149,hsa-miR-193a-5p,hsa-miR-378,hsa-miR-150,hsa-miR-766,hsa-miR-210,hsa-miR-1302,hsa-miR-29c,hsa-miR-151-3p,hsa-miR-187,hsa-miR-422a,hcmv-miR-US5-1
18,1.0,0.0,5.0,2.0,7.0,8.0,9.0,10.0,6.0,3.0,14.0,12.0,4.0,30.0,40.0,25.0,13.0,11.0,28.0,17.0,99.0,15.0,183.0,255.0,72.0,105.0,65.0,108.0,48.0,83.0
67,1.0,0.0,3.0,2.0,7.0,6.0,4.0,10.0,9.0,12.0,17.0,13.0,20.0,8.0,72.0,15.0,21.0,11.0,28.0,90.0,5.0,129.0,18.0,203.0,111.0,97.0,35.0,298.0,59.0,34.0
116,0.0,1.0,2.0,3.0,8.0,5.0,6.0,4.0,9.0,10.0,17.0,7.0,14.0,12.0,28.0,546.0,16.0,11.0,54.0,92.0,63.0,30.0,24.0,71.0,85.0,39.0,13.0,21.0,150.0,59.0
165,0.0,2.0,1.0,3.0,7.0,8.0,10.0,31.0,11.0,13.0,4.0,23.0,5.0,6.0,48.0,501.0,58.0,14.0,123.0,128.0,12.0,62.0,167.0,203.0,27.0,159.0,15.0,59.0,39.0,140.0
214,1.0,0.0,2.0,6.0,7.0,13.0,9.0,16.0,4.0,3.0,112.0,5.0,14.0,17.0,23.0,455.0,10.0,15.0,104.0,43.0,19.0,249.0,270.0,25.0,218.0,67.0,11.0,69.0,22.0,90.0
263,1.0,0.0,2.0,5.0,3.0,4.0,6.0,9.0,14.0,10.0,16.0,8.0,7.0,11.0,47.0,266.0,27.0,84.0,145.0,15.0,52.0,17.0,91.0,155.0,29.0,59.0,66.0,23.0,25.0,269.0
312,0.0,1.0,2.0,14.0,8.0,3.0,4.0,6.0,7.0,10.0,17.0,11.0,13.0,9.0,23.0,356.0,15.0,18.0,264.0,31.0,451.0,22.0,524.0,73.0,149.0,5.0,12.0,290.0,401.0,52.0
361,1.0,0.0,3.0,2.0,6.0,5.0,4.0,14.0,58.0,7.0,161.0,13.0,8.0,10.0,181.0,102.0,15.0,16.0,147.0,9.0,19.0,31.0,140.0,68.0,221.0,234.0,55.0,25.0,86.0,11.0
410,0.0,2.0,1.0,5.0,18.0,4.0,3.0,9.0,8.0,54.0,11.0,13.0,6.0,29.0,45.0,17.0,7.0,10.0,55.0,39.0,56.0,302.0,57.0,24.0,12.0,131.0,155.0,41.0,38.0,130.0
459,1.0,0.0,3.0,6.0,14.0,7.0,4.0,13.0,8.0,2.0,24.0,97.0,5.0,11.0,15.0,10.0,9.0,32.0,168.0,170.0,12.0,81.0,19.0,158.0,183.0,38.0,28.0,44.0,89.0,63.0
508,1.0,0.0,3.0,2.0,9.0,10.0,4.0,7.0,5.0,62.0,28.0,6.0,8.0,57.0,30.0,73.0,55.0,36.0,300.0,566.0,170.0,232.0,21.0,29.0,17.0,47.0,46.0,54.0,51.0,263.0
557,1.0,0.0,3.0,2.0,15.0,5.0,10.0,4.0,11.0,9.0,7.0,29.0,14.0,72.0,34.0,16.0,219.0,67.0,19.0,150.0,17.0,425.0,389.0,6.0,68.0,13.0,136.0,28.0,24.0,59.0
606,4.0,1.0,0.0,7.0,38.0,3.0,52.0,2.0,5.0,8.0,13.0,27.0,6.0,131.0,62.0,21.0,25.0,9.0,100.0,50.0,154.0,152.0,17.0,37.0,172.0,68.0,31.0,29.0,49.0,83.0
655,0.0,1.0,3.0,2.0,8.0,4.0,83.0,9.0,7.0,39.0,13.0,11.0,6.0,139.0,5.0,20.0,12.0,29.0,15.0,389.0,42.0,36.0,41.0,38.0,45.0,52.0,26.0,31.0,280.0,65.0
704,0.0,1.0,2.0,4.0,13.0,8.0,72.0,10.0,3.0,41.0,20.0,12.0,5.0,53.0,11.0,7.0,29.0,9.0,49.0,223.0,22.0,35.0,17.0,38.0,210.0,81.0,95.0,15.0,218.0,83.0
753,0.0,1.0,2.0,5.0,7.0,3.0,10.0,6.0,4.0,16.0,91.0,9.0,8.0,105.0,33.0,19.0,43.0,25.0,463.0,14.0,20.0,56.0,21.0,76.0,211.0,11.0,45.0,34.0,525.0,60.0
802,1.0,0.0,2.0,6.0,14.0,12.0,11.0,10.0,5.0,4.0,9.0,17.0,3.0,23.0,8.0,117.0,19.0,43.0,27.0,21.0,138.0,300.0,37.0,86.0,7.0,85.0,24.0,48.0,26.0,264.0
