,PDLIM4,NDN,RP11-834C11.4,BHLHE41,CTD-2231H16.1,NUP210,FBXL7,PRKCQ-AS1,DYRK4,GGT6,RP11-745O10.2,CASC9,SLIT3,BMPR1B,DACH1,UNC5B,GLB1L2,PRDM5,VSIG2,AUTS2,ZNF853,GPR35,CP,RPL30P14,LXN,LGALS9,AP001258.4,ACOT1,TWIST2,KBTBD11
10,0.0,6.0,1.0,37.0,4.0,8.0,7.0,13.0,2.0,3.0,61.0,32.0,116.0,222.0,34.0,279.0,253.0,277.0,40.0,5.0,23.0,21.0,839.0,15.0,170.0,19.0,837.0,35.0,10.0,17.0
59,1.0,12.0,8.0,16.0,0.0,5.0,3.0,6.0,9.0,4.0,14.0,7.0,20.0,30.0,15.0,270.0,96.0,84.0,40.0,18.0,17.0,23.0,60.0,42.0,211.0,125.0,829.0,25.0,2.0,28.0
108,0.0,7.0,8.0,14.0,3.0,4.0,9.0,6.0,20.0,2.0,196.0,13.0,83.0,42.0,25.0,54.0,1054.0,90.0,67.0,15.0,51.0,11.0,24.0,12.0,250.0,328.0,563.0,82.0,10.0,32.0
157,1.0,19.0,0.0,18.0,2.0,6.0,7.0,4.0,14.0,3.0,66.0,27.0,16.0,341.0,21.0,64.0,40.0,61.0,68.0,69.0,52.0,17.0,5.0,34.0,23.0,58.0,478.0,45.0,9.0,24.0
206,0.0,2.0,3.0,18.0,4.0,12.0,8.0,1.0,7.0,15.0,23.0,6.0,112.0,71.0,118.0,48.0,13.0,16.0,79.0,225.0,114.0,38.0,580.0,145.0,61.0,444.0,674.0,42.0,5.0,24.0
255,3.0,11.0,1.0,97.0,2.0,17.0,6.0,8.0,4.0,5.0,254.0,0.0,238.0,46.0,20.0,309.0,285.0,109.0,22.0,236.0,31.0,26.0,94.0,106.0,953.0,34.0,753.0,167.0,13.0,12.0
304,0.0,1.0,3.0,2.0,6.0,9.0,7.0,10.0,8.0,5.0,89.0,17.0,44.0,233.0,19.0,65.0,157.0,63.0,76.0,12.0,11.0,46.0,542.0,59.0,38.0,57.0,324.0,24.0,4.0,25.0
353,1.0,9.0,7.0,30.0,0.0,20.0,4.0,3.0,31.0,2.0,5.0,22.0,33.0,65.0,11.0,29.0,81.0,15.0,124.0,69.0,176.0,13.0,10.0,27.0,667.0,71.0,154.0,40.0,8.0,14.0
402,1.0,22.0,8.0,6.0,0.0,51.0,3.0,4.0,31.0,20.0,9.0,32.0,72.0,17.0,5.0,82.0,37.0,100.0,252.0,7.0,93.0,14.0,39.0,15.0,140.0,106.0,380.0,25.0,2.0,26.0
451,3.0,4.0,8.0,15.0,0.0,10.0,12.0,7.0,28.0,2.0,104.0,6.0,19.0,38.0,9.0,73.0,313.0,31.0,17.0,71.0,109.0,11.0,112.0,353.0,148.0,48.0,519.0,13.0,16.0,124.0
500,26.0,18.0,1.0,3.0,45.0,8.0,17.0,20.0,110.0,23.0,0.0,181.0,40.0,2.0,187.0,6.0,34.0,71.0,11.0,55.0,57.0,7.0,87.0,29.0,10.0,115.0,5.0,85.0,149.0,4.0
549,1.0,5.0,2.0,13.0,140.0,4.0,59.0,24.0,14.0,18.0,0.0,35.0,11.0,42.0,355.0,45.0,155.0,55.0,7.0,30.0,3.0,114.0,44.0,37.0,120.0,121.0,6.0,50.0,75.0,12.0
598,0.0,1.0,3.0,37.0,32.0,7.0,34.0,13.0,14.0,19.0,53.0,4.0,35.0,15.0,140.0,39.0,38.0,29.0,23.0,18.0,26.0,126.0,96.0,8.0,44.0,458.0,51.0,21.0,9.0,6.0
647,11.0,0.0,1.0,3.0,397.0,21.0,15.0,33.0,19.0,36.0,2.0,123.0,10.0,330.0,729.0,18.0,24.0,12.0,6.0,80.0,28.0,35.0,222.0,119.0,45.0,169.0,4.0,155.0,68.0,14.0
696,1.0,79.0,0.0,5.0,297.0,10.0,48.0,100.0,42.0,46.0,2.0,6.0,24.0,18.0,889.0,169.0,56.0,3.0,15.0,16.0,34.0,126.0,1260.0,11.0,211.0,135.0,96.0,25.0,40.0,13.0
745,3.0,1.0,26.0,14.0,21.0,8.0,2.0,4.0,13.0,24.0,0.0,31.0,5.0,12.0,247.0,10.0,39.0,9.0,57.0,29.0,381.0,34.0,16.0,25.0,225.0,719.0,7.0,49.0,35.0,37.0
794,0.0,54.0,4.0,17.0,73.0,1.0,18.0,16.0,14.0,102.0,5.0,23.0,3.0,37.0,517.0,7.0,12.0,13.0,15.0,63.0,48.0,52.0,35.0,27.0,10.0,315.0,6.0,50.0,266.0,38.0
843,2.0,8.0,0.0,5.0,240.0,17.0,34.0,20.0,21.0,336.0,1.0,15.0,3.0,6.0,141.0,138.0,174.0,32.0,30.0,139.0,14.0,82.0,90.0,444.0,187.0,304.0,29.0,243.0,222.0,7.0
892,10.0,60.0,6.0,1.0,218.0,40.0,133.0,21.0,18.0,16.0,0.0,85.0,37.0,2.0,127.0,192.0,109.0,3.0,65.0,160.0,136.0,7.0,42.0,30.0,62.0,39.0,53.0,49.0,13.0,34.0
941,0.0,17.0,5.0,10.0,126.0,7.0,43.0,27.0,28.0,29.0,31.0,1.0,8.0,21.0,321.0,33.0,164.0,37.0,40.0,106.0,2.0,38.0,77.0,34.0,3.0,334.0,20.0,84.0,74.0,9.0
990,4.0,26.0,13.0,0.0,1.0,33.0,2.0,8.0,6.0,39.0,25.0,121.0,30.0,143.0,19.0,18.0,5.0,9.0,135.0,37.0,88.0,53.0,425.0,52.0,67.0,122.0,43.0,84.0,293.0,149.0
1039,6.0,1.0,4.0,11.0,2.0,7.0,8.0,13.0,5.0,3.0,22.0,9.0,266.0,59.0,42.0,14.0,0.0,66.0,242.0,45.0,249.0,247.0,73.0,33.0,114.0,79.0,47.0,25.0,154.0,12.0
1088,8.0,2.0,4.0,6.0,14.0,10.0,63.0,24.0,67.0,1.0,7.0,0.0,695.0,61.0,49.0,32.0,5.0,104.0,9.0,21.0,423.0,262.0,602.0,485.0,710.0,79.0,47.0,215.0,50.0,26.0
1137,2.0,0.0,3.0,4.0,19.0,35.0,17.0,6.0,70.0,37.0,8.0,52.0,179.0,142.0,55.0,32.0,1.0,84.0,18.0,104.0,193.0,48.0,61.0,205.0,30.0,242.0,39.0,10.0,208.0,24.0
1186,7.0,0.0,8.0,2.0,11.0,52.0,77.0,16.0,82.0,1.0,4.0,5.0,288.0,23.0,87.0,6.0,3.0,79.0,10.0,26.0,191.0,138.0,35.0,169.0,190.0,21.0,48.0,57.0,78.0,18.0
1235,14.0,9.0,3.0,12.0,131.0,50.0,64.0,30.0,13.0,1.0,2.0,0.0,60.0,73.0,240.0,5.0,6.0,47.0,16.0,197.0,319.0,121.0,107.0,113.0,29.0,115.0,83.0,15.0,25.0,28.0
1284,13.0,0.0,4.0,3.0,1.0,25.0,8.0,10.0,14.0,2.0,5.0,7.0,148.0,811.0,90.0,22.0,77.0,253.0,24.0,53.0,41.0,384.0,48.0,79.0,16.0,152.0,118.0,35.0,11.0,444.0
1333,1.0,0.0,6.0,18.0,2.0,13.0,24.0,8.0,40.0,17.0,3.0,43.0,65.0,11.0,155.0,7.0,5.0,53.0,48.0,55.0,38.0,57.0,120.0,335.0,51.0,282.0,27.0,54.0,92.0,106.0
1382,4.0,6.0,0.0,1.0,13.0,18.0,3.0,78.0,35.0,17.0,5.0,2.0,8.0,9.0,20.0,24.0,7.0,104.0,10.0,72.0,173.0,167.0,154.0,12.0,40.0,26.0,65.0,25.0,102.0,52.0
1431,5.0,47.0,0.0,12.0,4.0,1.0,50.0,14.0,27.0,3.0,21.0,11.0,87.0,46.0,16.0,7.0,6.0,258.0,25.0,120.0,58.0,139.0,8.0,65.0,154.0,108.0,69.0,35.0,66.0,84.0
1480,5.0,4.0,1.0,6.0,3.0,0.0,14.0,11.0,2.0,20.0,34.0,165.0,8.0,44.0,27.0,57.0,28.0,10.0,9.0,42.0,21.0,71.0,19.0,33.0,31.0,45.0,143.0,76.0,88.0,41.0
