,DOCK1,WWTR1,LTBP2,NTN4,HRCT1,SLC4A3,AFAP1L1,SHISA4,NHS,ATAD5,PPIC,CYP26B1,PDLIM7,RGS20,ACSS1,UBTD1,SDC3,HSPG2,FASTKD1,GPR176,CTSL,BAIAP2,SLC25A19,FSTL3,STC1,C17orf62,BAG3,FAM127C,MET,RP11-244K5.8
11,0.0,3.0,20.0,10.0,57.0,21.0,19.0,151.0,4.0,16.0,26.0,17178.0,20708.0,7.0,43.0,19926.0,58.0,23.0,17.0,35.0,27.0,9.0,25.0,37.0,19188.0,50.0,140.0,59.0,6.0,23098.0
60,1.0,0.0,3.0,7.0,61.0,29.0,12.0,11.0,9422.0,9674.0,30.0,1395.0,4.0,24.0,2462.0,19928.0,73.0,28.0,36.0,26.0,8.0,5.0,38.0,57.0,19249.0,55.0,34.0,58.0,48.0,136.0
109,0.0,3.0,33.0,8.0,1.0,4.0,27.0,17348.0,9342.0,9627.0,9.0,17147.0,20651.0,39.0,50.0,19898.0,21.0,6.0,19.0,58.0,29.0,32.0,46.0,15.0,19231.0,59.0,14.0,28.0,37.0,152.0
158,0.0,3.0,1.0,15.0,38.0,4.0,17.0,17357.0,9393.0,9643.0,30.0,41.0,20706.0,2.0,29.0,10.0,44.0,478.0,26.0,7.0,52.0,11819.0,12.0,25.0,124.0,54.0,19745.0,34.0,46.0,6.0
207,167.0,2.0,25.0,0.0,17.0,22.0,30.0,4.0,43.0,9586.0,40.0,48.0,3.0,16.0,11.0,21.0,20.0,41.0,18.0,34.0,35.0,15.0,75.0,58.0,153.0,82.0,29.0,67.0,24.0,55.0
256,3.0,0.0,1.0,4.0,34.0,20.0,21.0,10.0,7.0,12.0,17.0,17096.0,5.0,37.0,11.0,13.0,42.0,15.0,32.0,16.0,35.0,38.0,74.0,30.0,1501.0,59.0,53.0,25.0,9.0,31.0
305,2.0,0.0,4.0,14.0,87.0,5.0,11.0,17342.0,39.0,19.0,26.0,22.0,3.0,13.0,30.0,19935.0,56.0,20.0,48.0,37.0,36.0,32.0,35.0,16.0,82.0,67.0,1.0,7.0,31.0,6.0
354,1.0,0.0,5.0,8.0,7.0,3.0,21.0,9.0,9415.0,9675.0,27.0,18.0,4.0,25.0,12.0,16.0,103.0,35.0,37.0,47.0,2.0,34.0,33.0,100.0,230.0,59.0,26.0,57.0,15.0,23101.0
403,1.0,3.0,8.0,4.0,12.0,15.0,20.0,124.0,22.0,10.0,14.0,21.0,0.0,19.0,7199.0,19911.0,67.0,9.0,52.0,76.0,17.0,38.0,11.0,50.0,63.0,74.0,19749.0,81.0,68.0,23062.0
452,2.0,0.0,3.0,1.0,6.0,4.0,20.0,107.0,25.0,38.0,30.0,15.0,5.0,14.0,40.0,1142.0,71.0,15969.0,16.0,13.0,32.0,8.0,80.0,34.0,133.0,35.0,22.0,18.0,18892.0,23091.0
501,49.0,34.0,31.0,3.0,21.0,14.0,4.0,99.0,15.0,10355.0,17.0,17193.0,2.0,1.0,42.0,23.0,41.0,7.0,45.0,58.0,44.0,12115.0,12.0,72.0,489.0,39.0,824.0,65.0,6.0,26.0
550,58.0,39.0,6.0,1.0,0.0,8.0,23.0,98.0,13.0,1177.0,14.0,33.0,7.0,15.0,31.0,19871.0,48.0,34.0,66.0,28.0,16.0,41.0,21.0,5.0,71.0,46.0,19640.0,161.0,57.0,74.0
599,4.0,3.0,25.0,5.0,0.0,1.0,55.0,111.0,23.0,9733.0,12.0,58.0,20654.0,2.0,31.0,1090.0,65.0,22.0,10.0,126.0,26.0,2164.0,38.0,7.0,149.0,35.0,19709.0,8684.0,49.0,23089.0
