,PDLIM4,NDN,CTD-2231H16.1,BHLHE41,FBXL7,RP11-834C11.4,MEIS3P1,NUP210,CASC9,TWIST2,GGT6,PRKCQ-AS1,GLB1L2,UNC5B,ACOT1,RP11-12D24.6,RP11-745O10.2,BMPR1B,PCDHB17,DACH1,CP,UCHL1,VSIG2,AUTS2,SLIT3,LXN,ACOT2,GDPD5,RPL30P14,SMIM19
9,0.0,4.0,3.0,32.0,8.0,5.0,1.0,14.0,21.0,6.0,2.0,30.0,113.0,263.0,17.0,19.0,41.0,201.0,12.0,100.0,774.0,18.0,52.0,7.0,200.0,107.0,40.0,392.0,13.0,50.0
58,0.0,6.0,1.0,13.0,4.0,11.0,3.0,9.0,5.0,2.0,7.0,10.0,62.0,178.0,15.0,8.0,12.0,23.0,14.0,18.0,69.0,30.0,33.0,44.0,45.0,90.0,31.0,87.0,61.0,27.0
107,0.0,5.0,2.0,17.0,9.0,18.0,1.0,7.0,12.0,6.0,3.0,8.0,434.0,28.0,29.0,14.0,126.0,45.0,10.0,24.0,40.0,4.0,58.0,34.0,161.0,215.0,348.0,26.0,13.0,43.0
156,0.0,15.0,2.0,12.0,8.0,10.0,1.0,13.0,23.0,5.0,3.0,9.0,20.0,53.0,22.0,72.0,77.0,301.0,33.0,27.0,4.0,218.0,80.0,107.0,14.0,7.0,92.0,6.0,24.0,61.0
205,0.0,3.0,1.0,17.0,8.0,9.0,5.0,24.0,7.0,2.0,13.0,4.0,10.0,29.0,19.0,6.0,26.0,42.0,15.0,111.0,620.0,36.0,78.0,259.0,173.0,50.0,32.0,27.0,93.0,72.0
254,0.0,7.0,1.0,112.0,6.0,4.0,19.0,22.0,2.0,5.0,8.0,14.0,262.0,249.0,88.0,12.0,307.0,32.0,3.0,30.0,93.0,21.0,29.0,327.0,469.0,730.0,138.0,13.0,117.0,16.0
303,0.0,1.0,5.0,3.0,7.0,11.0,4.0,10.0,13.0,2.0,6.0,17.0,65.0,38.0,18.0,9.0,61.0,217.0,8.0,21.0,383.0,31.0,87.0,16.0,68.0,45.0,77.0,27.0,47.0,32.0
352,0.0,11.0,1.0,15.0,8.0,22.0,3.0,21.0,29.0,7.0,2.0,9.0,58.0,16.0,20.0,6.0,10.0,75.0,4.0,13.0,12.0,69.0,119.0,193.0,71.0,359.0,50.0,26.0,28.0,43.0
401,1.0,11.0,0.0,7.0,5.0,21.0,3.0,85.0,28.0,2.0,37.0,8.0,29.0,51.0,16.0,6.0,10.0,19.0,15.0,9.0,38.0,40.0,293.0,14.0,134.0,117.0,50.0,4.0,23.0,34.0
450,1.0,3.0,2.0,15.0,10.0,18.0,0.0,13.0,5.0,7.0,4.0,9.0,135.0,58.0,8.0,6.0,48.0,40.0,33.0,11.0,101.0,25.0,19.0,122.0,35.0,123.0,115.0,14.0,238.0,145.0
499,5.0,8.0,16.0,2.0,6.0,13.0,42.0,9.0,162.0,32.0,34.0,24.0,19.0,0.0,50.0,270.0,1.0,4.0,264.0,170.0,38.0,60.0,7.0,46.0,74.0,3.0,40.0,95.0,36.0,348.0
548,0.0,2.0,71.0,14.0,31.0,4.0,22.0,3.0,42.0,9.0,19.0,46.0,116.0,25.0,24.0,450.0,1.0,58.0,130.0,407.0,47.0,16.0,7.0,43.0,13.0,70.0,59.0,93.0,96.0,157.0
597,0.0,1.0,23.0,62.0,15.0,16.0,94.0,6.0,3.0,2.0,35.0,12.0,25.0,29.0,7.0,102.0,50.0,5.0,134.0,220.0,58.0,46.0,39.0,18.0,54.0,14.0,92.0,258.0,13.0,222.0
