,4-Mar,NUP210,SLC4A3,SERPINH1,COL13A1,RRAS,DUT,NBEAL2,LAPTM4A,CAP2,RP11-7F17.7,BCL7C,CTD-2207P18.2,RP11-187O7.1,POMT2,ACOT1,FAM161B,LTBP2,FOS,NT5CP1,NEK9,PAPLN,JDP2,ACOT2,RP11-109N23.6,NGB,FLVCR2,TTLL5,PGF,RP11-950C14.7
7,13211.0,2.0,56.0,5.0,19496.0,7092.0,3342.0,12638.0,16432.0,6.0,3.0,2557.0,1294.0,1240.0,1394.0,1243.0,887.0,1293.0,1292.0,1245.0,1266.0,1228.0,1279.0,373.0,1298.0,1370.0,1277.0,749.0,1262.0,1257.0
56,13203.0,38.0,61.0,1.0,3.0,118.0,88.0,56.0,16560.0,59.0,19.0,2155.0,1560.0,1201.0,1267.0,1432.0,1605.0,419.0,1257.0,1422.0,1263.0,1398.0,1244.0,1428.0,1407.0,1243.0,1207.0,1165.0,1214.0,1262.0
105,13126.0,1.0,25.0,2.0,19601.0,7078.0,98.0,66.0,16288.0,5.0,1356.0,1680.0,169.0,584.0,1385.0,1309.0,1407.0,1393.0,1411.0,1306.0,1414.0,1280.0,1389.0,1308.0,1293.0,1370.0,1367.0,1366.0,1420.0,1413.0
154,13213.0,31.0,24.0,2.0,49.0,7111.0,3201.0,69.0,98.0,40.0,53.0,2719.0,1282.0,1271.0,1382.0,609.0,578.0,1283.0,502.0,1290.0,1247.0,1300.0,984.0,1291.0,1729.0,1325.0,1279.0,1278.0,1254.0,1246.0
203,13219.0,0.0,16.0,11.0,59.0,7115.0,4.0,12683.0,16314.0,28.0,49.0,2466.0,153.0,1323.0,1337.0,1216.0,489.0,1259.0,479.0,1220.0,1239.0,197.0,1382.0,562.0,1232.0,1339.0,1379.0,1377.0,1210.0,1236.0
252,64.0,1.0,36.0,12.0,26.0,640.0,3460.0,9.0,16535.0,21001.0,43.0,1340.0,270.0,1680.0,1596.0,1157.0,1150.0,70.0,289.0,1173.0,1124.0,1147.0,1579.0,1159.0,1204.0,1597.0,760.0,1575.0,1134.0,1118.0
301,13201.0,1.0,51.0,14.0,16.0,7159.0,2873.0,12669.0,16560.0,20992.0,31.0,0.0,83.0,1332.0,1331.0,1390.0,1442.0,1307.0,1342.0,1399.0,1157.0,1423.0,1336.0,1395.0,1418.0,1312.0,1471.0,1376.0,1357.0,1353.0
350,37.0,31.0,7.0,11.0,30.0,7068.0,68.0,145.0,16548.0,93.0,1476.0,2.0,1168.0,1474.0,1459.0,648.0,1258.0,1161.0,1137.0,1243.0,1153.0,1286.0,787.0,1242.0,1281.0,1485.0,1129.0,422.0,1156.0,1151.0
399,40.0,20.0,13181.0,18.0,19496.0,7170.0,132.0,12665.0,87.0,20927.0,1150.0,0.0,1306.0,1146.0,1187.0,1245.0,1213.0,1302.0,1281.0,1251.0,1275.0,1235.0,1201.0,1246.0,1904.0,1183.0,1129.0,1130.0,1262.0,1276.0
448,30.0,35.0,61.0,10.0,3.0,7088.0,101.0,12644.0,16553.0,21051.0,1241.0,17.0,1288.0,1246.0,1234.0,1262.0,1261.0,1289.0,1216.0,1265.0,1219.0,1291.0,1213.0,1264.0,1250.0,1236.0,1210.0,1209.0,1279.0,1218.0
497,13.0,14.0,39.0,77.0,17.0,48.0,23.0,1.0,104.0,21048.0,96.0,2427.0,1123.0,1446.0,1429.0,929.0,1239.0,203.0,1173.0,1276.0,1176.0,1201.0,1122.0,1274.0,1193.0,145.0,1130.0,1132.0,1159.0,1175.0
546,13239.0,24.0,1.0,58.0,12.0,34.0,280.0,15.0,113.0,20927.0,581.0,2086.0,1317.0,1434.0,1422.0,1353.0,1376.0,1318.0,1336.0,1351.0,1339.0,1380.0,1332.0,1352.0,1457.0,1423.0,1330.0,1329.0,1308.0,1338.0
595,13189.0,23.0,1.0,4121.0,3.0,55.0,40.0,24.0,103.0,20922.0,108.0,2435.0,1311.0,1135.0,1184.0,875.0,1215.0,53.0,1287.0,1255.0,1281.0,1563.0,1203.0,1249.0,1897.0,1181.0,1125.0,1144.0,1269.0,1282.0
644,473.0,27.0,4.0,4141.0,30.0,7092.0,0.0,29.0,26.0,21053.0,1.0,56.0,1457.0,1437.0,1440.0,1371.0,55.0,1458.0,1455.0,1377.0,1478.0,1352.0,1431.0,1364.0,1356.0,1441.0,1428.0,1427.0,1485.0,1476.0
693,13233.0,68.0,13370.0,4133.0,7.0,7152.0,2871.0,34.0,16568.0,21048.0,1268.0,2442.0,1235.0,1261.0,1275.0,1316.0,1355.0,1234.0,1280.0,1346.0,1225.0,1321.0,1298.0,1319.0,1343.0,1259.0,1290.0,1291.0,1211.0,1254.0
742,0.0,12019.0,49.0,4107.0,19489.0,7131.0,20.0,154.0,16320.0,20926.0,1485.0,1818.0,1532.0,1488.0,3043.0,1420.0,1512.0,1534.0,1469.0,1416.0,106.0,1394.0,743.0,1417.0,1408.0,3050.0,1497.0,1496.0,1482.0,1474.0
791,0.0,25.0,45.0,4124.0,19483.0,7129.0,18.0,12692.0,93.0,21051.0,1487.0,255.0,1479.0,1483.0,1493.0,1477.0,1415.0,1478.0,1119.0,1468.0,1545.0,1458.0,1538.0,1470.0,1453.0,300.0,1536.0,1534.0,1525.0,1543.0
840,23.0,24.0,21.0,4125.0,46.0,7161.0,2871.0,12700.0,128.0,121.0,1124.0,123.0,1386.0,1118.0,1239.0,1316.0,1258.0,1390.0,1347.0,1304.0,8.0,1284.0,1361.0,1286.0,1246.0,1221.0,1358.0,1150.0,1398.0,1337.0
889,32.0,2.0,31.0,41.0,44.0,10.0,2857.0,12689.0,16350.0,903.0,1156.0,5.0,1246.0,1229.0,1329.0,1160.0,1283.0,1247.0,1364.0,1234.0,1124.0,1350.0,1315.0,1243.0,1394.0,1331.0,1280.0,1170.0,1176.0,1140.0
938,3.0,30.0,53.0,33.0,140.0,35.0,2846.0,450.0,44.0,278.0,43.0,2535.0,285.0,1349.0,1285.0,1400.0,1444.0,1310.0,1330.0,1402.0,1387.0,1386.0,1324.0,1401.0,1145.0,1286.0,1322.0,1320.0,1335.0,1333.0
987,21.0,11990.0,13179.0,4157.0,3.0,22.0,955.0,12665.0,16325.0,20926.0,110.0,52.0,1288.0,1405.0,1377.0,1282.0,152.0,1289.0,1398.0,1278.0,1382.0,949.0,1414.0,1279.0,1331.0,1378.0,1412.0,1411.0,1389.0,1381.0
1036,32.0,37.0,12230.0,60.0,67.0,9.0,2884.0,12696.0,16576.0,21052.0,1160.0,49.0,1291.0,1213.0,1516.0,1232.0,1308.0,1288.0,1202.0,1236.0,1154.0,1220.0,1181.0,1235.0,1267.0,1155.0,1186.0,1191.0,1149.0,551.0
1085,55.0,44.0,13179.0,4132.0,86.0,26.0,3330.0,1.0,16567.0,258.0,1402.0,3403.0,1354.0,1411.0,1171.0,1285.0,1321.0,1357.0,1436.0,1290.0,1302.0,1295.0,1422.0,1288.0,1316.0,1168.0,1440.0,1458.0,1286.0,1296.0
1134,14.0,21.0,263.0,4149.0,53.0,7164.0,2880.0,12683.0,16347.0,21047.0,1146.0,2440.0,1279.0,1267.0,61.0,1217.0,1192.0,169.0,1250.0,966.0,1246.0,1191.0,1086.0,1218.0,1289.0,1174.0,1257.0,1260.0,1188.0,1248.0
1183,19.0,27.0,183.0,4139.0,62.0,69.0,3102.0,12701.0,16329.0,304.0,1342.0,2432.0,1272.0,1277.0,66.0,1311.0,1320.0,1285.0,1293.0,1309.0,1256.0,1172.0,1116.0,1310.0,1319.0,1399.0,1289.0,1288.0,1264.0,1275.0
1232,78.0,19.0,12220.0,174.0,9.0,7079.0,3334.0,12686.0,16322.0,21075.0,1379.0,2426.0,1164.0,1374.0,55.0,1201.0,1235.0,1152.0,1421.0,1170.0,1418.0,1187.0,779.0,1182.0,1198.0,1389.0,1425.0,1426.0,1410.0,860.0
1281,88.0,71.0,12211.0,4080.0,10.0,7145.0,936.0,12662.0,16315.0,21038.0,34.0,55.0,1224.0,1111.0,20.0,1170.0,1259.0,1220.0,1129.0,1175.0,1090.0,1162.0,1133.0,1174.0,1156.0,1120.0,1148.0,1139.0,1235.0,1085.0
1330,122.0,40.0,13166.0,4138.0,3.0,44.0,2858.0,12673.0,90.0,21048.0,2.0,100.0,1411.0,1470.0,43.0,1159.0,1122.0,1410.0,1390.0,1124.0,1386.0,1229.0,1405.0,1125.0,1221.0,1489.0,1397.0,1400.0,1431.0,1388.0
1379,2.0,12027.0,77.0,363.0,19479.0,56.0,2475.0,4.0,45.0,20927.0,1490.0,2231.0,732.0,336.0,30.0,1423.0,1373.0,1393.0,1471.0,1421.0,1474.0,1412.0,1486.0,245.0,1400.0,1467.0,1502.0,1501.0,1481.0,1473.0
1428,35.0,6.0,28.0,4164.0,93.0,7111.0,3338.0,36.0,4.0,20989.0,16.0,2558.0,1366.0,1466.0,1480.0,1399.0,985.0,1365.0,1387.0,978.0,1384.0,1392.0,1453.0,1400.0,1173.0,1478.0,1458.0,1459.0,1375.0,1385.0
1477,13205.0,46.0,13188.0,4144.0,38.0,7114.0,439.0,12672.0,16573.0,21049.0,2.0,1.0,274.0,1458.0,1470.0,1221.0,1181.0,1245.0,1159.0,1230.0,1174.0,1252.0,1213.0,1234.0,1254.0,1467.0,1292.0,1480.0,1272.0,1168.0
1526,13205.0,765.0,132.0,4155.0,4.0,7150.0,581.0,12652.0,16557.0,21039.0,2.0,3.0,1308.0,1206.0,1218.0,1260.0,1349.0,151.0,1158.0,1241.0,276.0,1286.0,1165.0,1239.0,1278.0,1216.0,1161.0,1132.0,1145.0,1156.0
1575,13224.0,12081.0,123.0,4160.0,105.0,7093.0,210.0,12693.0,16358.0,21041.0,1313.0,0.0,76.0,1319.0,1250.0,1274.0,1255.0,1322.0,945.0,1278.0,1301.0,1385.0,1285.0,1277.0,1373.0,772.0,1283.0,1291.0,1300.0,1292.0
1624,13172.0,703.0,124.0,4146.0,65.0,7142.0,3299.0,201.0,634.0,21059.0,1427.0,0.0,1310.0,1430.0,1436.0,1355.0,483.0,1317.0,1413.0,1353.0,1364.0,1344.0,1406.0,1354.0,704.0,1402.0,1404.0,1403.0,248.0,1365.0
1673,13215.0,12002.0,13191.0,17.0,117.0,55.0,3340.0,12675.0,16579.0,20929.0,1421.0,0.0,186.0,472.0,1191.0,1093.0,1238.0,1255.0,1353.0,1182.0,1300.0,1208.0,689.0,1179.0,1194.0,1291.0,1351.0,1345.0,230.0,1298.0
1722,13229.0,12011.0,13365.0,31.0,19478.0,61.0,52.0,46.0,5.0,163.0,1134.0,18.0,1272.0,1156.0,1132.0,1167.0,1249.0,1271.0,1234.0,1171.0,1232.0,1188.0,1241.0,1170.0,616.0,1127.0,1159.0,1246.0,286.0,1245.0
1771,13206.0,0.0,12678.0,42.0,19497.0,55.0,67.0,10.0,98.0,21068.0,1342.0,2546.0,252.0,1345.0,1468.0,1471.0,1329.0,1380.0,1368.0,1451.0,1202.0,1477.0,1355.0,1450.0,1419.0,1469.0,1375.0,1396.0,1359.0,1426.0
1820,13226.0,1.0,12227.0,4122.0,19494.0,7153.0,0.0,12.0,16326.0,21042.0,1235.0,68.0,574.0,1261.0,1169.0,1394.0,1290.0,1415.0,1250.0,1303.0,1237.0,1425.0,1200.0,1301.0,1265.0,1185.0,1229.0,1226.0,1190.0,1234.0
1869,48.0,3.0,13183.0,4158.0,82.0,7107.0,1.0,14.0,16567.0,21054.0,1354.0,38.0,184.0,694.0,345.0,1170.0,1208.0,1456.0,1496.0,1195.0,1488.0,1184.0,1432.0,1229.0,1241.0,1418.0,1366.0,1369.0,1515.0,1493.0
1918,52.0,1.0,13183.0,6.0,50.0,7163.0,2.0,8.0,128.0,21049.0,1192.0,56.0,1280.0,1208.0,524.0,1231.0,1321.0,1279.0,1166.0,1238.0,1168.0,1218.0,1194.0,1233.0,1265.0,1177.0,1197.0,1199.0,1292.0,1161.0
1967,5.0,0.0,13189.0,30.0,121.0,15.0,2499.0,12675.0,179.0,84.0,1501.0,43.0,319.0,668.0,1487.0,1402.0,1517.0,860.0,1474.0,1413.0,1478.0,1404.0,1471.0,1420.0,1411.0,1488.0,764.0,1475.0,1504.0,1477.0
2016,1.0,0.0,12233.0,7.0,33.0,7168.0,967.0,8.0,50.0,74.0,3068.0,1455.0,257.0,2871.0,3063.0,1438.0,1526.0,1546.0,1493.0,1436.0,1490.0,1431.0,1517.0,1437.0,1426.0,3070.0,1513.0,1519.0,1497.0,160.0
2065,8.0,1.0,3.0,2.0,19497.0,7160.0,727.0,224.0,16333.0,43.0,1183.0,2449.0,1257.0,1176.0,1144.0,706.0,1307.0,1255.0,1249.0,1216.0,1275.0,1196.0,1026.0,1211.0,1220.0,1143.0,1140.0,1165.0,1266.0,1276.0
2114,19.0,0.0,6.0,7.0,82.0,7110.0,3.0,16.0,16324.0,20925.0,1163.0,2452.0,1270.0,1112.0,1145.0,1196.0,1186.0,1268.0,1182.0,1206.0,1249.0,1250.0,1125.0,1188.0,1106.0,1148.0,1130.0,1131.0,1260.0,1183.0
