,Rb,Chk1,p27_pT157,PRDX1,p21,Rab25,Beclin,Bcl-2,p38_pT180_Y182,Rb_pS807_S811,JNK_pT183_Y185,PI3K-p85,p27,RAD51,SHP-2_pY542,VAV1,Lck,SETD2,GSK-3-BETA,HER2_pY1248,GAPDH,Smac,Bax,PTEN,eEF2K,GATA3,Syk,PDCD4,HSP70,Cyclin_D1
3,0.0,6.0,5.0,1.0,3.0,8.0,9.0,2.0,11.0,10.0,7.0,76.0,41.0,4.0,29.0,12.0,26.0,13.0,16.0,18.0,14.0,30.0,17.0,71.0,124.0,23.0,58.0,80.0,126.0,25.0
52,2.0,1.0,3.0,0.0,4.0,11.0,7.0,6.0,9.0,10.0,15.0,21.0,46.0,14.0,13.0,18.0,19.0,12.0,8.0,20.0,5.0,17.0,16.0,24.0,23.0,30.0,54.0,77.0,87.0,28.0
101,1.0,3.0,2.0,0.0,8.0,7.0,14.0,10.0,22.0,21.0,4.0,15.0,38.0,11.0,24.0,6.0,17.0,23.0,20.0,12.0,19.0,13.0,16.0,35.0,25.0,120.0,18.0,74.0,116.0,28.0
150,0.0,6.0,1.0,2.0,4.0,9.0,15.0,3.0,10.0,19.0,13.0,27.0,35.0,24.0,11.0,14.0,26.0,5.0,33.0,22.0,23.0,18.0,21.0,16.0,17.0,7.0,25.0,20.0,28.0,124.0
199,1.0,6.0,5.0,0.0,22.0,12.0,9.0,3.0,79.0,20.0,19.0,31.0,24.0,11.0,8.0,4.0,10.0,13.0,21.0,18.0,25.0,17.0,15.0,62.0,35.0,27.0,38.0,7.0,115.0,128.0
248,1.0,3.0,2.0,0.0,4.0,17.0,28.0,7.0,5.0,9.0,18.0,12.0,44.0,20.0,33.0,6.0,19.0,30.0,116.0,11.0,8.0,21.0,23.0,71.0,25.0,29.0,57.0,24.0,10.0,128.0
297,10.0,6.0,7.0,0.0,1.0,5.0,20.0,3.0,11.0,9.0,14.0,68.0,36.0,18.0,17.0,8.0,25.0,12.0,29.0,4.0,2.0,30.0,23.0,27.0,125.0,13.0,22.0,15.0,19.0,135.0
346,0.0,2.0,3.0,1.0,7.0,18.0,14.0,6.0,9.0,8.0,11.0,20.0,48.0,15.0,61.0,25.0,24.0,16.0,22.0,5.0,10.0,13.0,29.0,69.0,19.0,31.0,23.0,32.0,130.0,4.0
395,4.0,3.0,1.0,0.0,10.0,12.0,9.0,8.0,15.0,11.0,7.0,21.0,39.0,13.0,14.0,18.0,27.0,19.0,5.0,6.0,16.0,25.0,22.0,31.0,17.0,118.0,29.0,30.0,82.0,127.0
444,1.0,3.0,7.0,0.0,6.0,21.0,28.0,8.0,2.0,26.0,14.0,5.0,19.0,4.0,64.0,15.0,16.0,30.0,9.0,11.0,129.0,62.0,10.0,70.0,12.0,27.0,55.0,22.0,126.0,24.0
493,5.0,1.0,0.0,6.0,4.0,14.0,7.0,3.0,9.0,11.0,8.0,60.0,15.0,17.0,20.0,28.0,30.0,22.0,2.0,43.0,73.0,102.0,75.0,10.0,12.0,16.0,85.0,52.0,38.0,13.0
542,8.0,1.0,0.0,2.0,25.0,7.0,4.0,5.0,21.0,13.0,6.0,63.0,14.0,23.0,9.0,18.0,43.0,10.0,3.0,16.0,106.0,24.0,113.0,20.0,30.0,11.0,58.0,67.0,31.0,15.0
591,6.0,1.0,0.0,3.0,17.0,13.0,19.0,2.0,8.0,9.0,12.0,68.0,10.0,15.0,24.0,50.0,23.0,7.0,5.0,113.0,18.0,77.0,25.0,14.0,118.0,128.0,36.0,21.0,80.0,124.0
640,6.0,1.0,0.0,3.0,32.0,5.0,17.0,8.0,9.0,13.0,2.0,78.0,21.0,58.0,16.0,11.0,46.0,15.0,4.0,20.0,113.0,25.0,131.0,7.0,123.0,112.0,65.0,69.0,23.0,10.0
689,6.0,1.0,0.0,9.0,19.0,3.0,8.0,16.0,5.0,7.0,11.0,70.0,17.0,12.0,53.0,33.0,47.0,15.0,4.0,114.0,118.0,13.0,91.0,14.0,124.0,18.0,60.0,77.0,10.0,2.0
738,2.0,1.0,0.0,4.0,11.0,9.0,12.0,6.0,10.0,8.0,7.0,31.0,14.0,20.0,17.0,18.0,43.0,13.0,3.0,22.0,114.0,21.0,32.0,28.0,30.0,113.0,57.0,75.0,77.0,5.0
787,5.0,3.0,0.0,8.0,17.0,2.0,9.0,1.0,19.0,10.0,14.0,70.0,26.0,61.0,4.0,23.0,44.0,22.0,16.0,25.0,110.0,11.0,24.0,33.0,121.0,108.0,71.0,20.0,18.0,7.0
836,15.0,4.0,1.0,2.0,14.0,13.0,24.0,6.0,16.0,0.0,5.0,65.0,10.0,11.0,22.0,25.0,17.0,8.0,3.0,37.0,33.0,18.0,93.0,9.0,12.0,29.0,40.0,71.0,26.0,28.0
885,4.0,2.0,0.0,3.0,33.0,6.0,1.0,8.0,10.0,7.0,5.0,14.0,19.0,63.0,60.0,20.0,51.0,11.0,9.0,122.0,23.0,22.0,13.0,65.0,127.0,137.0,74.0,78.0,133.0,24.0
934,8.0,2.0,1.0,10.0,13.0,5.0,0.0,6.0,12.0,11.0,4.0,26.0,7.0,30.0,21.0,53.0,16.0,3.0,9.0,109.0,115.0,20.0,131.0,19.0,32.0,114.0,15.0,25.0,80.0,14.0
