,FAM21A_DEL,MRGPRX1_DEL,PTCH1_AMP,LOC100506776_DEL,PCCB_DEL,ZNF705G_AMP,HLA-DRB6_AMP,EP300_MUT,RBFOX1_DEL,LPA_AMP,FMN2_AMP,ADAM5_DEL,ADAM3A_DEL,SIRPB1_AMP,HLA-DRB1_AMP,HLA-DRB5_AMP,HLA-H_DEL,CDCA7L_DEL,GSTTP1_AMP,FBXL7_DEL,USP32P1_AMP,TPTE_DEL,KIAA1217_DEL,MST1P9_AMP,BTNL3_DEL,EPHA3_MUT,BTNL8_DEL,XKR6_AMP,SORD_AMP,OCM2_AMP
30,0.0,2.0,1.0,13.0,7.0,34.0,10.0,14.0,4.0,3.0,67.0,44.0,55.0,562.0,16.0,29.0,135.0,26.0,19.0,12.0,32.0,52.0,23.0,15.0,40.0,42.0,43.0,24.0,9.0,30.0
79,0.0,6.0,5.0,18.0,1.0,57.0,7.0,11.0,13.0,147.0,19.0,83.0,82.0,4.0,12.0,2.0,81.0,76.0,9.0,3.0,8.0,126.0,101.0,62.0,33.0,87.0,34.0,22.0,74.0,59.0
128,4.0,1.0,3.0,0.0,5.0,9.0,13.0,7.0,27.0,26.0,21.0,104.0,100.0,23.0,29.0,16.0,15.0,67.0,82.0,6.0,119.0,190.0,22.0,243.0,2.0,28.0,14.0,56.0,192.0,25.0
177,5.0,1.0,2.0,0.0,3.0,19.0,39.0,23.0,8.0,74.0,6.0,34.0,41.0,17.0,93.0,37.0,100.0,16.0,54.0,15.0,21.0,20.0,237.0,58.0,24.0,45.0,22.0,12.0,9.0,60.0
226,6.0,3.0,1.0,0.0,10.0,18.0,8.0,5.0,14.0,34.0,2.0,16.0,19.0,132.0,13.0,54.0,780.0,21.0,4.0,7.0,15.0,87.0,32.0,29.0,27.0,38.0,28.0,65.0,67.0,30.0
275,1.0,2.0,3.0,4.0,6.0,27.0,8.0,5.0,7.0,43.0,12.0,41.0,52.0,11.0,21.0,63.0,135.0,53.0,22.0,0.0,20.0,32.0,33.0,47.0,42.0,15.0,44.0,9.0,18.0,29.0
324,2.0,0.0,1.0,17.0,4.0,29.0,8.0,24.0,3.0,11.0,16.0,9.0,10.0,1661.0,36.0,20.0,1770.0,18.0,5.0,25.0,40.0,44.0,127.0,35.0,7.0,85.0,6.0,22.0,398.0,30.0
373,1.0,4.0,0.0,10.0,2.0,70.0,13.0,9.0,19.0,3.0,147.0,14.0,16.0,95.0,26.0,23.0,43.0,17.0,67.0,8.0,6.0,51.0,30.0,259.0,99.0,21.0,24.0,135.0,96.0,55.0
422,0.0,1.0,12.0,7.0,4.0,8.0,25.0,2.0,13.0,42.0,6.0,30.0,32.0,41.0,22.0,17.0,138.0,29.0,36.0,3.0,15.0,647.0,26.0,19.0,27.0,37.0,21.0,23.0,256.0,31.0
471,3.0,0.0,7.0,2.0,5.0,1.0,11.0,4.0,12.0,8.0,15.0,19.0,21.0,404.0,14.0,6.0,240.0,49.0,20.0,28.0,40.0,25.0,210.0,50.0,118.0,117.0,70.0,10.0,89.0,45.0
520,2.0,10.0,0.0,3.0,5.0,4.0,28.0,14.0,12.0,17.0,9.0,7.0,8.0,16.0,18.0,34.0,6.0,15.0,78.0,57.0,65.0,106.0,24.0,11.0,372.0,43.0,1472.0,35.0,21.0,74.0
569,1.0,4.0,2.0,5.0,8.0,0.0,14.0,31.0,11.0,6.0,22.0,17.0,16.0,72.0,15.0,33.0,3.0,10.0,23.0,479.0,30.0,12.0,25.0,7.0,122.0,128.0,167.0,36.0,13.0,32.0
618,6.0,13.0,1.0,0.0,8.0,3.0,16.0,24.0,49.0,9.0,2.0,4.0,5.0,7.0,14.0,18.0,11.0,17.0,19.0,78.0,66.0,10.0,35.0,15.0,124.0,114.0,75.0,29.0,42.0,36.0
