,PTCH1_AMP,LOC100506776_DEL,FAM21A_DEL,PCCB_DEL,MRGPRX1_DEL,HLA-DRB6_AMP,LPA_AMP,EP300_MUT,ZNF705G_AMP,ADAM5_DEL,RBFOX1_DEL,GSTTP1_AMP,ADAM3A_DEL,FMN2_AMP,HLA-DRB5_AMP,CDCA7L_DEL,SIRPB1_AMP,HLA-DRB1_AMP,BTNL3_DEL,LOC728875_DEL,KIAA1217_DEL,SORD_AMP,TPTE_DEL,PBX1_MUT,EPHA3_MUT,HLA-H_DEL,MST1P9_AMP,HCG4B_DEL,MLL_MUT,FBXL7_DEL
29,1.0,13.0,0.0,8.0,3.0,7.0,4.0,16.0,40.0,30.0,2.0,14.0,35.0,53.0,21.0,28.0,564.0,25.0,23.0,19.0,29.0,5.0,47.0,15.0,43.0,311.0,20.0,18.0,10.0,11.0
78,2.0,13.0,1.0,0.0,8.0,5.0,170.0,9.0,102.0,67.0,14.0,7.0,66.0,15.0,3.0,71.0,6.0,16.0,21.0,114.0,104.0,37.0,93.0,19.0,103.0,79.0,63.0,77.0,65.0,4.0
127,2.0,0.0,4.0,7.0,3.0,12.0,21.0,5.0,11.0,69.0,31.0,47.0,68.0,20.0,15.0,74.0,24.0,44.0,1.0,34.0,27.0,118.0,103.0,26.0,32.0,22.0,261.0,14.0,39.0,6.0
176,1.0,0.0,4.0,3.0,2.0,20.0,67.0,29.0,34.0,33.0,11.0,36.0,42.0,7.0,17.0,19.0,21.0,80.0,16.0,37.0,287.0,5.0,15.0,8.0,49.0,258.0,59.0,6.0,68.0,12.0
225,1.0,0.0,3.0,9.0,6.0,7.0,41.0,5.0,29.0,14.0,17.0,2.0,16.0,4.0,44.0,23.0,136.0,20.0,18.0,15.0,30.0,53.0,58.0,12.0,36.0,1214.0,32.0,33.0,10.0,8.0
274,2.0,4.0,0.0,5.0,3.0,7.0,42.0,6.0,64.0,28.0,8.0,10.0,35.0,14.0,47.0,59.0,16.0,20.0,26.0,21.0,36.0,9.0,24.0,18.0,15.0,328.0,30.0,52.0,13.0,1.0
323,0.0,13.0,2.0,5.0,1.0,8.0,18.0,20.0,40.0,9.0,3.0,4.0,10.0,19.0,12.0,17.0,2866.0,50.0,7.0,11.0,158.0,199.0,31.0,35.0,83.0,3496.0,38.0,363.0,23.0,26.0
372,0.0,6.0,1.0,2.0,7.0,16.0,3.0,4.0,122.0,12.0,20.0,40.0,15.0,197.0,21.0,19.0,105.0,50.0,98.0,43.0,39.0,66.0,34.0,13.0,23.0,71.0,537.0,18.0,14.0,5.0
421,11.0,7.0,0.0,4.0,2.0,27.0,62.0,1.0,13.0,20.0,15.0,19.0,26.0,6.0,17.0,29.0,42.0,31.0,25.0,1924.0,10.0,168.0,718.0,43.0,34.0,352.0,14.0,5.0,91.0,3.0
470,7.0,0.0,6.0,4.0,1.0,10.0,8.0,2.0,5.0,14.0,21.0,13.0,15.0,18.0,3.0,60.0,615.0,24.0,88.0,145.0,205.0,57.0,17.0,32.0,92.0,613.0,56.0,29.0,19.0,33.0
519,0.0,4.0,1.0,2.0,11.0,30.0,19.0,14.0,7.0,5.0,17.0,75.0,6.0,8.0,38.0,16.0,25.0,20.0,281.0,123.0,15.0,21.0,132.0,24.0,40.0,10.0,9.0,12.0,26.0,84.0
568,1.0,4.0,0.0,5.0,7.0,11.0,3.0,33.0,2.0,15.0,14.0,18.0,17.0,23.0,30.0,12.0,83.0,20.0,73.0,29.0,16.0,8.0,13.0,62.0,145.0,9.0,6.0,19.0,31.0,932.0
