,FLNB_MUT,GUCY2C_MUT,MYH9_MUT,RNF103-CHMP3_DEL,HLA-DRB6_DEL,SGCZ_DEL,LOC392196_DEL,FLT4_MUT,MIR4636_AMP,MIR4278_AMP,SDHA_AMP,ETS1_DEL,AHRR_AMP,CCT5_AMP,SLC25A24_DEL,CWF19L2_AMP,RMND5A_DEL,GPR112_MUT,CEP72_AMP,MIR4458_AMP,DEFB130_DEL,PHF3_MUT,USP17L7_DEL,PTCH1_AMP,ERCC6_MUT,DBF4_MUT,ZNF705D_DEL,LOC255167_AMP,PI4KA_MUT,MED10_AMP
28,0.0,42.0,10.0,94.0,103.0,63.0,226.0,252.0,58.0,7.0,3.0,5512.0,21643.0,454.0,65.0,2059.0,2341.0,2519.0,8.0,410.0,5.0,795.0,31.0,1643.0,1638.0,172.0,465.0,14246.0,55.0,39.0
77,64.0,176.0,12113.0,0.0,24.0,515.0,230.0,2617.0,1274.0,6.0,4.0,2687.0,102.0,16678.0,3639.0,550.0,10.0,877.0,51.0,20057.0,282.0,75.0,3107.0,14975.0,1677.0,30.0,2676.0,325.0,53.0,11.0
126,348.0,4.0,454.0,61.0,40.0,2188.0,14.0,72.0,16322.0,149.0,18.0,33.0,1236.0,13661.0,370.0,25.0,11818.0,98.0,22702.0,16198.0,6.0,347.0,4488.0,805.0,17.0,240.0,8545.0,13960.0,130.0,39.0
175,30.0,3.0,68.0,324.0,159.0,103.0,2035.0,33.0,16354.0,89.0,9.0,19.0,21635.0,13635.0,21.0,2.0,470.0,25.0,22571.0,421.0,46.0,10.0,4756.0,118.0,284.0,526.0,8602.0,16.0,16555.0,15.0
224,23.0,13.0,16542.0,50.0,5.0,5318.0,4288.0,16671.0,46.0,97.0,22014.0,4.0,21666.0,269.0,52.0,677.0,673.0,3.0,22702.0,0.0,1455.0,7.0,1441.0,970.0,571.0,12.0,47.0,174.0,1258.0,23164.0
273,2019.0,2.0,173.0,0.0,8.0,4271.0,81.0,306.0,16278.0,13.0,21879.0,129.0,21539.0,13687.0,544.0,1038.0,1396.0,38.0,1152.0,890.0,305.0,559.0,4565.0,1062.0,117.0,44.0,8632.0,89.0,426.0,99.0
322,1.0,0.0,23.0,308.0,64.0,12.0,4384.0,9.0,16311.0,31.0,106.0,34.0,21539.0,288.0,2774.0,279.0,1378.0,704.0,404.0,117.0,39.0,29.0,78.0,1152.0,16662.0,10.0,186.0,70.0,543.0,20.0
371,2.0,0.0,88.0,5.0,19.0,3003.0,198.0,144.0,16257.0,59.0,21874.0,2648.0,6.0,3.0,3041.0,17410.0,12115.0,237.0,197.0,278.0,83.0,14.0,4434.0,62.0,975.0,24.0,8588.0,77.0,32.0,17.0
420,6.0,0.0,59.0,3.0,702.0,15.0,33.0,5.0,6499.0,205.0,15385.0,56.0,213.0,45.0,3693.0,1102.0,345.0,10064.0,15535.0,71.0,35.0,332.0,195.0,810.0,62.0,226.0,9165.0,1166.0,1.0,21.0
469,187.0,0.0,424.0,298.0,260.0,2288.0,16.0,25.0,931.0,154.0,165.0,408.0,2619.0,13655.0,812.0,1173.0,11872.0,16643.0,1260.0,16266.0,7230.0,320.0,2554.0,488.0,665.0,2081.0,8575.0,42.0,1940.0,4.0
518,0.0,2.0,9.0,6.0,76.0,55.0,188.0,16.0,15.0,2033.0,38.0,177.0,97.0,13642.0,672.0,292.0,11860.0,112.0,50.0,5.0,6639.0,1113.0,406.0,20.0,205.0,140.0,8473.0,14220.0,14.0,174.0
567,0.0,2.0,10.0,719.0,813.0,3.0,7.0,168.0,17.0,15738.0,21998.0,351.0,272.0,2706.0,1675.0,1.0,310.0,1592.0,291.0,70.0,1304.0,38.0,522.0,150.0,617.0,16641.0,85.0,14240.0,16551.0,23368.0
616,114.0,1.0,4.0,3.0,6.0,445.0,5.0,55.0,104.0,516.0,169.0,11.0,139.0,45.0,1708.0,244.0,30.0,2.0,318.0,40.0,390.0,1146.0,3444.0,0.0,17.0,16642.0,102.0,14219.0,797.0,15.0
665,5.0,40.0,13.0,177.0,8.0,220.0,132.0,0.0,78.0,18.0,55.0,35.0,425.0,17505.0,189.0,256.0,19.0,586.0,272.0,17.0,14.0,483.0,4704.0,38.0,79.0,9020.0,31.0,17885.0,3403.0,23095.0
714,5.0,9.0,2.0,107.0,8.0,355.0,121.0,19.0,18.0,7.0,328.0,5326.0,4.0,777.0,63.0,80.0,61.0,1481.0,366.0,339.0,308.0,16654.0,248.0,21547.0,267.0,462.0,254.0,199.0,545.0,77.0
763,3.0,41.0,5.0,409.0,2927.0,5118.0,37.0,8.0,0.0,21.0,225.0,65.0,4.0,518.0,222.0,230.0,365.0,1012.0,532.0,2.0,19.0,2056.0,2529.0,315.0,152.0,16595.0,203.0,14171.0,14.0,262.0
812,24.0,1.0,146.0,2647.0,339.0,158.0,1388.0,32.0,16360.0,15695.0,22010.0,327.0,105.0,20.0,11.0,17362.0,3.0,25.0,98.0,140.0,70.0,236.0,4762.0,43.0,16707.0,57.0,14.0,14215.0,49.0,2630.0
