,oxalate,GABA,C16:0 LPE,niacinamide,C22:6 LPE,cotinine,3-phosphoglycerate,adenosine,pyroglutamic acid,5-HIAA,serotonin,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,sarcosine,C34:4 PC,beta-alanine,C18:0 LPC,2-deoxyadenosine,alpha-glycerophosphate,C18:0 LPE,isocitrate,C22:6 LPC,malondialdehyde,C36:1 DAG,UMP,inositol,1-methylnicotinamide,pantothenate,dCMP,inosine
27,4.0,1.0,9.0,17.0,37.0,2.0,14.0,31.0,19.0,20.0,15.0,16.0,10.0,42.0,32.0,35.0,26.0,54.0,25.0,38.0,45.0,39.0,5.0,29.0,53.0,0.0,3.0,28.0,48.0,30.0
76,0.0,5.0,1.0,64.0,8.0,9.0,44.0,12.0,3.0,22.0,21.0,4.0,42.0,6.0,24.0,34.0,2.0,33.0,46.0,41.0,19.0,35.0,26.0,36.0,28.0,58.0,16.0,7.0,10.0,52.0
125,4.0,19.0,0.0,62.0,3.0,10.0,24.0,13.0,33.0,6.0,60.0,18.0,36.0,7.0,30.0,22.0,23.0,28.0,14.0,38.0,1.0,37.0,55.0,32.0,2.0,25.0,5.0,51.0,26.0,12.0
174,2.0,13.0,3.0,16.0,0.0,23.0,44.0,19.0,24.0,11.0,12.0,14.0,17.0,42.0,1.0,8.0,26.0,20.0,25.0,30.0,27.0,28.0,22.0,6.0,54.0,34.0,37.0,31.0,36.0,32.0
223,0.0,17.0,27.0,26.0,8.0,3.0,29.0,34.0,14.0,1.0,15.0,62.0,19.0,5.0,10.0,6.0,9.0,30.0,41.0,35.0,12.0,25.0,57.0,23.0,53.0,18.0,37.0,50.0,44.0,48.0
272,0.0,11.0,5.0,12.0,4.0,1.0,15.0,13.0,23.0,16.0,3.0,6.0,40.0,17.0,21.0,18.0,19.0,14.0,26.0,39.0,31.0,20.0,51.0,43.0,29.0,27.0,24.0,64.0,33.0,30.0
321,0.0,19.0,7.0,13.0,4.0,10.0,26.0,9.0,15.0,2.0,51.0,53.0,20.0,21.0,37.0,22.0,8.0,14.0,11.0,23.0,34.0,40.0,54.0,3.0,49.0,30.0,25.0,65.0,47.0,43.0
370,28.0,17.0,6.0,4.0,26.0,9.0,42.0,64.0,32.0,5.0,18.0,16.0,3.0,30.0,41.0,25.0,2.0,44.0,15.0,36.0,45.0,39.0,57.0,19.0,7.0,56.0,13.0,29.0,24.0,51.0
419,0.0,9.0,6.0,10.0,8.0,14.0,22.0,2.0,1.0,12.0,20.0,62.0,5.0,35.0,7.0,3.0,33.0,23.0,24.0,29.0,44.0,41.0,19.0,26.0,32.0,11.0,13.0,53.0,46.0,51.0
468,0.0,8.0,7.0,17.0,6.0,21.0,46.0,3.0,1.0,13.0,22.0,23.0,19.0,11.0,33.0,9.0,27.0,2.0,49.0,43.0,36.0,44.0,34.0,39.0,5.0,14.0,24.0,31.0,52.0,32.0
517,2.0,8.0,9.0,0.0,3.0,19.0,6.0,7.0,20.0,63.0,17.0,15.0,31.0,10.0,5.0,28.0,33.0,14.0,11.0,26.0,12.0,38.0,1.0,23.0,51.0,57.0,35.0,49.0,30.0,47.0
566,3.0,6.0,1.0,9.0,0.0,11.0,5.0,2.0,4.0,12.0,22.0,7.0,32.0,13.0,18.0,36.0,37.0,63.0,14.0,17.0,29.0,16.0,28.0,20.0,59.0,52.0,65.0,47.0,41.0,39.0
615,48.0,1.0,0.0,3.0,7.0,11.0,18.0,5.0,2.0,10.0,17.0,61.0,6.0,37.0,27.0,12.0,13.0,65.0,8.0,4.0,20.0,14.0,55.0,25.0,49.0,54.0,40.0,31.0,23.0,29.0
