,niacinamide,C56:5 TAG,GABA,beta-alanine,C18:0 LPE,isocitrate,adenosine,pantothenate,serotonin,alpha-glycerophosphocholine,C34:2 DAG,putrescine,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,glutamine,UMP,C18:0 LPC,inositol,C36:4 PC-B,cystathionine,cis/trans-hydroxyproline,phosphocreatine,C22:6 LPE,C34:4 PC,malondialdehyde,2-deoxycytidine,oxalate,valerylcarnitine,acetylcholine,alpha-hydroxybutyrate
22,3.0,1.0,0.0,5.0,12.0,9.0,8.0,2.0,7.0,16.0,29.0,4.0,15.0,17.0,40.0,6.0,20.0,13.0,11.0,28.0,14.0,10.0,34.0,18.0,25.0,42.0,33.0,23.0,49.0,35.0
71,2.0,1.0,0.0,4.0,12.0,10.0,7.0,3.0,14.0,26.0,28.0,13.0,29.0,17.0,45.0,23.0,6.0,20.0,8.0,36.0,16.0,9.0,24.0,5.0,48.0,40.0,19.0,54.0,56.0,44.0
120,3.0,0.0,1.0,9.0,8.0,5.0,14.0,29.0,17.0,31.0,13.0,15.0,34.0,7.0,20.0,6.0,18.0,16.0,2.0,4.0,11.0,10.0,25.0,12.0,23.0,24.0,27.0,57.0,59.0,45.0
169,2.0,1.0,0.0,19.0,5.0,7.0,6.0,4.0,10.0,11.0,17.0,3.0,14.0,18.0,16.0,20.0,13.0,21.0,12.0,8.0,15.0,28.0,26.0,9.0,25.0,46.0,37.0,23.0,42.0,31.0
218,5.0,1.0,0.0,4.0,8.0,2.0,21.0,20.0,10.0,6.0,11.0,12.0,18.0,9.0,16.0,28.0,15.0,14.0,13.0,22.0,25.0,7.0,41.0,3.0,27.0,35.0,17.0,36.0,30.0,49.0
267,5.0,0.0,1.0,3.0,8.0,6.0,4.0,25.0,11.0,21.0,14.0,18.0,13.0,2.0,15.0,9.0,23.0,26.0,10.0,12.0,22.0,7.0,17.0,16.0,33.0,38.0,31.0,29.0,39.0,34.0
316,0.0,3.0,1.0,2.0,5.0,8.0,4.0,9.0,7.0,19.0,22.0,11.0,17.0,12.0,14.0,18.0,36.0,20.0,6.0,13.0,15.0,33.0,39.0,10.0,23.0,42.0,25.0,26.0,31.0,30.0
365,4.0,0.0,1.0,5.0,2.0,8.0,14.0,18.0,3.0,16.0,43.0,12.0,10.0,6.0,9.0,15.0,17.0,39.0,7.0,11.0,25.0,23.0,33.0,22.0,28.0,26.0,40.0,29.0,55.0,30.0
414,2.0,0.0,1.0,3.0,9.0,12.0,10.0,6.0,8.0,13.0,21.0,5.0,17.0,22.0,7.0,20.0,25.0,19.0,14.0,11.0,18.0,16.0,40.0,4.0,38.0,23.0,42.0,35.0,36.0,24.0
463,3.0,1.0,0.0,7.0,17.0,18.0,5.0,2.0,9.0,4.0,37.0,13.0,28.0,26.0,10.0,6.0,14.0,12.0,16.0,23.0,22.0,8.0,19.0,27.0,35.0,32.0,21.0,15.0,34.0,30.0
512,0.0,4.0,2.0,14.0,16.0,20.0,1.0,10.0,6.0,19.0,3.0,7.0,29.0,21.0,34.0,18.0,15.0,30.0,12.0,25.0,23.0,11.0,5.0,24.0,9.0,48.0,28.0,36.0,13.0,22.0
561,1.0,4.0,2.0,22.0,13.0,3.0,0.0,30.0,8.0,17.0,39.0,6.0,7.0,24.0,15.0,16.0,12.0,20.0,14.0,10.0,5.0,31.0,9.0,11.0,19.0,42.0,26.0,21.0,32.0,54.0
610,2.0,6.0,0.0,12.0,9.0,3.0,1.0,13.0,4.0,20.0,5.0,7.0,11.0,28.0,17.0,19.0,10.0,16.0,36.0,18.0,32.0,14.0,8.0,29.0,21.0,40.0,24.0,23.0,26.0,35.0
659,2.0,1.0,0.0,16.0,8.0,22.0,5.0,11.0,10.0,24.0,32.0,4.0,6.0,38.0,19.0,36.0,12.0,25.0,21.0,34.0,3.0,14.0,9.0,18.0,17.0,13.0,28.0,30.0,15.0,37.0
708,0.0,4.0,1.0,11.0,12.0,29.0,2.0,7.0,18.0,13.0,24.0,8.0,15.0,33.0,34.0,19.0,16.0,5.0,9.0,40.0,20.0,25.0,3.0,31.0,6.0,21.0,22.0,14.0,49.0,43.0
757,0.0,1.0,2.0,16.0,18.0,25.0,12.0,6.0,7.0,15.0,9.0,3.0,19.0,35.0,21.0,37.0,11.0,23.0,22.0,43.0,4.0,10.0,8.0,36.0,13.0,20.0,29.0,14.0,31.0,62.0
806,1.0,3.0,0.0,5.0,13.0,33.0,4.0,10.0,14.0,12.0,22.0,2.0,7.0,43.0,46.0,15.0,6.0,11.0,9.0,18.0,19.0,28.0,26.0,16.0,34.0,29.0,44.0,35.0,32.0,37.0
855,1.0,2.0,0.0,6.0,8.0,20.0,3.0,17.0,13.0,4.0,23.0,9.0,15.0,28.0,16.0,45.0,22.0,26.0,12.0,29.0,5.0,34.0,7.0,37.0,11.0,39.0,43.0,41.0,30.0,50.0
904,0.0,5.0,1.0,19.0,10.0,14.0,7.0,6.0,11.0,12.0,16.0,3.0,4.0,43.0,8.0,38.0,2.0,24.0,30.0,26.0,27.0,15.0,9.0,34.0,50.0,13.0,55.0,18.0,21.0,37.0
953,1.0,0.0,2.0,26.0,14.0,28.0,5.0,24.0,15.0,9.0,31.0,3.0,32.0,22.0,45.0,12.0,10.0,16.0,11.0,33.0,13.0,6.0,29.0,4.0,18.0,46.0,23.0,17.0,7.0,36.0
1002,1.0,0.0,2.0,13.0,4.0,18.0,5.0,20.0,14.0,6.0,8.0,19.0,11.0,9.0,12.0,7.0,22.0,31.0,10.0,27.0,17.0,16.0,3.0,15.0,24.0,21.0,35.0,32.0,51.0,37.0
1051,0.0,1.0,2.0,3.0,23.0,4.0,13.0,7.0,15.0,6.0,12.0,8.0,16.0,24.0,27.0,9.0,14.0,18.0,31.0,20.0,41.0,11.0,5.0,38.0,25.0,45.0,47.0,10.0,19.0,26.0
1100,2.0,0.0,1.0,5.0,4.0,8.0,6.0,9.0,10.0,3.0,7.0,11.0,16.0,18.0,13.0,14.0,12.0,22.0,53.0,38.0,29.0,26.0,15.0,42.0,19.0,23.0,30.0,33.0,17.0,20.0
1149,2.0,0.0,1.0,11.0,8.0,4.0,20.0,9.0,6.0,17.0,3.0,10.0,7.0,16.0,18.0,12.0,19.0,26.0,43.0,13.0,21.0,30.0,5.0,28.0,22.0,14.0,27.0,32.0,39.0,40.0
