,hsa-miR-199b-5p,hsa-miR-541,hsa-miR-761,hsa-miR-744,hsa-miR-223,hsa-miR-142-5p,hsa-miR-935,hsv1-miR-H2-3p,hsa-miR-1256,hsa-miR-1977,hsa-miR-600,hsa-miR-214,hsa-miR-222,hsa-miR-1976,hsa-miR-147b,hsa-miR-125a-3p,hsa-miR-656,hsa-miR-877,ebv-miR-BART2-5p,hsa-miR-581,hsa-miR-190,hsa-miR-616,hsa-miR-1973,hsa-miR-485-3p,hsa-miR-1200,hsa-miR-192,hsa-miR-628-5p,hsa-miR-579,hsa-miR-623,hcmv-miR-US5-1
17,0.0,3.0,1.0,6.0,4.0,9.0,15.0,8.0,30.0,2.0,5.0,24.0,13.0,27.0,20.0,17.0,43.0,57.0,18.0,81.0,10.0,33.0,11.0,29.0,47.0,7.0,28.0,32.0,14.0,16.0
66,0.0,5.0,4.0,2.0,3.0,17.0,10.0,6.0,9.0,11.0,1.0,13.0,7.0,56.0,28.0,8.0,21.0,20.0,23.0,113.0,70.0,30.0,39.0,22.0,14.0,18.0,43.0,12.0,15.0,32.0
115,0.0,2.0,3.0,1.0,4.0,8.0,17.0,22.0,12.0,9.0,7.0,6.0,11.0,57.0,26.0,10.0,18.0,33.0,31.0,56.0,5.0,69.0,15.0,20.0,14.0,36.0,34.0,110.0,13.0,21.0
164,0.0,5.0,6.0,4.0,2.0,9.0,22.0,19.0,11.0,1.0,30.0,10.0,47.0,16.0,7.0,8.0,34.0,25.0,33.0,37.0,40.0,20.0,24.0,12.0,15.0,17.0,21.0,3.0,32.0,27.0
213,0.0,5.0,6.0,3.0,2.0,10.0,11.0,4.0,17.0,1.0,9.0,26.0,21.0,8.0,20.0,12.0,31.0,23.0,13.0,118.0,48.0,36.0,54.0,7.0,14.0,15.0,18.0,16.0,25.0,41.0
262,0.0,1.0,5.0,2.0,4.0,8.0,10.0,27.0,24.0,11.0,6.0,14.0,32.0,22.0,52.0,3.0,38.0,55.0,20.0,97.0,30.0,47.0,40.0,15.0,74.0,7.0,34.0,62.0,13.0,23.0
311,0.0,1.0,7.0,6.0,2.0,8.0,17.0,5.0,16.0,3.0,4.0,10.0,20.0,14.0,12.0,18.0,41.0,29.0,34.0,124.0,11.0,22.0,9.0,28.0,42.0,19.0,95.0,102.0,33.0,15.0
360,0.0,1.0,13.0,26.0,3.0,6.0,5.0,29.0,20.0,2.0,14.0,25.0,8.0,27.0,7.0,18.0,37.0,47.0,17.0,43.0,35.0,21.0,12.0,15.0,19.0,4.0,56.0,22.0,16.0,10.0
409,0.0,20.0,1.0,2.0,9.0,18.0,8.0,5.0,12.0,4.0,3.0,15.0,23.0,11.0,6.0,28.0,62.0,67.0,19.0,99.0,27.0,37.0,14.0,17.0,44.0,7.0,111.0,21.0,13.0,34.0
458,0.0,1.0,10.0,5.0,2.0,32.0,6.0,12.0,7.0,4.0,9.0,11.0,31.0,20.0,13.0,38.0,23.0,28.0,14.0,41.0,19.0,18.0,17.0,3.0,29.0,8.0,42.0,59.0,15.0,24.0
507,1.0,0.0,8.0,30.0,19.0,2.0,3.0,5.0,13.0,32.0,15.0,11.0,7.0,24.0,39.0,16.0,12.0,33.0,10.0,46.0,4.0,27.0,47.0,6.0,48.0,14.0,25.0,101.0,78.0,17.0
556,0.0,2.0,17.0,9.0,6.0,12.0,4.0,5.0,8.0,14.0,3.0,11.0,7.0,22.0,21.0,1.0,24.0,48.0,20.0,19.0,18.0,35.0,23.0,27.0,39.0,10.0,91.0,28.0,37.0,30.0
