,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
14,4.0,62.0,5.0,0.0,1.0,35.0,21.0,23.0,3.0,25.0,18.0,154.0,27.0,101.0,7.0,39.0,75.0,53.0,38.0,110.0,2.0,483.0,11.0,133.0,467.0,12.0,310.0,19.0,20.0,148.0
63,5.0,0.0,3.0,1.0,2.0,71.0,74.0,63.0,8.0,24.0,11.0,143.0,7.0,13.0,19.0,29.0,27.0,41.0,278.0,105.0,281.0,72.0,117.0,51.0,196.0,14.0,53.0,9.0,30.0,82.0
112,16.0,7.0,2.0,1.0,26.0,106.0,14.0,25.0,53.0,5.0,11.0,110.0,15.0,8.0,4.0,51.0,12.0,70.0,9.0,69.0,113.0,172.0,42.0,216.0,181.0,116.0,67.0,3.0,29.0,13.0
161,9.0,3.0,5.0,4.0,1.0,17.0,8.0,34.0,134.0,12.0,109.0,15.0,42.0,30.0,6.0,103.0,2.0,22.0,10.0,199.0,213.0,87.0,287.0,151.0,53.0,350.0,83.0,56.0,492.0,282.0
210,180.0,7.0,4.0,3.0,1.0,14.0,75.0,12.0,11.0,146.0,10.0,19.0,199.0,15.0,23.0,138.0,2.0,102.0,139.0,292.0,21.0,5.0,569.0,143.0,36.0,252.0,16.0,8.0,28.0,20.0
259,259.0,9.0,1.0,14.0,0.0,132.0,7.0,117.0,5.0,96.0,12.0,19.0,121.0,27.0,4.0,20.0,2.0,425.0,10.0,317.0,52.0,25.0,138.0,189.0,229.0,58.0,54.0,107.0,26.0,324.0
308,24.0,5.0,1.0,22.0,0.0,35.0,65.0,313.0,4.0,98.0,2.0,26.0,21.0,18.0,11.0,81.0,3.0,148.0,7.0,30.0,16.0,8.0,23.0,499.0,132.0,220.0,62.0,12.0,111.0,20.0
357,38.0,8.0,1.0,2.0,3.0,42.0,16.0,19.0,4.0,397.0,0.0,180.0,54.0,53.0,30.0,70.0,7.0,176.0,14.0,226.0,11.0,63.0,34.0,134.0,140.0,44.0,13.0,12.0,498.0,227.0
406,39.0,10.0,0.0,2.0,1.0,9.0,58.0,20.0,8.0,88.0,3.0,5.0,412.0,27.0,38.0,28.0,256.0,318.0,7.0,6.0,45.0,78.0,467.0,114.0,51.0,17.0,24.0,82.0,13.0,321.0
455,35.0,5.0,4.0,1.0,0.0,91.0,7.0,84.0,2.0,27.0,3.0,241.0,306.0,9.0,31.0,80.0,23.0,126.0,12.0,11.0,6.0,26.0,110.0,431.0,104.0,134.0,30.0,148.0,130.0,114.0
504,3.0,9.0,18.0,15.0,10.0,1.0,0.0,7.0,13.0,8.0,27.0,40.0,17.0,12.0,94.0,58.0,11.0,30.0,35.0,16.0,26.0,108.0,38.0,4.0,425.0,5.0,502.0,19.0,43.0,57.0
553,0.0,4.0,57.0,1.0,18.0,35.0,2.0,229.0,10.0,169.0,7.0,17.0,36.0,5.0,12.0,19.0,22.0,6.0,9.0,24.0,249.0,25.0,11.0,20.0,382.0,15.0,159.0,44.0,3.0,84.0
