,NDN,AC026407.1,S100A4,HGF,MB21D1,ANGPTL2,AC016710.1,POLR2J3,GSTT1,HSD17B11,ALKBH3,RP11-834C11.4,CAMK1D,MAGEA1,DNAJA4,CLDN11,LUM,PLAUR,KLHL3,RP3-467L1.4,AC068134.10,AC093627.9,TTC31,TGFB1,SPTBN2,TSPYL5,SLFN13,CTD-3224K15.3,RP11-673E1.3,ZNF334
9,0.0,37.0,3.0,12.0,6.0,5.0,92.0,4.0,1.0,22.0,17.0,107.0,94.0,2.0,19.0,9.0,10.0,23.0,320.0,62.0,56.0,50.0,39.0,45.0,11.0,293.0,262.0,90.0,96.0,157.0
58,0.0,2.0,10.0,14.0,11.0,67.0,46.0,8.0,45.0,94.0,15.0,20.0,25.0,1.0,50.0,9.0,5.0,3.0,28.0,60.0,26.0,44.0,103.0,12.0,52.0,29.0,846.0,39.0,105.0,304.0
107,0.0,2.0,4.0,11.0,3.0,26.0,17.0,18.0,19.0,22.0,106.0,159.0,214.0,5.0,21.0,48.0,8.0,10.0,34.0,1027.0,33.0,66.0,12.0,41.0,82.0,1.0,307.0,27.0,113.0,103.0
156,0.0,6.0,3.0,40.0,22.0,84.0,11.0,15.0,14.0,17.0,34.0,189.0,49.0,1.0,123.0,5.0,4.0,9.0,117.0,13.0,75.0,63.0,39.0,42.0,8.0,124.0,112.0,134.0,18.0,817.0
205,0.0,13.0,1.0,144.0,2.0,49.0,240.0,63.0,54.0,37.0,33.0,6.0,39.0,7.0,576.0,8.0,18.0,3.0,71.0,80.0,10.0,12.0,20.0,44.0,24.0,95.0,987.0,46.0,14.0,84.0
254,0.0,2.0,14.0,27.0,6.0,32.0,36.0,11.0,4.0,17.0,22.0,117.0,46.0,24.0,345.0,3.0,8.0,12.0,54.0,128.0,39.0,29.0,35.0,16.0,97.0,5.0,543.0,15.0,26.0,127.0
303,1.0,10.0,8.0,7.0,9.0,33.0,13.0,29.0,5.0,17.0,26.0,80.0,27.0,4.0,418.0,0.0,3.0,11.0,128.0,57.0,40.0,150.0,23.0,34.0,30.0,45.0,73.0,20.0,38.0,146.0
352,1.0,0.0,2.0,7.0,12.0,196.0,24.0,26.0,52.0,14.0,71.0,126.0,18.0,5.0,38.0,4.0,15.0,6.0,80.0,387.0,40.0,174.0,25.0,27.0,53.0,3.0,202.0,48.0,36.0,171.0
401,1.0,0.0,6.0,9.0,21.0,28.0,19.0,12.0,13.0,23.0,7.0,56.0,11.0,15.0,124.0,2.0,3.0,5.0,34.0,50.0,51.0,99.0,31.0,73.0,32.0,70.0,859.0,18.0,26.0,220.0
450,0.0,21.0,1.0,18.0,5.0,13.0,66.0,7.0,14.0,23.0,8.0,925.0,17.0,9.0,119.0,48.0,6.0,52.0,49.0,37.0,83.0,206.0,44.0,20.0,39.0,3.0,33.0,25.0,19.0,79.0
499,0.0,2.0,6.0,7.0,66.0,21.0,12.0,25.0,9.0,72.0,61.0,95.0,74.0,92.0,1.0,210.0,42.0,32.0,14.0,134.0,29.0,71.0,117.0,41.0,211.0,1260.0,8.0,22.0,40.0,45.0
548,0.0,6.0,1.0,11.0,2.0,12.0,77.0,15.0,10.0,19.0,23.0,61.0,8.0,620.0,3.0,183.0,218.0,16.0,24.0,69.0,45.0,18.0,59.0,76.0,212.0,41.0,33.0,42.0,21.0,7.0
597,0.0,3114.0,4.0,20.0,1.0,31.0,14.0,85.0,5.0,12.0,42.0,331.0,2.0,18.0,9.0,705.0,70.0,149.0,6.0,26.0,52.0,16.0,178.0,166.0,284.0,79.0,10.0,63.0,21.0,15.0
646,0.0,3.0,8.0,1.0,19.0,10.0,69.0,12.0,32.0,60.0,23.0,90.0,11.0,207.0,5.0,3031.0,41.0,92.0,35.0,312.0,107.0,20.0,63.0,208.0,109.0,169.0,66.0,31.0,78.0,15.0
695,0.0,34.0,1.0,3.0,22.0,41.0,15.0,20.0,9.0,25.0,13.0,136.0,5.0,36.0,16.0,236.0,38.0,14.0,21.0,115.0,57.0,27.0,73.0,33.0,18.0,80.0,4.0,6.0,28.0,76.0
744,0.0,16.0,3.0,48.0,7.0,44.0,43.0,79.0,8.0,112.0,49.0,63.0,4.0,36.0,2.0,2495.0,199.0,14.0,115.0,81.0,73.0,46.0,234.0,94.0,54.0,17.0,72.0,266.0,83.0,51.0
793,0.0,5.0,4.0,7.0,41.0,12.0,9.0,17.0,2.0,30.0,113.0,147.0,1.0,85.0,3.0,178.0,84.0,16.0,22.0,63.0,50.0,25.0,169.0,38.0,149.0,55.0,6.0,37.0,14.0,26.0
842,0.0,8.0,1.0,7.0,5.0,86.0,10.0,16.0,20.0,90.0,21.0,172.0,6.0,29.0,2.0,709.0,249.0,19.0,23.0,144.0,43.0,4.0,138.0,116.0,38.0,82.0,3.0,33.0,31.0,115.0
891,0.0,2.0,3.0,4.0,37.0,26.0,10.0,11.0,1.0,48.0,46.0,302.0,6.0,74.0,12.0,512.0,78.0,35.0,15.0,33.0,22.0,83.0,77.0,51.0,109.0,21.0,9.0,19.0,67.0,18.0
