,NDN,AC026407.1,ANGPTL2,HGF,AC016710.1,POLR2J3,CLDN11,S100A4,GSTT1,MB21D1,MAGEA1,RP11-834C11.4,CAMK1D,ALKBH3,DNAJA4,LUM,SCARA3,HSD17B11,RP3-467L1.4,SPTBN2,AC068134.10,VSTM2L,KLHL3,CTD-3224K15.3,LHX8,LINC00942,TTC31,ZNF334,RP11-318M2.2,SLFN13
8,2.0,46.0,6.0,14.0,84.0,1.0,3.0,9.0,5.0,10.0,0.0,123.0,74.0,24.0,22.0,12.0,100.0,40.0,64.0,11.0,55.0,19.0,504.0,77.0,65.0,8.0,43.0,226.0,85.0,255.0
57,2.0,1.0,57.0,23.0,75.0,7.0,4.0,21.0,81.0,14.0,0.0,18.0,17.0,22.0,41.0,3.0,76.0,166.0,48.0,49.0,16.0,10.0,32.0,27.0,201.0,5.0,115.0,416.0,294.0,1040.0
106,1.0,0.0,29.0,13.0,14.0,15.0,26.0,9.0,50.0,4.0,8.0,200.0,131.0,121.0,19.0,5.0,285.0,36.0,1189.0,86.0,32.0,3.0,75.0,20.0,387.0,129.0,12.0,156.0,24.0,369.0
155,0.0,6.0,94.0,50.0,12.0,16.0,1.0,8.0,42.0,53.0,2.0,205.0,22.0,52.0,88.0,3.0,107.0,30.0,15.0,7.0,79.0,20.0,151.0,114.0,196.0,233.0,48.0,1257.0,219.0,127.0
204,0.0,13.0,58.0,227.0,346.0,56.0,5.0,1.0,96.0,2.0,8.0,6.0,25.0,42.0,813.0,14.0,43.0,57.0,77.0,29.0,10.0,135.0,100.0,41.0,794.0,60.0,22.0,99.0,37.0,1235.0
253,0.0,2.0,36.0,32.0,30.0,9.0,1.0,29.0,4.0,10.0,22.0,124.0,33.0,18.0,256.0,6.0,25.0,19.0,130.0,85.0,37.0,79.0,99.0,11.0,215.0,170.0,38.0,166.0,197.0,503.0
302,1.0,8.0,45.0,9.0,10.0,21.0,0.0,27.0,7.0,23.0,4.0,79.0,17.0,30.0,331.0,3.0,36.0,25.0,67.0,35.0,34.0,6.0,213.0,12.0,277.0,32.0,22.0,183.0,19.0,95.0
351,2.0,0.0,217.0,6.0,22.0,18.0,3.0,1.0,112.0,31.0,5.0,143.0,12.0,101.0,33.0,13.0,85.0,29.0,393.0,47.0,35.0,64.0,141.0,32.0,443.0,222.0,23.0,244.0,79.0,223.0
400,2.0,0.0,36.0,10.0,19.0,6.0,1.0,16.0,18.0,46.0,14.0,69.0,5.0,11.0,117.0,3.0,28.0,41.0,55.0,37.0,53.0,43.0,45.0,12.0,68.0,144.0,29.0,294.0,57.0,943.0
449,0.0,16.0,12.0,24.0,81.0,5.0,36.0,3.0,15.0,7.0,8.0,1572.0,10.0,11.0,133.0,6.0,214.0,41.0,39.0,46.0,72.0,103.0,77.0,17.0,1006.0,216.0,53.0,94.0,67.0,32.0
498,1.0,0.0,17.0,8.0,13.0,21.0,136.0,11.0,6.0,154.0,94.0,130.0,63.0,83.0,2.0,42.0,103.0,121.0,141.0,284.0,27.0,49.0,20.0,22.0,15.0,5.0,178.0,54.0,34.0,7.0
547,0.0,1.0,9.0,14.0,86.0,13.0,116.0,2.0,8.0,5.0,591.0,67.0,10.0,35.0,3.0,324.0,306.0,34.0,68.0,186.0,60.0,30.0,28.0,29.0,42.0,187.0,92.0,11.0,36.0,22.0
596,0.0,3492.0,29.0,27.0,15.0,60.0,576.0,6.0,5.0,2.0,16.0,371.0,1.0,62.0,10.0,69.0,165.0,22.0,18.0,374.0,55.0,102.0,8.0,53.0,174.0,3.0,277.0,13.0,84.0,7.0
645,0.0,1.0,5.0,2.0,68.0,12.0,2421.0,13.0,29.0,43.0,257.0,89.0,10.0,45.0,9.0,62.0,198.0,93.0,276.0,86.0,129.0,24.0,42.0,31.0,6.0,14.0,83.0,20.0,22.0,51.0
694,0.0,27.0,33.0,6.0,14.0,15.0,144.0,2.0,10.0,51.0,26.0,165.0,5.0,16.0,19.0,43.0,13.0,42.0,106.0,17.0,58.0,12.0,28.0,4.0,50.0,3.0,90.0,60.0,103.0,7.0
743,0.0,12.0,44.0,53.0,40.0,70.0,1649.0,7.0,5.0,13.0,37.0,79.0,1.0,80.0,3.0,215.0,258.0,194.0,69.0,47.0,89.0,41.0,114.0,242.0,76.0,23.0,321.0,45.0,36.0,74.0
792,0.0,4.0,13.0,7.0,10.0,14.0,92.0,5.0,2.0,90.0,91.0,169.0,1.0,168.0,3.0,94.0,37.0,44.0,45.0,182.0,49.0,12.0,28.0,34.0,18.0,8.0,199.0,30.0,19.0,6.0
841,0.0,5.0,50.0,10.0,7.0,12.0,593.0,1.0,13.0,8.0,32.0,184.0,6.0,36.0,2.0,292.0,381.0,152.0,110.0,27.0,41.0,9.0,34.0,22.0,72.0,14.0,163.0,100.0,53.0,3.0
890,0.0,1.0,25.0,3.0,10.0,11.0,347.0,4.0,2.0,108.0,94.0,362.0,6.0,81.0,12.0,102.0,43.0,84.0,26.0,89.0,27.0,101.0,18.0,15.0,17.0,23.0,105.0,24.0,66.0,9.0
939,0.0,6.0,11.0,14.0,33.0,20.0,908.0,1.0,15.0,34.0,19.0,41.0,4.0,814.0,7.0,255.0,396.0,135.0,83.0,122.0,87.0,96.0,40.0,71.0,3.0,2.0,158.0,57.0,140.0,5.0
988,6.0,36.0,72.0,5.0,1.0,14.0,8.0,51.0,13.0,23.0,21.0,3.0,20.0,43.0,17.0,10.0,15.0,28.0,18.0,220.0,341.0,911.0,40.0,143.0,151.0,287.0,149.0,238.0,27.0,138.0
1037,10.0,104.0,5.0,4.0,2.0,1.0,9.0,120.0,7.0,28.0,14.0,3.0,49.0,186.0,39.0,229.0,27.0,71.0,24.0,22.0,46.0,326.0,144.0,41.0,20.0,11.0,249.0,134.0,33.0,322.0
1086,0.0,234.0,28.0,17.0,50.0,3.0,62.0,9.0,10733.0,1.0,32.0,14.0,6.0,52.0,1875.0,739.0,151.0,11.0,4.0,184.0,35.0,182.0,84.0,130.0,191.0,7.0,80.0,38.0,73.0,63.0
1135,0.0,35.0,12.0,8.0,2.0,3.0,11.0,60.0,50.0,18.0,411.0,1.0,6.0,28.0,52.0,43.0,37.0,21.0,27.0,19.0,16.0,696.0,51.0,92.0,89.0,148.0,105.0,86.0,53.0,45.0
1184,14.0,23.0,12.0,2.0,3.0,9.0,11.0,101.0,180.0,5.0,73.0,4.0,20.0,8.0,57.0,15.0,43.0,13.0,181.0,31.0,137.0,590.0,176.0,42.0,38.0,178.0,77.0,509.0,64.0,956.0
1233,8.0,3.0,6.0,21.0,9.0,0.0,160.0,515.0,50.0,1.0,99.0,2.0,34.0,25.0,165.0,5.0,101.0,98.0,14.0,11.0,31.0,1542.0,762.0,112.0,23.0,116.0,445.0,278.0,80.0,335.0
1282,1.0,19.0,12.0,5.0,2.0,16.0,31.0,209.0,156.0,18.0,78.0,3.0,20.0,60.0,10.0,6.0,64.0,17.0,4.0,15.0,164.0,2600.0,172.0,72.0,85.0,135.0,59.0,139.0,97.0,1570.0
1331,0.0,7.0,13.0,2.0,4.0,5.0,3.0,134.0,122.0,1.0,882.0,10.0,44.0,16.0,83.0,67.0,78.0,22.0,15.0,43.0,41.0,1913.0,61.0,98.0,223.0,350.0,251.0,256.0,42.0,892.0
1380,0.0,47.0,10.0,9.0,1.0,2.0,36.0,84.0,20.0,5.0,70.0,96.0,6.0,12.0,4.0,11.0,97.0,18.0,13.0,43.0,123.0,39.0,223.0,487.0,174.0,51.0,225.0,85.0,124.0,102.0
1429,0.0,6.0,15.0,9.0,8.0,1.0,158.0,42.0,150.0,10.0,37.0,5.0,7.0,16.0,19.0,111.0,38.0,26.0,23.0,141.0,48.0,737.0,237.0,70.0,83.0,120.0,125.0,17.0,35.0,58.0
1478,24.0,1.0,3.0,15.0,20.0,13.0,306.0,66.0,23.0,150.0,16.0,27.0,88.0,134.0,544.0,52.0,12.0,8.0,65.0,31.0,160.0,21.0,64.0,51.0,17.0,68.0,28.0,49.0,85.0,2.0
1527,4.0,23.0,15.0,9.0,34.0,19.0,57.0,20.0,213.0,198.0,59.0,0.0,47.0,117.0,337.0,52.0,6.0,16.0,62.0,1.0,55.0,10.0,37.0,21.0,17.0,68.0,63.0,154.0,56.0,31.0
1576,22.0,233.0,23.0,46.0,53.0,26.0,57.0,8.0,285.0,27.0,0.0,3.0,135.0,18.0,91.0,66.0,15.0,21.0,187.0,43.0,29.0,51.0,35.0,2.0,31.0,16.0,127.0,107.0,12.0,1.0
1625,11.0,268.0,35.0,7.0,15.0,24.0,0.0,8.0,3.0,22.0,13.0,40.0,42.0,17.0,119.0,111.0,12.0,29.0,46.0,16.0,39.0,1.0,10.0,6.0,31.0,33.0,47.0,98.0,89.0,2.0
1674,71.0,1.0,19.0,6.0,4.0,119.0,7.0,60.0,2.0,11.0,10.0,25.0,110.0,96.0,34.0,163.0,37.0,3.0,9.0,23.0,360.0,984.0,48.0,8.0,39.0,1064.0,53.0,65.0,84.0,217.0
1723,1.0,3.0,67.0,39.0,12.0,84.0,43.0,8.0,82.0,100.0,0.0,2.0,81.0,14.0,38.0,145.0,6.0,32.0,52.0,10.0,33.0,4.0,24.0,56.0,29.0,44.0,76.0,69.0,101.0,19.0
